participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_4_4.1.player.id_in_group,GoR_4_4.1.player.guess,GoR_4_4.1.player.is_winner,GoR_4_4.1.player.strategy_guess,GoR_4_4.1.player.payoff,GoR_4_4.1.group.id_in_subsession,GoR_4_4.1.group.two_thirds_avg,GoR_4_4.1.group.best_guess,GoR_4_4.1.group.num_winners,GoR_4_4.1.group.high,GoR_4_4.1.group.split,GoR_4_4.1.group.timeout,GoR_4_4.1.subsession.round_number,GoR_4_4.2.player.id_in_group,GoR_4_4.2.player.guess,GoR_4_4.2.player.is_winner,GoR_4_4.2.player.strategy_guess,GoR_4_4.2.player.payoff,GoR_4_4.2.group.id_in_subsession,GoR_4_4.2.group.two_thirds_avg,GoR_4_4.2.group.best_guess,GoR_4_4.2.group.num_winners,GoR_4_4.2.group.high,GoR_4_4.2.group.split,GoR_4_4.2.group.timeout,GoR_4_4.2.subsession.round_number,GoR_4_4.3.player.id_in_group,GoR_4_4.3.player.guess,GoR_4_4.3.player.is_winner,GoR_4_4.3.player.strategy_guess,GoR_4_4.3.player.payoff,GoR_4_4.3.group.id_in_subsession,GoR_4_4.3.group.two_thirds_avg,GoR_4_4.3.group.best_guess,GoR_4_4.3.group.num_winners,GoR_4_4.3.group.high,GoR_4_4.3.group.split,GoR_4_4.3.group.timeout,GoR_4_4.3.subsession.round_number,GoR_4_4.4.player.id_in_group,GoR_4_4.4.player.guess,GoR_4_4.4.player.is_winner,GoR_4_4.4.player.strategy_guess,GoR_4_4.4.player.payoff,GoR_4_4.4.group.id_in_subsession,GoR_4_4.4.group.two_thirds_avg,GoR_4_4.4.group.best_guess,GoR_4_4.4.group.num_winners,GoR_4_4.4.group.high,GoR_4_4.4.group.split,GoR_4_4.4.group.timeout,GoR_4_4.4.subsession.round_number,GoR_4_4.5.player.id_in_group,GoR_4_4.5.player.guess,GoR_4_4.5.player.is_winner,GoR_4_4.5.player.strategy_guess,GoR_4_4.5.player.payoff,GoR_4_4.5.group.id_in_subsession,GoR_4_4.5.group.two_thirds_avg,GoR_4_4.5.group.best_guess,GoR_4_4.5.group.num_winners,GoR_4_4.5.group.high,GoR_4_4.5.group.split,GoR_4_4.5.group.timeout,GoR_4_4.5.subsession.round_number,GoR_4_4.6.player.id_in_group,GoR_4_4.6.player.guess,GoR_4_4.6.player.is_winner,GoR_4_4.6.player.strategy_guess,GoR_4_4.6.player.payoff,GoR_4_4.6.group.id_in_subsession,GoR_4_4.6.group.two_thirds_avg,GoR_4_4.6.group.best_guess,GoR_4_4.6.group.num_winners,GoR_4_4.6.group.high,GoR_4_4.6.group.split,GoR_4_4.6.group.timeout,GoR_4_4.6.subsession.round_number,GoR_4_4.7.player.id_in_group,GoR_4_4.7.player.guess,GoR_4_4.7.player.is_winner,GoR_4_4.7.player.strategy_guess,GoR_4_4.7.player.payoff,GoR_4_4.7.group.id_in_subsession,GoR_4_4.7.group.two_thirds_avg,GoR_4_4.7.group.best_guess,GoR_4_4.7.group.num_winners,GoR_4_4.7.group.high,GoR_4_4.7.group.split,GoR_4_4.7.group.timeout,GoR_4_4.7.subsession.round_number,GoR_4_4.8.player.id_in_group,GoR_4_4.8.player.guess,GoR_4_4.8.player.is_winner,GoR_4_4.8.player.strategy_guess,GoR_4_4.8.player.payoff,GoR_4_4.8.group.id_in_subsession,GoR_4_4.8.group.two_thirds_avg,GoR_4_4.8.group.best_guess,GoR_4_4.8.group.num_winners,GoR_4_4.8.group.high,GoR_4_4.8.group.split,GoR_4_4.8.group.timeout,GoR_4_4.8.subsession.round_number
1,bf7dsbky,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 09:06:57.954038+00:00,1,A319HGTKM0UY0V,324G5B4FB4RTT2068GDD8EXK7LW70T,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,1,0,1,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,1,,0,,0.00,1,,,,0,0,0,1,1,,0,,0.00,1,,,,0,0,0,2,1,,0,,0.00,1,,,,0,0,0,3,1,,0,,0.00,1,,,,0,0,0,4,1,,0,,0.00,1,,,,0,0,0,5,1,,0,,0.00,1,,,,0,0,0,6,1,,0,,0.00,1,,,,0,0,0,7,1,,0,,0.00,1,,,,0,0,0,8
2,69rc8prm,,0,72,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:07:00.009714+00:00,1,A1HN2W2M73O741,3HL8HNGX46KO4P3PQVUIPHBU8D99FB,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,0,0,,0.00,2,,,,1,1,1,1,2,,0,,0.00,2,,,,1,1,1,2,2,,0,,0.00,2,,,,1,1,1,3,2,,0,,0.00,2,,,,1,1,1,4,2,,0,,0.00,2,,,,1,1,1,5,2,,0,,0.00,2,,,,1,1,1,6,2,,0,,0.00,2,,,,1,1,1,7,2,,0,,0.00,2,,,,1,1,1,8
3,coq7pt4r,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:07:05.827441+00:00,1,A1DKVUTOBPQH11,3TMSXRD2X7J8Q6MPC7PPEZFB54B1WS,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,4,76,0,,0.00,2,,,,1,1,1,1,4,,0,,0.00,2,,,,1,1,1,2,4,,0,,0.00,2,,,,1,1,1,3,4,,0,,0.00,2,,,,1,1,1,4,4,,0,,0.00,2,,,,1,1,1,5,4,,0,,0.00,2,,,,1,1,1,6,4,,0,,0.00,2,,,,1,1,1,7,4,,0,"I didn't really have a specific strategy since the game ended early (Unfortunately a player in your group has timed out or has disconnected, making this study invalid.).    I probably would have tried to pick a number closer to the center (~50ish) in future rounds.",0.00,2,,,,1,1,1,8
4,amgycklr,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 09:07:07.656261+00:00,1,A3GM78FCDY293T,3R6BYFZZP8VE5LLNTB0W5KXCFGZXFH,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,4,0,1,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,,0,,0.00,1,,,,0,0,0,1,4,,0,,0.00,1,,,,0,0,0,2,4,,0,,0.00,1,,,,0,0,0,3,4,,0,,0.00,1,,,,0,0,0,4,4,,0,,0.00,1,,,,0,0,0,5,4,,0,,0.00,1,,,,0,0,0,6,4,,0,,0.00,1,,,,0,0,0,7,4,,0,,0.00,1,,,,0,0,0,8
5,8vn53c9r,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 09:07:09.425692+00:00,1,A1K4KR1GQYCIWA,3Z4AIRP3C7WNF6RFMCLBGITIE6H1XL,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,5,0,1,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,5,,0,,0.00,1,,,,0,0,0,1,5,,0,,0.00,1,,,,0,0,0,2,5,,0,,0.00,1,,,,0,0,0,3,5,,0,,0.00,1,,,,0,0,0,4,5,,0,,0.00,1,,,,0,0,0,5,5,,0,,0.00,1,,,,0,0,0,6,5,,0,,0.00,1,,,,0,0,0,7,5,,0,,0.00,1,,,,0,0,0,8
6,8ip4pnx6,,0,72,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:07:51.264260+00:00,1,A2BA9Y6VGW6WS1,3W8CV64QJ3I8ILUVLLIIS2N7OSM9H9,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,1,19,0,,0.00,2,,,,1,1,1,1,1,,0,,0.00,2,,,,1,1,1,2,1,,0,,0.00,2,,,,1,1,1,3,1,,0,,0.00,2,,,,1,1,1,4,1,,0,,0.00,2,,,,1,1,1,5,1,,0,,0.00,2,,,,1,1,1,6,1,,0,,0.00,2,,,,1,1,1,7,1,,0,,0.00,2,,,,1,1,1,8
7,mr66glwy,,0,72,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:07:55.016286+00:00,1,A2EOHZNJNNUZZU,3Z4AIRP3C7WNF6RFMCLBGITIE6H1XL,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,3,23,0,,0.00,2,,,,1,1,1,1,3,,0,,0.00,2,,,,1,1,1,2,3,,0,,0.00,2,,,,1,1,1,3,3,,0,,0.00,2,,,,1,1,1,4,3,,0,,0.00,2,,,,1,1,1,5,3,,0,,0.00,2,,,,1,1,1,6,3,,0,,0.00,2,,,,1,1,1,7,3,,0,,0.00,2,,,,1,1,1,8
8,sd4wsa18,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:08:14.805667+00:00,1,A1RWNYJA5X25YH,3HMVI3QICKBCFBHPR87DZW0RGCB1YR,0.46,$1.46,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,3,56,0,,0.00,3,39.33,44,1,1,0,0,1,3,78,0,,0.00,3,34.0,33,1,1,0,0,2,3,34,0,,0.00,3,24.83,27,1,1,0,0,3,3,46,1,,0.46,3,35.17,46,1,1,0,0,4,3,59,0,,0.00,3,27.67,22,1,1,0,0,5,3,70,0,,0.00,3,38.17,30,2,1,0,0,6,3,49,0,,0.00,3,24.17,28,1,1,0,0,7,3,64,0,I just made a guess,0.00,3,23.17,24,1,1,0,0,8
9,6ff25l3y,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-31 09:08:25.508837+00:00,1,A11CMD4XAPS2Y4,3AWETUDC93BNK7NSV1U252QF38PZI7,0.40,$1.40,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,4,75,0,,0.00,4,45.83,35,1,0,0,0,1,4,25,1,,0.25,4,25.0,25,1,0,0,0,2,4,35,0,,0.00,4,20.0,15,1,0,0,0,3,4,65,0,,0.00,4,22.83,17,1,0,0,0,4,4,55,0,,0.00,4,18.33,20,2,0,0,0,5,4,15,1,,0.15,4,13.33,15,1,0,0,0,6,4,25,0,,0.00,4,10.5,10,1,0,0,0,7,4,25,0,Tried to decrease guesses,0.00,4,8.17,8,1,0,0,0,8
10,wvg0kp59,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-31 09:09:02.303078+00:00,1,A1YKNDE6X7ZYET,3NPFYT4IZDNKJLHI4V6EN5XOGVZXGG,0.00,$1.00,67j20hyb,,,30ZKOOGW2WP9X9LSL0OV8RMWPN1A1K,3BH1IVA3WKG21Q5K5GKRDZWNV5FR1Q,,0,$1.00,0.01,10,0,1,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,,0,,0.00,1,,,,0,0,0,1,10,,0,,0.00,1,,,,0,0,0,2,10,,0,,0.00,1,,,,0,0,0,3,10,,0,,0.00,1,,,,0,0,0,4,10,,0,,0.00,1,,,,0,0,0,5,10,,0,,0.00,1,,,,0,0,0,6,10,,0,,0.00,1,,,,0,0,0,7,10,,0,,0.00,1,,,,0,0,0,8
