session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,zj6ku5wo,1,consent,Consent,1517224790,104,1,False
1,1,zj6ku5wo,17,GoR_4_4,WaitForPartnersPage,1517224812,22,1,False
1,1,zj6ku5wo,18,GoR_4_4,Introduction,1517224841,29,1,False
1,1,zj6ku5wo,19,GoR_4_4,Guess,1517224850,9,1,False
1,1,zj6ku5wo,20,GoR_4_4,ResultsWaitPage,1517224865,15,1,False
1,1,zj6ku5wo,21,GoR_4_4,Results,1517224920,55,1,False
1,1,zj6ku5wo,26,GoR_4_4,Guess,1517224923,3,2,False
1,1,zj6ku5wo,27,GoR_4_4,ResultsWaitPage,1517224935,12,2,False
1,1,zj6ku5wo,28,GoR_4_4,Results,1517224962,27,2,False
1,1,zj6ku5wo,33,GoR_4_4,Guess,1517224964,2,3,False
1,1,zj6ku5wo,34,GoR_4_4,ResultsWaitPage,1517225038,74,3,False
1,1,zj6ku5wo,41,GoR_4_4,ResultsWaitPage,1517225038,0,4,False
1,1,zj6ku5wo,48,GoR_4_4,ResultsWaitPage,1517225039,1,5,False
1,1,zj6ku5wo,55,GoR_4_4,ResultsWaitPage,1517225039,0,6,False
1,1,zj6ku5wo,62,GoR_4_4,ResultsWaitPage,1517225039,0,7,False
1,1,zj6ku5wo,69,GoR_4_4,ResultsWaitPage,1517225040,1,8,False
1,1,zj6ku5wo,72,GoR_4_4,TerminateTimeouts,1517225076,36,8,False
1,2,xg2kpcgy,1,consent,Consent,1517224804,116,1,False
1,2,xg2kpcgy,17,GoR_4_4,WaitForPartnersPage,1517224812,8,1,False
1,2,xg2kpcgy,18,GoR_4_4,Introduction,1517224852,40,1,False
1,2,xg2kpcgy,19,GoR_4_4,Guess,1517224854,2,1,False
1,2,xg2kpcgy,20,GoR_4_4,ResultsWaitPage,1517224865,11,1,False
1,2,xg2kpcgy,21,GoR_4_4,Results,1517224925,60,1,True
1,2,xg2kpcgy,26,GoR_4_4,Guess,1517224928,3,2,False
1,2,xg2kpcgy,27,GoR_4_4,ResultsWaitPage,1517224935,7,2,False
1,2,xg2kpcgy,28,GoR_4_4,Results,1517224959,24,2,False
1,2,xg2kpcgy,33,GoR_4_4,Guess,1517224960,1,3,False
1,2,xg2kpcgy,34,GoR_4_4,ResultsWaitPage,1517225038,78,3,False
1,2,xg2kpcgy,41,GoR_4_4,ResultsWaitPage,1517225038,0,4,False
1,2,xg2kpcgy,48,GoR_4_4,ResultsWaitPage,1517225039,1,5,False
1,2,xg2kpcgy,55,GoR_4_4,ResultsWaitPage,1517225039,0,6,False
1,2,xg2kpcgy,62,GoR_4_4,ResultsWaitPage,1517225040,1,7,False
1,2,xg2kpcgy,69,GoR_4_4,ResultsWaitPage,1517225040,0,8,False
1,2,xg2kpcgy,72,GoR_4_4,TerminateTimeouts,1517225072,32,8,False
1,3,jutn7azf,1,consent,Consent,1517224808,119,1,False
1,3,jutn7azf,17,GoR_4_4,WaitForPartnersPage,1517224812,4,1,False
1,3,jutn7azf,18,GoR_4_4,Introduction,1517224856,44,1,False
1,3,jutn7azf,19,GoR_4_4,Guess,1517224864,8,1,False
1,3,jutn7azf,20,GoR_4_4,ResultsWaitPage,1517224865,1,1,False
1,3,jutn7azf,21,GoR_4_4,Results,1517224925,60,1,True
1,3,jutn7azf,26,GoR_4_4,Guess,1517224932,7,2,False
1,3,jutn7azf,27,GoR_4_4,ResultsWaitPage,1517224935,3,2,False
1,3,jutn7azf,28,GoR_4_4,Results,1517224954,19,2,False
1,3,jutn7azf,33,GoR_4_4,Guess,1517224956,2,3,False
1,3,jutn7azf,34,GoR_4_4,ResultsWaitPage,1517225038,82,3,False
1,3,jutn7azf,41,GoR_4_4,ResultsWaitPage,1517225038,0,4,False
1,3,jutn7azf,48,GoR_4_4,ResultsWaitPage,1517225039,1,5,False
1,3,jutn7azf,55,GoR_4_4,ResultsWaitPage,1517225039,0,6,False
1,3,jutn7azf,62,GoR_4_4,ResultsWaitPage,1517225040,1,7,False
1,3,jutn7azf,69,GoR_4_4,ResultsWaitPage,1517225040,0,8,False
