participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_4_4.1.player.id_in_group,GoR_4_4.1.player.guess,GoR_4_4.1.player.is_winner,GoR_4_4.1.player.strategy_guess,GoR_4_4.1.player.payoff,GoR_4_4.1.group.id_in_subsession,GoR_4_4.1.group.two_thirds_avg,GoR_4_4.1.group.best_guess,GoR_4_4.1.group.num_winners,GoR_4_4.1.group.high,GoR_4_4.1.group.split,GoR_4_4.1.group.timeout,GoR_4_4.1.subsession.round_number,GoR_4_4.2.player.id_in_group,GoR_4_4.2.player.guess,GoR_4_4.2.player.is_winner,GoR_4_4.2.player.strategy_guess,GoR_4_4.2.player.payoff,GoR_4_4.2.group.id_in_subsession,GoR_4_4.2.group.two_thirds_avg,GoR_4_4.2.group.best_guess,GoR_4_4.2.group.num_winners,GoR_4_4.2.group.high,GoR_4_4.2.group.split,GoR_4_4.2.group.timeout,GoR_4_4.2.subsession.round_number,GoR_4_4.3.player.id_in_group,GoR_4_4.3.player.guess,GoR_4_4.3.player.is_winner,GoR_4_4.3.player.strategy_guess,GoR_4_4.3.player.payoff,GoR_4_4.3.group.id_in_subsession,GoR_4_4.3.group.two_thirds_avg,GoR_4_4.3.group.best_guess,GoR_4_4.3.group.num_winners,GoR_4_4.3.group.high,GoR_4_4.3.group.split,GoR_4_4.3.group.timeout,GoR_4_4.3.subsession.round_number,GoR_4_4.4.player.id_in_group,GoR_4_4.4.player.guess,GoR_4_4.4.player.is_winner,GoR_4_4.4.player.strategy_guess,GoR_4_4.4.player.payoff,GoR_4_4.4.group.id_in_subsession,GoR_4_4.4.group.two_thirds_avg,GoR_4_4.4.group.best_guess,GoR_4_4.4.group.num_winners,GoR_4_4.4.group.high,GoR_4_4.4.group.split,GoR_4_4.4.group.timeout,GoR_4_4.4.subsession.round_number,GoR_4_4.5.player.id_in_group,GoR_4_4.5.player.guess,GoR_4_4.5.player.is_winner,GoR_4_4.5.player.strategy_guess,GoR_4_4.5.player.payoff,GoR_4_4.5.group.id_in_subsession,GoR_4_4.5.group.two_thirds_avg,GoR_4_4.5.group.best_guess,GoR_4_4.5.group.num_winners,GoR_4_4.5.group.high,GoR_4_4.5.group.split,GoR_4_4.5.group.timeout,GoR_4_4.5.subsession.round_number,GoR_4_4.6.player.id_in_group,GoR_4_4.6.player.guess,GoR_4_4.6.player.is_winner,GoR_4_4.6.player.strategy_guess,GoR_4_4.6.player.payoff,GoR_4_4.6.group.id_in_subsession,GoR_4_4.6.group.two_thirds_avg,GoR_4_4.6.group.best_guess,GoR_4_4.6.group.num_winners,GoR_4_4.6.group.high,GoR_4_4.6.group.split,GoR_4_4.6.group.timeout,GoR_4_4.6.subsession.round_number,GoR_4_4.7.player.id_in_group,GoR_4_4.7.player.guess,GoR_4_4.7.player.is_winner,GoR_4_4.7.player.strategy_guess,GoR_4_4.7.player.payoff,GoR_4_4.7.group.id_in_subsession,GoR_4_4.7.group.two_thirds_avg,GoR_4_4.7.group.best_guess,GoR_4_4.7.group.num_winners,GoR_4_4.7.group.high,GoR_4_4.7.group.split,GoR_4_4.7.group.timeout,GoR_4_4.7.subsession.round_number,GoR_4_4.8.player.id_in_group,GoR_4_4.8.player.guess,GoR_4_4.8.player.is_winner,GoR_4_4.8.player.strategy_guess,GoR_4_4.8.player.payoff,GoR_4_4.8.group.id_in_subsession,GoR_4_4.8.group.two_thirds_avg,GoR_4_4.8.group.best_guess,GoR_4_4.8.group.num_winners,GoR_4_4.8.group.high,GoR_4_4.8.group.split,GoR_4_4.8.group.timeout,GoR_4_4.8.subsession.round_number
1,e73te21v,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:26.355260+00:00,1,A23KAJRDVCVGOE,3HWRJOOET6LE3QZS4QA3OUVKOZ9ESX,0.69,$1.69,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,4,44,1,,0.44,3,45.67,44,1,1,0,0,1,4,71,0,,0.00,3,44.17,29,1,1,0,0,2,4,49,0,,0.00,3,37.67,44,2,1,0,0,3,4,25,1,,0.25,3,24.83,25,1,1,0,0,4,4,31,0,,0.00,3,22.67,27,1,1,0,0,5,4,87,0,,0.00,3,28.67,23,1,1,0,0,6,4,56,0,,0.00,3,33.5,30,1,1,0,0,7,4,41,0,i wanted it to be a number right in the middle of a hundred because most people would average out right in the middle,0.00,3,27.67,35,1,1,0,0,8
2,660eicjw,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:28.628117+00:00,1,AJ1KIUTXPW6T1,3GDTJDAPVVUUWUCW7QSHKB0SL7TM8U,0.39,$1.39,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,2,1,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,4,20,1,,0.20,5,23.17,20,1,0,1,0,1,4,30,0,,0.00,5,22.0,16,1,0,1,0,2,4,25,0,,0.00,5,19.5,16,1,0,1,0,3,4,20,0,,0.00,5,14.83,16,1,0,1,0,4,4,12,1,,0.12,5,12.5,12,1,0,1,0,5,4,14,1,,0.07,5,22.67,14,2,0,1,0,6,4,13,0,,0.00,5,18.17,14,1,0,1,0,7,4,16,0,Kept it lower than other players,0.00,5,12.67,14,1,0,1,0,8
3,v915zc96,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:28.787542+00:00,1,A4IH4CO046EV3,3WT783CTPC00P6YCXDID8HLHZZACB1,0.28,$1.28,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,4,69,0,,0.00,9,44.0,25,1,0,1,0,1,4,40,0,,0.00,9,27.5,25,1,0,1,0,2,4,30,0,,0.00,9,19.17,25,1,0,1,0,3,4,15,1,,0.15,9,14.0,15,1,0,1,0,4,4,12,0,,0.00,9,9.0,10,1,0,1,0,5,4,30,0,,0.00,9,9.67,8,1,0,1,0,6,4,8,1,,0.08,9,7.67,8,1,0,1,0,7,4,5,1,Follow the trend!,0.05,9,6.83,5,1,0,1,0,8
4,699wnvk8,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:28.924688+00:00,1,A1FW68HLKWGLGW,3H0W84IWBLL22BZFP1AYYKQO2XQER9,0.00,$1.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,4,0,1,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,4,,0,,0.00,1,,,,0,0,0,1,4,,0,,0.00,1,,,,0,0,0,2,4,,0,,0.00,1,,,,0,0,0,3,4,,0,,0.00,1,,,,0,0,0,4,4,,0,,0.00,1,,,,0,0,0,5,4,,0,,0.00,1,,,,0,0,0,6,4,,0,,0.00,1,,,,0,0,0,7,4,,0,,0.00,1,,,,0,0,0,8
5,t61zlwle,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:29.740806+00:00,1,A3GEHH49HNJM57,33ISQZVXPQ5JZBQIBDE8J1RZHKACC8,1.00,$2.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,4,23,0,,0.00,6,42.17,55,1,1,1,0,1,4,41,1,,0.50,6,35.17,41,1,1,1,0,2,4,62,0,,0.00,6,34.17,43,1,1,1,0,3,4,39,0,,0.00,6,25.33,35,1,1,1,0,4,4,72,0,,0.00,6,26.5,27,1,1,1,0,5,4,55,0,,0.00,6,23.0,25,1,1,1,0,6,4,20,1,,0.50,6,14.67,20,1,1,1,0,7,4,30,0,I tried to guess the best number that was assuming that the 2/3 average was decreasing as the rounds went on.,0.00,6,12.17,11,1,1,1,0,8
6,xhohowcr,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:30.943298+00:00,1,AZ9BU8QI4YKF3,3300DTYQT302QAKFCMLYTUGJ6BOEQ8,0.00,$1.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,6,0,1,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,6,,0,,0.00,1,,,,0,0,0,1,6,,0,,0.00,1,,,,0,0,0,2,6,,0,,0.00,1,,,,0,0,0,3,6,,0,,0.00,1,,,,0,0,0,4,6,,0,,0.00,1,,,,0,0,0,5,6,,0,,0.00,1,,,,0,0,0,6,6,,0,,0.00,1,,,,0,0,0,7,6,,0,,0.00,1,,,,0,0,0,8
7,dorv3llr,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:37.693478+00:00,1,A1ZYC0DLTRR6IU,32KTQ2V7REYUAZV6CIYVK7V35DBM9J,1.00,$2.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,4,40,0,,0.00,2,26.33,33,1,1,1,0,1,4,13,1,,0.50,2,22.0,13,1,1,1,0,2,4,5,0,,0.00,2,21.83,30,1,1,1,0,3,4,20,0,,0.00,2,22.67,22,1,1,1,0,4,4,60,0,,0.00,2,21.33,22,1,1,1,0,5,4,25,0,,0.00,2,16.0,22,1,1,1,0,6,4,12,1,,0.50,2,13.5,12,1,1,1,0,7,4,21,0,Pick lower numbers,0.00,2,12.5,12,1,1,1,0,8
8,7ix26mbr,,0,2,72,consent,1,BlockDropouts,172.16.176.137,2018-01-30 13:14:35.268969+00:00,1,A3CCYU8Z73AQUI,3GGAI1SQEWHW8X29O28MMXWBBYEMC0,0.00,$1.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,8,0,1,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,8,,0,,0.00,1,,,,0,0,0,1,8,,0,,0.00,1,,,,0,0,0,2,8,,0,,0.00,1,,,,0,0,0,3,8,,0,,0.00,1,,,,0,0,0,4,8,,0,,0.00,1,,,,0,0,0,5,8,,0,,0.00,1,,,,0,0,0,6,8,,0,,0.00,1,,,,0,0,0,7,8,,0,,0.00,1,,,,0,0,0,8
9,ybu32tva,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:35.486130+00:00,1,AAWX7QFQUNM6D,3LPW2N6LKULUMKY3IUC0Z17VW3VU5S,1.21,$2.21,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,4,50,0,,0.00,4,38.33,32,1,0,0,0,1,4,37,1,,0.37,4,31.5,37,1,0,0,0,2,4,30,0,,0.00,4,19.83,22,1,0,0,0,3,4,17,0,,0.00,4,24.17,23,1,0,0,0,4,4,25,1,,0.25,4,28.83,25,1,0,0,0,5,4,27,1,,0.27,4,29.5,27,1,0,0,0,6,4,32,1,,0.32,4,31.33,32,1,0,0,0,7,4,34,0,I based my prediction closer to the previous result.,0.00,4,15.83,30,1,0,0,0,8
10,frr04ftv,,0,73,72,GoR_4_4,8,TerminateTimeouts,172.16.176.137,2018-01-30 13:14:37.068260+00:00,1,A2PI1MKBFRHGNK,3LYA37P8IR6I84A0PQZBW0YP48JKBM,1.00,$2.00,v5djnhcz,,,3PUV2Q8SV4N88E6W778M447BW1ABDP,3XQ5ITPVVXV3Y92TUKF1EF5DR25QTY,,0,$1.00,0.01,10,1,0,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,1,33,1,,0.50,2,26.33,33,1,1,1,0,1,1,48,0,,0.00,2,22.0,13,1,1,1,0,2,1,36,0,,0.00,2,21.83,30,1,1,1,0,3,1,64,0,,0.00,2,22.67,22,1,1,1,0,4,1,18,0,,0.00,2,21.33,22,1,1,1,0,5,1,24,0,,0.00,2,16.0,22,1,1,1,0,6,1,22,0,,0.00,2,13.5,12,1,1,1,0,7,1,12,1,no speciific strategy just guessed low ,0.50,2,12.5,12,1,1,1,0,8
