session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
3,1,9efx7w65,1,consent,Consent,1516470876,49,17,False
3,1,9efx7w65,17,GoR_8,WaitForPartnersPage,1516470880,4,17,False
3,1,9efx7w65,18,GoR_8,Introduction,1516470917,37,17,False
3,1,9efx7w65,19,GoR_8,Guess,1516470924,7,17,False
3,1,9efx7w65,20,GoR_8,ResultsWaitPage,1516470957,33,17,False
3,1,9efx7w65,21,GoR_8,Results,1516470977,20,17,False
3,1,9efx7w65,25,GoR_8,Guess,1516471000,23,18,False
3,1,9efx7w65,26,GoR_8,ResultsWaitPage,1516471001,1,18,False
3,1,9efx7w65,27,GoR_8,Results,1516471015,14,18,False
3,1,9efx7w65,31,GoR_8,Guess,1516471020,5,19,False
3,1,9efx7w65,32,GoR_8,ResultsWaitPage,1516471027,7,19,False
3,1,9efx7w65,33,GoR_8,Results,1516471043,16,19,False
3,1,9efx7w65,37,GoR_8,Guess,1516471058,15,20,False
3,1,9efx7w65,38,GoR_8,ResultsWaitPage,1516471065,7,20,False
3,1,9efx7w65,39,GoR_8,Results,1516471079,14,20,False
3,1,9efx7w65,43,GoR_8,Guess,1516471086,7,21,False
3,1,9efx7w65,44,GoR_8,ResultsWaitPage,1516471088,2,21,False
3,1,9efx7w65,45,GoR_8,Results,1516471096,8,21,False
3,1,9efx7w65,49,GoR_8,Guess,1516471099,3,22,False
3,1,9efx7w65,50,GoR_8,ResultsWaitPage,1516471138,39,22,False
3,1,9efx7w65,51,GoR_8,Results,1516471157,19,22,False
3,1,9efx7w65,55,GoR_8,Guess,1516471173,16,23,False
3,1,9efx7w65,56,GoR_8,ResultsWaitPage,1516471174,1,23,False
3,1,9efx7w65,57,GoR_8,Results,1516471181,7,23,False
3,1,9efx7w65,61,GoR_8,Guess,1516471187,6,24,False
3,1,9efx7w65,62,GoR_8,ResultsWaitPage,1516471197,10,24,False
3,1,9efx7w65,64,GoR_8,FinalResultsAndDebrief,1516471268,71,24,False
3,2,z6nna0j6,1,consent,Consent,1516471563,733,17,True
3,3,tuhb2572,1,consent,Consent,1516472391,1560,17,True
3,4,8qlgfabf,1,consent,Consent,1516470906,71,17,False
3,4,8qlgfabf,17,GoR_8,WaitForPartnersPage,1516470922,16,17,False
3,4,8qlgfabf,18,GoR_8,Introduction,1516470999,77,17,False
3,4,8qlgfabf,19,GoR_8,Guess,1516471013,14,17,False
3,4,8qlgfabf,20,GoR_8,ResultsWaitPage,1516471013,0,17,False
3,4,8qlgfabf,21,GoR_8,Results,1516471041,28,17,False
3,4,8qlgfabf,25,GoR_8,Guess,1516471057,16,18,False
3,4,8qlgfabf,26,GoR_8,ResultsWaitPage,1516471057,0,18,False
3,4,8qlgfabf,27,GoR_8,Results,1516471067,10,18,False
3,4,8qlgfabf,31,GoR_8,Guess,1516471073,6,19,False
3,4,8qlgfabf,32,GoR_8,ResultsWaitPage,1516471291,218,19,False
3,4,8qlgfabf,33,GoR_8,Results,1516471353,62,19,True
3,4,8qlgfabf,37,GoR_8,Guess,1516471365,12,20,False
3,5,h8lb8lwd,1,consent,Consent,1516470867,32,17,False
3,5,h8lb8lwd,17,GoR_8,WaitForPartnersPage,1516470871,4,17,False
3,5,h8lb8lwd,18,GoR_8,Introduction,1516470905,34,17,False
3,5,h8lb8lwd,19,GoR_8,Guess,1516470924,19,17,False
3,5,h8lb8lwd,20,GoR_8,ResultsWaitPage,1516470924,0,17,False
3,5,h8lb8lwd,21,GoR_8,Results,1516470937,13,17,False
3,5,h8lb8lwd,25,GoR_8,Guess,1516470949,12,18,False
3,5,h8lb8lwd,26,GoR_8,ResultsWaitPage,1516470968,19,18,False
3,5,h8lb8lwd,27,GoR_8,Results,1516470980,12,18,False
3,5,h8lb8lwd,31,GoR_8,Guess,1516470991,11,19,False
3,5,h8lb8lwd,32,GoR_8,ResultsWaitPage,1516470994,3,19,False
3,5,h8lb8lwd,33,GoR_8,Results,1516470999,5,19,False
3,5,h8lb8lwd,37,GoR_8,Guess,1516471004,5,20,False
3,5,h8lb8lwd,38,GoR_8,ResultsWaitPage,1516471019,15,20,False
3,5,h8lb8lwd,39,GoR_8,Results,1516471023,4,20,False
3,5,h8lb8lwd,43,GoR_8,Guess,1516471031,8,21,False
3,5,h8lb8lwd,44,GoR_8,ResultsWaitPage,1516471035,4,21,False
3,5,h8lb8lwd,45,GoR_8,Results,1516471046,11,21,False
3,5,h8lb8lwd,49,GoR_8,Guess,1516471059,13,22,False
3,5,h8lb8lwd,50,GoR_8,ResultsWaitPage,1516471071,12,22,False
3,5,h8lb8lwd,51,GoR_8,Results,1516471082,11,22,False
3,5,h8lb8lwd,55,GoR_8,Guess,1516471090,8,23,False
3,5,h8lb8lwd,56,GoR_8,ResultsWaitPage,1516471093,3,23,False
