participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_8.1.player.id_in_group,GoR_8.1.player.guess,GoR_8.1.player.is_winner,GoR_8.1.player.strategy_guess,GoR_8.1.player.timeout,GoR_8.1.player.payoff,GoR_8.1.group.id_in_subsession,GoR_8.1.group.two_thirds_avg,GoR_8.1.group.best_guess,GoR_8.1.group.num_winners,GoR_8.1.group.high_info,GoR_8.1.group.split,GoR_8.1.subsession.round_number,GoR_8.2.player.id_in_group,GoR_8.2.player.guess,GoR_8.2.player.is_winner,GoR_8.2.player.strategy_guess,GoR_8.2.player.timeout,GoR_8.2.player.payoff,GoR_8.2.group.id_in_subsession,GoR_8.2.group.two_thirds_avg,GoR_8.2.group.best_guess,GoR_8.2.group.num_winners,GoR_8.2.group.high_info,GoR_8.2.group.split,GoR_8.2.subsession.round_number,GoR_8.3.player.id_in_group,GoR_8.3.player.guess,GoR_8.3.player.is_winner,GoR_8.3.player.strategy_guess,GoR_8.3.player.timeout,GoR_8.3.player.payoff,GoR_8.3.group.id_in_subsession,GoR_8.3.group.two_thirds_avg,GoR_8.3.group.best_guess,GoR_8.3.group.num_winners,GoR_8.3.group.high_info,GoR_8.3.group.split,GoR_8.3.subsession.round_number,GoR_8.4.player.id_in_group,GoR_8.4.player.guess,GoR_8.4.player.is_winner,GoR_8.4.player.strategy_guess,GoR_8.4.player.timeout,GoR_8.4.player.payoff,GoR_8.4.group.id_in_subsession,GoR_8.4.group.two_thirds_avg,GoR_8.4.group.best_guess,GoR_8.4.group.num_winners,GoR_8.4.group.high_info,GoR_8.4.group.split,GoR_8.4.subsession.round_number,GoR_8.5.player.id_in_group,GoR_8.5.player.guess,GoR_8.5.player.is_winner,GoR_8.5.player.strategy_guess,GoR_8.5.player.timeout,GoR_8.5.player.payoff,GoR_8.5.group.id_in_subsession,GoR_8.5.group.two_thirds_avg,GoR_8.5.group.best_guess,GoR_8.5.group.num_winners,GoR_8.5.group.high_info,GoR_8.5.group.split,GoR_8.5.subsession.round_number,GoR_8.6.player.id_in_group,GoR_8.6.player.guess,GoR_8.6.player.is_winner,GoR_8.6.player.strategy_guess,GoR_8.6.player.timeout,GoR_8.6.player.payoff,GoR_8.6.group.id_in_subsession,GoR_8.6.group.two_thirds_avg,GoR_8.6.group.best_guess,GoR_8.6.group.num_winners,GoR_8.6.group.high_info,GoR_8.6.group.split,GoR_8.6.subsession.round_number,GoR_8.7.player.id_in_group,GoR_8.7.player.guess,GoR_8.7.player.is_winner,GoR_8.7.player.strategy_guess,GoR_8.7.player.timeout,GoR_8.7.player.payoff,GoR_8.7.group.id_in_subsession,GoR_8.7.group.two_thirds_avg,GoR_8.7.group.best_guess,GoR_8.7.group.num_winners,GoR_8.7.group.high_info,GoR_8.7.group.split,GoR_8.7.subsession.round_number,GoR_8.8.player.id_in_group,GoR_8.8.player.guess,GoR_8.8.player.is_winner,GoR_8.8.player.strategy_guess,GoR_8.8.player.timeout,GoR_8.8.player.payoff,GoR_8.8.group.id_in_subsession,GoR_8.8.group.two_thirds_avg,GoR_8.8.group.best_guess,GoR_8.8.group.num_winners,GoR_8.8.group.high_info,GoR_8.8.group.split,GoR_8.8.subsession.round_number
1,wjl3jnoh,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:51.335246+00:00,1,AVJUIF9QHQRY8,3IKZ72A5B5Z9TR7JR5DN7I6EDOSFNQ,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,8,19,0,,0,0.00,4,39.0,44,1,1,0,1,8,55,0,,0,0.00,4,35.92,31,2,1,0,2,8,71,0,,0,0.00,4,27.42,30,1,1,0,3,8,25,0,,0,0.00,4,18.92,24,1,1,0,4,8,33,0,,0,0.00,4,15.42,15,1,1,0,5,8,20,0,,0,0.00,4,11.58,12,1,1,0,6,8,5,0,,0,0.00,4,14.33,14,1,1,0,7,8,12,0,Tried to look for a pattern or look for average in numbers picked.,0,0.00,4,23.75,18,1,1,0,8
2,ycrfmmd2,,0,1,64,consent,1,Consent,172.16.176.137,2018-01-20 15:11:51.693262+00:00,1,A129DU6FOHUVNO,3P529IW9KZ4J5R4YFSX8UQ2P8TSFLO,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,2,0,0,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,,0,,0,0.00,1,,,,0,0,1,2,,0,,0,0.00,1,,,,0,0,2,2,,0,,0,0.00,1,,,,0,0,3,2,,0,,0,0.00,1,,,,0,0,4,2,,0,,0,0.00,1,,,,0,0,5,2,,0,,0,0.00,1,,,,0,0,6,2,,0,,0,0.00,1,,,,0,0,7,2,,0,,0,0.00,1,,,,0,0,8
3,bnuxnp1m,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:52.937698+00:00,1,A1ZT30BGR3266K,3JC6VJ2SAC2A7BK5CPV9Z0V1PNFA5I,0.21,$2.21,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,3,1,0,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,2,45,0,,0,0.00,2,32.25,30,1,0,1,1,2,62,0,,0,0.00,2,25.33,30,1,0,1,2,2,33,0,,0,0.00,2,21.83,20,1,0,1,3,2,21,1,,0,0.21,2,23.33,21,1,0,1,4,2,40,0,,0,0.00,2,16.33,19,3,0,1,5,2,22,0,,0,0.00,2,18.83,19,2,0,1,6,2,20,0,,0,0.00,2,13.25,18,2,0,1,7,2,19,0,I tried to choose a number that was close to what the median had been in a previous round.,0,0.00,2,11.25,14,2,0,1,8
4,n7z6rr6j,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:52.972421+00:00,1,A1EKUJGMFDI1RZ,3FTYUGLFSV485INHWZMBP137AQCD5N,0.67,$2.67,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,7,66,0,,0,0.00,4,39.0,44,1,1,0,1,7,31,1,,0,0.31,4,35.92,31,2,1,0,2,7,35,0,,0,0.00,4,27.42,30,1,1,0,3,7,24,1,,0,0.24,4,18.92,24,1,1,0,4,7,8,0,,0,0.00,4,15.42,15,1,1,0,5,7,12,1,,0,0.12,4,11.58,12,1,1,0,6,7,12,0,,0,0.00,4,14.33,14,1,1,0,7,7,100,0,"Trying to get the right answer so that I'd win the bonus. Generally I just guessed about 2/3 of the previous average. At the end I guessed 100 just to try and get the bonus back up, but it was the last round so it didn't matter.",0,0.00,4,23.75,18,1,1,0,8
5,rva3zi2q,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:52.960300+00:00,1,A1GRPIBHW72HDU,3KOPY89HM9LIUP05SCKTD2001EI3J1,0.37,$2.37,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,8,85,0,,0,0.00,3,37.0,33,2,0,0,1,8,38,0,,0,0.00,3,31.08,37,1,0,0,2,8,33,0,,0,0.00,3,23.42,19,1,0,0,3,8,27,0,,0,0.00,3,15.67,15,1,0,0,4,8,21,0,,0,0.00,3,15.67,15,1,0,0,5,8,14,1,,0,0.14,3,10.5,14,1,0,0,6,8,11,0,,0,0.00,3,23.42,30,1,0,0,7,8,23,1,"I tried to see what the averages were and what people were guessing. The first round I tried putting a high number thinking everyone would have high numbers, but then I realized the numbers were going to be much lower so I started guessing lower numbers. ",0,0.23,3,23.25,23,2,0,0,8
6,dkmkev97,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:53.450720+00:00,1,A1OPSHV7LWGBUY,3KWTYT0871MR3UB99GKZ8EBCJZE5LV,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,8,28,0,,0,0.00,2,32.25,30,1,0,1,1,8,37,0,,0,0.00,2,25.33,30,1,0,1,2,8,9,0,,0,0.00,2,21.83,20,1,0,1,3,8,85,0,,0,0.00,2,23.33,21,1,0,1,4,8,21,0,,0,0.00,2,16.33,19,3,0,1,5,8,18,0,,0,0.00,2,18.83,19,2,0,1,6,8,25,0,,0,0.00,2,13.25,18,2,0,1,7,8,19,0,I tried to pick a number that was close to what other people picked.,0,0.00,2,11.25,14,2,0,1,8
7,sl14f17e,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 15:11:53.372283+00:00,1,A1CA46R2A6TV9W,3FIJLY1B6VN9WCJW7KQFB7B9D3TFPM,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,7,0,1,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,,0,,0,0.00,1,,,,0,0,1,7,,0,,0,0.00,1,,,,0,0,2,7,,0,,0,0.00,1,,,,0,0,3,7,,0,,0,0.00,1,,,,0,0,4,7,,0,,0,0.00,1,,,,0,0,5,7,,0,,0,0.00,1,,,,0,0,6,7,,0,,0,0.00,1,,,,0,0,7,7,,0,,0,0.00,1,,,,0,0,8
8,f2u2bmfj,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 15:11:53.969461+00:00,1,A8028AFBBS29G,3BV8HQ2ZZXK6QFKJH85ER691LIQA6Y,0.16,$2.16,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,7,65,0,,0,0.00,2,32.25,30,1,0,1,1,7,45,0,,0,0.00,2,25.33,30,1,0,1,2,7,32,0,,0,0.00,2,21.83,20,1,0,1,3,7,15,0,,0,0.00,2,23.33,21,1,0,1,4,7,19,1,,0,0.06,2,16.33,19,3,0,1,5,7,19,1,,0,0.10,2,18.83,19,2,0,1,6,7,19,0,,0,0.00,2,13.25,18,2,0,1,7,7,15,0,I tried to go near the average with each guess,0,0.00,2,11.25,14,2,0,1,8
9,mg3rfui4,,0,17,64,GoR_8,1,WaitForPartnersPage,172.16.176.137,2018-01-20 15:11:54.281186+00:00,1,A1USR9JCAMDGM3,3F0BG9B9MQ6QQXWRGOOM06R4JKD7Y4,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,9,1,0,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,,0,,0,0.00,1,,,,0,0,1,9,,0,,0,0.00,1,,,,0,0,2,9,,0,,0,0.00,1,,,,0,0,3,9,,0,,0,0.00,1,,,,0,0,4,9,,0,,0,0.00,1,,,,0,0,5,9,,0,,0,0.00,1,,,,0,0,6,9,,0,,0,0.00,1,,,,0,0,7,9,,0,,0,0.00,1,,,,0,0,8
10,04js45dn,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 15:11:55.038240+00:00,1,A3N6DWJC7P3HSI,3QEMNNSB2YINSM10KS18NLH31W7D72,0.00,$2.00,a6izsom3,,,3SCKNODZ0XZUSEUJJKA9V7X9RDSN70,3YBH5XUK84M27JIUG303DJN87IXXUP,,0,0.01,$2.00,10,0,1,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,,0,,0,0.00,1,,,,0,0,1,10,,0,,0,0.00,1,,,,0,0,2,10,,0,,0,0.00,1,,,,0,0,3,10,,0,,0,0.00,1,,,,0,0,4,10,,0,,0,0.00,1,,,,0,0,5,10,,0,,0,0.00,1,,,,0,0,6,10,,0,,0,0.00,1,,,,0,0,7,10,,0,,0,0.00,1,,,,0,0,8
