participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,GoR_8.1.player.id_in_group,GoR_8.1.player.guess,GoR_8.1.player.is_winner,GoR_8.1.player.strategy_guess,GoR_8.1.player.timeout,GoR_8.1.player.payoff,GoR_8.1.group.id_in_subsession,GoR_8.1.group.two_thirds_avg,GoR_8.1.group.best_guess,GoR_8.1.group.num_winners,GoR_8.1.group.high_info,GoR_8.1.group.split,GoR_8.1.subsession.round_number,GoR_8.2.player.id_in_group,GoR_8.2.player.guess,GoR_8.2.player.is_winner,GoR_8.2.player.strategy_guess,GoR_8.2.player.timeout,GoR_8.2.player.payoff,GoR_8.2.group.id_in_subsession,GoR_8.2.group.two_thirds_avg,GoR_8.2.group.best_guess,GoR_8.2.group.num_winners,GoR_8.2.group.high_info,GoR_8.2.group.split,GoR_8.2.subsession.round_number,GoR_8.3.player.id_in_group,GoR_8.3.player.guess,GoR_8.3.player.is_winner,GoR_8.3.player.strategy_guess,GoR_8.3.player.timeout,GoR_8.3.player.payoff,GoR_8.3.group.id_in_subsession,GoR_8.3.group.two_thirds_avg,GoR_8.3.group.best_guess,GoR_8.3.group.num_winners,GoR_8.3.group.high_info,GoR_8.3.group.split,GoR_8.3.subsession.round_number,GoR_8.4.player.id_in_group,GoR_8.4.player.guess,GoR_8.4.player.is_winner,GoR_8.4.player.strategy_guess,GoR_8.4.player.timeout,GoR_8.4.player.payoff,GoR_8.4.group.id_in_subsession,GoR_8.4.group.two_thirds_avg,GoR_8.4.group.best_guess,GoR_8.4.group.num_winners,GoR_8.4.group.high_info,GoR_8.4.group.split,GoR_8.4.subsession.round_number,GoR_8.5.player.id_in_group,GoR_8.5.player.guess,GoR_8.5.player.is_winner,GoR_8.5.player.strategy_guess,GoR_8.5.player.timeout,GoR_8.5.player.payoff,GoR_8.5.group.id_in_subsession,GoR_8.5.group.two_thirds_avg,GoR_8.5.group.best_guess,GoR_8.5.group.num_winners,GoR_8.5.group.high_info,GoR_8.5.group.split,GoR_8.5.subsession.round_number,GoR_8.6.player.id_in_group,GoR_8.6.player.guess,GoR_8.6.player.is_winner,GoR_8.6.player.strategy_guess,GoR_8.6.player.timeout,GoR_8.6.player.payoff,GoR_8.6.group.id_in_subsession,GoR_8.6.group.two_thirds_avg,GoR_8.6.group.best_guess,GoR_8.6.group.num_winners,GoR_8.6.group.high_info,GoR_8.6.group.split,GoR_8.6.subsession.round_number,GoR_8.7.player.id_in_group,GoR_8.7.player.guess,GoR_8.7.player.is_winner,GoR_8.7.player.strategy_guess,GoR_8.7.player.timeout,GoR_8.7.player.payoff,GoR_8.7.group.id_in_subsession,GoR_8.7.group.two_thirds_avg,GoR_8.7.group.best_guess,GoR_8.7.group.num_winners,GoR_8.7.group.high_info,GoR_8.7.group.split,GoR_8.7.subsession.round_number,GoR_8.8.player.id_in_group,GoR_8.8.player.guess,GoR_8.8.player.is_winner,GoR_8.8.player.strategy_guess,GoR_8.8.player.timeout,GoR_8.8.player.payoff,GoR_8.8.group.id_in_subsession,GoR_8.8.group.two_thirds_avg,GoR_8.8.group.best_guess,GoR_8.8.group.num_winners,GoR_8.8.group.high_info,GoR_8.8.group.split,GoR_8.8.subsession.round_number
1,9efx7w65,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 17:53:47.749090+00:00,1,AHIJACUG7ZL9B,3K5TEWLKGWU6BNIIU45ZKWDJFJSIV7,0.43,$2.43,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,1,1,0,0.00,1,1,1,0,0,0.00,1,2,1,0,0,0.00,1,3,1,0,0,0.00,1,4,1,0,0,0.00,1,5,1,0,0,0.00,1,6,1,0,0,0.00,1,7,1,0,0,0.00,1,8,7,100,0,,0,0.00,3,42.42,45,1,0,0,1,7,60,0,,0,0.00,3,42.42,45,1,0,0,2,7,45,0,,0,0.00,3,31.0,35,1,0,0,3,7,35,0,,0,0.00,3,27.83,32,1,0,0,4,7,23,0,,0,0.00,3,26.5,25,1,0,0,5,7,23,1,,0,0.23,3,22.5,22,2,0,0,6,7,20,1,,0,0.20,3,19.67,20,3,0,0,7,7,18,0,I tried predicting what others would do based off past results.,0,0.00,3,12.33,10,1,0,0,8
2,z6nna0j6,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 17:53:50.678106+00:00,1,AWJUGWPCUGKEG,3LO69W1SU4WPJR0TQC3QCB2198YGLU,0.00,$2.00,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,2,0,1,0.00,1,1,2,0,0,0.00,1,2,2,0,0,0.00,1,3,2,0,0,0.00,1,4,2,0,0,0.00,1,5,2,0,0,0.00,1,6,2,0,0,0.00,1,7,2,0,0,0.00,1,8,2,,0,,0,0.00,1,,,,0,0,1,2,,0,,0,0.00,1,,,,0,0,2,2,,0,,0,0.00,1,,,,0,0,3,2,,0,,0,0.00,1,,,,0,0,4,2,,0,,0,0.00,1,,,,0,0,5,2,,0,,0,0.00,1,,,,0,0,6,2,,0,,0,0.00,1,,,,0,0,7,2,,0,,0,0.00,1,,,,0,0,8
3,tuhb2572,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 17:53:51.838977+00:00,1,AEO8NL8D28NQG,3DR23U6WE6XFIQC7TQFTYZR6Q55TET,0.00,$2.00,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,3,0,1,0.00,1,1,3,0,0,0.00,1,2,3,0,0,0.00,1,3,3,0,0,0.00,1,4,3,0,0,0.00,1,5,3,0,0,0.00,1,6,3,0,0,0.00,1,7,3,0,0,0.00,1,8,3,,0,,0,0.00,1,,,,0,0,1,3,,0,,0,0.00,1,,,,0,0,2,3,,0,,0,0.00,1,,,,0,0,3,3,,0,,0,0.00,1,,,,0,0,4,3,,0,,0,0.00,1,,,,0,0,5,3,,0,,0,0.00,1,,,,0,0,6,3,,0,,0,0.00,1,,,,0,0,7,3,,0,,0,0.00,1,,,,0,0,8
4,8qlgfabf,,0,38,64,GoR_8,4,ResultsWaitPage,172.16.176.137,2018-01-20 17:53:55.425926+00:00,1,AK5AFB4VLBCGK,32Q90QCQ1T4GF7MKZH11X84A7SEEK8,0.11,$2.11,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,4,1,0,0.00,1,1,4,0,0,0.00,1,2,4,0,0,0.00,1,3,4,0,0,0.00,1,4,4,0,0,0.00,1,5,4,0,0,0.00,1,6,4,0,0,0.00,1,7,4,0,0,0.00,1,8,6,7,0,,0,0.00,5,22.5,22,1,0,1,1,6,31,0,,0,0.00,5,26.75,23,2,0,1,2,6,22,1,,0,0.11,5,21.08,22,2,0,1,3,6,24,0,,0,0.00,5,,,,0,1,4,6,,0,,0,0.00,5,,,,0,1,5,6,,0,,0,0.00,5,,,,0,1,6,6,,0,,0,0.00,5,,,,0,1,7,6,,0,,0,0.00,5,,,,0,1,8
5,h8lb8lwd,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 17:53:55.422804+00:00,1,A21B78D7E5N17N,3HHRAGRYX9OIA2GIPYD8CBK8008O9S,0.45,$2.45,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,5,1,0,0.00,1,1,5,0,0,0.00,1,2,5,0,0,0.00,1,3,5,0,0,0.00,1,4,5,0,0,0.00,1,5,5,0,0,0.00,1,6,5,0,0,0.00,1,7,5,0,0,0.00,1,8,6,25,1,,0,0.25,2,31.92,25,1,0,1,1,6,15,0,,0,0.00,2,23.17,17,1,0,1,2,6,19,0,,0,0.00,2,25.42,25,1,0,1,3,6,18,0,,0,0.00,2,21.58,24,1,0,1,4,6,22,1,,0,0.11,2,15.75,22,2,0,1,5,6,18,1,,0,0.09,2,13.83,18,2,0,1,6,6,23,0,,0,0.00,2,11.33,10,1,0,1,7,6,11,0,I went along with the graph and tried to choose closest number.,0,0.00,2,8.0,9,1,0,1,8
6,2o31mwxj,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 17:53:56.088608+00:00,1,A1DCKRRPA4AWVD,3MB8LZR5BGCULDWCG3O5A3UUGPFLK2,0.34,$2.34,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,6,1,0,0.00,1,1,6,0,0,0.00,1,2,6,0,0,0.00,1,3,6,0,0,0.00,1,4,6,0,0,0.00,1,5,6,0,0,0.00,1,6,6,0,0,0.00,1,7,6,0,0,0.00,1,8,8,50,0,,0,0.00,2,31.92,25,1,0,1,1,8,50,0,,0,0.00,2,23.17,17,1,0,1,2,8,25,1,,0,0.25,2,25.42,25,1,0,1,3,8,25,0,,0,0.00,2,21.58,24,1,0,1,4,8,25,0,,0,0.00,2,15.75,22,2,0,1,5,8,20,0,,0,0.00,2,13.83,18,2,0,1,6,8,18,0,,0,0.00,2,11.33,10,1,0,1,7,8,9,1,Halving and then looking at the results and then gauging how to put in the next number.,0,0.09,2,8.0,9,1,0,1,8
7,qth535zo,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 17:53:58.103619+00:00,1,A3N0QZ9ZKUCTCQ,3YGXWBAF710G47D3IY8Q03FBPUBC4N,0.00,$2.00,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,7,1,0,0.00,1,1,7,0,0,0.00,1,2,7,0,0,0.00,1,3,7,0,0,0.00,1,4,7,0,0,0.00,1,5,7,0,0,0.00,1,6,7,0,0,0.00,1,7,7,0,0,0.00,1,8,7,82,0,,0,0.00,2,31.92,25,1,0,1,1,7,50,0,,0,0.00,2,23.17,17,1,0,1,2,7,63,0,,0,0.00,2,25.42,25,1,0,1,3,7,25,0,,0,0.00,2,21.58,24,1,0,1,4,7,24,0,,0,0.00,2,15.75,22,2,0,1,5,7,23,0,,0,0.00,2,13.83,18,2,0,1,6,7,20,0,,0,0.00,2,11.33,10,1,0,1,7,7,16,0,My strategy was basing my guess on a number that was fairly close to the previous round numbers as I noticed that others were making fairly similar guesses.,0,0.00,2,8.0,9,1,0,1,8
8,kpk4uxsq,,0,65,64,GoR_8,8,FinalResultsAndDebrief,172.16.176.137,2018-01-20 17:53:58.410397+00:00,1,A2VRDE2FHCBMF8,3ATTHHXXWB7YFCNDUJ6H8HA4VU0IXA,0.20,$2.20,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,8,1,0,0.00,1,1,8,0,0,0.00,1,2,8,0,0,0.00,1,3,8,0,0,0.00,1,4,8,0,0,0.00,1,5,8,0,0,0.00,1,6,8,0,0,0.00,1,7,8,0,0,0.00,1,8,5,100,0,,0,0.00,3,42.42,45,1,0,0,1,5,100,0,,0,0.00,3,42.42,45,1,0,0,2,5,50,0,,0,0.00,3,31.0,35,1,0,0,3,5,40,0,,0,0.00,3,27.83,32,1,0,0,4,5,30,0,,0,0.00,3,26.5,25,1,0,0,5,5,25,0,,0,0.00,3,22.5,22,2,0,0,6,5,20,1,,0,0.20,3,19.67,20,3,0,0,7,5,20,0,"I guess that we had different instructions, otherwise we would have always picked 100 and win 1 dollar every round. After trying to see if this strategy would have worked, I tried to go closer to the average, but I didn't do really well, I've been a little too greedy, so I got a small bonus. Patience.",0,0.00,3,12.33,10,1,0,0,8
9,qhpiidxs,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 17:54:00.006585+00:00,1,A1C0H8G0YI15MN,379J5II41PZRZD42KHD2C8HPWSJELB,0.00,$2.00,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,9,0,1,0.00,1,1,9,0,0,0.00,1,2,9,0,0,0.00,1,3,9,0,0,0.00,1,4,9,0,0,0.00,1,5,9,0,0,0.00,1,6,9,0,0,0.00,1,7,9,0,0,0.00,1,8,9,,0,,0,0.00,1,,,,0,0,1,9,,0,,0,0.00,1,,,,0,0,2,9,,0,,0,0.00,1,,,,0,0,3,9,,0,,0,0.00,1,,,,0,0,4,9,,0,,0,0.00,1,,,,0,0,5,9,,0,,0,0.00,1,,,,0,0,6,9,,0,,0,0.00,1,,,,0,0,7,9,,0,,0,0.00,1,,,,0,0,8
10,ov4oxwja,,0,2,64,consent,1,BlockDropouts,172.16.176.137,2018-01-20 17:54:02.580555+00:00,1,A3963FCT1PKKOH,3SBEHTYCWOMNFHDNZFSJRVHDX0UIYG,0.00,$2.00,d0690kca,,,3NRZ1LDP7WPDF9C2IUFKQGV31L6PZQ,3NYGPW9OUZAEK9AD0ZPU0YGK715PZK,,0,0.01,$2.00,10,0,1,0.00,1,1,10,0,0,0.00,1,2,10,0,0,0.00,1,3,10,0,0,0.00,1,4,10,0,0,0.00,1,5,10,0,0,0.00,1,6,10,0,0,0.00,1,7,10,0,0,0.00,1,8,10,,0,,0,0.00,1,,,,0,0,1,10,,0,,0,0.00,1,,,,0,0,2,10,,0,,0,0.00,1,,,,0,0,3,10,,0,,0,0.00,1,,,,0,0,4,10,,0,,0,0.00,1,,,,0,0,5,10,,0,,0,0.00,1,,,,0,0,6,10,,0,,0,0.00,1,,,,0,0,7,10,,0,,0,0.00,1,,,,0,0,8
