,group,round,id_in_group,split,high,guess,win,turker,strategy
0,1,1,1,1,1,24.0,1,A1HWB810RJBV2K,
1,1,1,2,1,1,63.0,0,A24UUWI8IIJKT6,
2,1,1,3,1,1,25.0,0,AZIDXMX2VZOTZ,
3,1,1,4,1,1,26.0,0,AEXYBW3COL9JM,
4,1,2,1,1,1,42.0,0,A1HWB810RJBV2K,
5,1,2,2,1,1,63.0,0,A24UUWI8IIJKT6,
6,1,2,3,1,1,40.0,0,AZIDXMX2VZOTZ,
7,1,2,4,1,1,20.0,1,AEXYBW3COL9JM,
8,1,3,1,1,1,28.0,0,A1HWB810RJBV2K,
9,1,3,2,1,1,32.0,0,A24UUWI8IIJKT6,
10,1,3,3,1,1,30.0,0,AZIDXMX2VZOTZ,
11,1,3,4,1,1,24.0,1,AEXYBW3COL9JM,
12,1,4,1,1,1,26.0,0,A1HWB810RJBV2K,
13,1,4,2,1,1,25.0,0,A24UUWI8IIJKT6,
14,1,4,3,1,1,19.0,1,AZIDXMX2VZOTZ,
15,1,4,4,1,1,22.0,0,AEXYBW3COL9JM,
16,1,5,1,1,1,25.0,0,A1HWB810RJBV2K,
17,1,5,2,1,1,12.0,1,A24UUWI8IIJKT6,
18,1,5,3,1,1,16.0,0,AZIDXMX2VZOTZ,
19,1,5,4,1,1,17.0,0,AEXYBW3COL9JM,
20,1,6,1,1,1,32.0,0,A1HWB810RJBV2K,
21,1,6,2,1,1,10.0,1,A24UUWI8IIJKT6,
22,1,6,3,1,1,8.0,0,AZIDXMX2VZOTZ,
23,1,6,4,1,1,9.0,0,AEXYBW3COL9JM,
24,1,7,1,1,1,6.0,1,A1HWB810RJBV2K,
25,1,7,2,1,1,8.0,0,A24UUWI8IIJKT6,
26,1,7,3,1,1,10.0,0,AZIDXMX2VZOTZ,
27,1,7,4,1,1,7.0,0,AEXYBW3COL9JM,
28,1,8,1,1,1,8.0,0,A1HWB810RJBV2K,i just tried to guess what the other players would do
29,1,8,2,1,1,2.0,0,A24UUWI8IIJKT6,Decrease guess every round
30,1,8,3,1,1,5.0,0,AZIDXMX2VZOTZ,Try to go with what I thought was coming next
31,1,8,4,1,1,3.0,1,AEXYBW3COL9JM,"guessed 25 to start, then progressively lower, taking into account other people's guesses"
32,2,1,1,1,1,55.0,0,ASS4LIVDW452F,
33,2,1,2,1,1,35.0,1,A26Y58YECZUZZG,
