,group,round,id_in_group,split,high,guess,win,turker
0,1,1,1,0,0,35.0,0,A344DR7QJ4E3UI
1,1,1,2,0,0,22.0,0,A2F7LX6PG5ZDRT
2,1,1,3,0,0,54.0,0,A1R6KJXNPC14AR
3,1,1,4,0,0,36.0,0,A11IYGHTR4XIGR
4,1,1,5,0,0,30.0,1,A12PONCME4OT50
5,1,1,6,0,0,57.0,0,A3I4PK485Z5QP9
6,1,1,7,0,0,45.0,0,A2VWS8YS3Y776R
7,1,1,8,0,0,37.0,0,A2AOBW5F65D5D
8,1,2,1,0,0,28.0,1,A344DR7QJ4E3UI
9,1,2,2,0,0,52.0,0,A2F7LX6PG5ZDRT
10,1,2,3,0,0,42.0,0,A1R6KJXNPC14AR
11,1,2,4,0,0,26.0,0,A11IYGHTR4XIGR
12,1,2,5,0,0,95.0,0,A12PONCME4OT50
13,1,2,6,0,0,35.0,0,A3I4PK485Z5QP9
14,1,2,7,0,0,15.0,0,A2VWS8YS3Y776R
15,1,2,8,0,0,78.0,0,A2AOBW5F65D5D
16,1,3,1,0,0,31.0,0,A344DR7QJ4E3UI
17,1,3,2,0,0,34.0,0,A2F7LX6PG5ZDRT
18,1,3,3,0,0,34.0,0,A1R6KJXNPC14AR
19,1,3,4,0,0,32.0,0,A11IYGHTR4XIGR
20,1,3,5,0,0,92.0,0,A12PONCME4OT50
21,1,3,6,0,0,25.0,1,A3I4PK485Z5QP9
22,1,3,7,0,0,32.0,0,A2VWS8YS3Y776R
23,1,3,8,0,0,30.0,0,A2AOBW5F65D5D
24,1,4,1,0,0,27.0,0,A344DR7QJ4E3UI
25,1,4,2,0,0,22.0,1,A2F7LX6PG5ZDRT
26,1,4,3,0,0,30.0,0,A1R6KJXNPC14AR
27,1,4,4,0,0,30.0,0,A11IYGHTR4XIGR
28,1,4,5,0,0,83.0,0,A12PONCME4OT50
29,1,4,6,0,0,25.0,0,A3I4PK485Z5QP9
30,1,4,7,0,0,22.0,1,A2VWS8YS3Y776R
31,1,4,8,0,0,27.0,0,A2AOBW5F65D5D
32,1,5,1,0,0,25.0,0,A344DR7QJ4E3UI
33,1,5,2,0,0,26.0,0,A2F7LX6PG5ZDRT
34,1,5,3,0,0,29.0,0,A1R6KJXNPC14AR
35,1,5,4,0,0,25.0,0,A11IYGHTR4XIGR
36,1,5,5,0,0,55.0,0,A12PONCME4OT50
37,1,5,6,0,0,20.0,1,A3I4PK485Z5QP9
38,1,5,7,0,0,20.0,1,A2VWS8YS3Y776R
39,1,5,8,0,0,23.0,0,A2AOBW5F65D5D
40,1,6,1,0,0,15.0,0,A344DR7QJ4E3UI
41,1,6,2,0,0,16.0,1,A2F7LX6PG5ZDRT
42,1,6,3,0,0,20.0,0,A1R6KJXNPC14AR
43,1,6,4,0,0,20.0,0,A11IYGHTR4XIGR
44,1,6,5,0,0,58.0,0,A12PONCME4OT50
45,1,6,6,0,0,20.0,0,A3I4PK485Z5QP9
46,1,6,7,0,0,23.0,0,A2VWS8YS3Y776R
47,1,6,8,0,0,15.0,0,A2AOBW5F65D5D
48,1,7,1,0,0,13.0,1,A344DR7QJ4E3UI
49,1,7,2,0,0,22.0,0,A2F7LX6PG5ZDRT
50,1,7,3,0,0,18.0,0,A1R6KJXNPC14AR
51,1,7,4,0,0,18.0,0,A11IYGHTR4XIGR
52,1,7,5,0,0,74.0,0,A12PONCME4OT50
53,1,7,6,0,0,10.0,0,A3I4PK485Z5QP9
54,1,7,7,0,0,12.0,0,A2VWS8YS3Y776R
55,1,7,8,0,0,13.0,1,A2AOBW5F65D5D
56,1,8,1,0,0,12.0,0,A344DR7QJ4E3UI
57,1,8,2,0,0,13.0,0,A2F7LX6PG5ZDRT
58,1,8,3,0,0,10.0,0,A1R6KJXNPC14AR
59,1,8,4,0,0,16.0,0,A11IYGHTR4XIGR
60,1,8,5,0,0,85.0,0,A12PONCME4OT50
61,1,8,6,0,0,10.0,0,A3I4PK485Z5QP9
62,1,8,7,0,0,14.0,1,A2VWS8YS3Y776R
63,1,8,8,0,0,11.0,0,A2AOBW5F65D5D
64,2,1,1,0,0,57.0,0,A18WPTVQPM9LBH
65,2,1,2,0,0,50.0,0,A11TY4VHBBJLJR
66,2,1,3,0,0,37.0,0,A8ZUM922CBH6S
67,2,1,4,0,0,33.0,1,A13V6ZYVF3A7EW
68,2,1,5,0,0,50.0,0,A3L2VS3998R77L
69,2,1,6,0,0,43.0,0,A360G5G0DVWU7X
70,2,1,7,0,0,70.0,0,A2DFXQ3QVQ9ELH
71,2,1,8,0,0,39.0,0,A21KGPIP2Y7HHS
72,2,2,1,0,0,35.0,0,A18WPTVQPM9LBH
73,2,2,2,0,0,49.0,0,A11TY4VHBBJLJR
74,2,2,3,0,0,30.0,1,A8ZUM922CBH6S
75,2,2,4,0,0,46.0,0,A13V6ZYVF3A7EW
76,2,2,5,0,0,40.0,0,A3L2VS3998R77L
77,2,2,6,0,0,35.0,0,A360G5G0DVWU7X
78,2,2,7,0,0,43.0,0,A2DFXQ3QVQ9ELH
79,2,2,8,0,0,47.0,0,A21KGPIP2Y7HHS
80,2,3,1,0,0,29.0,1,A18WPTVQPM9LBH
81,2,3,2,0,0,35.0,0,A11TY4VHBBJLJR
82,2,3,3,0,0,30.0,0,A8ZUM922CBH6S
83,2,3,4,0,0,41.0,0,A13V6ZYVF3A7EW
84,2,3,5,0,0,20.0,0,A3L2VS3998R77L
85,2,3,6,0,0,41.0,0,A360G5G0DVWU7X
86,2,3,7,0,0,32.0,0,A2DFXQ3QVQ9ELH
87,2,3,8,0,0,67.0,0,A21KGPIP2Y7HHS
88,2,4,1,0,0,29.0,0,A18WPTVQPM9LBH
89,2,4,2,0,0,33.0,0,A11TY4VHBBJLJR
90,2,4,3,0,0,22.0,0,A8ZUM922CBH6S
91,2,4,4,0,0,23.0,0,A13V6ZYVF3A7EW
92,2,4,5,0,0,20.0,1,A3L2VS3998R77L
93,2,4,6,0,0,73.0,0,A360G5G0DVWU7X
94,2,4,7,0,0,25.0,0,A2DFXQ3QVQ9ELH
95,2,4,8,0,0,23.0,0,A21KGPIP2Y7HHS
96,2,5,1,0,0,21.0,0,A18WPTVQPM9LBH
97,2,5,2,0,0,26.0,0,A11TY4VHBBJLJR
98,2,5,3,0,0,16.0,0,A8ZUM922CBH6S
99,2,5,4,0,0,15.0,1,A13V6ZYVF3A7EW
100,2,5,5,0,0,18.0,0,A3L2VS3998R77L
101,2,5,6,0,0,15.0,1,A360G5G0DVWU7X
102,2,5,7,0,0,25.0,0,A2DFXQ3QVQ9ELH
103,2,5,8,0,0,17.0,0,A21KGPIP2Y7HHS
104,2,6,1,0,0,18.0,0,A18WPTVQPM9LBH
105,2,6,2,0,0,17.0,0,A11TY4VHBBJLJR
106,2,6,3,0,0,8.0,0,A8ZUM922CBH6S
107,2,6,4,0,0,12.0,0,A13V6ZYVF3A7EW
108,2,6,5,0,0,10.0,1,A3L2VS3998R77L
