size,group,round,id_in_group,split,high,guess,win,payoff,turker,strategy
GoR_2,1,1,1,1,0,73.0,1,1.75,A1AWHHBTJF1XCH,
GoR_2,1,1,2,1,0,90.0,0,1.8,A3KSAP865D3L7D,
GoR_2,1,2,1,1,0,11.0,1,1.75,A1AWHHBTJF1XCH,
GoR_2,1,2,2,1,0,58.0,0,1.8,A3KSAP865D3L7D,
GoR_2,1,3,1,1,0,44.0,0,1.75,A1AWHHBTJF1XCH,
GoR_2,1,3,2,1,0,39.0,1,1.8,A3KSAP865D3L7D,
GoR_2,1,4,1,1,0,93.0,0,1.75,A1AWHHBTJF1XCH,
GoR_2,1,4,2,1,0,61.0,1,1.8,A3KSAP865D3L7D,
GoR_2,1,5,1,1,0,24.0,1,1.75,A1AWHHBTJF1XCH,
GoR_2,1,5,2,1,0,44.0,0,1.8,A3KSAP865D3L7D,
GoR_2,1,6,1,1,0,67.0,1,1.75,A1AWHHBTJF1XCH,
GoR_2,1,6,2,1,0,72.0,0,1.8,A3KSAP865D3L7D,
GoR_2,1,7,1,1,0,71.0,0,1.75,A1AWHHBTJF1XCH,
GoR_2,1,7,2,1,0,45.0,1,1.8,A3KSAP865D3L7D,
GoR_2,1,8,1,1,0,73.0,0,1.75,A1AWHHBTJF1XCH,"I guessed by using particular numbers like bdays, etc"
GoR_2,1,8,2,1,0,35.0,1,1.8,A3KSAP865D3L7D,Analysed opponents previous and guessed will he give value more than me or not. Its really good to play this kind of game. Thanks.
GoR_2,2,1,1,1,1,50.0,1,1.0,A4IX0UUC3A3GY,
GoR_2,2,1,2,1,1,70.0,0,1.0,A1S2MN0E9BHPVA,
GoR_2,2,2,1,1,1,40.0,0,1.0,A4IX0UUC3A3GY,
GoR_2,2,2,2,1,1,20.0,1,1.0,A1S2MN0E9BHPVA,
GoR_2,2,3,1,1,1,65.0,0,1.0,A4IX0UUC3A3GY,
GoR_2,2,3,2,1,1,35.0,1,1.0,A1S2MN0E9BHPVA,
GoR_2,2,4,1,1,1,50.0,1,1.0,A4IX0UUC3A3GY,
GoR_2,2,4,2,1,1,67.0,0,1.0,A1S2MN0E9BHPVA,
GoR_2,2,5,1,1,1,45.0,1,1.0,A4IX0UUC3A3GY,
GoR_2,2,5,2,1,1,50.0,0,1.0,A1S2MN0E9BHPVA,
GoR_2,2,6,1,1,1,65.0,0,1.0,A4IX0UUC3A3GY,
GoR_2,2,6,2,1,1,40.0,1,1.0,A1S2MN0E9BHPVA,
GoR_2,2,7,1,1,1,66.0,0,1.0,A4IX0UUC3A3GY,
GoR_2,2,7,2,1,1,30.0,1,1.0,A1S2MN0E9BHPVA,
GoR_2,2,8,1,1,1,35.0,1,1.0,A4IX0UUC3A3GY,i started with the basic avg of 50. i moved around a bit based on where the previous # was but in general tried to stay between 30-65 kinda like a bell curve
GoR_2,2,8,2,1,1,40.0,0,1.0,A1S2MN0E9BHPVA,Picking odd numbers in my mind
GoR_2,3,1,1,0,0,70.0,0,0.51,A2R77CQSH8QVUZ,
GoR_2,3,1,2,0,0,25.0,1,0.92,A2LMZ62N6OAZSF,
GoR_2,3,2,1,0,0,60.0,0,0.51,A2R77CQSH8QVUZ,
GoR_2,3,2,2,0,0,21.0,1,0.92,A2LMZ62N6OAZSF,
GoR_2,3,3,1,0,0,50.0,0,0.51,A2R77CQSH8QVUZ,
GoR_2,3,3,2,0,0,28.0,1,0.92,A2LMZ62N6OAZSF,
GoR_2,3,4,1,0,0,20.0,1,0.51,A2R77CQSH8QVUZ,
GoR_2,3,4,2,0,0,24.0,0,0.92,A2LMZ62N6OAZSF,
GoR_2,3,5,1,0,0,25.0,0,0.51,A2R77CQSH8QVUZ,
GoR_2,3,5,2,0,0,18.0,1,0.92,A2LMZ62N6OAZSF,
GoR_2,3,6,1,0,0,10.0,1,0.51,A2R77CQSH8QVUZ,
GoR_2,3,6,2,0,0,15.0,0,0.92,A2LMZ62N6OAZSF,
GoR_2,3,7,1,0,0,14.0,1,0.51,A2R77CQSH8QVUZ,
GoR_2,3,7,2,0,0,16.0,0,0.92,A2LMZ62N6OAZSF,
GoR_2,3,8,1,0,0,7.0,1,0.51,A2R77CQSH8QVUZ,random guessing
GoR_2,3,8,2,0,0,11.0,0,0.92,A2LMZ62N6OAZSF,"I started in the lower third range of numbers. As the averages went down, I lowered my guesses. I thought about throwing in a higher number to throw off the average, but did not use this approach as I don't think it would have been successful."
GoR_2,4,1,1,0,0,7.0,1,0.35,A172SX5TMW16Y2,
GoR_2,4,1,2,0,0,25.0,0,0.49,AGY2PTZLZFT2L,
GoR_2,4,2,1,0,0,77.0,0,0.35,A172SX5TMW16Y2,
GoR_2,4,2,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,3,1,0,0,77.0,0,0.35,A172SX5TMW16Y2,
GoR_2,4,3,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,4,1,0,0,77.0,0,0.35,A172SX5TMW16Y2,
GoR_2,4,4,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,5,1,0,0,7.0,1,0.35,A172SX5TMW16Y2,
GoR_2,4,5,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,6,1,0,0,7.0,1,0.35,A172SX5TMW16Y2,
GoR_2,4,6,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,7,1,0,0,7.0,1,0.35,A172SX5TMW16Y2,
GoR_2,4,7,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,
GoR_2,4,8,1,0,0,7.0,1,0.35,A172SX5TMW16Y2,Lucky numbers
GoR_2,4,8,2,0,0,7.0,1,0.49,AGY2PTZLZFT2L,considered the nearest value
GoR_2,5,1,1,0,0,75.0,0,0.84,A2S834OHCORO1W,
GoR_2,5,1,2,0,0,22.0,1,1.36,A25GX2RHUDC7GS,
GoR_2,5,2,1,0,0,26.0,1,0.84,A2S834OHCORO1W,
GoR_2,5,2,2,0,0,64.0,0,1.36,A25GX2RHUDC7GS,
GoR_2,5,3,1,0,0,32.0,1,0.84,A2S834OHCORO1W,
GoR_2,5,3,2,0,0,50.0,0,1.36,A25GX2RHUDC7GS,
GoR_2,5,4,1,0,0,64.0,0,0.84,A2S834OHCORO1W,
GoR_2,5,4,2,0,0,32.0,1,1.36,A25GX2RHUDC7GS,
GoR_2,5,5,1,0,0,78.0,0,0.84,A2S834OHCORO1W,
GoR_2,5,5,2,0,0,34.0,1,1.36,A25GX2RHUDC7GS,
GoR_2,5,6,1,0,0,33.0,0,0.84,A2S834OHCORO1W,
GoR_2,5,6,2,0,0,32.0,1,1.36,A25GX2RHUDC7GS,
GoR_2,5,7,1,0,0,26.0,1,0.84,A2S834OHCORO1W,
GoR_2,5,7,2,0,0,32.0,0,1.36,A25GX2RHUDC7GS,
GoR_2,5,8,1,0,0,65.0,0,0.84,A2S834OHCORO1W,i was using one third strategy to numbers  
GoR_2,5,8,2,0,0,16.0,1,1.36,A25GX2RHUDC7GS,basing my guess of the other participants previous guess
GoR_2,6,1,1,0,1,27.0,1,1.75,A31QUY9EDSO178,
GoR_2,6,1,2,0,1,55.0,0,1.34,A2BO8M77CS3SGZ,
GoR_2,6,2,1,0,1,56.0,0,1.75,A31QUY9EDSO178,
GoR_2,6,2,2,0,1,15.0,1,1.34,A2BO8M77CS3SGZ,
GoR_2,6,3,1,0,1,86.0,0,1.75,A31QUY9EDSO178,
GoR_2,6,3,2,0,1,68.0,1,1.34,A2BO8M77CS3SGZ,
GoR_2,6,4,1,0,1,55.0,0,1.75,A31QUY9EDSO178,
GoR_2,6,4,2,0,1,27.0,1,1.34,A2BO8M77CS3SGZ,
GoR_2,6,5,1,0,1,65.0,1,1.75,A31QUY9EDSO178,
GoR_2,6,5,2,0,1,88.0,0,1.34,A2BO8M77CS3SGZ,
GoR_2,6,6,1,0,1,35.0,1,1.75,A31QUY9EDSO178,
GoR_2,6,6,2,0,1,36.0,0,1.34,A2BO8M77CS3SGZ,
GoR_2,6,7,1,0,1,48.0,1,1.75,A31QUY9EDSO178,
GoR_2,6,7,2,0,1,49.0,0,1.34,A2BO8M77CS3SGZ,
GoR_2,6,8,1,0,1,64.0,0,1.75,A31QUY9EDSO178,I just try to alternate numbers and think what was the number before
GoR_2,6,8,2,0,1,24.0,1,1.34,A2BO8M77CS3SGZ,I didn't use any strategy.
GoR_2,7,1,1,1,0,25.0,1,0.63,AISNLDPD2DFEG,
GoR_2,7,1,2,1,0,25.0,1,0.75,A15F2JTVAJXITI,
GoR_2,7,2,1,1,0,20.0,0,0.63,AISNLDPD2DFEG,
GoR_2,7,2,2,1,0,16.0,1,0.75,A15F2JTVAJXITI,
GoR_2,7,3,1,1,0,25.0,1,0.63,AISNLDPD2DFEG,
GoR_2,7,3,2,1,0,68.0,0,0.75,A15F2JTVAJXITI,
GoR_2,7,4,1,1,0,25.0,0,0.63,AISNLDPD2DFEG,
GoR_2,7,4,2,1,0,20.0,1,0.75,A15F2JTVAJXITI,
GoR_2,7,5,1,1,0,20.0,0,0.63,AISNLDPD2DFEG,
GoR_2,7,5,2,1,0,19.0,1,0.75,A15F2JTVAJXITI,
GoR_2,7,6,1,1,0,15.0,1,0.63,AISNLDPD2DFEG,
GoR_2,7,6,2,1,0,15.0,1,0.75,A15F2JTVAJXITI,
GoR_2,7,7,1,1,0,10.0,1,0.63,AISNLDPD2DFEG,
GoR_2,7,7,2,1,0,12.0,0,0.75,A15F2JTVAJXITI,
GoR_2,7,8,1,1,0,8.0,1,0.63,AISNLDPD2DFEG,I checked the previous numbers P2 selected and tried to guess what he/she would choose
GoR_2,7,8,2,1,0,23.0,0,0.75,A15F2JTVAJXITI,i really just guessed a random number
GoR_2,10,1,1,0,0,90.0,0,0.62,A27DBSVHGPKNRU,
GoR_2,10,1,2,0,0,45.0,1,0.66,AV15YFBYL71S6,
GoR_2,10,2,1,0,0,30.0,1,0.62,A27DBSVHGPKNRU,
GoR_2,10,2,2,0,0,45.0,0,0.66,AV15YFBYL71S6,
GoR_2,10,3,1,0,0,60.0,0,0.62,A27DBSVHGPKNRU,
GoR_2,10,3,2,0,0,20.0,1,0.66,AV15YFBYL71S6,
GoR_2,10,4,1,0,0,20.0,1,0.62,A27DBSVHGPKNRU,
GoR_2,10,4,2,0,0,60.0,0,0.66,AV15YFBYL71S6,
GoR_2,10,5,1,0,0,8.0,1,0.62,A27DBSVHGPKNRU,
GoR_2,10,5,2,0,0,15.0,0,0.66,AV15YFBYL71S6,
GoR_2,10,6,1,0,0,3.0,1,0.62,A27DBSVHGPKNRU,
GoR_2,10,6,2,0,0,6.0,0,0.66,AV15YFBYL71S6,
GoR_2,10,7,1,0,0,1.0,1,0.62,A27DBSVHGPKNRU,
GoR_2,10,7,2,0,0,2.0,0,0.66,AV15YFBYL71S6,
GoR_2,10,8,1,0,0,20.0,0,0.62,A27DBSVHGPKNRU,I WAS THINKING THE NUMBER IN REDUCING OF HALF.
GoR_2,10,8,2,0,0,1.0,1,0.66,AV15YFBYL71S6,guessing
GoR_2,12,1,1,0,0,50.0,0,0.36,A7OVF55GAEQ30,
GoR_2,12,1,2,0,0,45.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,2,1,0,0,60.0,0,0.36,A7OVF55GAEQ30,
GoR_2,12,2,2,0,0,38.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,3,1,0,0,46.0,0,0.36,A7OVF55GAEQ30,
GoR_2,12,3,2,0,0,42.0,1,3.0,AXNJ7GCWP4G5H,
GoR_2,12,4,1,0,0,45.0,0,0.36,A7OVF55GAEQ30,
