size,group,round,id_in_group,split,high,guess,win,payoff,id,strategy
GoR_2,1,1,1,1,0,57.0,1,1.36,b9p2436e,
GoR_2,1,1,2,1,0,60.0,0,0.97,j9mrs3qr,
GoR_2,1,2,1,1,0,45.0,0,1.36,b9p2436e,
GoR_2,1,2,2,1,0,40.0,1,0.97,j9mrs3qr,
GoR_2,1,3,1,1,0,27.0,1,1.36,b9p2436e,
GoR_2,1,3,2,1,0,35.0,0,0.97,j9mrs3qr,
GoR_2,1,4,1,1,0,23.0,1,1.36,b9p2436e,
GoR_2,1,4,2,1,0,47.0,0,0.97,j9mrs3qr,
GoR_2,1,5,1,1,0,33.0,0,1.36,b9p2436e,
GoR_2,1,5,2,1,0,25.0,1,0.97,j9mrs3qr,
GoR_2,1,6,1,1,0,19.0,1,1.36,b9p2436e,
GoR_2,1,6,2,1,0,30.0,0,0.97,j9mrs3qr,
GoR_2,1,7,1,1,0,20.0,1,1.36,b9p2436e,
GoR_2,1,7,2,1,0,20.0,1,0.97,j9mrs3qr,
GoR_2,1,8,1,1,0,25.0,0,1.36,b9p2436e,I was using the strategy of Permutation and combination
GoR_2,1,8,2,1,0,22.0,1,0.97,j9mrs3qr,Stayed close to 20 towards the end after averaging outcomes.
GoR_2,3,1,1,1,0,70.0,0,1.85,09qwyi9e,
GoR_2,3,1,2,1,0,30.0,1,1.25,sovsx7a7,
GoR_2,3,2,1,1,0,40.0,1,1.85,09qwyi9e,
GoR_2,3,2,2,1,0,42.0,0,1.25,sovsx7a7,
GoR_2,3,3,1,1,0,50.0,1,1.85,09qwyi9e,
GoR_2,3,3,2,1,0,50.0,1,1.25,sovsx7a7,
GoR_2,3,4,1,1,0,70.0,0,1.85,09qwyi9e,
GoR_2,3,4,2,1,0,50.0,1,1.25,sovsx7a7,
GoR_2,3,5,1,1,0,30.0,1,1.85,09qwyi9e,
GoR_2,3,5,2,1,0,60.0,0,1.25,sovsx7a7,
GoR_2,3,6,1,1,0,40.0,1,1.85,09qwyi9e,
GoR_2,3,6,2,1,0,50.0,0,1.25,sovsx7a7,
GoR_2,3,7,1,1,0,40.0,1,1.85,09qwyi9e,
GoR_2,3,7,2,1,0,40.0,1,1.25,sovsx7a7,
GoR_2,3,8,1,1,0,30.0,1,1.85,09qwyi9e,None
GoR_2,3,8,2,1,0,35.0,0,1.25,sovsx7a7,"No strategy at all, i just guess the number."
GoR_2,5,1,1,0,0,40.0,0,0.67,sva3yz7v,
GoR_2,5,1,2,0,0,37.0,1,1.37,u8jme0j2,
GoR_2,5,2,1,0,0,32.0,1,0.67,sva3yz7v,
GoR_2,5,2,2,0,0,89.0,0,1.37,u8jme0j2,
GoR_2,5,3,1,0,0,34.0,0,0.67,sva3yz7v,
GoR_2,5,3,2,0,0,13.0,1,1.37,u8jme0j2,
GoR_2,5,4,1,0,0,28.0,0,0.67,sva3yz7v,
GoR_2,5,4,2,0,0,25.0,1,1.37,u8jme0j2,
GoR_2,5,5,1,0,0,42.0,0,0.67,sva3yz7v,
GoR_2,5,5,2,0,0,25.0,1,1.37,u8jme0j2,
GoR_2,5,6,1,0,0,20.0,0,0.67,sva3yz7v,
GoR_2,5,6,2,0,0,17.0,1,1.37,u8jme0j2,
GoR_2,5,7,1,0,0,15.0,1,0.67,sva3yz7v,
GoR_2,5,7,2,0,0,33.0,0,1.37,u8jme0j2,
GoR_2,5,8,1,0,0,20.0,1,0.67,sva3yz7v,I tried to guess the average and wanted to stay as close to it as possible.
GoR_2,5,8,2,0,0,20.0,1,1.37,u8jme0j2,I honestly just picked numbers and saw it didn't go that high so at end stayed low.
GoR_2,7,1,1,1,1,40.0,1,1.5,q4ggby4v,
