session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
4,1,klwshm3b,1,consent,Consent,1516285052,631,25,True
4,1,klwshm3b,2,consent,BlockDropouts,1516285061,9,25,True
4,1,klwshm3b,17,GoR_8,WaitForPartnersPage,1516285094,33,1,False
4,1,klwshm3b,18,GoR_8,Introduction,1516285115,21,1,False
4,1,klwshm3b,19,GoR_8,Guess,1516285143,28,1,False
4,1,klwshm3b,20,GoR_8,ResultsWaitPage,1516285383,240,1,False
4,1,klwshm3b,21,GoR_8,Results,1516285401,18,1,True
4,1,klwshm3b,25,GoR_8,Guess,1516285422,21,2,True
4,1,klwshm3b,26,GoR_8,ResultsWaitPage,1516285446,24,2,False
4,1,klwshm3b,27,GoR_8,Results,1516285459,13,2,True
4,1,klwshm3b,31,GoR_8,Guess,1516285507,48,3,True
4,1,klwshm3b,32,GoR_8,ResultsWaitPage,1516285534,27,3,False
4,1,klwshm3b,33,GoR_8,Results,1516285550,16,3,True
4,1,klwshm3b,37,GoR_8,Guess,1516285563,13,4,True
4,1,klwshm3b,38,GoR_8,ResultsWaitPage,1516285597,34,4,False
4,1,klwshm3b,39,GoR_8,Results,1516285615,18,4,True
4,1,klwshm3b,43,GoR_8,Guess,1516285651,36,5,True
4,1,klwshm3b,44,GoR_8,ResultsWaitPage,1516285715,64,5,False
4,1,klwshm3b,45,GoR_8,Results,1516285730,15,5,True
4,1,klwshm3b,49,GoR_8,Guess,1516285749,19,6,True
4,1,klwshm3b,50,GoR_8,ResultsWaitPage,1516285799,50,6,False
4,1,klwshm3b,51,GoR_8,Results,1516285808,9,6,True
4,1,klwshm3b,55,GoR_8,Guess,1516285830,22,7,True
4,1,klwshm3b,56,GoR_8,ResultsWaitPage,1516285853,23,7,False
4,1,klwshm3b,57,GoR_8,Results,1516285866,13,7,True
4,1,klwshm3b,61,GoR_8,Guess,1516285887,21,8,True
4,1,klwshm3b,62,GoR_8,ResultsWaitPage,1516286006,119,8,False
4,2,h0letuyg,1,consent,Consent,1516284653,230,25,True
4,2,h0letuyg,2,consent,BlockDropouts,1516285061,408,25,True
4,2,h0letuyg,17,GoR_8,WaitForPartnersPage,1516285262,201,1,False
4,2,h0letuyg,18,GoR_8,Introduction,1516285322,60,1,True
4,2,h0letuyg,19,GoR_8,Guess,1516285333,11,1,True
4,2,h0letuyg,20,GoR_8,ResultsWaitPage,1516285383,50,1,False
4,2,h0letuyg,21,GoR_8,Results,1516285401,18,1,True
4,2,h0letuyg,25,GoR_8,Guess,1516285422,21,2,True
4,2,h0letuyg,26,GoR_8,ResultsWaitPage,1516285446,24,2,False
4,2,h0letuyg,27,GoR_8,Results,1516285460,14,2,True
4,2,h0letuyg,31,GoR_8,Guess,1516285507,47,3,True
4,2,h0letuyg,32,GoR_8,ResultsWaitPage,1516285535,28,3,False
4,2,h0letuyg,33,GoR_8,Results,1516285550,15,3,True
4,2,h0letuyg,37,GoR_8,Guess,1516285563,13,4,True
4,2,h0letuyg,38,GoR_8,ResultsWaitPage,1516285597,34,4,False
4,2,h0letuyg,39,GoR_8,Results,1516285615,18,4,True
4,2,h0letuyg,43,GoR_8,Guess,1516285651,36,5,True
4,2,h0letuyg,44,GoR_8,ResultsWaitPage,1516285715,64,5,False
4,2,h0letuyg,45,GoR_8,Results,1516285730,15,5,True
4,2,h0letuyg,49,GoR_8,Guess,1516285749,19,6,True
4,2,h0letuyg,50,GoR_8,ResultsWaitPage,1516285799,50,6,False
4,2,h0letuyg,51,GoR_8,Results,1516285808,9,6,True
4,2,h0letuyg,55,GoR_8,Guess,1516285830,22,7,True
4,2,h0letuyg,56,GoR_8,ResultsWaitPage,1516285853,23,7,False
4,2,h0letuyg,57,GoR_8,Results,1516285866,13,7,True
4,2,h0letuyg,61,GoR_8,Guess,1516285887,21,8,True
4,2,h0letuyg,62,GoR_8,ResultsWaitPage,1516286006,119,8,False
4,3,jlisklpw,1,consent,Consent,1516284470,45,25,False
4,3,jlisklpw,17,GoR_8,WaitForPartnersPage,1516285317,847,1,False
4,3,jlisklpw,18,GoR_8,Introduction,1516285322,5,1,True
4,3,jlisklpw,19,GoR_8,Guess,1516285333,11,1,True
4,3,jlisklpw,20,GoR_8,ResultsWaitPage,1516285383,50,1,False
4,3,jlisklpw,21,GoR_8,Results,1516285401,18,1,True
4,3,jlisklpw,25,GoR_8,Guess,1516285422,21,2,True
4,3,jlisklpw,26,GoR_8,ResultsWaitPage,1516285446,24,2,False
4,3,jlisklpw,27,GoR_8,Results,1516285460,14,2,True
4,3,jlisklpw,31,GoR_8,Guess,1516285507,47,3,True
4,3,jlisklpw,32,GoR_8,ResultsWaitPage,1516285535,28,3,False
4,3,jlisklpw,33,GoR_8,Results,1516285550,15,3,True
4,3,jlisklpw,37,GoR_8,Guess,1516285563,13,4,True
4,3,jlisklpw,38,GoR_8,ResultsWaitPage,1516285597,34,4,False
4,3,jlisklpw,39,GoR_8,Results,1516285615,18,4,True
4,3,jlisklpw,43,GoR_8,Guess,1516285651,36,5,True
4,3,jlisklpw,44,GoR_8,ResultsWaitPage,1516285715,64,5,False
4,3,jlisklpw,45,GoR_8,Results,1516285730,15,5,True
4,3,jlisklpw,49,GoR_8,Guess,1516285749,19,6,True
4,3,jlisklpw,50,GoR_8,ResultsWaitPage,1516285799,50,6,False
4,3,jlisklpw,51,GoR_8,Results,1516285808,9,6,True
4,3,jlisklpw,55,GoR_8,Guess,1516285830,22,7,True
4,3,jlisklpw,56,GoR_8,ResultsWaitPage,1516285853,23,7,False
4,3,jlisklpw,57,GoR_8,Results,1516285866,13,7,True
4,3,jlisklpw,61,GoR_8,Guess,1516285887,21,8,True
4,3,jlisklpw,62,GoR_8,ResultsWaitPage,1516286006,119,8,False
4,4,9qfqt7wr,1,consent,Consent,1516284832,407,25,True
