,name,group,round,id_in_group,split,high,guess,twothirds,best,win,payoff,id,strategy
0,GoR_2,2,1,1,0,0,23.0,24.33,23.0,1,0.26,73qjy30v,
1,GoR_2,2,1,2,0,0,50.0,24.33,23.0,0,1.8,9i0stteq,
2,GoR_2,2,2,1,0,0,50.0,25.0,25.0,0,0.26,73qjy30v,
3,GoR_2,2,2,2,0,0,25.0,25.0,25.0,1,1.8,9i0stteq,
4,GoR_2,2,3,1,0,0,77.0,34.67,27.0,0,0.26,73qjy30v,
5,GoR_2,2,3,2,0,0,27.0,34.67,27.0,1,1.8,9i0stteq,
6,GoR_2,2,4,1,0,0,99.0,48.0,45.0,0,0.26,73qjy30v,
7,GoR_2,2,4,2,0,0,45.0,48.0,45.0,1,1.8,9i0stteq,
8,GoR_2,2,5,1,0,0,75.0,39.67,44.0,0,0.26,73qjy30v,
9,GoR_2,2,5,2,0,0,44.0,39.67,44.0,1,1.8,9i0stteq,
10,GoR_2,2,6,1,0,0,49.0,23.33,21.0,0,0.26,73qjy30v,
11,GoR_2,2,6,2,0,0,21.0,23.33,21.0,1,1.8,9i0stteq,
12,GoR_2,2,7,1,0,0,3.0,11.33,3.0,1,0.26,73qjy30v,
13,GoR_2,2,7,2,0,0,31.0,11.33,3.0,0,1.8,9i0stteq,
14,GoR_2,2,8,1,0,0,21.0,13.0,18.0,0,0.26,73qjy30v,Strange game 100 guessing no strategy at all
15,GoR_2,2,8,2,0,0,18.0,13.0,18.0,1,1.8,9i0stteq,"the strategy of sticking to lower set of numbers , not over shooting over the possible number of 50."
16,GoR_2,3,1,1,0,1,100.0,41.0,23.0,0,1.2,l4oxv894,
17,GoR_2,3,1,2,0,1,23.0,41.0,23.0,1,0.88,8m15t9pm,
18,GoR_2,3,2,1,0,1,30.0,34.33,30.0,1,1.2,l4oxv894,
19,GoR_2,3,2,2,0,1,73.0,34.33,30.0,0,0.88,8m15t9pm,
20,GoR_2,3,3,1,0,1,50.0,31.33,44.0,0,1.2,l4oxv894,
21,GoR_2,3,3,2,0,1,44.0,31.33,44.0,1,0.88,8m15t9pm,
22,GoR_2,3,4,1,0,1,30.0,31.0,30.0,1,1.2,l4oxv894,
23,GoR_2,3,4,2,0,1,63.0,31.0,30.0,0,0.88,8m15t9pm,
24,GoR_2,3,5,1,0,1,35.0,29.33,35.0,1,1.2,l4oxv894,
25,GoR_2,3,5,2,0,1,53.0,29.33,35.0,0,0.88,8m15t9pm,
26,GoR_2,3,6,1,0,1,30.0,17.0,21.0,0,1.2,l4oxv894,
27,GoR_2,3,6,2,0,1,21.0,17.0,21.0,1,0.88,8m15t9pm,
28,GoR_2,3,7,1,0,1,15.0,18.67,15.0,1,1.2,l4oxv894,
29,GoR_2,3,7,2,0,1,41.0,18.67,15.0,0,0.88,8m15t9pm,
30,GoR_2,3,8,1,0,1,10.0,21.67,10.0,1,1.2,l4oxv894,"After first round, I understand that if choose a lower value than the other player, I get to win the bonus. So, I chose low value at the other round but still trying to maximize the bonus amount."
31,GoR_2,3,8,2,0,1,55.0,21.67,10.0,0,0.88,8m15t9pm,I quite literally just randomly guessed numbers.
32,GoR_2,5,1,1,1,0,55.0,30.0,35.0,0,0.22,yl0upzf4,
33,GoR_2,5,1,2,1,0,35.0,30.0,35.0,1,1.18,wdriptzz,
34,GoR_2,5,2,1,1,0,52.0,24.0,20.0,0,0.22,yl0upzf4,
35,GoR_2,5,2,2,1,0,20.0,24.0,20.0,1,1.18,wdriptzz,
36,GoR_2,5,3,1,1,0,43.0,19.67,16.0,0,0.22,yl0upzf4,
37,GoR_2,5,3,2,1,0,16.0,19.67,16.0,1,1.18,wdriptzz,
38,GoR_2,5,4,1,1,0,54.0,23.0,15.0,0,0.22,yl0upzf4,
39,GoR_2,5,4,2,1,0,15.0,23.0,15.0,1,1.18,wdriptzz,
40,GoR_2,5,5,1,1,0,9.0,8.33,9.0,1,0.22,yl0upzf4,
41,GoR_2,5,5,2,1,0,16.0,8.33,9.0,0,1.18,wdriptzz,
42,GoR_2,5,6,1,1,0,63.0,23.0,6.0,0,0.22,yl0upzf4,
43,GoR_2,5,6,2,1,0,6.0,23.0,6.0,1,1.18,wdriptzz,
44,GoR_2,5,7,1,1,0,13.0,14.33,13.0,1,0.22,yl0upzf4,
45,GoR_2,5,7,2,1,0,30.0,14.33,13.0,0,1.18,wdriptzz,
46,GoR_2,5,8,1,1,0,44.0,23.33,26.0,0,0.22,yl0upzf4,i did what my inner instincts say.
47,GoR_2,5,8,2,1,0,26.0,23.33,26.0,1,1.18,wdriptzz,I guessed based on the average previous round figuring people would guess near the prior average.
48,GoR_2,6,1,1,1,0,60.0,34.67,44.0,0,1.33,rx0pxwow,
49,GoR_2,6,1,2,1,0,44.0,34.67,44.0,1,2.54,ggjhu8am,
50,GoR_2,6,2,1,1,0,66.0,49.33,66.0,1,1.33,rx0pxwow,
51,GoR_2,6,2,2,1,0,82.0,49.33,66.0,0,2.54,ggjhu8am,
52,GoR_2,6,3,1,1,0,70.0,41.33,54.0,0,1.33,rx0pxwow,
53,GoR_2,6,3,2,1,0,54.0,41.33,54.0,1,2.54,ggjhu8am,
54,GoR_2,6,4,1,1,0,66.0,42.67,62.0,0,1.33,rx0pxwow,
55,GoR_2,6,4,2,1,0,62.0,42.67,62.0,1,2.54,ggjhu8am,
56,GoR_2,6,5,1,1,0,35.0,36.33,35.0,1,1.33,rx0pxwow,
57,GoR_2,6,5,2,1,0,74.0,36.33,35.0,0,2.54,ggjhu8am,
58,GoR_2,6,6,1,1,0,65.0,35.0,40.0,0,1.33,rx0pxwow,
