participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.arrival_time,player.choice,player.strategy_cafeteria_dilemma,player.common_knowledge,player.certainty,player.payoff,group.id_in_subsession,group.payoff,group.game_lost,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,d6ujywie,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.337510+00:00,0,1,,,7.00,1,8.57,Office,,,,-2.00,2,,0,1,ehxbbce7,,,,,,0
2,hu128lf4,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.369848+00:00,0,1,,,7.00,2,8.52,Cafeteria,,,,-2.00,2,,0,1,ehxbbce7,,,,,,0
3,7nhv7537,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.387877+00:00,0,1,,,3.00,1,9.01,Office,,,,0.50,3,,0,1,ehxbbce7,,,,,,0
4,61m98z3b,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.407475+00:00,0,1,,,3.00,2,9.06,Office,,,,0.50,3,,0,1,ehxbbce7,,,,,,0
5,qwy8cd6i,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.452467+00:00,0,1,,,16.00,1,8.49,Cafeteria,,,,1.00,4,,0,1,ehxbbce7,,,,,,0
6,gf76e34p,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.444565+00:00,0,1,,,16.00,2,8.44,Cafeteria,,,,1.00,4,,0,1,ehxbbce7,,,,,,0
7,1l62vonb,,0,270,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.512918+00:00,0,1,,,22.00,1,8.49,Cafeteria,,,,1.00,5,,0,1,ehxbbce7,,,,,,0
8,uvcw46t8,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.489988+00:00,0,1,,,22.00,2,8.54,Cafeteria,,,,1.00,5,,0,1,ehxbbce7,,,,,,0
9,tv3nj3qk,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.510125+00:00,0,1,,,23.50,1,9.05,Office,,,,0.50,6,,0,1,ehxbbce7,,,,,,0
10,he97xswo,,0,271,270,cafeteria_dilemma_3,10,Debrief,10.42.186.252,2017-09-12 08:29:19.555228+00:00,0,1,,,24.00,2,9.05,Office,,,,0.50,6,,0,1,ehxbbce7,,,,,,0
