,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,654w33sp,max,A1Q1HSGBD1POWV,3,2,[],275.5,0.0,0.0,0.0
1,654w33sp,max,A2JIEQQQIGK6P7,3,6,[2],272.155375318138,0.0,0.0,0.0
2,654w33sp,max,A2V3ECGQQYNO85,3,1,[2],408.23306297720706,31.0,0.0,0.1
3,654w33sp,max,A12IHTKQFQIPD1,3,8,"[2, 6]",408.23306297720706,19.0,0.0,0.07
4,654w33sp,max,A2G1CPU70FHS68,3,7,"[2, 6, 1]",275.5,39.0,0.0,0.13
5,654w33sp,max,A1A1A9UHNQCI9Y,3,9,"[2, 1, 8]",420.026462574327,58.0,0.0,0.2
6,654w33sp,max,A2C0IDLBIOPOMG,3,10,"[1, 8, 9]",120.0,32.0,0.0,0.11
7,654w33sp,max,A1DZDHDL1ASHZU,3,12,"[1, 8, 9]",423.655200911902,56.0,0.0,0.19
8,654w33sp,max,A258MR1IS96JEP,3,13,"[8, 9, 12]",420.026462574327,0.0,0.0,0.0
9,654w33sp,max,A35LA2SVNQS65E,3,14,"[9, 12, 13]",930.0,0.0,0.0,0.0
10,654w33sp,max,AGZJG33624R94,3,15,"[12, 13, 14]",2050.3,27.0,0.0,0.09
11,654w33sp,max,A1QL2WQXXJNFB2,3,16,"[12, 14, 15]",930.000276691298,0.0,0.0,0.0
12,654w33sp,max,AS2WTWYVRW9BV,3,17,"[14, 15, 16]",1466.46388067257,0.0,0.0,0.0
13,654w33sp,max,ANWWLIPXD3WU,3,18,"[15, 16, 17]",1466.46388067257,0.0,0.0,0.0
14,654w33sp,max,A2F93SIUUV5HQH,3,19,"[15, 17, 18]",1587.57302268914,4.0,0.0,0.01
15,654w33sp,max,A366XT3FM92R6H,3,22,"[15, 18, 19]",2050.28251995919,0.0,0.0,0.0
16,654w33sp,max,A33KTU8KJ5CP2T,3,23,"[15, 19, 22]",1587.0,0.0,0.0,0.0
17,654w33sp,max,A19758XA6CIJ3C,3,24,"[15, 19, 22]",1587.57302268914,0.0,0.0,0.0
18,654w33sp,max,A1X3G033DSTPDY,3,27,"[15, 22, 24]",2050.3,0.0,0.0,0.0
19,654w33sp,max,A357C0NLWK75L0,3,29,"[15, 22, 27]",2050.28251995919,0.0,0.0,0.0
20,654w33sp,max,A2A9FPR7W6BU3E,3,30,"[15, 27, 29]",2096.50357453406,0.0,0.0,0.0
21,654w33sp,max,A35P8YSNTQ7OTP,3,31,"[15, 27, 30]",2015.7641465230101,0.0,0.0,0.0
22,654w33sp,max,A1XC103XSP8MMD,3,33,"[15, 27, 30]",2094.6892053652696,0.0,0.0,0.0
