"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Paying non-submitted hits","UPDATE-Paying non-submitted hits","CURRENT-CIBS_WoT_dots_4","UPDATE-CIBS_WoT_dots_4","CURRENT-CIBS_WoT_dots_3","UPDATE-CIBS_WoT_dots_3","CURRENT-CIBS_WoT_dots_2","UPDATE-CIBS_WoT_dots_2","CURRENT-CIBS_WoT_dots_1","UPDATE-CIBS_WoT_dots_1","CURRENT-CIBS_WoT_01_test","UPDATE-CIBS_WoT_01_test","CURRENT-CIBSGOR420180118","UPDATE-CIBSGOR420180118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A0017268R9SKD8U2Y3F","https://master-requester.mturk.com/workers/A0017268R9SKD8U2Y3F","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A00748713B8XQ8AQVH81N","https://master-requester.mturk.com/workers/A00748713B8XQ8AQVH81N","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A014297063OPPUEBTOLM","https://master-requester.mturk.com/workers/A014297063OPPUEBTOLM","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","Never Blocked","",""
"A0450532L5P3GX6JEY8C","https://master-requester.mturk.com/workers/A0450532L5P3GX6JEY8C","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","1","","","","1","","","","Never Blocked","",""
"A05062513MWBSOJW7FC52","https://master-requester.mturk.com/workers/A05062513MWBSOJW7FC52","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A0533430WOF7V9XR82TB","https://master-requester.mturk.com/workers/A0533430WOF7V9XR82TB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","1","","","","Never Blocked","",""
"A0657006AJFWB5ZA9IB2","https://master-requester.mturk.com/workers/A0657006AJFWB5ZA9IB2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A0752733254ON4KL1PIXU","https://master-requester.mturk.com/workers/A0752733254ON4KL1PIXU","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","1","","","","","","Never Blocked","",""
"A09788181QYLWRWWYZM2X","https://master-requester.mturk.com/workers/A09788181QYLWRWWYZM2X","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A1002UBC6V258U","https://master-requester.mturk.com/workers/A1002UBC6V258U","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A100Y89FZO4J0B","https://master-requester.mturk.com/workers/A100Y89FZO4J0B","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","Never Blocked","",""
"A1017OLEMTKNHG","https://master-requester.mturk.com/workers/A1017OLEMTKNHG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","1","","1","","Never Blocked","",""
"A101WUMP4O5DY7","https://master-requester.mturk.com/workers/A101WUMP4O5DY7","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","1","","","","Never Blocked","",""
"A1020903KRQ0TFAC3BHC","https://master-requester.mturk.com/workers/A1020903KRQ0TFAC3BHC","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A10283W49EB612","https://master-requester.mturk.com/workers/A10283W49EB612","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","1","","","","1","","","","Never Blocked","",""
"A102DSKQ1WQ8V","https://master-requester.mturk.com/workers/A102DSKQ1WQ8V","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","1","","1","","","","","","Never Blocked","",""
"A102SPWIEEDD68","https://master-requester.mturk.com/workers/A102SPWIEEDD68","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","Never Blocked","",""
"A103A7PRZURWVQ","https://master-requester.mturk.com/workers/A103A7PRZURWVQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A103JIDM05W05P","https://master-requester.mturk.com/workers/A103JIDM05W05P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
"A103RFEZROB95C","https://master-requester.mturk.com/workers/A103RFEZROB95C","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","1","","1","","","","","","","","","","Never Blocked","",""
"A103WMUEOOVOK0","https://master-requester.mturk.com/workers/A103WMUEOOVOK0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","Never Blocked","",""
