session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,q1vlo93v,1,consent,Consent,1530705242,2,1,False
1,1,q1vlo93v,17,ox,WaitingRoom,1530705248,6,1,False
1,1,q1vlo93v,18,ox,Choose,1530705263,15,1,False
1,2,kcuyo6i1,1,consent,Consent,1530705260,3,1,False
1,2,kcuyo6i1,17,ox,WaitingRoom,1530705263,3,1,False
1,2,kcuyo6i1,18,ox,Choose,1530705332,69,1,True
2,1,sdj8hmo5,1,consent,Consent,1530705412,31,9,False
2,1,sdj8hmo5,17,ox,WaitingRoom,1530705414,2,2,False
2,1,sdj8hmo5,18,ox,Choose,1530705460,46,2,False
2,1,sdj8hmo5,19,ox,Results,1530705473,13,2,False
2,2,jfvrewmw,1,consent,Consent,1530705442,57,9,False
2,2,jfvrewmw,17,ox,WaitingRoom,1530705558,116,2,False
2,2,jfvrewmw,18,ox,Choose,1530705592,34,2,False
2,2,jfvrewmw,19,ox,Results,1530705605,13,2,False
2,3,g0nwt5le,1,consent,Consent,1530705419,32,9,False
2,3,g0nwt5le,17,ox,WaitingRoom,1530705462,43,2,False
2,3,g0nwt5le,18,ox,Choose,1530705491,29,2,False
2,3,g0nwt5le,19,ox,Results,1530705504,13,2,False
2,4,gb47my93,1,consent,Consent,1530705428,39,9,False
2,4,gb47my93,17,ox,WaitingRoom,1530705494,66,2,False
2,4,gb47my93,18,ox,Choose,1530705556,62,2,True
2,4,gb47my93,19,ox,Results,1530705575,19,2,False
2,5,76kbsns1,1,consent,Consent,1530705495,49,9,False
2,5,76kbsns1,17,ox,WaitingRoom,1530705538,43,2,False
2,5,76kbsns1,18,ox,Choose,1530705539,1,2,False
2,6,skdp765q,1,consent,Consent,1530705572,118,9,True
2,7,x9j8j9y3,1,consent,Consent,1530705532,44,9,False
2,7,x9j8j9y3,17,ox,WaitingRoom,1530705595,63,2,False
2,7,x9j8j9y3,18,ox,Choose,1530705631,36,2,False
2,7,x9j8j9y3,19,ox,Results,1530705646,15,2,False
2,8,whjun125,1,consent,Consent,1530705500,12,9,False
2,8,whjun125,17,ox,WaitingRoom,1530705535,35,2,False
2,8,whjun125,18,ox,Choose,1530705535,0,2,False
2,9,nu4n6z1u,1,consent,Consent,1530705688,35,9,False
2,9,nu4n6z1u,17,ox,WaitingRoom,1530705693,5,2,False
2,9,nu4n6z1u,18,ox,Choose,1530705734,41,2,False
2,9,nu4n6z1u,19,ox,Results,1530705741,7,2,False
2,10,88wber3j,1,consent,Consent,1530705715,48,9,False
2,10,88wber3j,17,ox,WaitingRoom,1530705737,22,2,False
2,10,88wber3j,18,ox,Choose,1530705785,48,2,False
2,10,88wber3j,19,ox,Results,1530705812,27,2,False
2,11,5kmct7uq,1,consent,Consent,1530705804,21,9,False
2,11,5kmct7uq,17,ox,WaitingRoom,1530705809,5,2,False
2,11,5kmct7uq,18,ox,Choose,1530705853,44,2,False
2,11,5kmct7uq,19,ox,Results,1530705859,6,2,False
2,12,7z4204hy,1,consent,Consent,1530705834,9,9,False
2,12,7z4204hy,17,ox,WaitingRoom,1530705856,22,2,False
2,12,7z4204hy,18,ox,Choose,1530705875,19,2,False
2,12,7z4204hy,19,ox,Results,1530705882,7,2,False
2,13,ae9frpbh,1,consent,Consent,1530705965,17,9,False
2,13,ae9frpbh,17,ox,WaitingRoom,1530705967,2,2,False
2,13,ae9frpbh,18,ox,Choose,1530705983,16,2,False
2,13,ae9frpbh,19,ox,Results,1530705989,6,2,False
2,14,b2frznvx,1,consent,Consent,1530706011,9,9,False
2,14,b2frznvx,17,ox,WaitingRoom,1530706016,5,2,False
2,14,b2frznvx,18,ox,Choose,1530706047,31,2,False
2,14,b2frznvx,19,ox,Results,1530706055,8,2,False
2,15,jo14hx8g,1,consent,Consent,1530706639,62,9,False
2,15,jo14hx8g,17,ox,WaitingRoom,1530706641,2,2,False
2,15,jo14hx8g,18,ox,Choose,1530706701,60,2,False
2,15,jo14hx8g,19,ox,Results,1530706714,13,2,False
2,16,14za58z2,1,consent,Consent,1530706657,28,9,False
2,16,14za58z2,17,ox,WaitingRoom,1530706702,45,2,False
2,16,14za58z2,18,ox,Choose,1530706732,30,2,False
2,16,14za58z2,19,ox,Results,1530706742,10,2,False
2,17,1gxh6ihg,1,consent,Consent,1530706658,23,9,False
2,17,1gxh6ihg,17,ox,WaitingRoom,1530706734,76,2,False
2,17,1gxh6ihg,18,ox,Choose,1530706764,30,2,False
2,17,1gxh6ihg,19,ox,Results,1530706776,12,2,False
2,18,1zwwxiu8,1,consent,Consent,1530706834,22,9,False
2,18,1zwwxiu8,17,ox,WaitingRoom,1530706846,12,2,False
2,18,1zwwxiu8,18,ox,Choose,1530706881,35,2,False
2,18,1zwwxiu8,19,ox,Results,1530706889,8,2,False
2,19,kipm1nnq,1,consent,Consent,1530707625,11,9,False
2,19,kipm1nnq,17,ox,WaitingRoom,1530707630,5,2,False
2,19,kipm1nnq,18,ox,Choose,1530707655,25,2,False
2,19,kipm1nnq,19,ox,Results,1530707663,8,2,False
2,20,jfwqer70,1,consent,Consent,1530707876,128,9,True
2,21,155b48gx,1,consent,Consent,1530710059,124,9,True
2,22,n8gygfpf,1,consent,Consent,1530710205,47,9,False
2,22,n8gygfpf,17,ox,WaitingRoom,1530710211,6,2,False
2,22,n8gygfpf,18,ox,Choose,1530710257,46,2,False
