participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.wait_before_leave,session.config.selection_method,session.config.views,session.config.real_world_currency_per_point,session.config.bonus,session.config.pay_per_min,session.config.participation_fee,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,87mvo6pu,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:03.540554+00:00,1,A3DUPRZSMU9W5R,3M81GAB8A124J78V2VJ8SMAYFSFBQD,0.1,0.2,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,1,1,0,0,1,1,1,0,0,0,1,2,1,0,0,0,1,3,1,0,0,0,1,4,1,0,0,0,1,5,1,0,0,0,1,6,1,0,0,0,1,7,1,0,0,0,1,8,1,2,[2],1800,1800,816.466126,0.337821471,1,,2018-07-23 06:58:27.417827+00:00,31,0.1,0,1,1,0,4,0.2,30,300,1,1,min
2,0z5htnyy,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:05.226772+00:00,1,A26XF8O4XRL8JA,308XBLVESJN4V8NVFA88XCK3BEHBRE,0.03,0.13,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,2,1,0,0,1,1,2,0,0,0,1,2,2,0,0,0,1,3,2,0,0,0,1,4,2,0,0,0,1,5,2,0,0,0,1,6,2,0,0,0,1,7,2,0,0,0,1,8,2,1,[],780,780,353.8019879,0.713055971,1,,2018-07-23 06:58:23.523797+00:00,9,0.03,0,1,1,0,4,0.2,30,300,1,1,min
3,pmo8rf9p,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:07.106781+00:00,1,A21B78D7E5N17N,3YWRV122CTID92H5GSJ3BLHMA708UG,0.23,0.33,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,3,1,0,0,1,1,3,0,0,0,1,2,3,0,0,0,1,3,3,0,0,0,1,4,3,0,0,0,1,5,3,0,0,0,1,6,3,0,0,0,1,7,3,0,0,0,1,8,3,3,[2],550,1212.54265,550,0.553933496,0,,2018-07-23 06:58:34.703999+00:00,68,0.23,0,1,1,0,4,0.2,30,300,1,1,min
4,g4xw2rhx,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 06:58:16.193442+00:00,1,AKB82TCYUECWD,386CSBG1O05YDVR06420H6O61R46QN,0,0.1,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,4,0,1,0,1,1,4,0,0,0,1,2,4,0,0,0,1,3,4,0,0,0,1,4,4,0,0,0,1,5,4,0,0,0,1,6,4,0,0,0,1,7,4,0,0,0,1,8,4,0,,,,,,,,,,,0,1,1,0,4,0.2,30,300,1,1,min
5,x8qi1535,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:34.563900+00:00,1,A1017OLEMTKNHG,3O6CYIULEEKOZ3DNEVZ9P1K8SE2WUI,0.3,0.4,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,5,1,0,0,1,1,5,0,0,0,1,2,5,0,0,0,1,3,5,0,0,0,1,4,5,0,0,0,1,5,5,0,0,0,1,6,5,0,0,0,1,7,5,0,0,0,1,8,5,4,[2],1500,1500,680.3884383,0.448184559,1,,2018-07-23 06:58:58.169928+00:00,90,0.3,0,1,1,0,4,0.2,30,300,1,1,min
6,rt4d7zkt,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:43.023443+00:00,1,A1BANTV8HONS2C,3LPW2N6LKULUMKY3IUC0Z17V8HYU5Z,0.36,0.46,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,6,1,0,0,1,1,6,0,0,0,1,2,6,0,0,0,1,3,6,0,0,0,1,4,6,0,0,0,1,5,6,0,0,0,1,6,6,0,0,0,1,7,6,0,0,0,1,8,6,4,[2],0,,,,0,,2018-07-23 06:59:33.269490+00:00,108,0.36,0,1,1,0,4,0.2,30,300,1,1,min
7,i3i23qik,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:02.054539+00:00,1,AGSU9C1LDDN91,33LKR6A5KF3GYPIVH2KERF8CDNN1TY,0.73,0.83,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,7,1,0,0,1,1,7,0,0,0,1,2,7,0,0,0,1,3,7,0,0,0,1,4,7,0,0,0,1,5,7,0,0,0,1,6,7,0,0,0,1,7,7,0,0,0,1,8,7,6,[2],1300,1300,589.6699799,0.521759951,1,,2018-07-23 06:59:37.641201+00:00,219,0.73,0,1,1,0,4,0.2,30,300,1,1,min
8,sa8x8fm8,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:09.117970+00:00,1,A38YYLJ92QRU22,3Z4XG4ZF49A5Q6B0LXUQVSGQ4PH8X8,0.56,0.66,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,8,1,0,0,1,1,8,0,0,0,1,2,8,0,0,0,1,3,8,0,0,0,1,4,8,0,0,0,1,5,8,0,0,0,1,6,8,0,0,0,1,7,8,0,0,0,1,8,8,5,[2],2000,2000,907.1845844,0.264246079,1,,2018-07-23 06:59:36.875152+00:00,168,0.56,0,1,1,0,4,0.2,30,300,1,1,min
9,cvwwmoet,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:15.416354+00:00,1,A3L3QOG7X0242,3FPRZHYEPZQRLK0Z91YCGQBU8SH3V8,0.35,0.45,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,9,1,0,0,1,1,9,0,0,0,1,2,9,0,0,0,1,3,9,0,0,0,1,4,9,0,0,0,1,5,9,0,0,0,1,6,9,0,0,0,1,7,9,0,0,0,1,8,9,0,,,,,,,1,2018-07-23 07:00:09.782724+00:00,103,0.35,0,1,1,0,4,0.2,30,300,1,1,min
10,ahj3hur5,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 06:59:28.335986+00:00,1,A1RV0U8G7CIPJQ,3HMIGG0U4MPUQB1AQTGSE6NZ6VB8YE,0,0.1,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0,30,min,1,0,1,0.2,0.1,10,0,1,0,1,1,10,0,0,0,1,2,10,0,0,0,1,3,10,0,0,0,1,4,10,0,0,0,1,5,10,0,0,0,1,6,10,0,0,0,1,7,10,0,0,0,1,8,10,0,,,,,,,,,,,0,1,1,0,4,0.2,30,300,1,1,min
