participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.views,session.config.wait_before_leave,session.config.pay_per_min,session.config.selection_method,session.config.real_world_currency_per_point,session.config.bonus,consent.1.player.id_in_group,consent.1.player.consent,consent.1.player.is_dropout,consent.1.player.payoff,consent.1.group.id_in_subsession,consent.1.subsession.round_number,consent.2.player.id_in_group,consent.2.player.consent,consent.2.player.is_dropout,consent.2.player.payoff,consent.2.group.id_in_subsession,consent.2.subsession.round_number,consent.3.player.id_in_group,consent.3.player.consent,consent.3.player.is_dropout,consent.3.player.payoff,consent.3.group.id_in_subsession,consent.3.subsession.round_number,consent.4.player.id_in_group,consent.4.player.consent,consent.4.player.is_dropout,consent.4.player.payoff,consent.4.group.id_in_subsession,consent.4.subsession.round_number,consent.5.player.id_in_group,consent.5.player.consent,consent.5.player.is_dropout,consent.5.player.payoff,consent.5.group.id_in_subsession,consent.5.subsession.round_number,consent.6.player.id_in_group,consent.6.player.consent,consent.6.player.is_dropout,consent.6.player.payoff,consent.6.group.id_in_subsession,consent.6.subsession.round_number,consent.7.player.id_in_group,consent.7.player.consent,consent.7.player.is_dropout,consent.7.player.payoff,consent.7.group.id_in_subsession,consent.7.subsession.round_number,consent.8.player.id_in_group,consent.8.player.consent,consent.8.player.is_dropout,consent.8.player.payoff,consent.8.group.id_in_subsession,consent.8.subsession.round_number,ox.1.player.id_in_group,ox.1.player.decision_order,ox.1.player.decision_history,ox.1.player.estimate,ox.1.player.estimate_p,ox.1.player.estimate_kg,ox.1.player.estimate_percent_diff,ox.1.player.unit,ox.1.player.early_finish,ox.1.player.wp_timer_start,ox.1.player.sec_spent,ox.1.player.sec_earned,ox.1.player.payoff,ox.1.group.id_in_subsession,ox.1.subsession.round_number,ox.1.subsession.worker_running,ox.1.subsession.someone_arriving,ox.1.subsession.pay_per_min,ox.1.subsession.wait_before_leave,ox.1.subsession.max_wait_time,ox.1.subsession.bonus,ox.1.subsession.views,ox.1.subsession.selection_method
1,29wcpiv7,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:42:10.493980+00:00,1,AVU225KQH0N7O,3TU5ZICBREKLH9AOZJZY1KKY8ON8QB,0.03,0.13,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,1,1,0,0,1,1,1,0,0,0,1,2,1,0,0,0,1,3,1,0,0,0,1,4,1,0,0,0,1,5,1,0,0,0,1,6,1,0,0,0,1,7,1,0,0,0,1,8,1,1,[],1600,1600,725.7476675,0.411396863,1,,2018-07-24 08:42:30.255830+00:00,8,0.03,0,1,1,0,0,0.2,30,300,1,3,min
2,c3cawz89,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-24 08:42:14.382931+00:00,1,AT6TEU8VYTR,37U1UTWH9W5LTAPOCYOY6AU34AP8RC,0,0.1,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,2,0,1,0,1,1,2,0,0,0,1,2,2,0,0,0,1,3,2,0,0,0,1,4,2,0,0,0,1,5,2,0,0,0,1,6,2,0,0,0,1,7,2,0,0,0,1,8,2,0,,,,,,,,,,,0,1,1,0,0,0.2,30,300,1,3,min
3,sn8vu2c9,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:42:51.520684+00:00,1,A2YE7NBCK14VAQ,3WT783CTPC00P6YCXDID8HLICF7BC8,0.08,0.18,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,3,1,0,0,1,1,3,0,0,0,1,2,3,0,0,0,1,3,3,0,0,0,1,4,3,0,0,0,1,5,3,0,0,0,1,6,3,0,0,0,1,7,3,0,0,0,1,8,3,2,[1],2100,2100,952.5438136,0.227458383,1,,2018-07-24 08:43:02.699539+00:00,23,0.08,0,1,1,0,0,0.2,30,300,1,3,min
4,21o13f7h,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:15.974205+00:00,1,A3G7LEK456748X,33L7PJKHCHHY9P2GGNTT6PVLSVM8TP,0.09,0.19,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,4,1,0,0,1,1,4,0,0,0,1,2,4,0,0,0,1,3,4,0,0,0,1,4,4,0,0,0,1,5,4,0,0,0,1,6,4,0,0,0,1,7,4,0,0,0,1,8,4,3,"[1, 3]",1800,1800,816.466126,0.337821471,1,,2018-07-24 08:43:41.363332+00:00,26,0.09,0,1,1,0,0,0.2,30,300,1,3,min
5,vmgf48zl,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:32.334995+00:00,1,A2AESPMTK3Y5I4,3F6KKYWMNCKCV7TN0ZIXJI3UE4XDNZ,0.13,0.23,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,5,1,0,0,1,1,5,0,0,0,1,2,5,0,0,0,1,3,5,0,0,0,1,4,5,0,0,0,1,5,5,0,0,0,1,6,5,0,0,0,1,7,5,0,0,0,1,8,5,0,,,,,,,1,2018-07-24 08:44:03.579270+00:00,39,0.13,0,1,1,0,0,0.2,30,300,1,3,min
6,efk0mby9,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:43:55.769863+00:00,1,A2XNBBMBC17IS6,3EA3QWIZ4JERYVETP95KJEPZVRRIT7,0.15,0.25,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,6,1,0,0,1,1,6,0,0,0,1,2,6,0,0,0,1,3,6,0,0,0,1,4,6,0,0,0,1,5,6,0,0,0,1,6,6,0,0,0,1,7,6,0,0,0,1,8,6,0,,,,,,,1,2018-07-24 08:44:06.999956+00:00,45,0.15,0,1,1,0,0,0.2,30,300,1,3,min
7,mu2mc9da,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:06.032058+00:00,1,A3150VRNMT7X8W,3Q5C1WP23NKEDN75G62GOZ2ZYMU157,0.07,0.17,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,7,1,0,0,1,1,7,0,0,0,1,2,7,0,0,0,1,3,7,0,0,0,1,4,7,0,0,0,1,5,7,0,0,0,1,6,7,0,0,0,1,7,7,0,0,0,1,8,7,4,"[1, 3, 4]",816,1798.972368,816,0.338199513,0,,2018-07-24 08:44:47.348663+00:00,19,0.07,0,1,1,0,0,0.2,30,300,1,3,min
8,cyazaypo,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:48.579015+00:00,1,A2HGF30Q1AW1PK,3137ONMDKHOBDLQ19QGMZGCID4CGEN,0.21,0.31,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,8,1,0,0,1,1,8,0,0,0,1,2,8,0,0,0,1,3,8,0,0,0,1,4,8,0,0,0,1,5,8,0,0,0,1,6,8,0,0,0,1,7,8,0,0,0,1,8,8,5,"[1, 4, 7]",1799,1799,816.0125337,0.338189348,1,,2018-07-24 08:45:09.684998+00:00,62,0.21,0,1,1,0,0,0.2,30,300,1,3,min
9,0kwupemj,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:59.221536+00:00,1,A234VIHHUHPZG5,3KB8R4ZV1FQD6IEHZZEWY86XA7ZBGI,0.16,0.26,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,9,1,0,0,1,1,9,0,0,0,1,2,9,0,0,0,1,3,9,0,0,0,1,4,9,0,0,0,1,5,9,0,0,0,1,6,9,0,0,0,1,7,9,0,0,0,1,8,9,0,,,,,,,1,2018-07-24 08:46:18.553859+00:00,49,0.16,0,1,1,0,0,0.2,30,300,1,3,min
10,rqtwyass,,0,20,19,ox,1,Results,172.16.176.137,2018-07-24 08:44:59.076068+00:00,1,A1XTEBM29OFNAR,3IOEN3P9S82AWR7JLPCLG5GZUH561S,0.11,0.21,ggv74prf,,,37ZQELHEQ0HDDH16NQCYEPU0Q6PNMR,33LV6TSG7ABIB16IZFFGFXTYRJPQVD,,0,0.1,3,30,0.2,min,0,1,10,1,0,0,1,1,10,0,0,0,1,2,10,0,0,0,1,3,10,0,0,0,1,4,10,0,0,0,1,5,10,0,0,0,1,6,10,0,0,0,1,7,10,0,0,0,1,8,10,0,,,,,,,1,2018-07-24 08:45:18.898295+00:00,33,0.11,0,1,1,0,0,0.2,30,300,1,3,min
