participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.consent,player.is_dropout,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,e7wgc4u8,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:00:34.936201+00:00,1,ATHS9CW2FLYUY,33NF62TLXKLOQN8CDICSUOH2N2FKJJ,0.00,1,0,1,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
2,9sxod2yj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:45.593599+00:00,1,A26Y58YECZUZZG,38BQUHLA9XJXHMZCE7HDHXQSB1KMO9,0.00,2,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
3,j9u8y4ri,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:55.119428+00:00,1,A2HEZCJ1DMZAAX,3GU1KF0O4JKJJV7G2I4JSHKO97CPB4,0.22,3,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
4,zxy03jwo,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:00.414893+00:00,1,A2W3T75MBHOT8C,3TEM0PF1Q6G9AB1GZTGZ867G4KCD0S,0.32,4,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
5,k80pusqh,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:06.597676+00:00,1,AECQ7QG4CQP69,35L9RVQFCP162DIYJWD9OYALC19HU8,0.11,5,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
6,7i0vyuw7,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:05:19.607741+00:00,1,A1H3Z9AQUSX4GM,30BXRYBRP5GJUH73EWSA6MVIXHKHW7,0.00,6,0,1,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
7,qr9fpogk,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:19.807092+00:00,1,A299V42H14TK2J,35LDD5557BNERVEXGFPKAG9JRWAKMN,0.00,7,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
8,3kq9mcz4,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:20.454965+00:00,1,A34X7ZCR1JY139,3S06PH7KSSN9H0MYVCKZMBQQ9CID1V,1.28,8,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
9,ivvm7dbi,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:01:38.554002+00:00,1,A3IX1RJUNN7R1S,323Q6SJS8JZHJVL8O7IA2Y9I2EUFH7,0.00,9,0,1,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
10,31w2q0vt,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:40.318527+00:00,1,A3DTPGXKABAFEJ,3NGMS9VZTM1X5ZU2THUAZDX5MZHFF9,1.41,10,1,0,0.00,1,1,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
