,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,emdqn9k4,max,A1PUHCEBSOWETV,9,2,[],542.9499738,8.0,0,0.03
1,emdqn9k4,max,A2601NQ3X8AJR6,9,4,[2],524.0,78.0,0,0.26
2,emdqn9k4,max,A3F9G4CEZQ3S4V,9,7,"[2, 4]",542.9499738,16.0,0,0.06
3,emdqn9k4,max,A12J4IRF5Z06BT,9,6,"[2, 4, 7]",566.9903652,43.0,0,0.14
4,emdqn9k4,max,A27A3Z6J7745DI,9,8,"[2, 4, 7, 6]",1050.0,55.0,0,0.18
5,emdqn9k4,max,ARYNGFS9GHR0Y,9,9,"[2, 4, 7, 6, 8]",2314.0,153.0,0,0.51
6,emdqn9k4,max,A3Q2D55G2SE98J,9,11,"[2, 4, 7, 6, 8, 9]",816.466126,213.0,0,0.71
7,emdqn9k4,max,AGHY9RRMN9TD0,9,12,"[2, 4, 7, 6, 8, 9, 11]",566.9903652,216.0,0,0.72
8,emdqn9k4,max,APR6H3HAOE9OU,9,13,"[2, 4, 7, 6, 8, 9, 11, 12]",748.4272821000001,200.0,0,0.67
9,emdqn9k4,max,ALV7EWQAAP4UM,9,14,"[2, 4, 7, 6, 8, 9, 11, 12, 13]",567.0,225.0,0,0.75
10,emdqn9k4,max,AVZ5Y3LAPQVJW,9,16,"[2, 7, 6, 8, 9, 11, 12, 13, 14]",566.9903652,53.0,0,0.18
11,emdqn9k4,max,ANKRUP6HERP5W,9,18,"[7, 6, 8, 9, 11, 12, 13, 14, 16]",567.0,58.0,0,0.19
12,emdqn9k4,max,A9E9L9MWEZOPN,9,21,"[6, 8, 9, 11, 12, 13, 14, 16, 18]",1050.0,76.0,0,0.26
13,emdqn9k4,max,A1C6UU3S2IJV41,9,23,"[8, 9, 11, 12, 13, 14, 16, 18, 21]",1088.621501,4.0,0,0.01
14,emdqn9k4,max,A2GJABADCYUK4R,9,25,"[8, 9, 11, 13, 14, 16, 18, 21, 23]",1050.0,7.0,0,0.02
15,emdqn9k4,max,A1P0KZVJUL3GUH,9,27,"[8, 9, 11, 13, 14, 18, 21, 23, 25]",680.3884383,21.0,0,0.07
16,emdqn9k4,max,AYMA9R47TWK1H,9,28,"[8, 9, 11, 13, 18, 21, 23, 25, 27]",1200.0,4.0,1,1.02
17,emdqn9k4,max,A2Q6JYLG4KY958,9,29,"[8, 9, 11, 13, 21, 23, 25, 27, 28]",669.048631,29.0,0,0.1
18,emdqn9k4,max,A2XI3DX3IJ1TAV,9,30,"[8, 9, 11, 13, 21, 23, 25, 27, 28]",1225.0,6.0,1,1.02
19,emdqn9k4,max,A22H99VR12A13Q,9,33,"[8, 9, 11, 13, 21, 23, 25, 28, 30]",1050.0207970000001,4.0,0,0.02
20,emdqn9k4,max,A1UN6Z74XH149G,9,34,"[8, 9, 11, 21, 23, 25, 28, 30, 33]",1225.0,5.0,1,1.02
21,emdqn9k4,max,A197EXGCMR52KI,9,36,"[8, 9, 21, 23, 25, 28, 30, 33, 34]",555.6505579,9.0,0,0.03
