,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,ha6r7s1x,history,AZACVX0Q4KUKJ,0,5,[],34.0194219147673,4.0,0.0,0.01
1,ha6r7s1x,history,A29GLMZQNYAIT3,0,1,[],500.0,27.0,0.0,0.09
2,ha6r7s1x,history,A30FCN88F8DZOT,0,4,[],1197.0,113.0,1.0,1.38
3,ha6r7s1x,history,A3OCYH4BC5E9B4,0,13,[],635.029209075656,70.0,0.0,0.24
4,ha6r7s1x,history,A1V8SKL3ZX0HX1,0,16,[],907.1845843937939,38.0,0.0,0.13
5,ha6r7s1x,history,A18NSLWI3MB4ZK,0,17,[],85.0,49.0,0.0,0.17
6,ha6r7s1x,history,A27AK750Y9M9KH,0,18,[],362.873833757518,96.0,0.0,0.32
7,ha6r7s1x,history,A2QSB0I231089,0,19,[],659.976785146485,3.0,0.0,0.01
8,ha6r7s1x,history,A27FNYMS3DKPXI,0,21,[],660.0,8.0,0.0,0.03
9,ha6r7s1x,history,A32IYSFNRLTVXD,0,20,[],250.0,62.0,0.0,0.21
10,ha6r7s1x,history,AR3KLO7WU84JJ,0,24,[],1230.0,10.0,1.0,1.03
11,ha6r7s1x,history,A2N8SNKVU4M1MB,0,25,[],400.0,7.0,0.0,0.03
12,ha6r7s1x,history,A3K5YOJ8USH6DN,0,26,[],600.0,4.0,0.0,0.01
13,ha6r7s1x,history,AZ4OS53UFG7V0,0,27,[],453.1386999047,11.0,0.0,0.04
14,ha6r7s1x,history,A2F21IVRBXA337,0,29,[],70.760397582716,10.0,0.0,0.03
15,ha6r7s1x,history,A1UX8EOTJR3A6X,0,30,[],2000.0,13.0,0.0,0.04
16,ha6r7s1x,history,A1KJWOIPHVUI4P,0,31,[],362.873833757518,66.0,0.0,0.22
17,ha6r7s1x,history,A39PWM9C4U0TEP,0,32,[],249.475760708293,69.0,0.0,0.23
18,ha6r7s1x,history,A1941R1INABJ86,0,36,[],725.7476675150349,3.0,0.0,0.01
19,ha6r7s1x,history,A1RPTWY69MO4A,0,37,[],394.62529421130097,15.0,0.0,0.05
20,ha6r7s1x,history,AUGF8PTGQKQ7,0,40,[],79.378651134457,13.0,0.0,0.04
21,ha6r7s1x,history,A1G0W1P43RTBKK,0,41,[],700.0,8.0,0.0,0.03
22,ha6r7s1x,history,A2LNJELGZ9NJXC,0,42,[],110.0,12.0,0.0,0.04
23,ha6r7s1x,history,A39J7HS3JV8CN,0,43,[],544.310750636277,11.0,0.0,0.04
24,ha6r7s1x,history,A1S5RUEOKHTRUM,0,44,[],400.0,8.0,0.0,0.03
25,ha6r7s1x,history,A3JVG39ZC5U3AE,0,45,[],182.344101463153,35.0,0.0,0.12
26,ha6r7s1x,history,A2MDORDGPI3WKR,0,46,[],70.0,6.0,0.0,0.02
27,ha6r7s1x,history,A1YXA63F8FN0BX,0,47,[],250.0,3.0,0.0,0.01
28,ha6r7s1x,history,A38430CKSXSBLI,0,48,[],462.66413804083504,10.0,0.0,0.04
29,ha6r7s1x,history,A1P1ZHZTQCHGEX,0,51,[],907.1845843937939,52.0,0.0,0.18
30,ha6r7s1x,history,ABHIF83MBO0V2,0,52,[],294.83498992798303,2.0,0.0,0.01
31,ha6r7s1x,history,A278N0LVC3DDGY,0,53,[],544.310750636277,11.0,0.0,0.04
32,ha6r7s1x,history,A2AMYX1J96G2JG,0,55,[],250.0,2.0,0.0,0.01
33,ha6r7s1x,history,A3RGC0P0GID8KU,0,56,[],635.029209075656,6.0,0.0,0.02
34,ha6r7s1x,history,AYLOHFVGSGSYZ,0,57,[],1200.0,7.0,1.0,1.03
35,ha6r7s1x,history,A34DR0CVUBDL1N,0,58,[],544.310750636277,29.0,0.0,0.1
36,ha6r7s1x,history,ACBTEQQUWAFSK,0,59,[],79.378651134457,9.0,0.0,0.03
37,ha6r7s1x,history,A2I47038VNWZ4O,0,61,[],408.23306297720706,4.0,0.0,0.01
38,ha6r7s1x,history,A35JQ3VLA4WBZC,0,63,[],350.0,10.0,0.0,0.04
39,ha6r7s1x,history,A1SIVXMB10MXNZ,0,64,[],544.310750636277,3.0,0.0,0.01
40,ha6r7s1x,history,A394IKAAZT9KBX,0,65,[],400.0,2.0,0.0,0.01
41,ha6r7s1x,history,AN57INCPKF4VL,0,66,[],150.0,16.0,0.0,0.06
42,ha6r7s1x,history,A1ZD8RU6YB0VEU,0,67,[],362.873833757518,5.0,0.0,0.02
43,ha6r7s1x,history,A16JWNSNXUND2F,0,68,[],1542.2137934694501,5.0,0.0,0.02
44,ha6r7s1x,history,A3HZUGQQKOWKE2,0,69,[],544.310750636277,7.0,0.0,0.02
45,ha6r7s1x,history,A2958TQAW43MP6,0,70,[],1500.0,1.0,0.0,0.01
46,ha6r7s1x,history,A92G860MDBB7X,0,71,[],390.089371289331,6.0,0.0,0.02
47,ha6r7s1x,history,AICAC77VJ3ZDB,0,72,[],557.918519402183,25.0,0.0,0.08
48,ha6r7s1x,history,A1HA15VCWUJ6BI,0,74,[],650.0,13.0,0.0,0.05
49,ha6r7s1x,history,A35D31QHYQUF9V,0,73,[],317.514604537828,58.0,0.0,0.19
50,ha6r7s1x,history,A1YVSHISGIA6QX,0,75,[],700.0,34.0,0.0,0.11
51,ha6r7s1x,history,A2UPD6CI6L9O88,0,76,[],362.873833757518,1.0,0.0,0.01
52,ha6r7s1x,history,A3F8G26PENQ6EO,0,77,[],507.56977496832803,30.0,0.0,0.1
53,ha6r7s1x,history,A2AOUFP2EEWIP1,0,78,[],1300.0,8.0,1.0,1.03
54,ha6r7s1x,history,A2UA2RPZE4J5D8,0,79,[],907.1845843937939,3.0,0.0,0.01
55,ha6r7s1x,history,AA1Q1AVAEW7G4,0,80,[],1100.0,10.0,0.0,0.04
56,ha6r7s1x,history,A3IYDY7TO808Z3,0,81,[],362.873833757518,6.0,0.0,0.02
57,ha6r7s1x,history,A121FRZFN86KC1,0,82,[],235.86799194238702,3.0,0.0,0.01
58,ha6r7s1x,history,A2WJT2WZ7A3C71,0,83,[],381.924710029787,1.0,0.0,0.0
59,ha6r7s1x,history,A340UGIDGIF4W6,0,84,[],544.310750636277,1.0,0.0,0.01
60,ha6r7s1x,history,A39YBLQYIUBR76,0,85,[],752.5096127546519,12.0,0.0,0.04
61,ha6r7s1x,history,AJ0OW41ND7TRZ,0,89,[],544.310750636277,4.0,0.0,0.02
62,ha6r7s1x,history,A3DLVA719SI93K,0,90,[],1250.0,11.0,1.0,1.04
63,ha6r7s1x,history,ALYEON3R1GFKV,0,91,[],408.23306297720706,3.0,0.0,0.01
64,ha6r7s1x,history,A342W8LIOTLJGT,0,92,[],544.310750636277,4.0,0.0,0.01
65,ha6r7s1x,history,A386O2F9V6RGQ8,0,94,[],180.0,5.0,0.0,0.02
66,ha6r7s1x,history,A28S6TTII9JDNI,0,95,[],544.310750636277,7.0,0.0,0.03
67,ha6r7s1x,history,AWKUOA7M4P8YI,0,96,[],544.310750636277,5.0,0.0,0.02
68,ha6r7s1x,history,A3KYEREPRMOTS4,0,97,[],362.873833757518,5.0,0.0,0.02
69,ha6r7s1x,history,A12IIPF9MYF9CC,0,99,[],224.528184637464,2.0,0.0,0.01
70,ha6r7s1x,history,A24B5UF6RMHYGX,0,100,[],78.9250588422601,5.0,0.0,0.02
71,ha6r7s1x,history,A1XQ9VRCDQ922Y,0,101,[],589.6699798559661,6.0,0.0,0.02
72,ha6r7s1x,history,A1L83QPES1MI2R,0,102,[],500.0,6.0,0.0,0.02
73,ha6r7s1x,history,A2O6EQQF2ISHSU,0,106,[],640.0,2.0,0.0,0.01
74,ha6r7s1x,history,A383U9YJIBG4IA,0,107,[],254.01168363026198,2.0,0.0,0.01
75,ha6r7s1x,history,A19C92YJMLTIEB,0,108,[],680.388438295346,5.0,0.0,0.02
