,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,lg30cqht,min,AGQPTDG6ZF3T3,3,2,[],544.310750636277,28.0,0.0,0.1
1,lg30cqht,min,AW47H2ISJWAJC,3,6,[2],635.029209075656,93.0,0.0,0.31
2,lg30cqht,min,A3RLCGRXA34GC0,3,7,"[2, 6]",544.310750636277,139.0,0.0,0.47
3,lg30cqht,min,AK2BB7OB8HYIP,3,12,"[2, 6, 7]",544.310750636277,165.0,0.0,0.55
4,lg30cqht,min,A1VW8Y7XCV3DRW,3,15,"[2, 7, 12]",498.951521416587,184.0,0.0,0.62
5,lg30cqht,min,A2PQ6P3N2BYOVZ,3,17,"[7, 12, 15]",499.0,177.0,0.0,0.59
6,lg30cqht,min,A2LL9PBMB6M1QC,3,19,"[12, 15, 17]",521.631136026432,85.0,0.0,0.28
7,lg30cqht,min,AECD9PQM7FPF0,3,18,"[15, 17, 19]",544.310750636277,111.0,0.0,0.37
8,lg30cqht,min,A3R55C67WKDZKO,3,20,"[15, 17, 19]",521.631136026432,119.0,0.0,0.4
9,lg30cqht,min,A2QUXO9OJY69QM,3,21,"[15, 17, 20]",680.388438295346,102.0,0.0,0.34
10,lg30cqht,min,A1P0XSCJ9XAV74,3,23,"[15, 17, 20]",514.827251643478,0.0,0.0,0.0
11,lg30cqht,min,A30O9P43V0O7K3,3,24,"[15, 17, 23]",514.827251643478,22.0,0.0,0.08
12,lg30cqht,min,A1J9MSHU4I80S5,3,22,"[15, 17, 24]",499.0,29.0,0.0,0.1
13,lg30cqht,min,A1W4M35XT7JK6M,3,25,"[15, 17, 22]",1043.26227205286,0.0,0.0,0.0
14,lg30cqht,min,A1KQWBK5WHCNYQ,3,26,"[15, 17, 22]",499.858706000981,0.0,0.0,0.0
15,lg30cqht,min,A2D30R5ZNQS01W,3,27,"[15, 17, 22]",544.310750636277,29.0,0.0,0.1
16,lg30cqht,min,A2KED6T6BO622W,3,28,"[15, 17, 22]",900.0,34.0,0.0,0.12
17,lg30cqht,min,ASOALSPOWW0WY,3,29,"[15, 17, 22]",544.310750636277,77.0,0.0,0.26
18,lg30cqht,min,A20RVM3V1A3DKX,3,31,"[15, 17, 22]",544.310750636277,59.0,0.0,0.2
19,lg30cqht,min,A1I34C8RHIDMUI,3,32,"[15, 17, 22]",498.99688064580596,67.0,0.0,0.22
