participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.room_busy,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,e7wgc4u8,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:00:34.936201+00:00,1,ATHS9CW2FLYUY,33NF62TLXKLOQN8CDICSUOH2N2FKJJ,0.00,1,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
2,9sxod2yj,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:45.593599+00:00,1,A26Y58YECZUZZG,38BQUHLA9XJXHMZCE7HDHXQSB1KMO9,0.00,2,1,[],2300.0,2300.0,1043.26227205286,0.153882991035796,1,,2018-06-20 09:01:12.396800+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
3,j9u8y4ri,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:00:55.119428+00:00,1,A2HEZCJ1DMZAAX,3GU1KF0O4JKJJV7G2I4JSHKO97CPB4,0.22,3,2,"[2, 5]",0.0,,,,0,,2018-06-20 09:01:35.732731+00:00,66,0.22,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
4,zxy03jwo,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:00.414893+00:00,1,A2W3T75MBHOT8C,3TEM0PF1Q6G9AB1GZTGZ867G4KCD0S,0.32,4,0,,,,,,,1,2018-06-20 09:01:57.529349+00:00,96,0.32,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
5,k80pusqh,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:06.597676+00:00,1,AECQ7QG4CQP69,35L9RVQFCP162DIYJWD9OYALC19HU8,0.11,5,2,[2],2157.0,2157.0,978.398574268707,0.206489396375744,1,,2018-06-20 09:01:28.795301+00:00,31,0.11,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
6,7i0vyuw7,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:05:19.607741+00:00,1,A1H3Z9AQUSX4GM,30BXRYBRP5GJUH73EWSA6MVIXHKHW7,0.00,6,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
7,qr9fpogk,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:19.807092+00:00,1,A299V42H14TK2J,35LDD5557BNERVEXGFPKAG9JRWAKMN,0.00,7,2,[2],0.0,,,,0,,2018-06-20 09:02:00.075219+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
8,3kq9mcz4,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:20.454965+00:00,1,A34X7ZCR1JY139,3S06PH7KSSN9H0MYVCKZMBQQ9CID1V,1.28,8,4,"[2, 5]",1200.0,2645.5476,1200.0,0.0267639902676399,0,,2018-06-20 09:02:21.445604+00:00,84,0.28,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
9,ivvm7dbi,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:01:38.554002+00:00,1,A3IX1RJUNN7R1S,323Q6SJS8JZHJVL8O7IA2Y9I2EUFH7,0.00,9,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
10,31w2q0vt,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:40.318527+00:00,1,A3DTPGXKABAFEJ,3NGMS9VZTM1X5ZU2THUAZDX5MZHFF9,1.41,10,8,"[8, 16, 11]",2700.0,2700.0,1224.69918893162,0.00673220686810843,1,,2018-06-20 09:03:05.434871+00:00,122,0.41,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
11,za0qsqlk,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:48.558080+00:00,1,A31Z5TPD8QKE26,378XPAWRUDWMJZFKJ9E3O9Z65BWAII,0.34,11,6,"[2, 5, 14]",3500.0,7716.1805,3500.0,1.83860502838605,0,,2018-06-20 09:02:23.498182+00:00,101,0.34,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
12,y6heglgw,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:01:49.621541+00:00,1,A2KBTDHM44J7X4,36TFCYNS45TYJHCTO1OW859P6JQHX0,0.00,12,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
13,ve45tzal,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:56.627540+00:00,1,AXQWKUJF7SQXP,32EYX73OY1SJR7W1F1P322CRZA7RUF,0.12,13,0,,,,,,,1,2018-06-20 09:02:21.321658+00:00,34,0.12,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
14,to3pwag1,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:01:58.654577+00:00,1,A3GFC0TORB3TDI,3KRVW3HTZO4CFER5LOYM120T8QNMS6,0.15,14,3,"[2, 5]",104.0,229.280792,104.0,0.915652879156529,0,,2018-06-20 09:02:19.210885+00:00,44,0.15,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
15,woea2lav,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:02:08.125244+00:00,1,AKX2W7899TSSJ,3EKVH9QMEZNG6L4UEGKDRU0V1IWD2C,0.43,15,7,"[14, 8, 16]",600.0,1322.7738,600.0,0.51338199513382,0,,2018-06-20 09:02:45.091897+00:00,128,0.43,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
16,8ip9lk4g,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:02:16.461465+00:00,1,A2S834OHCORO1W,37M28K1J0RWIEAZQ1RZ30AE6IQLAJU,0.40,16,5,"[5, 14, 8]",97.8,215.6121294,97.8,0.920681265206813,0,,2018-06-20 09:02:24.173495+00:00,119,0.4,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
17,42dev4cp,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:02:19.139802+00:00,1,A2J7L7S9GCPJ8V,36H9ULYP63DDA1GYC7LVEBPXF6YFJC,0.50,17,9,"[16, 11, 15]",0.0,,,,0,,2018-06-20 09:03:14.838651+00:00,148,0.5,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
18,uv5c6vx2,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:02:31.450604+00:00,1,AIT1599C1IXTK,3GM6G9ZBKOGDUE4KAO3CB7WFA91MTV,0.00,18,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
19,fbza6cwd,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:02:32.014329+00:00,1,A1G2UWOQCLM4B0,3QAVNHZ3ENNO90NQ4CBGGPRYMFQALW,0.00,19,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
20,2ijh2r8m,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:02:36.818190+00:00,1,A1EKVUFWL7OJMO,36NEMU28XGW5MV8E5T8NYR3EE3JMWL,0.53,20,9,"[11, 15, 10]",3500.0,7716.1805,3500.0,1.83860502838605,0,,2018-06-20 09:03:15.982731+00:00,159,0.53,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
21,hqn9ukjc,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:02:48.007158+00:00,1,A2HVCE3UU4F3PU,3DY4FPOOA27J4ML1KRZ8YOEADHGRV4,0.00,21,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
22,2nxo7n5r,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:03:30.185722+00:00,1,ATQA5XDT6FQGZ,3Y5140Z9DYZT63LM8SW0E4O14XWPID,0.23,22,0,,,,,,,1,2018-06-20 09:03:52.097527+00:00,68,0.23,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
23,cij42c2c,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:03:45.286803+00:00,1,A4QDCBGN79832,3P529IW9KZ4J5R4YFSX8UQ2PJV3FLE,0.45,23,11,"[15, 10, 20]",0.0,,,,0,,2018-06-20 09:04:16.562537+00:00,134,0.45,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
24,ukt1u2p0,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:04:20.716016+00:00,1,AH5GP84SZ6DHL,3C8HJ7UOP8D9GQDJGGSUXVXWV5NMZB,0.12,24,0,,,,,,,1,2018-06-20 09:05:32.602555+00:00,35,0.12,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
25,nj523jh8,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:04:31.095842+00:00,1,A1SNC8UL8YFRH5,36TFCYNS45TYJHCTO1OW859P6JQHX0,0.26,25,11,"[15, 10, 20]",1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-06-20 09:05:27.046494+00:00,79,0.26,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
26,ayq6brk0,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:05:02.952170+00:00,1,A4H1NYJVE7C53,3DZQRBDBSMYBTSJVF6T753RN8Z6S3W,1.29,26,12,"[10, 20, 27]",1224.7,2700.0017881,1224.7,0.00673154906731545,0,,2018-06-20 09:05:27.981044+00:00,85,0.29,1.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
27,zhsx9710,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:05:29.943696+00:00,1,A1VNV1899K7L05,3NC5L260MP5RBC7VSKD0M76JE08FOV,0.00,27,10,"[11, 15, 10]",700.0,1543.2361,700.0,0.43227899432279,0,,2018-06-20 09:05:54.664474+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
28,4xt72ynx,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-06-20 09:05:50.651401+00:00,1,A58D0XGXKAX56,3IUZPWIU1PQAW78BKHV7JEBAPYOKWE,0.00,28,0,,,,,,,,,,,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
29,2zvvhumh,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:06:46.628682+00:00,1,A2C59WG3U48S6O,3DYGAII7PMR6N195L019N6FNV7DPQG,0.00,29,12,"[20, 27, 25]",0.0,,,,0,,2018-06-20 09:07:36.763876+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
30,pqocsdq1,,0,20,19,ox,1,Results,172.16.176.137,2018-06-20 09:07:18.362199+00:00,1,A27T5O2Y7AIH6T,3GLB5JMZFYE6LFC1DV52TYUWB11DGV,0.00,30,12,"[27, 25, 26]",0.0,,,,0,,2018-06-20 09:08:07.746784+00:00,0,0.0,0.00,1,1,0,0.2,30,300,1,3,history,656wmc92,,,3566S7OX5D2RE7NUEXCBY0K7S0M71T,3YVLYSYECGO2I052WIRRU438XJBQ0C,,0
