participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.worker_running,subsession.someone_arriving,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,87mvo6pu,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:03.540554+00:00,1,A3DUPRZSMU9W5R,3M81GAB8A124J78V2VJ8SMAYFSFBQD,0.10,1,2,[2],1800.0,1800.0,816.466125954415,0.337821471245406,1,,2018-07-23 06:58:27.417827+00:00,31,0.1,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
2,0z5htnyy,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:05.226772+00:00,1,A26XF8O4XRL8JA,308XBLVESJN4V8NVFA88XCK3BEHBRE,0.03,2,1,[],780.0,780.0,353.80198791358,0.713055970873009,1,,2018-07-23 06:58:23.523797+00:00,9,0.03,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
3,pmo8rf9p,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:07.106781+00:00,1,A21B78D7E5N17N,3YWRV122CTID92H5GSJ3BLHMA708UG,0.23,3,3,[2],550.0,1212.54265,550.0,0.553933495539335,0,,2018-07-23 06:58:34.703999+00:00,68,0.23,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
4,g4xw2rhx,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 06:58:16.193442+00:00,1,AKB82TCYUECWD,386CSBG1O05YDVR06420H6O61R46QN,0.00,4,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
5,x8qi1535,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:34.563900+00:00,1,A1017OLEMTKNHG,3O6CYIULEEKOZ3DNEVZ9P1K8SE2WUI,0.30,5,4,[2],1500.0,1500.0,680.388438295346,0.448184559371171,1,,2018-07-23 06:58:58.169928+00:00,90,0.3,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
6,rt4d7zkt,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:58:43.023443+00:00,1,A1BANTV8HONS2C,3LPW2N6LKULUMKY3IUC0Z17V8HYU5Z,0.36,6,4,[2],0.0,,,,0,,2018-07-23 06:59:33.269490+00:00,108,0.36,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
7,i3i23qik,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:02.054539+00:00,1,AGSU9C1LDDN91,33LKR6A5KF3GYPIVH2KERF8CDNN1TY,0.73,7,6,[2],1300.0,1300.0,589.669979855966,0.521759951455015,1,,2018-07-23 06:59:37.641201+00:00,219,0.73,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
8,sa8x8fm8,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:09.117970+00:00,1,A38YYLJ92QRU22,3Z4XG4ZF49A5Q6B0LXUQVSGQ4PH8X8,0.56,8,5,[2],2000.0,2000.0,907.184584393794,0.264246079161562,1,,2018-07-23 06:59:36.875152+00:00,168,0.56,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
9,cvwwmoet,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:15.416354+00:00,1,A3L3QOG7X0242,3FPRZHYEPZQRLK0Z91YCGQBU8SH3V8,0.35,9,0,,,,,,,1,2018-07-23 07:00:09.782724+00:00,103,0.35,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
10,ahj3hur5,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 06:59:28.335986+00:00,1,A1RV0U8G7CIPJQ,3HMIGG0U4MPUQB1AQTGSE6NZ6VB8YE,0.00,10,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
11,ow8cginb,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:36.192463+00:00,1,A1MGY4WBYIYMIP,32UTUBMZ7HFWOF4COUDIY996WKUBV7,0.14,11,0,,,,,,,1,2018-07-23 06:59:55.006423+00:00,41,0.14,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
12,jp44fsny,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 06:59:40.295106+00:00,1,A2BACJE00ZUDXS,39GAF6DQWSJVBHMKMXKTSXWXA831VE,0.87,12,6,[2],0.0,,,,0,,2018-07-23 07:00:02.976321+00:00,262,0.87,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
13,ixpeqtou,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:00:02.539348+00:00,1,A247LQ2UQW4LH0,3M0BCWMB8WF9344HE4IEKBSK3TWBWH,0.89,13,7,[2],700.0,700.0,317.514604537828,0.742486127706547,1,,2018-07-23 07:01:03.652550+00:00,266,0.89,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
14,vu3xsfad,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:00:58.901327+00:00,1,A2YE45E9WFHX7Z,39DD6S19JQUB42L6ZI4BKNSNNSCZEU,0.13,14,0,,,,,,,1,2018-07-23 07:02:44.612164+00:00,38,0.13,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
15,wxinfqav,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:01:38.808837+00:00,1,ABEYW17XYSR19,3SITXWYCNWSOS497O9E0MU6RCV2BXA,0.77,15,7,[13],0.0,,,,0,,2018-07-23 07:02:19.741155+00:00,231,0.77,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
