,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,qbp8ivmd,min,A26XF8O4XRL8JA,1,2,[],353.8019879,9.0,0,0.03
1,qbp8ivmd,min,A3DUPRZSMU9W5R,1,1,[2],816.466126,31.0,0,0.1
2,qbp8ivmd,min,A21B78D7E5N17N,1,3,[2],550.0,68.0,0,0.23
3,qbp8ivmd,min,A1017OLEMTKNHG,1,5,[2],680.3884383,90.0,0,0.3
4,qbp8ivmd,min,A38YYLJ92QRU22,1,8,[2],907.1845844000001,168.0,0,0.56
5,qbp8ivmd,min,AGSU9C1LDDN91,1,7,[2],589.6699798999999,219.0,0,0.73
6,qbp8ivmd,min,A247LQ2UQW4LH0,1,13,[2],317.5146045,266.0,0,0.89
7,qbp8ivmd,min,A20SMUCY0FQA7Z,1,18,[13],315.0,227.0,0,0.76
8,qbp8ivmd,min,A19NWZW9G2K8FR,1,16,[18],544.3107506,277.0,0,0.93
9,qbp8ivmd,min,A122E99M2DQY1G,1,19,[18],6.0,281.0,0,0.94
10,qbp8ivmd,min,A1QKIA8XRNEXIG,1,23,[18],441.7988926,210.0,0,0.7
11,qbp8ivmd,min,A2BXQ8SZLFQF4D,1,25,[18],362.8738338,6.0,0,0.02
12,qbp8ivmd,min,A1AMR0MZOHU8P1,1,26,[18],997.9030428,19.0,0,0.06
13,qbp8ivmd,min,A2DWSKGD9RNKMJ,1,28,[18],353.8019879,65.0,0,0.22
14,qbp8ivmd,min,A1DDBMHUUD900B,1,29,[18],612.8031867999999,8.0,0,0.03
15,qbp8ivmd,min,A9LX66EQWDRQ5,1,30,[18],635.0292091,6.0,0,0.02
16,qbp8ivmd,min,A2G0GS8LJN1YMY,1,32,[18],498.9515214,7.0,0,0.02
17,qbp8ivmd,min,A1XJ1HM70IX4AQ,1,33,[18],543.4035661,22.0,0,0.08
18,qbp8ivmd,min,A39EH9228GV09X,1,34,[18],158.7573023,6.0,0,0.02
19,qbp8ivmd,min,A2J988AKKQE93,1,37,[34],750.0,3.0,0,0.01
20,qbp8ivmd,min,A1LQKMSG4GT8N,1,38,[34],294.8349899,5.0,0,0.02
21,qbp8ivmd,min,A196265AVT9LKH,1,39,[34],544.3107506,17.0,0,0.06
22,qbp8ivmd,min,A2M1CVZZJAN4T4,1,40,[34],500.0,4.0,0,0.02
23,qbp8ivmd,min,A2A2PCKG5Q3U2G,1,43,[34],317.5146045,2.0,0,0.01
24,qbp8ivmd,min,A34V7HUH38XVGT,1,44,[34],145.1495335,4.0,0,0.02
