,session,method,mturker,views,id,hist,guess,time,bonus,pay
0,t6vyrc0x,min,A21SIPO89DP66I,1,1,[],612.349594465811,3.0,0.0,0.01
1,t6vyrc0x,min,A18E16UFE351U6,1,2,[1],771.1068967347251,7.0,0.0,0.03
2,t6vyrc0x,min,A34UER5ZQ5APMB,1,3,[1],544.310750636277,45.0,0.0,0.15
3,t6vyrc0x,min,A2NGBBZKTUBTHS,1,8,[3],566.990365246121,59.0,0.0,0.2
4,t6vyrc0x,min,A11CEBNEYKIPU1,1,5,[3],1218.0,100.0,1.0,1.33
5,t6vyrc0x,min,A2WJGI7XNUBRND,1,7,[3],211.827600455951,154.0,0.0,0.51
6,t6vyrc0x,min,A22X2UCMM5IB2U,1,9,[7],566.990365246121,188.0,0.0,0.63
7,t6vyrc0x,min,A2HOFW0TRHLC04,1,10,[7],1360.77687659069,222.0,0.0,0.74
8,t6vyrc0x,min,A20ASMCESA51U4,1,4,[7],520.0,249.0,0.0,0.83
9,t6vyrc0x,min,AVEEXNWYXBSGM,1,13,[7],224.528184637464,172.0,0.0,0.57
10,t6vyrc0x,min,A1YATC681A2FIH,1,18,[7],907.1845843937939,8.0,0.0,0.03
11,t6vyrc0x,min,A374FPA3XROZUJ,1,20,[7],242.218284033143,7.0,0.0,0.03
12,t6vyrc0x,min,A2A14Q1JLWW6R1,1,22,[7],997.903042833174,7.0,0.0,0.03
13,t6vyrc0x,min,A30MP4LXV4MIFD,1,23,[7],173.272255619215,43.0,0.0,0.15
14,t6vyrc0x,min,A3GWEBM7DX4L0I,1,21,[23],997.903042833174,48.0,0.0,0.16
15,t6vyrc0x,min,A2L0DI8GCL54U8,1,25,[23],226.796146098449,33.0,0.0,0.11
16,t6vyrc0x,min,A2T11H7YI7QPGD,1,26,[23],362.873833757518,26.0,0.0,0.09
17,t6vyrc0x,min,AQ7RNVB2GZKUZ,1,27,[23],181.436916878759,44.0,0.0,0.15
18,t6vyrc0x,min,A2STXZFG083AAB,1,28,[23],702.160868320797,4.0,0.0,0.02
19,t6vyrc0x,min,AWE9A4ZOP9LNU,1,29,[23],542.042789175292,58.0,0.0,0.2
20,t6vyrc0x,min,A3MZE4FJ658B79,1,30,[23],455.860253657882,82.0,0.0,0.28
21,t6vyrc0x,min,A2NX08I5DFI8ZR,1,32,[23],230.0,6.0,0.0,0.02
22,t6vyrc0x,min,A2148LZC82UBIX,1,33,[23],171.3,8.0,0.0,0.03
23,t6vyrc0x,min,A22D5SCSQ6K2RP,1,34,[33],158.757302268914,4.0,0.0,0.01
24,t6vyrc0x,min,A3FUTSFH39MJA5,1,35,[34],544.310750636277,5.0,0.0,0.02
25,t6vyrc0x,min,A34DKLILCWYIHU,1,37,[34],181.436916878759,9.0,0.0,0.03
26,t6vyrc0x,min,A26OCSX1VUO9EV,1,36,[34],480.0,18.0,0.0,0.06
27,t6vyrc0x,min,A26QHFTPCBGRFM,1,38,[34],544.310750636277,1.0,0.0,0.01
28,t6vyrc0x,min,A3R1L6ID6NE0LU,1,39,[34],453.59229219689695,3.0,0.0,0.01
29,t6vyrc0x,min,A3ZWMVK6GNTJ8,1,40,[34],544.310750636277,8.0,0.0,0.03
30,t6vyrc0x,min,A13FSH028ER11Z,1,42,[34],2041.1653148860398,8.0,0.0,0.03
31,t6vyrc0x,min,A37GOI3N77WX21,1,43,[34],249.475760708293,3.0,0.0,0.01
32,t6vyrc0x,min,A3AMKPBPSL8ESW,1,44,[34],2177.2430025451104,2.0,0.0,0.01
33,t6vyrc0x,min,A19AGGT81I9VFD,1,46,[34],578.330172551044,33.0,0.0,0.11
34,t6vyrc0x,min,A1EIDGQ6CF15J,1,45,[34],408.23306297720706,30.0,0.0,0.1
35,t6vyrc0x,min,A1535FFYCFNGBX,1,47,[34],600.0,6.0,0.0,0.02
36,t6vyrc0x,min,A18EYTWBCV8NKE,1,48,[34],725.7476675150349,27.0,0.0,0.09
37,t6vyrc0x,min,A38HSRG6HHS8FX,1,49,[34],204.116531488604,7.0,0.0,0.02
38,t6vyrc0x,min,A3311N5SIVPP96,1,50,[34],226.796146098449,20.0,0.0,0.07
39,t6vyrc0x,min,A61EOMF7DFVA9,1,51,[34],568.3511421227121,34.0,0.0,0.12
40,t6vyrc0x,min,A1CQPRZUT6BW44,1,53,[34],476.27190680674204,2.0,0.0,0.01
41,t6vyrc0x,min,A1QX1YDOAN4LNA,1,54,[34],170.097109573836,3.0,0.0,0.01
42,t6vyrc0x,min,AWTBYWQ9K6B9O,1,56,[34],1700.0,2.0,0.0,0.01
43,t6vyrc0x,min,A2S5JE15ITRV7N,1,57,[34],244.939837786324,6.0,0.0,0.02
44,t6vyrc0x,min,A3RZJWELNDWNS4,1,59,[34],370.0,6.0,0.0,0.02
45,t6vyrc0x,min,A2NLUBB2MDNU9R,1,60,[34],544.310750636277,6.0,0.0,0.02
46,t6vyrc0x,min,A2H91DERNK3CAL,1,61,[34],544.310750636277,4.0,0.0,0.02
47,t6vyrc0x,min,AVSDN1EUFYHTH,1,66,[34],330.0,5.0,0.0,0.02
48,t6vyrc0x,min,A30NX5HEQGGFPP,1,67,[34],383.285486906378,6.0,0.0,0.02
49,t6vyrc0x,min,A1ATL3G98SFW4V,1,69,[34],408.23306297720706,7.0,0.0,0.02
50,t6vyrc0x,min,A1I8EWT2DMNAKU,1,70,[34],286.0,3.0,0.0,0.01
51,t6vyrc0x,min,A1F1X57CUVKKLP,1,71,[34],544.310750636277,3.0,0.0,0.01
52,t6vyrc0x,min,A2UEVVA7PBW8EL,1,72,[34],544.0,4.0,0.0,0.01
53,t6vyrc0x,min,A2NGMLBFZ3YQP5,1,73,[34],680.388438295346,1.0,0.0,0.01
54,t6vyrc0x,min,A35JIQGE3V7YIC,1,75,[34],3288.5441184275,3.0,0.0,0.01
55,t6vyrc0x,min,A13DEGO7T1BLBI,1,74,[34],1200.0,23.0,1.0,1.08
56,t6vyrc0x,min,A1EPE2IRWQ9XO2,1,76,[34],553.382596480214,8.0,0.0,0.03
57,t6vyrc0x,min,A1E8UHTVL7X3IT,1,81,[34],498.951521416587,7.0,0.0,0.03
58,t6vyrc0x,min,AP1LIKDI6QIFZ,1,82,[34],204.116531488604,6.0,0.0,0.02
59,t6vyrc0x,min,A1VVR9MA1P9HWJ,1,83,[34],204.116531488604,8.0,0.0,0.03
60,t6vyrc0x,min,A23OR0D1FCUVMM,1,84,[34],635.029209075656,4.0,0.0,0.02
61,t6vyrc0x,min,ASW9MABLSXSPK,1,85,[34],263.08352947419996,5.0,0.0,0.02
62,t6vyrc0x,min,AMYZ8WZD19W29,1,86,[34],362.873833757518,7.0,0.0,0.03
63,t6vyrc0x,min,A2HNL20X0Q9BP0,1,88,[34],1133.98073049224,3.0,1.0,1.01
64,t6vyrc0x,min,A2LHA9ZHYTGWAE,1,89,[34],635.029209075656,5.0,0.0,0.02
65,t6vyrc0x,min,A14YBHS8YBLDAG,1,90,[34],176.90099395679002,5.0,0.0,0.02
66,t6vyrc0x,min,A3FQXQJSY7LWHO,1,91,[34],1474.17494963992,6.0,0.0,0.02
67,t6vyrc0x,min,A3OMNUAM8T27ZX,1,93,[34],614.6175559267961,2.0,0.0,0.01
68,t6vyrc0x,min,A27KAUX40K606M,1,92,[34],442.25248489197503,57.0,0.0,0.19
69,t6vyrc0x,min,A23USYMEIHSTMA,1,95,[34],997.903042833174,7.0,0.0,0.03
70,t6vyrc0x,min,A3IB7YJHP04OHI,1,96,[34],210.920415871557,4.0,0.0,0.02
71,t6vyrc0x,min,A1D86R63X2AHFZ,1,97,[34],181.436916878759,6.0,0.0,0.02
