,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,2hxe3g0w,history,2018-08-30 08:02:38.433844+00:00,A6E9MF642WUOE,148,9,2,1,[],155.0,6.0,1.0,1.02
1,2hxe3g0w,history,2018-08-30 08:07:38.898291+00:00,A28JXW5YZJDNK4,148,9,6,1,[2],75.0,23.0,0.0,0.08
2,2hxe3g0w,history,2018-08-30 08:07:18.192529+00:00,AF09UGIC6B81Y,148,9,5,1,"[2, 6]",100.0,40.0,0.0,0.14
3,2hxe3g0w,history,2018-08-30 08:09:28.318198+00:00,A31681CCEVDIH3,148,9,9,1,"[2, 6, 5]",90.0,24.0,0.0,0.08
4,2hxe3g0w,history,2018-08-30 08:09:25.001352+00:00,A2BACJE00ZUDXS,148,9,8,1,"[2, 6, 5, 9]",150.0,69.0,1.0,1.23
5,2hxe3g0w,history,2018-08-30 08:10:48.246750+00:00,A13DWIR234T9SW,148,9,11,1,"[2, 6, 5, 9, 8]",300.0,38.0,0.0,0.13
6,2hxe3g0w,history,2018-08-30 08:12:49.393036+00:00,A30UE6DWFNUCWX,148,9,13,1,"[2, 6, 5, 9, 8, 11]",85.0,10.0,0.0,0.03
7,2hxe3g0w,history,2018-08-30 08:16:05.606062+00:00,A11T4227GSO6EP,148,9,14,1,"[2, 6, 5, 9, 8, 11, 13]",140.0,4.0,1.0,1.02
8,2hxe3g0w,history,2018-08-30 08:16:15.477096+00:00,A9TV5YTO2VBW,148,9,15,1,"[2, 6, 5, 9, 8, 11, 13, 14]",175.0,27.0,0.0,0.09
9,2hxe3g0w,history,2018-08-30 08:17:06.063841+00:00,A3DMSP55I880KW,148,9,16,1,"[2, 6, 5, 9, 8, 11, 13, 14, 15]",168.0,13.0,0.0,0.04
10,2hxe3g0w,history,2018-08-30 08:24:43.126257+00:00,A3ADP5EDYSB9HD,148,9,17,1,"[6, 5, 9, 8, 11, 13, 14, 15, 16]",104.0,4.0,0.0,0.02
11,2hxe3g0w,history,2018-08-30 08:25:55.645073+00:00,AKYZNHP7ZFV55,148,9,18,1,"[5, 9, 8, 11, 13, 14, 15, 16, 17]",120.0,5.0,0.0,0.02
