,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,3cda8qpn,history,2018-08-12 20:39:27.952149+00:00,A2IPO6UJZDIQ91,55,3,3,1,[],80.0,6.0,0.0,0.02
1,3cda8qpn,history,2018-08-12 20:39:32.434189+00:00,A25ZLJK1VMAXXQ,55,3,5,1,[3],50.0,58.0,1.0,1.19
2,3cda8qpn,history,2018-08-12 20:39:35.876975+00:00,A34SLWTNACPBMO,55,3,7,1,"[3, 5]",45.0,91.0,0.0,0.3
3,3cda8qpn,history,2018-08-12 20:39:32.768038+00:00,A3RLCGRXA34GC0,55,3,6,1,"[3, 5, 7]",58.0,119.0,1.0,1.4
4,3cda8qpn,history,2018-08-12 20:39:35.835981+00:00,A2DBZBT85UQYO4,55,3,8,1,"[5, 7, 6]",55.0,138.0,1.0,1.46
5,3cda8qpn,history,2018-08-12 20:39:39.909459+00:00,A2D9K4Y8PYHUQO,55,3,9,1,"[7, 6, 8]",49.0,185.0,0.0,0.62
6,3cda8qpn,history,2018-08-12 20:40:54.287513+00:00,A272X64FOZFYLB,55,3,31,1,"[6, 8, 9]",53.0,164.0,1.0,1.55
7,3cda8qpn,history,2018-08-12 20:40:42.059914+00:00,A2QDQIBK0SCK02,55,3,27,1,"[8, 9, 31]",52.0,218.0,1.0,1.73
8,3cda8qpn,history,2018-08-12 20:42:49.379321+00:00,A1P2PGUM5PBO2F,55,3,43,1,"[9, 31, 27]",45.0,173.0,0.0,0.58
9,3cda8qpn,history,2018-08-12 20:41:50.802969+00:00,A25ZZOSL7MVU22,55,3,38,1,"[31, 27, 43]",55.0,229.0,1.0,1.77
10,3cda8qpn,history,2018-08-12 20:40:52.290770+00:00,A1P6OXEJ86HQRM,55,3,30,1,"[27, 43, 38]",56.0,268.0,1.0,1.89
11,3cda8qpn,history,2018-08-12 20:40:06.997651+00:00,AD1ILDUXZHASF,55,3,17,1,"[43, 38, 30]",57.0,217.0,1.0,1.72
12,3cda8qpn,history,2018-08-12 20:45:12.000972+00:00,A207IHY6GERCFO,55,3,60,1,"[38, 30, 17]",58.0,266.0,1.0,1.89
13,3cda8qpn,history,2018-08-12 20:46:48.452639+00:00,A1Q7ZA8HM2L25X,55,3,70,1,"[30, 17, 60]",75.0,218.0,0.0,0.73
14,3cda8qpn,history,2018-08-12 20:47:04.680313+00:00,A4EJNWLWAUTDU,55,3,75,1,"[17, 60, 70]",60.0,255.0,1.0,1.85
15,3cda8qpn,history,2018-08-12 20:47:01.246097+00:00,A2YM550H2AL6JO,55,3,74,1,"[60, 70, 75]",65.0,181.0,0.0,0.6
16,3cda8qpn,history,2018-08-12 20:50:33.788325+00:00,AGWHBRX2T3665,55,3,95,1,"[70, 75, 74]",55.0,172.0,1.0,1.57
17,3cda8qpn,history,2018-08-12 20:45:34.372540+00:00,A3EWC3BN8RU33I,55,3,63,1,"[75, 74, 95]",85.0,149.0,0.0,0.5
18,3cda8qpn,history,2018-08-12 20:45:45.327954+00:00,A35TWG9VW1MB5S,55,3,64,1,"[74, 95, 63]",57.0,178.0,1.0,1.6
19,3cda8qpn,history,2018-08-12 20:52:19.138557+00:00,A3UTW9NJ2V7CZA,55,3,100,1,"[95, 63, 64]",54.0,182.0,1.0,1.61
20,3cda8qpn,history,2018-08-12 20:52:23.900835+00:00,A3T9C1USL4V4IJ,55,3,101,1,"[63, 64, 100]",49.0,220.0,0.0,0.74
21,3cda8qpn,history,2018-08-12 20:48:32.994390+00:00,AS7ZK30LXDC46,55,3,88,1,"[64, 100, 101]",55.0,213.0,1.0,1.71
22,3cda8qpn,history,2018-08-12 20:42:57.754607+00:00,A3TUJHF9LW3M8N,55,3,45,1,"[100, 101, 88]",60.0,247.0,1.0,1.82
