,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,5du4txa7,history,2018-08-20 18:03:41.401864+00:00,A2M5I4KGKF9J7Q,403,3,7,1,[],265.0,9.0,0.0,0.03
1,5du4txa7,history,2018-08-20 18:03:37.148285+00:00,AC2CRA0DSCFE5,403,3,4,1,[7],400.0,26.0,1.0,1.09
2,5du4txa7,history,2018-08-20 18:03:37.892092+00:00,A3VSVS5F54NRJX,403,3,5,1,"[7, 4]",325.0,43.0,0.0,0.14
3,5du4txa7,history,2018-08-20 18:04:13.145234+00:00,A1C7XI68SED8JE,403,3,10,1,"[7, 4, 5]",110.0,81.0,0.0,0.27
4,5du4txa7,history,2018-08-20 18:04:16.247352+00:00,A3VZA2YUYAOE0K,403,3,11,1,"[4, 5, 10]",325.0,111.0,0.0,0.37
5,5du4txa7,history,2018-08-20 18:04:40.523611+00:00,A1UBMR7KI0S8DS,403,3,15,1,"[5, 10, 11]",285.0,112.0,0.0,0.37
6,5du4txa7,history,2018-08-20 18:04:06.456430+00:00,A3F7LBV636PIGR,403,3,9,1,"[10, 11, 15]",285.0,111.0,0.0,0.37
7,5du4txa7,history,2018-08-20 18:05:20.801496+00:00,A29EL77Y1V21Q7,403,3,21,1,"[11, 15, 9]",300.0,149.0,0.0,0.5
8,5du4txa7,history,2018-08-20 18:04:41.206694+00:00,A1UX8EOTJR3A6X,403,3,16,1,"[15, 9, 21]",386.0,149.0,1.0,1.5
9,5du4txa7,history,2018-08-20 18:06:01.804099+00:00,A3L8LSM7V7KX3T,403,3,25,1,"[9, 21, 16]",250.0,141.0,0.0,0.47
10,5du4txa7,history,2018-08-20 18:06:49.052922+00:00,A3OP9JVOZD8EPR,403,3,28,1,"[21, 16, 25]",403.0,145.0,1.0,1.48
11,5du4txa7,history,2018-08-20 18:06:18.216815+00:00,A3RE387GXHAL1C,403,3,26,1,"[16, 25, 28]",1500.0,131.0,0.0,0.44
12,5du4txa7,history,2018-08-20 18:08:42.642087+00:00,A1XGI8153WBWFQ,403,3,36,1,"[25, 28, 26]",504.0,201.0,0.0,0.67
13,5du4txa7,history,2018-08-20 18:11:54.444146+00:00,A1CZ2GB5LZ9O5H,403,3,43,1,"[28, 26, 36]",175.0,163.0,0.0,0.55
14,5du4txa7,history,2018-08-20 18:12:45.379646+00:00,A1YILFU07P6DND,403,3,44,1,"[26, 36, 43]",324.0,125.0,0.0,0.42
15,5du4txa7,history,2018-08-20 18:13:37.898032+00:00,A2R6EIJYKZGUN8,403,3,45,1,"[36, 43, 44]",350.0,91.0,0.0,0.3
16,5du4txa7,history,2018-08-20 18:14:27.662089+00:00,A16TP8YGKE1FJ5,403,3,47,1,"[43, 44, 45]",418.0,108.0,1.0,1.36
17,5du4txa7,history,2018-08-20 18:27:55.600047+00:00,A2TLN8489YGY81,403,3,71,1,"[44, 45, 47]",410.0,246.0,1.0,1.82
18,5du4txa7,history,2018-08-20 18:32:05.269865+00:00,A2ILUP6FN8HKKC,403,3,72,1,"[45, 47, 71]",390.0,55.0,1.0,1.18
19,5du4txa7,history,2018-08-20 18:10:45.513413+00:00,A2JC1GIGI1QAXA,403,3,40,1,"[47, 71, 72]",160.0,37.0,0.0,0.13
20,5du4txa7,history,2018-08-20 18:33:45.908965+00:00,A1HLG5NN2I16GN,403,3,73,1,"[71, 72, 40]",350.0,18.0,0.0,0.06
21,5du4txa7,history,2018-08-20 18:35:05.897970+00:00,A1ETJBNTO9ZWZ8,403,3,74,1,"[72, 40, 73]",170.0,16.0,0.0,0.05
22,5du4txa7,history,2018-08-20 18:18:36.929658+00:00,A4RT8SPRCRYVN,403,3,63,1,"[40, 73, 74]",165.0,49.0,0.0,0.16
23,5du4txa7,history,2018-08-20 18:35:50.257545+00:00,A2LEYLSJVROED3,403,3,75,1,"[73, 74, 63]",220.0,78.0,0.0,0.26
24,5du4txa7,history,2018-08-20 18:36:26.956848+00:00,A3HMDGRGC5JB7E,403,3,77,1,"[74, 63, 75]",185.0,62.0,0.0,0.21
25,5du4txa7,history,2018-08-20 18:18:06.417413+00:00,A1506T1PAYRT16,403,3,62,1,"[63, 75, 77]",172.0,5.0,0.0,0.02
26,5du4txa7,history,2018-08-20 18:44:14.705488+00:00,A2R1TM9CS8OAL,403,3,78,1,"[75, 77, 62]",260.0,4.0,0.0,0.02
27,5du4txa7,history,2018-08-20 18:46:25.860164+00:00,A1Z5GJ9ZT65RNE,403,3,79,1,"[77, 62, 78]",194.0,4.0,0.0,0.02
28,5du4txa7,history,2018-08-20 18:47:36.151790+00:00,A2VR0KBCWPY8E1,403,3,80,1,"[62, 78, 79]",400.0,5.0,1.0,1.02
29,5du4txa7,history,2018-08-20 18:48:02.356366+00:00,A2EVTBJG1Z9TCP,403,3,81,1,"[78, 79, 80]",150.0,32.0,0.0,0.11
30,5du4txa7,history,2018-08-20 18:48:08.573713+00:00,A3LIV109259OU2,403,3,82,1,"[79, 80, 81]",440.0,10.0,1.0,1.03
31,5du4txa7,history,2018-08-20 18:49:11.550158+00:00,A2GREARJHXCC1S,403,3,83,1,"[80, 81, 82]",650.0,63.0,0.0,0.21
32,5du4txa7,history,2018-08-20 18:49:12.330618+00:00,AU3327LWY4SU1,403,3,84,1,"[81, 82, 83]",900.0,90.0,0.0,0.3
33,5du4txa7,history,2018-08-20 18:50:01.277385+00:00,A2DWSKGD9RNKMJ,403,3,85,1,"[82, 83, 84]",223.0,99.0,0.0,0.33
34,5du4txa7,history,2018-08-20 18:51:13.218253+00:00,A1EIDGQ6CF15J,403,3,86,1,"[83, 84, 85]",555.0,28.0,0.0,0.1
35,5du4txa7,history,2018-08-20 18:51:58.510052+00:00,A2LTOS0AZ3B28A,403,3,87,1,"[84, 85, 86]",350.0,62.0,0.0,0.21
36,5du4txa7,history,2018-08-20 18:54:58.177540+00:00,AHOTKNMJFS8TR,403,3,88,1,"[85, 86, 87]",600.0,6.0,0.0,0.02
37,5du4txa7,history,2018-08-20 19:02:02.802067+00:00,A2ZLJQWCM8KU36,403,3,89,1,"[86, 87, 88]",250.0,5.0,0.0,0.02
38,5du4txa7,history,2018-08-20 19:07:21.885225+00:00,A1YIBSKY9U31X6,403,3,90,1,"[87, 88, 89]",300.0,5.0,0.0,0.02
39,5du4txa7,history,2018-08-20 19:07:34.358834+00:00,A2C3IB7C7HWQ1G,403,3,91,1,"[88, 89, 90]",450.0,25.0,0.0,0.08
40,5du4txa7,history,2018-08-20 19:24:37.279523+00:00,A30WYFCRD2LBDV,403,3,93,1,"[89, 90, 91]",300.0,5.0,0.0,0.02
41,5du4txa7,history,2018-08-20 19:38:52.500559+00:00,A29AEPWSPGH0HX,403,3,94,1,"[90, 91, 93]",235.0,5.0,0.0,0.02
42,5du4txa7,history,2018-08-20 19:47:09.777231+00:00,A33QIOA2EYW0LC,403,3,96,1,"[91, 93, 94]",400.0,4.0,1.0,1.02
43,5du4txa7,history,2018-08-20 19:51:53.992579+00:00,ABILN5TZDPKOP,403,3,97,1,"[93, 94, 96]",140.0,10.0,0.0,0.04
44,5du4txa7,history,2018-08-20 19:52:38.073972+00:00,A3B50WSCPLFKVA,403,3,98,1,"[94, 96, 97]",222.0,4.0,0.0,0.02
45,5du4txa7,history,2018-08-20 19:57:57.573103+00:00,A27ZW1CY6TMKT8,403,3,100,1,"[96, 97, 98]",550.0,6.0,0.0,0.02
46,5du4txa7,history,2018-08-20 19:59:55.399995+00:00,A3MZE4FJ658B79,403,3,101,1,"[97, 98, 100]",500.0,5.0,0.0,0.02
47,5du4txa7,history,2018-08-20 20:03:28.293994+00:00,A3EWC3BN8RU33I,403,3,102,1,"[98, 100, 101]",185.0,10.0,0.0,0.03
48,5du4txa7,history,2018-08-20 20:04:15.068010+00:00,A89R5XGMHOTJE,403,3,103,1,"[100, 101, 102]",400.0,10.0,1.0,1.03
