,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,654w33sp,max,A1Q1HSGBD1POWV,rwx9awlw,3,2,[],275.5,0.0,0.0,0.0
1,654w33sp,max,A2JIEQQQIGK6P7,21e7kddu,3,6,[2],272.155375318138,0.0,0.0,0.0
2,654w33sp,max,A2V3ECGQQYNO85,tqe4azld,3,1,[2],408.23306297720706,31.0,0.0,0.1
3,654w33sp,max,A12IHTKQFQIPD1,x6df8vzr,3,8,"[2, 6]",408.23306297720706,19.0,0.0,0.07
4,654w33sp,max,A2G1CPU70FHS68,kqz0tvwp,3,7,"[2, 6, 1]",275.5,39.0,0.0,0.13
5,654w33sp,max,A1A1A9UHNQCI9Y,wq3u1kph,3,9,"[2, 1, 8]",420.026462574327,58.0,0.0,0.2
6,654w33sp,max,A2C0IDLBIOPOMG,08bcabjt,3,10,"[1, 8, 9]",120.0,32.0,0.0,0.11
7,654w33sp,max,A1DZDHDL1ASHZU,we56b2hs,3,12,"[1, 8, 9]",423.655200911902,56.0,0.0,0.19
8,654w33sp,max,A258MR1IS96JEP,m6wuk06t,3,13,"[8, 9, 12]",420.026462574327,0.0,0.0,0.0
9,654w33sp,max,A35LA2SVNQS65E,jpj9z0gb,3,14,"[9, 12, 13]",930.0,0.0,0.0,0.0
10,654w33sp,max,AGZJG33624R94,kd5f3exg,3,15,"[12, 13, 14]",2050.3,27.0,0.0,0.09
11,654w33sp,max,A1QL2WQXXJNFB2,gl6hnyzu,3,16,"[12, 14, 15]",930.000276691298,0.0,0.0,0.0
12,654w33sp,max,AS2WTWYVRW9BV,j59k9syj,3,17,"[14, 15, 16]",1466.46388067257,0.0,0.0,0.0
13,654w33sp,max,ANWWLIPXD3WU,1bkohbjz,3,18,"[15, 16, 17]",1466.46388067257,0.0,0.0,0.0
14,654w33sp,max,A2F93SIUUV5HQH,a3ex51as,3,19,"[15, 17, 18]",1587.57302268914,4.0,0.0,0.01
15,654w33sp,max,A366XT3FM92R6H,wd51ztg1,3,22,"[15, 18, 19]",2050.28251995919,0.0,0.0,0.0
16,654w33sp,max,A33KTU8KJ5CP2T,8zd7zen3,3,23,"[15, 19, 22]",1587.0,0.0,0.0,0.0
17,654w33sp,max,A19758XA6CIJ3C,0qno6apo,3,24,"[15, 19, 22]",1587.57302268914,0.0,0.0,0.0
18,654w33sp,max,A1X3G033DSTPDY,h2prw6fj,3,27,"[15, 22, 24]",2050.3,0.0,0.0,0.0
19,654w33sp,max,A357C0NLWK75L0,to6jy7hk,3,29,"[15, 22, 27]",2050.28251995919,0.0,0.0,0.0
20,654w33sp,max,A2A9FPR7W6BU3E,4fp0iwgw,3,30,"[15, 27, 29]",2096.50357453406,0.0,0.0,0.0
21,654w33sp,max,A35P8YSNTQ7OTP,v5aedfmc,3,31,"[15, 27, 30]",2015.7641465230101,0.0,0.0,0.0
22,654w33sp,max,A1XC103XSP8MMD,tjyygrke,3,33,"[15, 27, 30]",2094.6892053652696,0.0,0.0,0.0
