,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
6001,dots,A3LOAK3P1D1VOO,history,1,9bbkjlye,td65igus,2,1,[],375.0,1.0,403
6004,dots,A132MSWBBVTOES,history,1,9bbkjlye,0t1i1wcc,5,2,[2],185.0,0.0,403
6002,dots,A2YE45E9WFHX7Z,history,1,9bbkjlye,3ljxhxxm,3,3,[5],1000.0,0.0,403
6010,dots,A3PENQIO0WNLJN,history,1,9bbkjlye,p4szttkl,11,4,[3],200.0,0.0,403
6012,dots,A2GGKN1LCJKZ5F,history,1,9bbkjlye,8ztyvk3f,13,5,[11],230.0,0.0,403
6013,dots,A3GFZ1XUDP6XND,history,1,9bbkjlye,jtrnboht,14,6,[13],240.0,0.0,403
6015,dots,A3C2PSZEKN8OWD,history,1,9bbkjlye,00ovstqk,16,7,[14],350.0,0.0,403
6014,dots,A12569NJ7KY1KX,history,1,9bbkjlye,je2q0khh,15,8,[16],500.0,0.0,403
6016,dots,AECQ7QG4CQP69,history,1,9bbkjlye,6rt6cq2s,17,9,[15],1000.0,0.0,403
6017,dots,A1L7XPJRXA2KJZ,history,1,9bbkjlye,bmzspyi4,18,10,[17],100.0,0.0,403
6018,dots,A2DW47AFPJWXAM,history,1,9bbkjlye,zmgphtni,19,11,[18],900.0,0.0,403
6020,dots,A1CY01G7686ORZ,history,1,9bbkjlye,io53yiu9,21,12,[19],560.0,0.0,403
6019,dots,A19OCD2Q0K2U6M,history,1,9bbkjlye,v9e4vt1g,20,13,[21],250.0,0.0,403
6022,dots,A1OSMDO6QB4J7V,history,1,9bbkjlye,n793x5nk,23,14,[20],275.0,0.0,403
6023,dots,A2WWKCWR04ZO1B,history,1,9bbkjlye,wir6mziz,24,15,[23],850.0,0.0,403
6024,dots,A3BHRFFG75X3GO,history,1,9bbkjlye,v66rn5df,25,16,[24],615.0,0.0,403
6025,dots,A3DLUZLHN9QPHJ,history,1,9bbkjlye,3sep8wmi,26,17,[25],25.0,0.0,403
6026,dots,A17D6BK59S31BM,history,1,9bbkjlye,pf26b0hm,27,18,[26],225.0,0.0,403
6027,dots,A2S834OHCORO1W,history,1,9bbkjlye,yt34klvh,28,19,[27],325.0,0.0,403
6028,dots,A1EJ4HA4K85PBJ,history,1,9bbkjlye,cr475eaq,29,20,[28],160.0,0.0,403
6029,dots,A3PC0IDUS9FQA4,history,1,9bbkjlye,9xpzt82j,30,21,[29],365.0,1.0,403
6032,dots,A1URFOW4XBORT1,history,1,9bbkjlye,44npf6fi,33,22,[30],196.0,0.0,403
6031,dots,AXQQX8DSLYKXK,history,1,9bbkjlye,atqdj7or,32,23,[33],300.0,0.0,403
6035,dots,AK3DF1BXS8DSM,history,1,9bbkjlye,5oz29e9a,36,24,[32],950.0,0.0,403
6037,dots,A142CND4VJ9JWD,history,1,9bbkjlye,3y39o864,38,25,[36],450.0,0.0,403
6036,dots,A32Y9JC775LYLV,history,1,9bbkjlye,djy9yh4a,37,26,[38],120.0,0.0,403
6038,dots,A1QXCUL98HP53,history,1,9bbkjlye,71ubgbya,39,27,[37],600.0,0.0,403
6040,dots,A19DYGQUQX6FWQ,history,1,9bbkjlye,2szjrgna,41,28,[39],950.0,0.0,403
6039,dots,A20SMUCY0FQA7Z,history,1,9bbkjlye,76l6fxdg,40,29,[41],1050.0,0.0,403
6041,dots,A1TQ7UQSSQP7BD,history,1,9bbkjlye,7e5o5bbp,42,30,[40],850.0,0.0,403
6043,dots,A18EWG6CNKAO2J,history,1,9bbkjlye,9ig31f55,44,31,[42],500.0,0.0,403
6044,dots,A16HSMUJ7C7QA7,history,1,9bbkjlye,9aaesxpr,45,32,[44],767.0,0.0,403
6042,dots,A2BACJE00ZUDXS,history,1,9bbkjlye,de2ncp6s,43,33,[45],700.0,0.0,403
6045,dots,A3329OQT52I6TJ,history,1,9bbkjlye,1smhq2s7,46,34,[43],650.0,0.0,403
6046,dots,A1VOFYYXKZWG7W,history,1,9bbkjlye,x41fkqwu,47,35,[46],680.0,0.0,403
6048,dots,A2GJBGU8RMIEFF,history,1,9bbkjlye,erpo4g5b,49,36,[47],356.0,0.0,403
6049,dots,A1RHW1MEJSR3MR,history,1,9bbkjlye,idgdzmt3,50,37,[49],370.0,1.0,403
6050,dots,A1V6MPL7396OE4,history,1,9bbkjlye,lie9oh8b,51,38,[50],300.0,0.0,403
6051,dots,A1Y2N49VMVJ7C6,history,1,9bbkjlye,36jxzq07,52,39,[51],500.0,0.0,403
6052,dots,A2NPUPP06POEJ0,history,1,9bbkjlye,ufegz57u,53,40,[52],450.0,0.0,403
6053,dots,A3QTWM45TDQQ5R,history,1,9bbkjlye,fbr756he,54,41,[53],401.0,1.0,403
6054,dots,A1QTRNM7OB6OKW,history,1,9bbkjlye,41x2hhuu,55,42,[54],257.0,0.0,403
6055,dots,A2AMYX1J96G2JG,history,1,9bbkjlye,ecie42lp,56,43,[55],900.0,0.0,403
6056,dots,A3SWHINC01JOB5,history,1,9bbkjlye,fjbuvcqq,57,44,[56],220.0,0.0,403
6058,dots,A2SPHNTPIDGC55,history,1,9bbkjlye,nlikgzb2,59,45,[57],300.0,0.0,403
6059,dots,A1R09GS9W47R5B,history,1,9bbkjlye,wx3a8hq6,60,46,[59],150.0,0.0,403
6060,dots,A23OS0HQ12VVOR,history,1,9bbkjlye,k1disuem,61,47,[60],185.0,0.0,403
6061,dots,A1B0QZS0MLORS2,history,1,9bbkjlye,lp1cxx77,62,48,[61],2002.0,0.0,403
6062,dots,A1O4Q0QVPVBF8M,history,1,9bbkjlye,3yr32tvb,63,49,[62],109.0,0.0,403
6064,dots,A36Y6LV9NJMQJP,history,1,9bbkjlye,vftti48a,65,50,[63],200.0,0.0,403
