,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,9bbkjlye,history,2018-08-22 08:49:55.671429+00:00,A3LOAK3P1D1VOO,403,1,2,1,[],375.0,5.0,1.0,1.02
1,9bbkjlye,history,2018-08-22 08:50:40.683283+00:00,A132MSWBBVTOES,403,1,5,1,[2],185.0,56.0,0.0,0.19
2,9bbkjlye,history,2018-08-22 08:49:57.994404+00:00,A2YE45E9WFHX7Z,403,1,3,1,[5],1000.0,33.0,0.0,0.11
3,9bbkjlye,history,2018-08-22 08:54:04.243745+00:00,A3PENQIO0WNLJN,403,1,11,1,[3],200.0,6.0,0.0,0.02
4,9bbkjlye,history,2018-08-22 08:54:35.655396+00:00,A2GGKN1LCJKZ5F,403,1,13,1,[11],230.0,4.0,0.0,0.02
5,9bbkjlye,history,2018-08-22 08:54:39.218974+00:00,A3GFZ1XUDP6XND,403,1,14,1,[13],240.0,47.0,0.0,0.16
6,9bbkjlye,history,2018-08-22 08:56:11.242706+00:00,A3C2PSZEKN8OWD,403,1,16,1,[14],350.0,19.0,0.0,0.06
7,9bbkjlye,history,2018-08-22 08:56:04.845457+00:00,A12569NJ7KY1KX,403,1,15,1,[16],500.0,31.0,0.0,0.11
8,9bbkjlye,history,2018-08-22 08:58:36.045262+00:00,AECQ7QG4CQP69,403,1,17,1,[15],1000.0,4.0,0.0,0.02
9,9bbkjlye,history,2018-08-22 08:58:48.350782+00:00,A1L7XPJRXA2KJZ,403,1,18,1,[17],100.0,10.0,0.0,0.03
10,9bbkjlye,history,2018-08-22 09:05:10.317685+00:00,A2DW47AFPJWXAM,403,1,19,1,[18],900.0,5.0,0.0,0.02
11,9bbkjlye,history,2018-08-22 09:05:16.600256+00:00,A1CY01G7686ORZ,403,1,21,1,[19],560.0,9.0,0.0,0.03
12,9bbkjlye,history,2018-08-22 09:05:10.532397+00:00,A19OCD2Q0K2U6M,403,1,20,1,[21],250.0,29.0,0.0,0.1
13,9bbkjlye,history,2018-08-22 09:07:27.784605+00:00,A1OSMDO6QB4J7V,403,1,23,1,[20],275.0,5.0,0.0,0.02
14,9bbkjlye,history,2018-08-22 09:10:34.339171+00:00,A2WWKCWR04ZO1B,403,1,24,1,[23],850.0,6.0,0.0,0.02
15,9bbkjlye,history,2018-08-22 09:10:56.414797+00:00,A3BHRFFG75X3GO,403,1,25,1,[24],615.0,6.0,0.0,0.02
16,9bbkjlye,history,2018-08-22 09:12:56.832917+00:00,A3DLUZLHN9QPHJ,403,1,26,1,[25],25.0,5.0,0.0,0.02
17,9bbkjlye,history,2018-08-22 09:14:23.365821+00:00,A17D6BK59S31BM,403,1,27,1,[26],225.0,9.0,0.0,0.03
18,9bbkjlye,history,2018-08-22 09:14:30.338416+00:00,A2S834OHCORO1W,403,1,28,1,[27],325.0,5.0,0.0,0.02
19,9bbkjlye,history,2018-08-22 09:15:24.164004+00:00,A1EJ4HA4K85PBJ,403,1,29,1,[28],160.0,58.0,0.0,0.2
20,9bbkjlye,history,2018-08-22 09:19:00.091668+00:00,A3PC0IDUS9FQA4,403,1,30,1,[29],365.0,5.0,1.0,1.02
21,9bbkjlye,history,2018-08-22 09:21:17.290182+00:00,A1URFOW4XBORT1,403,1,33,1,[30],196.0,4.0,0.0,0.01
22,9bbkjlye,history,2018-08-22 09:21:03.048277+00:00,AXQQX8DSLYKXK,403,1,32,1,[33],300.0,12.0,0.0,0.04
23,9bbkjlye,history,2018-08-22 09:30:16.864646+00:00,AK3DF1BXS8DSM,403,1,36,0,[32],950.0,9.0,0.0,0.0
24,9bbkjlye,history,2018-08-22 09:32:15.372914+00:00,A142CND4VJ9JWD,403,1,38,1,[36],450.0,6.0,0.0,0.02
25,9bbkjlye,history,2018-08-22 09:31:58.059877+00:00,A32Y9JC775LYLV,403,1,37,1,[38],120.0,26.0,0.0,0.09
26,9bbkjlye,history,2018-08-22 09:35:24.071848+00:00,A1QXCUL98HP53,403,1,39,1,[37],600.0,5.0,0.0,0.02
27,9bbkjlye,history,2018-08-22 09:36:19.756730+00:00,A19DYGQUQX6FWQ,403,1,41,0,[39],950.0,15.0,0.0,0.0
28,9bbkjlye,history,2018-08-22 09:36:10.373954+00:00,A20SMUCY0FQA7Z,403,1,40,1,[41],1050.0,54.0,0.0,0.18
29,9bbkjlye,history,2018-08-22 09:36:25.278888+00:00,A1TQ7UQSSQP7BD,403,1,42,1,[40],850.0,77.0,0.0,0.26
30,9bbkjlye,history,2018-08-22 09:39:26.562893+00:00,A18EWG6CNKAO2J,403,1,44,1,[42],500.0,5.0,0.0,0.02
31,9bbkjlye,history,2018-08-22 09:39:31.673112+00:00,A16HSMUJ7C7QA7,403,1,45,1,[44],767.0,24.0,0.0,0.08
