,task,method,views,session,code,id,order,hist,guess,bonus,dots
6001,dots,history,1,9bbkjlye,td65igus,2,1,[],375.0,1.0,403
6004,dots,history,1,9bbkjlye,0t1i1wcc,5,2,[2],185.0,0.0,403
6002,dots,history,1,9bbkjlye,3ljxhxxm,3,3,[5],1000.0,0.0,403
6010,dots,history,1,9bbkjlye,p4szttkl,11,4,[3],200.0,0.0,403
6012,dots,history,1,9bbkjlye,8ztyvk3f,13,5,[11],230.0,0.0,403
6013,dots,history,1,9bbkjlye,jtrnboht,14,6,[13],240.0,0.0,403
6015,dots,history,1,9bbkjlye,00ovstqk,16,7,[14],350.0,0.0,403
6014,dots,history,1,9bbkjlye,je2q0khh,15,8,[16],500.0,0.0,403
6016,dots,history,1,9bbkjlye,6rt6cq2s,17,9,[15],1000.0,0.0,403
6017,dots,history,1,9bbkjlye,bmzspyi4,18,10,[17],100.0,0.0,403
6018,dots,history,1,9bbkjlye,zmgphtni,19,11,[18],900.0,0.0,403
6020,dots,history,1,9bbkjlye,io53yiu9,21,12,[19],560.0,0.0,403
6019,dots,history,1,9bbkjlye,v9e4vt1g,20,13,[21],250.0,0.0,403
6022,dots,history,1,9bbkjlye,n793x5nk,23,14,[20],275.0,0.0,403
6023,dots,history,1,9bbkjlye,wir6mziz,24,15,[23],850.0,0.0,403
6024,dots,history,1,9bbkjlye,v66rn5df,25,16,[24],615.0,0.0,403
6025,dots,history,1,9bbkjlye,3sep8wmi,26,17,[25],25.0,0.0,403
6026,dots,history,1,9bbkjlye,pf26b0hm,27,18,[26],225.0,0.0,403
6027,dots,history,1,9bbkjlye,yt34klvh,28,19,[27],325.0,0.0,403
6028,dots,history,1,9bbkjlye,cr475eaq,29,20,[28],160.0,0.0,403
6029,dots,history,1,9bbkjlye,9xpzt82j,30,21,[29],365.0,1.0,403
6032,dots,history,1,9bbkjlye,44npf6fi,33,22,[30],196.0,0.0,403
6031,dots,history,1,9bbkjlye,atqdj7or,32,23,[33],300.0,0.0,403
6035,dots,history,1,9bbkjlye,5oz29e9a,36,24,[32],950.0,0.0,403
6037,dots,history,1,9bbkjlye,3y39o864,38,25,[36],450.0,0.0,403
6036,dots,history,1,9bbkjlye,djy9yh4a,37,26,[38],120.0,0.0,403
6038,dots,history,1,9bbkjlye,71ubgbya,39,27,[37],600.0,0.0,403
6040,dots,history,1,9bbkjlye,2szjrgna,41,28,[39],950.0,0.0,403
6039,dots,history,1,9bbkjlye,76l6fxdg,40,29,[41],1050.0,0.0,403
6041,dots,history,1,9bbkjlye,7e5o5bbp,42,30,[40],850.0,0.0,403
6043,dots,history,1,9bbkjlye,9ig31f55,44,31,[42],500.0,0.0,403
6044,dots,history,1,9bbkjlye,9aaesxpr,45,32,[44],767.0,0.0,403
6042,dots,history,1,9bbkjlye,de2ncp6s,43,33,[45],700.0,0.0,403
6045,dots,history,1,9bbkjlye,1smhq2s7,46,34,[43],650.0,0.0,403
6046,dots,history,1,9bbkjlye,x41fkqwu,47,35,[46],680.0,0.0,403
6048,dots,history,1,9bbkjlye,erpo4g5b,49,36,[47],356.0,0.0,403
6049,dots,history,1,9bbkjlye,idgdzmt3,50,37,[49],370.0,1.0,403
6050,dots,history,1,9bbkjlye,lie9oh8b,51,38,[50],300.0,0.0,403
6051,dots,history,1,9bbkjlye,36jxzq07,52,39,[51],500.0,0.0,403
6052,dots,history,1,9bbkjlye,ufegz57u,53,40,[52],450.0,0.0,403
6053,dots,history,1,9bbkjlye,fbr756he,54,41,[53],401.0,1.0,403
6054,dots,history,1,9bbkjlye,41x2hhuu,55,42,[54],257.0,0.0,403
6055,dots,history,1,9bbkjlye,ecie42lp,56,43,[55],900.0,0.0,403
6056,dots,history,1,9bbkjlye,fjbuvcqq,57,44,[56],220.0,0.0,403
6058,dots,history,1,9bbkjlye,nlikgzb2,59,45,[57],300.0,0.0,403
6059,dots,history,1,9bbkjlye,wx3a8hq6,60,46,[59],150.0,0.0,403
6060,dots,history,1,9bbkjlye,k1disuem,61,47,[60],185.0,0.0,403
6061,dots,history,1,9bbkjlye,lp1cxx77,62,48,[61],2002.0,0.0,403
6062,dots,history,1,9bbkjlye,3yr32tvb,63,49,[62],109.0,0.0,403
6064,dots,history,1,9bbkjlye,vftti48a,65,50,[63],200.0,0.0,403
6065,dots,history,1,9bbkjlye,sljstsi1,66,51,[65],225.0,0.0,403
6067,dots,history,1,9bbkjlye,ronft52m,68,52,[66],302.0,0.0,403
6068,dots,history,1,9bbkjlye,ni0h534m,69,53,[68],458.0,0.0,403
6069,dots,history,1,9bbkjlye,n78nv8bv,70,54,[69],600.0,0.0,403
6070,dots,history,1,9bbkjlye,el5n63in,71,55,[70],125.0,0.0,403
6072,dots,history,1,9bbkjlye,uteedcal,73,56,[71],250.0,0.0,403
6073,dots,history,1,9bbkjlye,ld11wl4k,74,57,[73],267.0,0.0,403
