session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,wynanup9,1,consent,Consent,1534279130,121,1,True
1,2,qwlip8nw,1,consent,Consent,1534279140,129,1,True
1,3,8jqg9tlm,1,consent,Consent,1534279027,12,1,False
1,3,8jqg9tlm,18,dots,WaitingRoom,1534279039,12,1,False
1,3,8jqg9tlm,19,dots,Choose,1534279078,39,1,False
1,3,8jqg9tlm,20,dots,ThankYou,1534279084,6,1,False
1,4,r0fjj4to,1,consent,Consent,1534279029,10,1,False
1,4,r0fjj4to,18,dots,WaitingRoom,1534279082,53,1,False
1,4,r0fjj4to,19,dots,Choose,1534279130,48,1,False
1,4,r0fjj4to,20,dots,ThankYou,1534279132,2,1,False
1,5,rod2gnc4,1,consent,Consent,1534279140,121,1,True
1,6,op7yirdm,1,consent,Consent,1534279089,54,1,False
1,7,r5nkbgjs,1,consent,Consent,1534279164,128,1,True
1,8,pc8xexgx,1,consent,Consent,1534279165,128,1,True
1,9,f9zfqkb6,1,consent,Consent,1534279070,32,1,False
1,10,irijo03h,1,consent,Consent,1534279056,13,1,False
1,10,irijo03h,18,dots,WaitingRoom,1534279133,77,1,False
1,10,irijo03h,19,dots,Choose,1534279146,13,1,False
1,10,irijo03h,20,dots,ThankYou,1534279150,4,1,False
1,11,2nuv9os5,1,consent,Consent,1534279060,16,1,False
1,11,2nuv9os5,18,dots,WaitingRoom,1534279150,90,1,False
1,11,2nuv9os5,19,dots,Choose,1534279166,16,1,False
1,11,2nuv9os5,20,dots,ThankYou,1534279170,4,1,False
1,12,w1zmzsco,1,consent,Consent,1534279077,32,1,False
1,13,6q6e0mon,1,consent,Consent,1534279070,25,1,False
1,13,6q6e0mon,17,dots,TooManyPlayers,1534279378,308,1,False
1,13,6q6e0mon,18,dots,WaitingRoom,1534279503,125,1,False
1,13,6q6e0mon,19,dots,Choose,1534279544,41,1,False
1,13,6q6e0mon,20,dots,ThankYou,1534279547,3,1,False
1,14,s64x8ow5,1,consent,Consent,1534279174,128,1,True
1,15,in0drupf,1,consent,Consent,1534279068,18,1,False
1,15,in0drupf,18,dots,WaitingRoom,1534279223,155,1,False
1,15,in0drupf,19,dots,Choose,1534279285,62,1,True
1,16,ogoc62f6,1,consent,Consent,1534279107,55,1,False
1,17,qnz17izz,1,consent,Consent,1534279119,66,1,False
1,18,b2xk1b4b,1,consent,Consent,1534279080,27,1,False
1,18,b2xk1b4b,17,dots,TooManyPlayers,1534279455,375,1,False
1,18,b2xk1b4b,18,dots,WaitingRoom,1534279615,160,1,False
