participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,wynanup9,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:36:49.185274+00:00,1,A8VFIXE5FL8C6,3JPSL1DZ5TIEX0QBGPRVTHVOUF6NA6,0.00,1,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
2,qwlip8nw,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:36:51.963041+00:00,1,A1ZT30BGR3266K,3X1FV8S5JYASFWCN4G5WZK04EDLVG7,0.00,2,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
3,8jqg9tlm,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:36:55.528136+00:00,1,A2IPO6UJZDIQ91,3X87C8JFV7U30TPXDH53IBKZLW0SQU,0.04,3,1,[],100,1,0.324324324324324,,2018-08-14 20:37:07.866747+00:00,11,0.04,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
4,r0fjj4to,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:36:59.389932+00:00,1,A272X64FOZFYLB,3DUZQ9U6SN7V51LEZGZDOYJ72OFSVO,0.17,4,2,[3],125,1,0.155405405405405,,2018-08-14 20:37:12.537766+00:00,50,0.17,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
5,rod2gnc4,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:36:59.471054+00:00,1,A35QYDS8MRV1EX,3KJYX6QCMAU26Y2OCMQZWXSK652VJB,0.00,5,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
6,op7yirdm,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:15.345004+00:00,1,A3R3R4ALD88TUZ,3OVR4I9USQ2KY8NMNG9LK84T7GXQ4L,0.00,6,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
7,r5nkbgjs,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:37:16.634999+00:00,1,AA5ZDXAA2DLY1,3E337GFOLARF7R3E2PJ5P36RSAJNGI,0.00,7,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
8,pc8xexgx,,0,2,20,consent,1,BlockDropouts,172.16.176.137,2018-08-14 20:37:17.778861+00:00,1,AT6LDQNLKTUSE,33CID57105COPFO5VXW6THDTJAF3LP,0.00,8,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
9,f9zfqkb6,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-14 20:37:18.101729+00:00,1,A1J9MSHU4I80S5,3M81GAB8A124J78V2VJ8SMAZH8EQBR,0.00,9,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
10,irijo03h,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-14 20:37:23.996157+00:00,1,AB774I47XHB4K,3DY4FPOOA27J4ML1KRZ8YOEBGMWVR3,0.26,10,3,[4],130,1,0.121621621621622,,2018-08-14 20:37:36.412511+00:00,76,0.26,0.00,1,1,0.2,30,300,1,1,history,148,images/dots2.png,0,2018-08-15 12:21:21.007595+00:00,0,2018-08-15 12:20:51.444202+00:00,ehaxc7lu,,,33W1NHWFYH4B7159ZBO4VQW1V84TZN,3GT259VZ8H1R7O84LZM5WXUHDHUUYL,,0
