,task,method,views,session,code,id,order,hist,guess,bonus,dots
8002,dots,history,0,dwnjf9mb,l4fyf9qe,3,1,[],40.0,0.0,148
8005,dots,history,0,dwnjf9mb,oyu5lrek,6,2,[],180.0,0.0,148
8004,dots,history,0,dwnjf9mb,55leutpu,5,3,[],210.0,0.0,148
8003,dots,history,0,dwnjf9mb,misoih0j,4,4,[],60.0,0.0,148
8007,dots,history,0,dwnjf9mb,z43tnbq0,8,5,[],155.0,1.0,148
8009,dots,history,0,dwnjf9mb,6jd8ejxr,10,6,[],145.0,1.0,148
8010,dots,history,0,dwnjf9mb,2zfo13i1,11,7,[],185.0,0.0,148
8013,dots,history,0,dwnjf9mb,qot9uns6,14,8,[],120.0,0.0,148
8022,dots,history,0,dwnjf9mb,dyfkl9c4,23,9,[],750.0,0.0,148
8019,dots,history,0,dwnjf9mb,h0bq3of8,20,10,[],176.0,0.0,148
8030,dots,history,0,dwnjf9mb,lvh37e0x,31,11,[],80.0,0.0,148
8031,dots,history,0,dwnjf9mb,9sykyuna,32,12,[],112.0,0.0,148
8035,dots,history,0,dwnjf9mb,s7n0pri5,36,13,[],105.0,0.0,148
8037,dots,history,0,dwnjf9mb,n1eoceyt,38,14,[],200.0,0.0,148
8020,dots,history,0,dwnjf9mb,oe261c35,21,15,[],91.0,0.0,148
8015,dots,history,0,dwnjf9mb,4ubo30i8,16,16,[],175.0,0.0,148
8044,dots,history,0,dwnjf9mb,li7517s8,45,17,[],150.0,1.0,148
8047,dots,history,0,dwnjf9mb,kbxk7fii,48,18,[],135.0,1.0,148
8017,dots,history,0,dwnjf9mb,ub110218,18,19,[],144.0,1.0,148
8025,dots,history,0,dwnjf9mb,5lz7hzbz,26,20,[],50.0,0.0,148
8049,dots,history,0,dwnjf9mb,hgizz257,50,21,[],130.0,0.0,148
8050,dots,history,0,dwnjf9mb,p7usfg9z,51,22,[],145.0,0.0,148
8053,dots,history,0,dwnjf9mb,xhxkpk5f,54,23,[],150.0,1.0,148
8054,dots,history,0,dwnjf9mb,gfwmnluj,55,24,[],140.0,1.0,148
8014,dots,history,0,dwnjf9mb,01218ntt,15,25,[],140.0,1.0,148
8055,dots,history,0,dwnjf9mb,nf6y6ymu,56,26,[],205.0,0.0,148
8056,dots,history,0,dwnjf9mb,9odpyf57,57,27,[],145.0,1.0,148
8058,dots,history,0,dwnjf9mb,vxvkxe95,59,28,[],100.0,0.0,148
8059,dots,history,0,dwnjf9mb,h9ltnmnn,60,29,[],40.0,0.0,148
8036,dots,history,0,dwnjf9mb,6t2bw8e5,37,30,[],150.0,1.0,148
8061,dots,history,0,dwnjf9mb,kij7d73v,62,31,[],100.0,0.0,148
8062,dots,history,0,dwnjf9mb,zuxny8e6,63,32,[],185.0,0.0,148
8063,dots,history,0,dwnjf9mb,i9lbvfh3,64,33,[],225.0,0.0,148
8065,dots,history,0,dwnjf9mb,srxr08ml,66,34,[],120.0,0.0,148
8066,dots,history,0,dwnjf9mb,u37tycrp,67,35,[],127.0,0.0,148
8068,dots,history,0,dwnjf9mb,wq8xtr40,69,36,[],63.0,0.0,148
8067,dots,history,0,dwnjf9mb,wy59ulrz,68,37,[],300.0,0.0,148
8069,dots,history,0,dwnjf9mb,3aa0e39n,70,38,[],400.0,0.0,148
8070,dots,history,0,dwnjf9mb,uhq7mey5,71,39,[],125.0,0.0,148
8071,dots,history,0,dwnjf9mb,apzbzjn8,72,40,[],72.0,0.0,148
8072,dots,history,0,dwnjf9mb,v1vprams,73,41,[],140.0,1.0,148
8074,dots,history,0,dwnjf9mb,y1sq483s,75,42,[],500.0,0.0,148
8075,dots,history,0,dwnjf9mb,x1qepcvn,76,43,[],250.0,0.0,148
8079,dots,history,0,dwnjf9mb,yedthki6,80,44,[],160.0,1.0,148
8080,dots,history,0,dwnjf9mb,or0tlp34,81,45,[],170.0,0.0,148
8081,dots,history,0,dwnjf9mb,u193wtoi,82,46,[],140.0,1.0,148
8082,dots,history,0,dwnjf9mb,5axnugvd,83,47,[],160.0,1.0,148
8084,dots,history,0,dwnjf9mb,8t9epbsn,85,48,[],85.0,0.0,148
8085,dots,history,0,dwnjf9mb,lnuv1erf,86,49,[],80.0,0.0,148
8086,dots,history,0,dwnjf9mb,se6noayz,87,50,[],143.0,1.0,148
8087,dots,history,0,dwnjf9mb,gpcscewa,88,51,[],65.0,0.0,148
8088,dots,history,0,dwnjf9mb,i2eexoe2,89,52,[],185.0,0.0,148
8089,dots,history,0,dwnjf9mb,543yc489,90,53,[],135.0,1.0,148
8090,dots,history,0,dwnjf9mb,qnfbdmei,91,54,[],175.0,0.0,148
8091,dots,history,0,dwnjf9mb,uzjw5pjc,92,55,[],139.0,1.0,148
8092,dots,history,0,dwnjf9mb,x2br770f,93,56,[],100.0,0.0,148
8094,dots,history,0,dwnjf9mb,rmn8pikg,95,57,[],120.0,0.0,148
8095,dots,history,0,dwnjf9mb,xrbfog41,96,58,[],120.0,0.0,148
8096,dots,history,0,dwnjf9mb,o883a8m2,97,59,[],120.0,0.0,148
8097,dots,history,0,dwnjf9mb,jqwefgj8,98,60,[],160.0,1.0,148
8098,dots,history,0,dwnjf9mb,jwgqsz3k,99,61,[],600.0,0.0,148
