,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,ehaxc7lu,history,2018-08-14 20:36:55.528136+00:00,A2IPO6UJZDIQ91,148,1,3,1,[],100.0,11.0,0.0,0.04
1,ehaxc7lu,history,2018-08-14 20:36:59.389932+00:00,A272X64FOZFYLB,148,1,4,1,[3],125.0,50.0,0.0,0.17
2,ehaxc7lu,history,2018-08-14 20:37:23.996157+00:00,AB774I47XHB4K,148,1,10,1,[4],130.0,76.0,0.0,0.26
3,ehaxc7lu,history,2018-08-14 20:37:24.716333+00:00,A2RHE12CJSKCRE,148,1,11,1,[10],80.0,90.0,0.0,0.3
4,ehaxc7lu,history,2018-08-14 20:37:34.252077+00:00,A3QJJR5Y3XE92N,148,1,19,1,[11],115.0,106.0,0.0,0.35
5,ehaxc7lu,history,2018-08-14 20:37:30.365795+00:00,A1XATJA7ENOGWB,148,1,15,0,[19],112.0,154.0,0.0,0.0
6,ehaxc7lu,history,2018-08-14 20:37:53.126541+00:00,AD1ILDUXZHASF,148,1,22,1,[15],120.0,205.0,0.0,0.69
7,ehaxc7lu,history,2018-08-14 20:37:56.632591+00:00,A2D9K4Y8PYHUQO,148,1,26,1,[22],160.0,216.0,1.0,1.72
8,ehaxc7lu,history,2018-08-14 20:38:17.730774+00:00,AA64LSYYZULCK,148,1,30,1,[26],147.0,265.0,1.0,1.89
9,ehaxc7lu,history,2018-08-14 20:40:07.969763+00:00,A41X4LJ1MH0TA,148,1,52,1,[30],247.0,230.0,0.0,0.77
10,ehaxc7lu,history,2018-08-14 20:37:25.913659+00:00,A1W8B7P1WVD7TX,148,1,13,1,[52],110.0,125.0,0.0,0.42
11,ehaxc7lu,history,2018-08-14 20:37:33.453575+00:00,A2YI7A7U7J2FEV,148,1,18,1,[13],155.0,159.0,1.0,1.53
12,ehaxc7lu,history,2018-08-14 20:44:50.612344+00:00,A1Z5GJ9ZT65RNE,148,1,70,1,[18],80.0,138.0,0.0,0.46
13,ehaxc7lu,history,2018-08-14 20:44:57.684560+00:00,A2WPPQC8S3ICVZ,148,1,71,1,[70],220.0,158.0,0.0,0.53
14,ehaxc7lu,history,2018-08-14 20:45:07.584877+00:00,A207IHY6GERCFO,148,1,73,1,[71],140.0,198.0,1.0,1.66
15,ehaxc7lu,history,2018-08-14 20:46:33.668173+00:00,A2OLSZ6DD9I239,148,1,80,1,[73],210.0,145.0,0.0,0.48
16,ehaxc7lu,history,2018-08-14 20:46:56.307178+00:00,A2FF0HXX0WXET9,148,1,83,0,[80],89.0,146.0,0.0,0.0
17,ehaxc7lu,history,2018-08-14 20:47:28.022000+00:00,A2WWDQAM7H9OGX,148,1,85,1,[83],110.0,195.0,0.0,0.65
18,ehaxc7lu,history,2018-08-14 20:47:57.450819+00:00,AI71C9W5PWYCH,148,1,86,1,[85],174.0,241.0,0.0,0.8
19,ehaxc7lu,history,2018-08-14 20:48:34.261616+00:00,A3TDA1NWHNQFE3,148,1,90,1,[86],156.0,248.0,1.0,1.83
20,ehaxc7lu,history,2018-08-14 20:41:52.601417+00:00,A89R5XGMHOTJE,148,1,59,1,[90],115.0,264.0,0.0,0.88
21,ehaxc7lu,history,2018-08-14 20:49:43.544374+00:00,A3O3RPM3826QUP,148,1,95,1,[59],125.0,275.0,0.0,0.92
22,ehaxc7lu,history,2018-08-14 20:52:58.908052+00:00,A1ZTSCPETU3UJW,148,1,103,1,[95],120.0,151.0,0.0,0.51
23,ehaxc7lu,history,2018-08-14 20:39:08.841671+00:00,A2TDK0LD62WZ8Y,148,1,45,1,[103],230.0,177.0,0.0,0.59
24,ehaxc7lu,history,2018-08-14 20:38:16.890598+00:00,A3UN1F1EOHKKE6,148,1,29,1,[45],120.0,216.0,0.0,0.72
25,ehaxc7lu,history,2018-08-14 20:54:35.387191+00:00,A38I33OZVPDX30,148,1,105,1,[29],90.0,231.0,0.0,0.77
26,ehaxc7lu,history,2018-08-14 20:54:12.126162+00:00,A3E4TBBYCJYZQD,148,1,104,1,[105],360.0,258.0,0.0,0.86
27,ehaxc7lu,history,2018-08-14 20:56:56.483244+00:00,A2YM550H2AL6JO,148,1,109,1,[104],100.0,183.0,0.0,0.61
28,ehaxc7lu,history,2018-08-14 20:52:33.360688+00:00,AYQH26R4KXW2K,148,1,100,1,[109],115.0,258.0,0.0,0.86
29,ehaxc7lu,history,2018-08-14 20:57:43.131849+00:00,AZBH4LJ5SL456,148,1,116,1,[100],135.0,206.0,1.0,1.69
30,ehaxc7lu,history,2018-08-14 20:59:19.108447+00:00,A6MINO7231KW2,148,1,119,1,[116],150.0,186.0,1.0,1.62
31,ehaxc7lu,history,2018-08-14 20:59:53.541655+00:00,A21C3WNJNCEA58,148,1,123,1,[119],165.0,165.0,0.0,0.55
32,ehaxc7lu,history,2018-08-14 21:00:26.711111+00:00,A2AAY4VT9L71SY,148,1,124,1,[123],142.0,206.0,1.0,1.69
33,ehaxc7lu,history,2018-08-14 21:01:59.417731+00:00,A2XGOBIWUDYLOT,148,1,135,0,[124],152.0,186.0,0.0,0.0
34,ehaxc7lu,history,2018-08-14 21:00:40.140015+00:00,AQWV4866H1PFQ,148,1,128,1,[135],150.0,226.0,1.0,1.76
35,ehaxc7lu,history,2018-08-14 21:02:47.433095+00:00,AAIQLE701DI9U,148,1,137,1,[128],137.0,240.0,1.0,1.8
36,ehaxc7lu,history,2018-08-14 20:59:27.772840+00:00,A2UC4H3EHIMWGC,148,1,120,1,[137],141.0,241.0,1.0,1.81
37,ehaxc7lu,history,2018-08-14 21:05:39.132044+00:00,A2AU2E2E9A0I1,148,1,144,1,[120],135.0,234.0,1.0,1.78
38,ehaxc7lu,history,2018-08-14 21:07:01.997461+00:00,A2V92I94TN0TX7,148,1,147,1,[144],180.0,218.0,0.0,0.73
39,ehaxc7lu,history,2018-08-14 21:00:38.982315+00:00,A1F1OZ54G177D8,148,1,127,1,[147],125.0,253.0,0.0,0.84
40,ehaxc7lu,history,2018-08-14 21:09:12.573791+00:00,A1PUHCEBSOWETV,148,1,158,1,[127],150.0,251.0,1.0,1.84
41,ehaxc7lu,history,2018-08-14 21:09:24.165577+00:00,A3GFGPPC495SPO,148,1,160,1,[158],136.0,236.0,1.0,1.79
42,ehaxc7lu,history,2018-08-14 21:10:54.460902+00:00,A1RQXF5O279XFQ,148,1,165,1,[160],150.0,239.0,1.0,1.8
43,ehaxc7lu,history,2018-08-14 20:54:53.552106+00:00,A22KRF782ELLB0,148,1,106,1,[165],203.0,241.0,0.0,0.8
44,ehaxc7lu,history,2018-08-14 20:57:44.631998+00:00,ADFK3HW4HAH48,148,1,117,1,[106],208.0,174.0,0.0,0.58
45,ehaxc7lu,history,2018-08-14 21:14:06.318379+00:00,A1F01FVEPYCPHO,148,1,170,1,[117],200.0,176.0,0.0,0.59
46,ehaxc7lu,history,2018-08-14 20:57:40.413421+00:00,A2ZX5TLZPAQ2XD,148,1,115,1,[170],205.0,208.0,0.0,0.69
47,ehaxc7lu,history,2018-08-14 21:14:06.498448+00:00,A259UZJQOOVE4V,148,1,171,1,[115],133.0,111.0,0.0,0.37
48,ehaxc7lu,history,2018-08-14 21:16:25.759298+00:00,A3KPKN8TY7L3BD,148,1,174,1,[171],90.0,119.0,0.0,0.4
49,ehaxc7lu,history,2018-08-14 21:17:32.027348+00:00,AMLWYWZOMONLB,148,1,179,1,[174],135.0,237.0,1.0,1.79
50,ehaxc7lu,history,2018-08-14 21:19:37.347362+00:00,A88DXNDGDUWEN,148,1,185,1,[182],250.0,229.0,0.0,0.76
51,ehaxc7lu,history,2018-08-14 21:00:37.946103+00:00,A2V1BU0DV71Y7N,148,1,126,1,[185],175.0,211.0,0.0,0.7
52,ehaxc7lu,history,2018-08-14 21:20:45.288292+00:00,A20ASMCESA51U4,148,1,189,1,[126],140.0,251.0,1.0,1.84
53,ehaxc7lu,history,2018-08-14 21:22:27.069345+00:00,A138BJAH62O7IY,148,1,191,1,[189],130.0,273.0,0.0,0.91
54,ehaxc7lu,history,2018-08-14 21:23:27.672603+00:00,APF1EAZT104LQ,148,1,193,1,[191],175.0,257.0,0.0,0.86
55,ehaxc7lu,history,2018-08-14 21:23:58.435450+00:00,AK11BPNWE727G,148,1,194,1,[193],90.0,249.0,0.0,0.83
56,ehaxc7lu,history,2018-08-14 21:25:59.632047+00:00,A1KA64FR47O9FS,148,1,199,1,[194],91.0,197.0,0.0,0.66
57,ehaxc7lu,history,2018-08-14 21:26:57.541015+00:00,A29RDI7JZAYQ8I,148,1,200,1,[199],105.0,246.0,0.0,0.82
58,ehaxc7lu,history,2018-08-14 21:29:21.216335+00:00,A38S1M9I6HIBJG,148,1,203,1,[200],419.0,194.0,0.0,0.65
59,ehaxc7lu,history,2018-08-14 21:28:43.555165+00:00,A27IUQDZPHETTP,148,1,202,1,[203],160.0,203.0,1.0,1.68
60,ehaxc7lu,history,2018-08-14 20:59:50.737190+00:00,A2UF26QQNQOFCZ,148,1,122,1,[202],152.0,54.0,1.0,1.18
61,ehaxc7lu,history,2018-08-14 21:10:32.046132+00:00,A3908297ZI3LES,148,1,164,1,[122],99.0,5.0,0.0,0.02
62,ehaxc7lu,history,2018-08-14 21:35:50.821547+00:00,A3NWQ0535HAXUD,148,1,207,1,[164],99.0,4.0,0.0,0.02
63,ehaxc7lu,history,2018-08-14 20:57:13.847151+00:00,A1H7XQCN2TQJM7,148,1,110,1,[207],186.0,4.0,0.0,0.02
64,ehaxc7lu,history,2018-08-14 21:37:06.570057+00:00,A3GAQNTZ1V1VO,148,1,209,1,[110],136.0,33.0,1.0,1.11
65,ehaxc7lu,history,2018-08-14 21:36:57.271797+00:00,A0450532L5P3GX6JEY8C,148,1,208,1,[209],120.0,75.0,0.0,0.25
66,ehaxc7lu,history,2018-08-14 21:37:32.066102+00:00,ARZMZHL90FY1S,148,1,213,1,[208],200.0,91.0,0.0,0.31
67,ehaxc7lu,history,2018-08-14 21:37:13.649245+00:00,A3FZXJCTN0NZWJ,148,1,210,1,[213],200.0,102.0,0.0,0.34
68,ehaxc7lu,history,2018-08-14 21:06:18.651904+00:00,A1D3QRG52OISSR,148,1,145,1,[210],160.0,111.0,1.0,1.37
69,ehaxc7lu,history,2018-08-14 21:44:09.438468+00:00,A201KLVDE84CJP,148,1,216,1,[112],105.0,7.0,0.0,0.03
70,ehaxc7lu,history,2018-08-14 21:45:04.453323+00:00,A27OFCQG73Z4UF,148,1,217,1,[216],165.0,8.0,0.0,0.03
71,ehaxc7lu,history,2018-08-14 20:58:54.992208+00:00,AFASY2VX8PADR,148,1,118,0,[217],165.0,43.0,0.0,0.0
72,ehaxc7lu,history,2018-08-14 21:46:36.643579+00:00,A25ZLJK1VMAXXQ,148,1,219,1,[118],100.0,86.0,0.0,0.29
73,ehaxc7lu,history,2018-08-14 21:47:31.458020+00:00,A2M5I4KGKF9J7Q,148,1,221,1,[219],140.0,52.0,1.0,1.18
74,ehaxc7lu,history,2018-08-14 21:49:10.396298+00:00,A1J0GU26323WVA,148,1,222,1,[221],240.0,4.0,0.0,0.02
75,ehaxc7lu,history,2018-08-14 20:45:18.212036+00:00,A35TWG9VW1MB5S,148,1,75,1,[222],120.0,5.0,0.0,0.02
76,ehaxc7lu,history,2018-08-14 20:52:37.644232+00:00,A2M1CVZZJAN4T4,148,1,101,1,[75],150.0,10.0,1.0,1.03
77,ehaxc7lu,history,2018-08-14 20:42:51.215289+00:00,A1940HXCOGYQ33,148,1,64,1,[101],165.0,9.0,0.0,0.03
78,ehaxc7lu,history,2018-08-14 21:55:17.010545+00:00,AZ2HZXO2JMWPQ,148,1,224,1,[64],129.0,16.0,0.0,0.05
79,ehaxc7lu,history,2018-08-14 21:55:47.095980+00:00,A1JO6AY55FG7QU,148,1,225,1,[224],118.0,19.0,0.0,0.07
80,ehaxc7lu,history,2018-08-14 20:52:43.166558+00:00,A11UOM2LJ69AE7,148,1,102,1,[225],126.0,29.0,0.0,0.1
81,ehaxc7lu,history,2018-08-14 22:01:34.538543+00:00,ADXHWQLUQBK77,148,1,230,1,[102],162.0,9.0,1.0,1.03
82,ehaxc7lu,history,2018-08-14 22:04:48.507218+00:00,A4RT8SPRCRYVN,148,1,234,1,[230],162.0,5.0,1.0,1.02
83,ehaxc7lu,history,2018-08-14 22:04:37.467110+00:00,A3V9JFVZQ2XF4Y,148,1,233,1,[234],160.0,29.0,1.0,1.1
84,ehaxc7lu,history,2018-08-14 22:05:47.966769+00:00,A1830YARZUAFPX,148,1,235,1,[233],160.0,20.0,1.0,1.07
85,ehaxc7lu,history,2018-08-14 22:06:47.921110+00:00,AW6DFFL8QE1FH,148,1,236,1,[235],180.0,5.0,0.0,0.02
86,ehaxc7lu,history,2018-08-14 22:08:15.963351+00:00,ASC4RB29PZ78C,148,1,237,1,[236],46.0,38.0,0.0,0.13
87,ehaxc7lu,history,2018-08-14 22:11:32.735546+00:00,A3BHRFFG75X3GO,148,1,239,1,[237],200.0,6.0,0.0,0.02
88,ehaxc7lu,history,2018-08-14 22:12:19.561121+00:00,A9LX66EQWDRQ5,148,1,241,1,[239],155.0,22.0,1.0,1.07
89,ehaxc7lu,history,2018-08-14 22:14:01.585265+00:00,A1MTQP7TA5RCOB,148,1,242,1,[241],145.0,5.0,1.0,1.02
90,ehaxc7lu,history,2018-08-14 22:15:10.390592+00:00,A2H9GCED75EGNT,148,1,243,1,[242],400.0,13.0,0.0,0.05
91,ehaxc7lu,history,2018-08-14 22:17:01.459527+00:00,A290XEBGZYQTEO,148,1,244,1,[243],525.0,5.0,0.0,0.02
92,ehaxc7lu,history,2018-08-14 22:18:52.582008+00:00,A16184N1RO5OJV,148,1,245,1,[244],125.0,5.0,0.0,0.02
93,ehaxc7lu,history,2018-08-14 21:17:28.680054+00:00,A110SC5K5Y3IHS,148,1,177,0,[245],112.0,5.0,0.0,0.0
94,ehaxc7lu,history,2018-08-14 22:21:02.600330+00:00,A3EVHORGRMWUYE,148,1,246,1,[177],65.0,67.0,0.0,0.23
95,ehaxc7lu,history,2018-08-14 22:24:06.811788+00:00,AUKCLB8Y1IQJ5,148,1,247,1,[246],105.0,5.0,0.0,0.02
96,ehaxc7lu,history,2018-08-14 22:24:56.010904+00:00,A3FC0TDAK5QY1G,148,1,248,1,[247],95.0,8.0,0.0,0.03
97,ehaxc7lu,history,2018-08-14 22:25:04.958148+00:00,A164130KKL3XW,148,1,249,1,[248],106.0,6.0,0.0,0.02
98,ehaxc7lu,history,2018-08-14 20:38:45.941612+00:00,A24NDC7JH9LEM1,148,1,40,1,[249],125.0,28.0,0.0,0.1
99,ehaxc7lu,history,2018-08-14 22:26:46.242947+00:00,AOIK8K4X34LGR,148,1,252,1,[40],165.0,52.0,0.0,0.17
100,ehaxc7lu,history,2018-08-14 22:28:57.908820+00:00,A20YGFCRNDTD6,148,1,254,1,[252],85.0,52.0,0.0,0.17
101,ehaxc7lu,history,2018-08-14 22:31:32.063081+00:00,A2XGXOMV29WP2Y,148,1,257,1,[254],108.0,37.0,0.0,0.12
102,ehaxc7lu,history,2018-08-14 22:33:57.146523+00:00,AV80PS63HDI6S,148,1,260,1,[257],180.0,5.0,0.0,0.02
103,ehaxc7lu,history,2018-08-14 22:35:06.103626+00:00,A167SYXGXFU7C8,148,1,261,1,[260],175.0,13.0,0.0,0.04
104,ehaxc7lu,history,2018-08-14 22:35:41.661954+00:00,ABBJOZRIPLPW1,148,1,262,1,[261],280.0,5.0,0.0,0.02
105,ehaxc7lu,history,2018-08-14 22:36:29.303657+00:00,A3SHO7GXNT7CQJ,148,1,263,1,[262],250.0,27.0,0.0,0.09
106,ehaxc7lu,history,2018-08-14 22:40:56.909497+00:00,A2GOYSTIL3LOV1,148,1,265,1,[263],89.0,9.0,0.0,0.03
107,ehaxc7lu,history,2018-08-14 22:41:05.542998+00:00,A3AI2YTRBX4HLV,148,1,266,1,[265],220.0,32.0,0.0,0.11
108,ehaxc7lu,history,2018-08-14 22:42:38.184478+00:00,A3LL096CAY5WHB,148,1,267,1,[266],50.0,9.0,0.0,0.03
109,ehaxc7lu,history,2018-08-14 22:45:14.230223+00:00,A3EU0IYPO8LPUF,148,1,268,1,[267],300.0,10.0,0.0,0.04
110,ehaxc7lu,history,2018-08-14 22:55:01.314946+00:00,A1MM2YSKUVTXH0,148,1,270,1,[268],170.0,5.0,0.0,0.02
111,ehaxc7lu,history,2018-08-14 22:53:42.844411+00:00,A3F51C49T9A34D,148,1,269,1,[270],144.0,48.0,1.0,1.16
112,ehaxc7lu,history,2018-08-14 22:58:33.077397+00:00,A1GEZDTJPG3Q7U,148,1,271,1,[269],150.0,4.0,1.0,1.02
113,ehaxc7lu,history,2018-08-14 22:58:45.947727+00:00,A1RHW1MEJSR3MR,148,1,272,1,[271],120.0,21.0,0.0,0.07
114,ehaxc7lu,history,2018-08-14 22:59:09.665273+00:00,A2XTJ5OGDI5640,148,1,273,1,[272],136.0,25.0,1.0,1.09
115,ehaxc7lu,history,2018-08-14 23:00:56.057128+00:00,A3QTWM45TDQQ5R,148,1,274,1,[273],170.0,4.0,0.0,0.02
116,ehaxc7lu,history,2018-08-14 23:01:37.569037+00:00,AUE279FEB9M2C,148,1,275,1,[274],210.0,13.0,0.0,0.04
117,ehaxc7lu,history,2018-08-14 23:04:52.558410+00:00,A31Z5TPD8QKE26,148,1,278,1,[275],170.0,5.0,0.0,0.02
118,ehaxc7lu,history,2018-08-14 23:05:41.753471+00:00,A2L1X5H9K4KSEI,148,1,279,1,[278],160.0,29.0,1.0,1.1
119,ehaxc7lu,history,2018-08-14 23:08:49.173257+00:00,ANP32EE23L7LL,148,1,281,1,[279],135.0,6.0,1.0,1.02
120,ehaxc7lu,history,2018-08-14 23:10:52.437862+00:00,A11OGJ4BGNDXQM,148,1,285,1,[281],140.0,6.0,1.0,1.02
121,ehaxc7lu,history,2018-08-14 23:10:46.810284+00:00,A14ZFQ4BSGW1IH,148,1,284,1,[285],153.0,20.0,1.0,1.07
122,ehaxc7lu,history,2018-08-14 23:12:55.166807+00:00,A2KBY5BL7F0NBJ,148,1,286,1,[284],350.0,4.0,0.0,0.02
123,ehaxc7lu,history,2018-08-14 23:14:20.779093+00:00,AK884VX5S74ZW,148,1,287,1,[286],200.0,4.0,0.0,0.02
124,ehaxc7lu,history,2018-08-14 23:14:28.837582+00:00,A23932BPI1NFXV,148,1,288,1,[287],117.0,25.0,0.0,0.08
125,ehaxc7lu,history,2018-08-14 23:14:58.450408+00:00,A1UZH3VOT4WHEF,148,1,289,1,[288],100.0,36.0,0.0,0.12
126,ehaxc7lu,history,2018-08-14 23:15:47.245665+00:00,A1OB3E87W4SZ2,148,1,290,1,[289],175.0,5.0,0.0,0.02
127,ehaxc7lu,history,2018-08-14 23:17:22.041815+00:00,A0533430WOF7V9XR82TB,148,1,291,1,[290],156.0,6.0,1.0,1.02
128,ehaxc7lu,history,2018-08-14 23:18:40.805836+00:00,A2IZOZ95A980M9,148,1,292,1,[291],178.0,4.0,0.0,0.02
129,ehaxc7lu,history,2018-08-14 23:19:25.319838+00:00,A2M58QR50Y8LQW,148,1,293,1,[292],180.0,5.0,0.0,0.02
130,ehaxc7lu,history,2018-08-14 23:20:12.292285+00:00,A91FIXBBFCLLW,148,1,294,1,[293],90.0,5.0,0.0,0.02
131,ehaxc7lu,history,2018-08-14 23:20:49.526129+00:00,A3QSJY1FFN0N6V,148,1,295,1,[294],115.0,41.0,0.0,0.14
132,ehaxc7lu,history,2018-08-14 23:27:26.691884+00:00,A29AEPWSPGH0HX,148,1,296,1,[295],135.0,5.0,1.0,1.02
133,ehaxc7lu,history,2018-08-14 23:31:30.133769+00:00,A3UHIHEGRJPS5T,148,1,297,1,[296],175.0,5.0,0.0,0.02
134,ehaxc7lu,history,2018-08-14 23:31:30.731114+00:00,A2TWLYXPBIGZW,148,1,298,1,[297],200.0,5.0,0.0,0.02
135,ehaxc7lu,history,2018-08-14 23:33:37.946610+00:00,A2687XLMYHVP7F,148,1,299,1,[298],300.0,5.0,0.0,0.02
136,ehaxc7lu,history,2018-08-14 23:36:44.992256+00:00,AH4QNMYBTB3PG,148,1,301,1,[299],160.0,36.0,1.0,1.12
137,ehaxc7lu,history,2018-08-14 23:37:20.832000+00:00,A3A7YB1CWKO41V,148,1,302,1,[301],75.0,52.0,0.0,0.18
138,ehaxc7lu,history,2018-08-14 23:40:05.964842+00:00,A2F9DG86SP81O4,148,1,303,1,[302],175.0,5.0,0.0,0.02
139,ehaxc7lu,history,2018-08-14 23:40:44.009329+00:00,A2O4QLHKZ3A0PM,148,1,305,1,[303],150.0,5.0,1.0,1.02
140,ehaxc7lu,history,2018-08-14 23:40:18.444234+00:00,A34YGHVPXQZVBX,148,1,304,1,[305],123.0,53.0,0.0,0.18
141,ehaxc7lu,history,2018-08-14 23:40:44.283840+00:00,A2KQS6LVKDA78X,148,1,306,1,[304],223.0,71.0,0.0,0.24
142,ehaxc7lu,history,2018-08-14 23:41:12.468505+00:00,A3G2JDGJCXCWVD,148,1,307,1,[306],140.0,60.0,1.0,1.2
143,ehaxc7lu,history,2018-08-14 23:44:01.518373+00:00,A25ZZOSL7MVU22,148,1,308,1,[307],165.0,5.0,0.0,0.02
144,ehaxc7lu,history,2018-08-14 23:45:22.200051+00:00,A17DXR1QC8GWL8,148,1,309,1,[308],200.0,5.0,0.0,0.02
145,ehaxc7lu,history,2018-08-14 23:51:33.516189+00:00,AMYNJFSPM26VX,148,1,312,1,[311],100.0,4.0,0.0,0.02
146,ehaxc7lu,history,2018-08-14 23:54:52.570319+00:00,A13EIE0UHFJJUN,148,1,314,1,[312],208.0,5.0,0.0,0.02
147,ehaxc7lu,history,2018-08-14 23:54:54.621809+00:00,A1T5CX6WSV4BJ3,148,1,315,1,[314],155.0,37.0,1.0,1.12
148,ehaxc7lu,history,2018-08-14 23:56:13.586321+00:00,AQA46IS6AUNA8,148,1,316,1,[315],160.0,25.0,1.0,1.09
149,ehaxc7lu,history,2018-08-14 23:58:44.521234+00:00,A33FA1VLSTBM74,148,1,321,1,[316],173.0,96.0,0.0,0.32
150,ehaxc7lu,history,2018-08-14 23:58:48.261486+00:00,A32YYM8WVR8B7S,148,1,322,0,[321],130.0,131.0,0.0,0.0
151,ehaxc7lu,history,2018-08-15 00:00:13.091171+00:00,AD14EQ9O9JKRI,148,1,323,1,[322],105.0,92.0,0.0,0.31
152,ehaxc7lu,history,2018-08-15 00:02:19.769463+00:00,A1EBQ9X6IN5OZC,148,1,324,1,[323],107.0,28.0,0.0,0.09
153,ehaxc7lu,history,2018-08-15 00:03:40.232170+00:00,A28JBDTFGFJ5NR,148,1,325,1,[324],38.0,10.0,0.0,0.03
154,ehaxc7lu,history,2018-08-15 00:06:39.138039+00:00,A2D30R5ZNQS01W,148,1,326,1,[325],110.0,10.0,0.0,0.04
155,ehaxc7lu,history,2018-08-15 00:11:02.457794+00:00,A2FDLQWUS5NGW5,148,1,328,0,[326],133.0,10.0,0.0,0.0
156,ehaxc7lu,history,2018-08-15 00:10:59.318936+00:00,ALJ70B2J04YR7,148,1,327,1,[328],261.0,73.0,0.0,0.25
157,ehaxc7lu,history,2018-08-15 00:12:17.657018+00:00,A18Q2TSYBDWQU1,148,1,333,1,[332],287.0,167.0,0.0,0.56
158,ehaxc7lu,history,2018-08-15 00:12:32.612866+00:00,A3R21KIGJQ4A51,148,1,334,1,[333],240.0,216.0,0.0,0.72
159,ehaxc7lu,history,2018-08-15 00:14:45.000730+00:00,A2196WCNDZULFS,148,1,336,1,[334],115.0,143.0,0.0,0.48
160,ehaxc7lu,history,2018-08-15 00:14:16.452307+00:00,A168QBUOKNFWWK,148,1,335,1,[336],100.0,163.0,0.0,0.54
161,ehaxc7lu,history,2018-08-15 00:18:58.505842+00:00,A2YIF46CKXZDGJ,148,1,338,1,[335],140.0,5.0,1.0,1.02
162,ehaxc7lu,history,2018-08-15 00:19:36.036185+00:00,A2VD133723IZR8,148,1,339,1,[338],220.0,40.0,0.0,0.13
163,ehaxc7lu,history,2018-08-15 00:20:54.284325+00:00,AVLUX03TCOCEZ,148,1,340,1,[339],330.0,6.0,0.0,0.02
164,ehaxc7lu,history,2018-08-15 00:22:51.483719+00:00,A15UZ7LJU867C,148,1,341,1,[340],120.0,4.0,0.0,0.02
165,ehaxc7lu,history,2018-08-15 00:23:30.480636+00:00,A3R6WHGX298784,148,1,343,1,[341],150.0,6.0,1.0,1.02
166,ehaxc7lu,history,2018-08-15 00:23:38.844487+00:00,A27T5O2Y7AIH6T,148,1,344,1,[343],165.0,48.0,0.0,0.16
167,ehaxc7lu,history,2018-08-15 00:23:51.083402+00:00,A3K2I6TDLTDIQV,148,1,345,1,[344],144.0,79.0,1.0,1.27
168,ehaxc7lu,history,2018-08-15 00:24:22.043281+00:00,A15A984KE7R40O,148,1,346,1,[345],100.0,122.0,0.0,0.41
169,ehaxc7lu,history,2018-08-15 00:25:03.943484+00:00,A18RHBE09QLLSX,148,1,347,1,[346],140.0,98.0,1.0,1.33
170,ehaxc7lu,history,2018-08-15 00:25:20.203461+00:00,A1FW6Y9QP1K4HA,148,1,348,1,[347],200.0,102.0,0.0,0.34
171,ehaxc7lu,history,2018-08-15 00:26:24.211874+00:00,A2DWSKGD9RNKMJ,148,1,349,1,[348],140.0,90.0,1.0,1.3
172,ehaxc7lu,history,2018-08-15 00:31:24.464748+00:00,A1FLEFIVFT809G,148,1,352,1,[349],470.0,5.0,0.0,0.02
173,ehaxc7lu,history,2018-08-15 00:31:16.124230+00:00,A14IPKOBOPID9H,148,1,351,1,[352],150.0,23.0,1.0,1.08
174,ehaxc7lu,history,2018-08-15 00:33:18.775866+00:00,AGHLR9UNHB6ZR,148,1,354,1,[351],120.0,5.0,0.0,0.02
175,ehaxc7lu,history,2018-08-15 00:35:14.744491+00:00,A1BIJGB7XA0GME,148,1,357,1,[354],132.0,13.0,0.0,0.05
176,ehaxc7lu,history,2018-08-15 00:35:34.416205+00:00,ARSABS3TFA1GU,148,1,358,1,[357],106.0,13.0,0.0,0.04
