,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
5001,dots,A2XFO0X6RCS98M,history,0,fscmakcz,16n3y749,2,1,[],55.0,1.0,55
5000,dots,A8VFIXE5FL8C6,history,0,fscmakcz,h38tnm3a,1,2,[],64.0,0.0,55
5005,dots,AC2CRA0DSCFE5,history,0,fscmakcz,nu2ag9rd,6,3,[],55.0,1.0,55
5006,dots,A38S1M9I6HIBJG,history,0,fscmakcz,d76hqahn,7,4,[],53.0,1.0,55
5007,dots,AHFGWXN0A2PJM,history,0,fscmakcz,8rg3bvmw,8,5,[],58.0,1.0,55
5012,dots,A18JD2MXWESMG7,history,0,fscmakcz,cz1tlm88,13,6,[],60.0,1.0,55
5019,dots,A3OY50N3BGFJCI,history,0,fscmakcz,75794nmy,20,7,[],54.0,1.0,55
5024,dots,A10VV1SPM63I94,history,0,fscmakcz,gka4t18d,25,8,[],62.0,0.0,55
5030,dots,A1C7XI68SED8JE,history,0,fscmakcz,ik3oy6wz,31,9,[],43.0,0.0,55
5022,dots,A1URFOW4XBORT1,history,0,fscmakcz,oyai1jz7,23,10,[],55.0,1.0,55
5033,dots,A39PWM9C4U0TEP,history,0,fscmakcz,lc6sinmw,34,11,[],56.0,1.0,55
5035,dots,A13XLDUDAKVQSZ,history,0,fscmakcz,vytt37qu,36,12,[],65.0,0.0,55
5037,dots,A24ZQJJXNY8PV,history,0,fscmakcz,0pedp92g,38,13,[],54.0,0.0,55
5038,dots,A1ZW8SS09KXKK8,history,0,fscmakcz,q5kcszyc,39,14,[],100.0,0.0,55
5039,dots,A2WPPQC8S3ICVZ,history,0,fscmakcz,gmbgt5zk,40,15,[],57.0,1.0,55
5041,dots,A3CXK1KSRGU27V,history,0,fscmakcz,flfa312n,42,16,[],55.0,1.0,55
5042,dots,A17AF42SNQNH9C,history,0,fscmakcz,3g9j6ufq,43,17,[],60.0,1.0,55
5047,dots,A2GGKN1LCJKZ5F,history,0,fscmakcz,7zdyp21p,48,18,[],50.0,1.0,55
5049,dots,A3LPZVG62RNVL8,history,0,fscmakcz,1y4rz06s,50,19,[],54.0,1.0,55
5048,dots,ASVP3M0AQ1HG4,history,0,fscmakcz,wjpv9z60,49,20,[],56.0,1.0,55
5051,dots,A3K1SXZ0FSJW1M,history,0,fscmakcz,p9dkx0qk,52,21,[],70.0,0.0,55
5061,dots,A168QBUOKNFWWK,history,0,fscmakcz,gcd1l3nm,62,22,[],50.0,1.0,55
5065,dots,AS2WTWYVRW9BV,history,0,fscmakcz,mhn0pjul,66,23,[],32.0,0.0,55
5059,dots,A2C25LZB76W44,history,0,fscmakcz,x2r34y5c,60,24,[],71.0,0.0,55
5069,dots,A2IOYG5PYLN3G4,history,0,fscmakcz,cauhtr7d,70,25,[],59.0,1.0,55
5067,dots,AHLS6AZ1VTNH7,history,0,fscmakcz,rzqr63yg,68,26,[],54.0,1.0,55
5074,dots,A2YMZ8ED392G71,history,0,fscmakcz,935c4hh5,75,27,[],75.0,0.0,55
5068,dots,A1EK8YNHZHTW1J,history,0,fscmakcz,spc65zl9,69,28,[],55.0,1.0,55
5076,dots,A3DKFBFK3FA3MA,history,0,fscmakcz,d0i0bxcj,77,29,[],55.0,1.0,55
5075,dots,AFUUPNBIKHRFZ,history,0,fscmakcz,1iuuyqgo,76,30,[],55.0,1.0,55
5081,dots,A24DSECWUBZC0Z,history,0,fscmakcz,3q35adbi,82,31,[],53.0,1.0,55
5083,dots,A1506T1PAYRT16,history,0,fscmakcz,d1zgzdqf,84,32,[],50.0,1.0,55
5084,dots,A3GSIZ2GX4L1Z3,history,0,fscmakcz,gcjdvjaw,85,33,[],30.0,0.0,55
