,task,method,views,session,code,id,order,hist,guess,bonus,dots
5001,dots,history,0,fscmakcz,16n3y749,2,1,[],55.0,1.0,55
5000,dots,history,0,fscmakcz,h38tnm3a,1,2,[],64.0,0.0,55
5005,dots,history,0,fscmakcz,nu2ag9rd,6,3,[],55.0,1.0,55
5006,dots,history,0,fscmakcz,d76hqahn,7,4,[],53.0,1.0,55
5007,dots,history,0,fscmakcz,8rg3bvmw,8,5,[],58.0,1.0,55
5012,dots,history,0,fscmakcz,cz1tlm88,13,6,[],60.0,1.0,55
5019,dots,history,0,fscmakcz,75794nmy,20,7,[],54.0,1.0,55
5024,dots,history,0,fscmakcz,gka4t18d,25,8,[],62.0,0.0,55
5030,dots,history,0,fscmakcz,ik3oy6wz,31,9,[],43.0,0.0,55
5022,dots,history,0,fscmakcz,oyai1jz7,23,10,[],55.0,1.0,55
5033,dots,history,0,fscmakcz,lc6sinmw,34,11,[],56.0,1.0,55
5035,dots,history,0,fscmakcz,vytt37qu,36,12,[],65.0,0.0,55
5037,dots,history,0,fscmakcz,0pedp92g,38,13,[],54.0,0.0,55
5038,dots,history,0,fscmakcz,q5kcszyc,39,14,[],100.0,0.0,55
5039,dots,history,0,fscmakcz,gmbgt5zk,40,15,[],57.0,1.0,55
5041,dots,history,0,fscmakcz,flfa312n,42,16,[],55.0,1.0,55
5042,dots,history,0,fscmakcz,3g9j6ufq,43,17,[],60.0,1.0,55
5047,dots,history,0,fscmakcz,7zdyp21p,48,18,[],50.0,1.0,55
5049,dots,history,0,fscmakcz,1y4rz06s,50,19,[],54.0,1.0,55
5048,dots,history,0,fscmakcz,wjpv9z60,49,20,[],56.0,1.0,55
5051,dots,history,0,fscmakcz,p9dkx0qk,52,21,[],70.0,0.0,55
5061,dots,history,0,fscmakcz,gcd1l3nm,62,22,[],50.0,1.0,55
5065,dots,history,0,fscmakcz,mhn0pjul,66,23,[],32.0,0.0,55
5059,dots,history,0,fscmakcz,x2r34y5c,60,24,[],71.0,0.0,55
5069,dots,history,0,fscmakcz,cauhtr7d,70,25,[],59.0,1.0,55
5067,dots,history,0,fscmakcz,rzqr63yg,68,26,[],54.0,1.0,55
5074,dots,history,0,fscmakcz,935c4hh5,75,27,[],75.0,0.0,55
5068,dots,history,0,fscmakcz,spc65zl9,69,28,[],55.0,1.0,55
5076,dots,history,0,fscmakcz,d0i0bxcj,77,29,[],55.0,1.0,55
5075,dots,history,0,fscmakcz,1iuuyqgo,76,30,[],55.0,1.0,55
5081,dots,history,0,fscmakcz,3q35adbi,82,31,[],53.0,1.0,55
5083,dots,history,0,fscmakcz,d1zgzdqf,84,32,[],50.0,1.0,55
5084,dots,history,0,fscmakcz,gcjdvjaw,85,33,[],30.0,0.0,55
5091,dots,history,0,fscmakcz,xh2cm2bb,92,34,[],56.0,1.0,55
5094,dots,history,0,fscmakcz,ip98w1m4,95,35,[],58.0,1.0,55
5088,dots,history,0,fscmakcz,60cnpb6u,89,36,[],52.0,0.0,55
5093,dots,history,0,fscmakcz,xd0nlxsv,94,37,[],47.0,0.0,55
5097,dots,history,0,fscmakcz,yo2ynxzh,98,38,[],52.0,1.0,55
5096,dots,history,0,fscmakcz,558cya03,97,39,[],65.0,0.0,55
5100,dots,history,0,fscmakcz,8rgvgi0n,101,40,[],65.0,0.0,55
5101,dots,history,0,fscmakcz,borz7kby,102,41,[],59.0,1.0,55
5045,dots,history,0,fscmakcz,o6uewmwq,46,42,[],40.0,0.0,55
5014,dots,history,0,fscmakcz,pme0y636,15,43,[],60.0,1.0,55
5103,dots,history,0,fscmakcz,z1fmiavz,104,44,[],55.0,1.0,55
5104,dots,history,0,fscmakcz,mhi58iob,105,45,[],54.0,1.0,55
5105,dots,history,0,fscmakcz,csc7e4bo,106,46,[],55.0,1.0,55
5106,dots,history,0,fscmakcz,iy0r9mlv,107,47,[],30.0,0.0,55
5046,dots,history,0,fscmakcz,cb74ej4r,47,48,[],59.0,1.0,55
5107,dots,history,0,fscmakcz,xevmwt59,108,49,[],60.0,1.0,55
5109,dots,history,0,fscmakcz,izuycgl3,110,50,[],52.0,1.0,55
5110,dots,history,0,fscmakcz,ms0o17dh,111,51,[],56.0,1.0,55
5062,dots,history,0,fscmakcz,9m8ad33w,63,52,[],57.0,1.0,55
5112,dots,history,0,fscmakcz,bpuvg25k,113,53,[],50.0,1.0,55
5113,dots,history,0,fscmakcz,c0320lgm,114,54,[],250.0,0.0,55
5052,dots,history,0,fscmakcz,v0wxomxh,53,55,[],53.0,1.0,55
5114,dots,history,0,fscmakcz,6bl5kauk,115,56,[],60.0,1.0,55
5116,dots,history,0,fscmakcz,l8gksrrj,117,57,[],50.0,1.0,55
5117,dots,history,0,fscmakcz,5rftbdj3,118,58,[],120.0,0.0,55
5118,dots,history,0,fscmakcz,ex2rqfmp,119,59,[],50.0,1.0,55
5119,dots,history,0,fscmakcz,7onvqn9l,120,60,[],53.0,1.0,55
5120,dots,history,0,fscmakcz,vjitig9l,121,61,[],53.0,1.0,55
5123,dots,history,0,fscmakcz,xsmngznm,124,62,[],54.0,1.0,55
5122,dots,history,0,fscmakcz,r5tkvuys,123,64,[],60.0,1.0,55
5127,dots,history,0,fscmakcz,lonhobdw,128,65,[],44.0,0.0,55
5130,dots,history,0,fscmakcz,kzcburhp,131,66,[],60.0,1.0,55
5128,dots,history,0,fscmakcz,ya3f7fr8,129,67,[],55.0,1.0,55
5129,dots,history,0,fscmakcz,hsx3xes3,130,68,[],57.0,1.0,55
5134,dots,history,0,fscmakcz,sx19huva,135,69,[],62.0,0.0,55
5131,dots,history,0,fscmakcz,n559ivzh,132,70,[],55.0,1.0,55
5132,dots,history,0,fscmakcz,0mnpnsoo,133,71,[],53.0,1.0,55
5136,dots,history,0,fscmakcz,bsh2ilq7,137,72,[],55.0,1.0,55
5133,dots,history,0,fscmakcz,k8ojgm8y,134,73,[],51.0,1.0,55
5141,dots,history,0,fscmakcz,bxbwdjyf,142,74,[],65.0,0.0,55
5142,dots,history,0,fscmakcz,xcxtirgg,143,75,[],52.0,1.0,55
5145,dots,history,0,fscmakcz,o71effk5,146,76,[],53.0,1.0,55
5148,dots,history,0,fscmakcz,b8bhrpey,149,77,[],75.0,0.0,55
5139,dots,history,0,fscmakcz,6twvslyf,140,78,[],56.0,1.0,55
5147,dots,history,0,fscmakcz,raxaig2h,148,79,[],51.0,1.0,55
5150,dots,history,0,fscmakcz,8e52e4jf,151,80,[],48.0,0.0,55
5151,dots,history,0,fscmakcz,gipykftp,152,81,[],56.0,1.0,55
5153,dots,history,0,fscmakcz,sjyqcfa0,154,82,[],45.0,0.0,55
5154,dots,history,0,fscmakcz,mtkcz78v,155,83,[],70.0,0.0,55
5155,dots,history,0,fscmakcz,4gwgk8vu,156,84,[],59.0,1.0,55
5157,dots,history,0,fscmakcz,gnphvn0a,158,85,[],50.0,1.0,55
5161,dots,history,0,fscmakcz,e1hrmbwo,162,86,[],45.0,0.0,55
5164,dots,history,0,fscmakcz,1bysbx2v,165,87,[],550.0,0.0,55
5162,dots,history,0,fscmakcz,gxavzqw2,163,88,[],52.0,1.0,55
5165,dots,history,0,fscmakcz,4ia4lt9i,166,89,[],52.0,1.0,55
5169,dots,history,0,fscmakcz,hjvyrz8i,170,90,[],62.0,0.0,55
5167,dots,history,0,fscmakcz,8fmajdc3,168,91,[],40.0,0.0,55
5170,dots,history,0,fscmakcz,78qwtvup,171,92,[],52.0,1.0,55
5171,dots,history,0,fscmakcz,uz71eweu,172,93,[],54.0,1.0,55
5174,dots,history,0,fscmakcz,7vgw8et5,175,94,[],70.0,0.0,55
5173,dots,history,0,fscmakcz,86gg2433,174,95,[],56.0,1.0,55
5176,dots,history,0,fscmakcz,lgb4lluh,177,96,[],120.0,0.0,55
5177,dots,history,0,fscmakcz,2kkbmzjx,178,97,[],56.0,1.0,55
5178,dots,history,0,fscmakcz,xdfxmq1g,179,98,[],70.0,0.0,55
5179,dots,history,0,fscmakcz,f6013anf,180,99,[],79.0,0.0,55
5092,dots,history,0,fscmakcz,h47bmb6v,93,100,[],42.0,0.0,55
5180,dots,history,0,fscmakcz,2h4b268p,181,101,[],52.0,1.0,55
5181,dots,history,0,fscmakcz,tsynek45,182,102,[],53.0,1.0,55
5182,dots,history,0,fscmakcz,v1r4cu4r,183,103,[],75.0,0.0,55
5158,dots,history,0,fscmakcz,p1cw91yr,159,104,[],62.0,0.0,55
5183,dots,history,0,fscmakcz,99cx8woc,184,105,[],65.0,0.0,55
5184,dots,history,0,fscmakcz,pi0sosqa,185,106,[],72.0,0.0,55
5185,dots,history,0,fscmakcz,yus21f9j,186,107,[],51.0,1.0,55
5186,dots,history,0,fscmakcz,oclgsr6v,187,108,[],90.0,0.0,55
5187,dots,history,0,fscmakcz,1532ltq3,188,109,[],45.0,0.0,55
5188,dots,history,0,fscmakcz,543zet1j,189,110,[],67.0,0.0,55
5189,dots,history,0,fscmakcz,58lnd7ou,190,111,[],47.0,0.0,55
5190,dots,history,0,fscmakcz,fzra8idv,191,112,[],85.0,0.0,55
5193,dots,history,0,fscmakcz,qadr9pu7,194,113,[],67.0,0.0,55
5194,dots,history,0,fscmakcz,zkuf8ibh,195,114,[],55.0,1.0,55
5195,dots,history,0,fscmakcz,k71u9r1f,196,115,[],57.0,1.0,55
5196,dots,history,0,fscmakcz,uo1qmrz0,197,116,[],100.0,0.0,55
5197,dots,history,0,fscmakcz,tkgb9ihh,198,117,[],56.0,1.0,55
5198,dots,history,0,fscmakcz,1lepj37n,199,118,[],57.0,1.0,55
5199,dots,history,0,fscmakcz,8mxlkgio,200,119,[],55.0,1.0,55
5200,dots,history,0,fscmakcz,uatq8wou,201,120,[],55.0,1.0,55
5201,dots,history,0,fscmakcz,bn8k4n3v,202,121,[],55.0,1.0,55
5203,dots,history,0,fscmakcz,lyb11t1j,204,122,[],53.0,1.0,55
5204,dots,history,0,fscmakcz,9bny0fzd,205,123,[],60.0,1.0,55
5205,dots,history,0,fscmakcz,ojf2quun,206,124,[],45.0,0.0,55
5206,dots,history,0,fscmakcz,aq08ooso,207,125,[],65.0,0.0,55
5207,dots,history,0,fscmakcz,5mabcvgd,208,126,[],57.0,1.0,55
5209,dots,history,0,fscmakcz,uqxgjmdt,210,127,[],52.0,1.0,55
5210,dots,history,0,fscmakcz,o9oj5z9a,211,128,[],55.0,1.0,55
5211,dots,history,0,fscmakcz,bdpcbmp6,212,129,[],80.0,0.0,55
5212,dots,history,0,fscmakcz,dr0p7tek,213,130,[],95.0,0.0,55
5213,dots,history,0,fscmakcz,14atpavh,214,131,[],62.0,0.0,55
5214,dots,history,0,fscmakcz,vdt2l93n,215,132,[],53.0,0.0,55
5215,dots,history,0,fscmakcz,tpa4cj6r,216,133,[],56.0,1.0,55
5216,dots,history,0,fscmakcz,v1x8ceva,217,134,[],53.0,1.0,55
5217,dots,history,0,fscmakcz,q23akzdm,218,135,[],52.0,1.0,55
5219,dots,history,0,fscmakcz,abisick0,220,136,[],57.0,1.0,55
5220,dots,history,0,fscmakcz,wei7x2u8,221,137,[],60.0,1.0,55
5221,dots,history,0,fscmakcz,s4rfp5wu,222,138,[],49.0,0.0,55
5223,dots,history,0,fscmakcz,f68rfzo5,224,139,[],60.0,1.0,55
5224,dots,history,0,fscmakcz,98kjwhr5,225,140,[],65.0,0.0,55
5225,dots,history,0,fscmakcz,rinlywx4,226,141,[],45.0,0.0,55
5226,dots,history,0,fscmakcz,eh9fesf4,227,142,[],57.0,1.0,55
5227,dots,history,0,fscmakcz,bk2najdi,228,143,[],81.0,0.0,55
5228,dots,history,0,fscmakcz,sy57wv75,229,144,[],60.0,1.0,55
5230,dots,history,0,fscmakcz,o2zmjo81,231,145,[],57.0,1.0,55
5231,dots,history,0,fscmakcz,6qs79cif,232,146,[],25.0,0.0,55
5232,dots,history,0,fscmakcz,35pyc5b5,233,147,[],65.0,0.0,55
5234,dots,history,0,fscmakcz,qqir1d8z,235,148,[],60.0,1.0,55
5235,dots,history,0,fscmakcz,73svm1i3,236,149,[],55.0,1.0,55
5236,dots,history,0,fscmakcz,8tpm1ztq,237,150,[],38.0,0.0,55
5237,dots,history,0,fscmakcz,rvxvcz9p,238,151,[],55.0,1.0,55
5238,dots,history,0,fscmakcz,hz90cq94,239,152,[],53.0,1.0,55
5239,dots,history,0,fscmakcz,y0yoyslc,240,153,[],54.0,1.0,55
5240,dots,history,0,fscmakcz,0x5shrlf,241,154,[],55.0,1.0,55
5241,dots,history,0,fscmakcz,1q9w5ywa,242,155,[],33.0,0.0,55
5242,dots,history,0,fscmakcz,1ccopxf5,243,156,[],55.0,1.0,55
5243,dots,history,0,fscmakcz,y84viop7,244,157,[],50.0,1.0,55
5244,dots,history,0,fscmakcz,vdr8v2gr,245,158,[],47.0,0.0,55
5245,dots,history,0,fscmakcz,wsa5s75f,246,159,[],56.0,1.0,55
5246,dots,history,0,fscmakcz,0lcqky94,247,160,[],70.0,0.0,55
5247,dots,history,0,fscmakcz,xvuk8jlb,248,161,[],20.0,0.0,55
5248,dots,history,0,fscmakcz,5ljoyom1,249,162,[],56.0,1.0,55
5250,dots,history,0,fscmakcz,bgmrg9tx,251,163,[],62.0,0.0,55
5251,dots,history,0,fscmakcz,w3y9pps2,252,164,[],80.0,0.0,55
5253,dots,history,0,fscmakcz,apvx37b2,254,165,[],45.0,0.0,55
5254,dots,history,0,fscmakcz,hn2d1jln,255,166,[],50.0,1.0,55
5256,dots,history,0,fscmakcz,640gtxt0,257,167,[],50.0,1.0,55
5257,dots,history,0,fscmakcz,1a3088xo,258,168,[],55.0,1.0,55
5258,dots,history,0,fscmakcz,sa2y7pwc,259,169,[],70.0,0.0,55
5259,dots,history,0,fscmakcz,2fsn863s,260,170,[],59.0,1.0,55
5260,dots,history,0,fscmakcz,1jgpblje,261,171,[],72.0,0.0,55
5261,dots,history,0,fscmakcz,lgguzdze,262,172,[],52.0,1.0,55
5262,dots,history,0,fscmakcz,f67tncxo,263,173,[],70.0,0.0,55
5263,dots,history,0,fscmakcz,bf3uim83,264,174,[],50.0,1.0,55
5264,dots,history,0,fscmakcz,t7136z61,265,175,[],58.0,1.0,55
5265,dots,history,0,fscmakcz,p95t9004,266,176,[],54.0,1.0,55
5266,dots,history,0,fscmakcz,coj5pet0,267,177,[],41.0,0.0,55
5267,dots,history,0,fscmakcz,a9t206fw,268,178,[],44.0,0.0,55
5269,dots,history,0,fscmakcz,pjmg99wn,270,179,[],55.0,1.0,55
5270,dots,history,0,fscmakcz,euwim2mk,271,180,[],52.0,1.0,55
5268,dots,history,0,fscmakcz,vz5g1r1b,269,181,[],45.0,0.0,55
5271,dots,history,0,fscmakcz,jq7lfc6n,272,182,[],54.0,1.0,55
5273,dots,history,0,fscmakcz,fs71tqw1,274,183,[],100.0,0.0,55
5274,dots,history,0,fscmakcz,1h0j6l8j,275,184,[],140.0,0.0,55
5275,dots,history,0,fscmakcz,rrmqn1ya,276,185,[],65.0,0.0,55
