,dots,method,views,session,code,id,hist,guess,bonus
0,55,history,0,fscmakcz,16n3y749,2,[],55.0,1.0
1,55,history,0,fscmakcz,h38tnm3a,1,[],64.0,0.0
2,55,history,0,fscmakcz,nu2ag9rd,6,[],55.0,1.0
3,55,history,0,fscmakcz,d76hqahn,7,[],53.0,1.0
4,55,history,0,fscmakcz,8rg3bvmw,8,[],58.0,1.0
5,55,history,0,fscmakcz,cz1tlm88,13,[],60.0,1.0
6,55,history,0,fscmakcz,75794nmy,20,[],54.0,1.0
7,55,history,0,fscmakcz,gka4t18d,25,[],62.0,0.0
8,55,history,0,fscmakcz,ik3oy6wz,31,[],43.0,0.0
9,55,history,0,fscmakcz,oyai1jz7,23,[],55.0,1.0
10,55,history,0,fscmakcz,lc6sinmw,34,[],56.0,1.0
11,55,history,0,fscmakcz,vytt37qu,36,[],65.0,0.0
12,55,history,0,fscmakcz,0pedp92g,38,[],54.0,0.0
13,55,history,0,fscmakcz,q5kcszyc,39,[],100.0,0.0
14,55,history,0,fscmakcz,gmbgt5zk,40,[],57.0,1.0
15,55,history,0,fscmakcz,flfa312n,42,[],55.0,1.0
16,55,history,0,fscmakcz,3g9j6ufq,43,[],60.0,1.0
17,55,history,0,fscmakcz,7zdyp21p,48,[],50.0,1.0
18,55,history,0,fscmakcz,1y4rz06s,50,[],54.0,1.0
19,55,history,0,fscmakcz,wjpv9z60,49,[],56.0,1.0
20,55,history,0,fscmakcz,p9dkx0qk,52,[],70.0,0.0
21,55,history,0,fscmakcz,gcd1l3nm,62,[],50.0,1.0
22,55,history,0,fscmakcz,mhn0pjul,66,[],32.0,0.0
23,55,history,0,fscmakcz,x2r34y5c,60,[],71.0,0.0
24,55,history,0,fscmakcz,cauhtr7d,70,[],59.0,1.0
25,55,history,0,fscmakcz,rzqr63yg,68,[],54.0,1.0
26,55,history,0,fscmakcz,935c4hh5,75,[],75.0,0.0
27,55,history,0,fscmakcz,spc65zl9,69,[],55.0,1.0
28,55,history,0,fscmakcz,d0i0bxcj,77,[],55.0,1.0
29,55,history,0,fscmakcz,1iuuyqgo,76,[],55.0,1.0
30,55,history,0,fscmakcz,3q35adbi,82,[],53.0,1.0
31,55,history,0,fscmakcz,d1zgzdqf,84,[],50.0,1.0
32,55,history,0,fscmakcz,gcjdvjaw,85,[],30.0,0.0
33,55,history,0,fscmakcz,xh2cm2bb,92,[],56.0,1.0
34,55,history,0,fscmakcz,ip98w1m4,95,[],58.0,1.0
