,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,hal5jdl0,history,2018-08-17 07:46:16.464155+00:00,A132MSWBBVTOES,1097,0,4,1,[],220.0,5.0,0.0,0.02
1,hal5jdl0,history,2018-08-17 07:46:08.210109+00:00,A1IJ86B8ZRKXBI,1097,0,3,1,[],500.0,89.0,0.0,0.3
2,hal5jdl0,history,2018-08-17 07:47:31.469029+00:00,A9HVFM0YUY00Q,1097,0,10,1,[],880.0,108.0,0.0,0.36
3,hal5jdl0,history,2018-08-17 07:47:51.082092+00:00,AEWT71858NL5V,1097,0,12,1,[],400.0,117.0,0.0,0.39
4,hal5jdl0,history,2018-08-17 07:47:10.133406+00:00,A1G0W1P43RTBKK,1097,0,9,1,[],499.0,137.0,0.0,0.46
5,hal5jdl0,history,2018-08-17 07:48:53.829255+00:00,A1CH3TODZNQCES,1097,0,14,1,[],650.0,143.0,0.0,0.48
6,hal5jdl0,history,2018-08-17 07:49:36.826651+00:00,A33QIOA2EYW0LC,1097,0,17,1,[],2000.0,166.0,0.0,0.56
7,hal5jdl0,history,2018-08-17 07:49:25.711292+00:00,A1EP1BT7SH6S1C,1097,0,16,1,[],700.0,177.0,0.0,0.59
8,hal5jdl0,history,2018-08-17 07:49:52.947566+00:00,A2IRMLMNI01SAP,1097,0,18,1,[],150.0,204.0,0.0,0.68
9,hal5jdl0,history,2018-08-17 07:50:36.950986+00:00,A2S0MB5JFG8DF,1097,0,23,1,[],510.0,216.0,0.0,0.72
10,hal5jdl0,history,2018-08-17 07:50:38.574840+00:00,A2AMYX1J96G2JG,1097,0,24,1,[],600.0,257.0,0.0,0.86
11,hal5jdl0,history,2018-08-17 07:51:38.258144+00:00,A17D6BK59S31BM,1097,0,28,1,[],176.0,261.0,0.0,0.87
12,hal5jdl0,history,2018-08-17 07:54:09.238085+00:00,A3NZAEOHAO5LT6,1097,0,40,1,[],550.0,263.0,0.0,0.88
13,hal5jdl0,history,2018-08-17 07:54:56.165042+00:00,AJVGW8ZY3SWE4,1097,0,44,1,[],637.0,256.0,0.0,0.86
14,hal5jdl0,history,2018-08-17 07:57:03.108248+00:00,A3SOJWB6AZWZV9,1097,0,49,1,[],846.0,186.0,0.0,0.62
15,hal5jdl0,history,2018-08-17 07:58:07.405324+00:00,A3EZIJXR1OISKT,1097,0,51,1,[],775.0,167.0,0.0,0.56
