,task,method,views,session,code,id,order,hist,guess,bonus,dots
1003,dots,history,0,hal5jdl0,g8xdee6n,4,1,[],220.0,0.0,1097
1002,dots,history,0,hal5jdl0,t74q8dac,3,2,[],500.0,0.0,1097
1009,dots,history,0,hal5jdl0,gx8q0wod,10,3,[],880.0,0.0,1097
1011,dots,history,0,hal5jdl0,68qrd5jf,12,4,[],400.0,0.0,1097
1008,dots,history,0,hal5jdl0,elhd20cy,9,5,[],499.0,0.0,1097
1013,dots,history,0,hal5jdl0,5cfrlbth,14,6,[],650.0,0.0,1097
1016,dots,history,0,hal5jdl0,3v1l7xid,17,7,[],2000.0,0.0,1097
1015,dots,history,0,hal5jdl0,96uge9j8,16,8,[],700.0,0.0,1097
1017,dots,history,0,hal5jdl0,i8qs81i4,18,9,[],150.0,0.0,1097
1022,dots,history,0,hal5jdl0,vy50f6b2,23,10,[],510.0,0.0,1097
1023,dots,history,0,hal5jdl0,vf1m4xdk,24,11,[],600.0,0.0,1097
1027,dots,history,0,hal5jdl0,d0esj3v9,28,12,[],176.0,0.0,1097
1039,dots,history,0,hal5jdl0,kq9irb5o,40,13,[],550.0,0.0,1097
1043,dots,history,0,hal5jdl0,kaja2iy8,44,14,[],637.0,0.0,1097
1048,dots,history,0,hal5jdl0,2sn3v9wc,49,15,[],846.0,0.0,1097
1050,dots,history,0,hal5jdl0,hyo55n38,51,16,[],775.0,0.0,1097
1047,dots,history,0,hal5jdl0,i0djkjyp,48,17,[],2492.0,0.0,1097
1041,dots,history,0,hal5jdl0,ac677vm3,42,18,[],650.0,0.0,1097
1034,dots,history,0,hal5jdl0,2sdn8908,35,19,[],680.0,0.0,1097
1053,dots,history,0,hal5jdl0,vbg9c6be,54,20,[],160.0,0.0,1097
1058,dots,history,0,hal5jdl0,6fi1mfg0,59,21,[],700.0,0.0,1097
1059,dots,history,0,hal5jdl0,hmo38trw,60,22,[],700.0,0.0,1097
1060,dots,history,0,hal5jdl0,cwyoaiwq,61,23,[],620.0,0.0,1097
1071,dots,history,0,hal5jdl0,98hklnl5,72,25,[],5000.0,0.0,1097
1073,dots,history,0,hal5jdl0,awnv8f6u,74,26,[],2000.0,0.0,1097
1075,dots,history,0,hal5jdl0,zkw2uucv,76,27,[],2800.0,0.0,1097
1079,dots,history,0,hal5jdl0,ln5qwd6u,80,28,[],499.0,0.0,1097
1082,dots,history,0,hal5jdl0,kf3k2yla,83,29,[],450.0,0.0,1097
1085,dots,history,0,hal5jdl0,ypd6ajy2,86,30,[],2500.0,0.0,1097
1086,dots,history,0,hal5jdl0,jop4932r,87,31,[],500.0,0.0,1097
1088,dots,history,0,hal5jdl0,fhuyu3ua,89,32,[],2800.0,0.0,1097
1089,dots,history,0,hal5jdl0,xjmgr4m6,90,33,[],500.0,0.0,1097
1093,dots,history,0,hal5jdl0,2pwn0394,94,34,[],600.0,0.0,1097
1095,dots,history,0,hal5jdl0,fp1a095l,96,35,[],4000.0,0.0,1097
1094,dots,history,0,hal5jdl0,0mt31t2y,95,36,[],150.0,0.0,1097
1099,dots,history,0,hal5jdl0,pmo0mpom,100,37,[],500.0,0.0,1097
1101,dots,history,0,hal5jdl0,n49p1bf1,102,38,[],700.0,0.0,1097
1100,dots,history,0,hal5jdl0,3x9pzmvu,101,39,[],900.0,0.0,1097
1103,dots,history,0,hal5jdl0,005kyxsy,104,40,[],900.0,0.0,1097
1107,dots,history,0,hal5jdl0,n80t56ld,108,41,[],900.0,0.0,1097
1021,dots,history,0,hal5jdl0,nvlmdp2m,22,42,[],150.0,0.0,1097
1108,dots,history,0,hal5jdl0,uigjv9tl,109,43,[],1000.0,1.0,1097
1109,dots,history,0,hal5jdl0,63yibra5,110,44,[],400.0,0.0,1097
1111,dots,history,0,hal5jdl0,jq1ymyw1,112,45,[],1500.0,0.0,1097
1112,dots,history,0,hal5jdl0,ce19fd4f,113,46,[],150.0,0.0,1097
1114,dots,history,0,hal5jdl0,lcmzsmu0,115,47,[],2500.0,0.0,1097
1116,dots,history,0,hal5jdl0,xjq3pva4,117,48,[],500.0,0.0,1097
1118,dots,history,0,hal5jdl0,gvbnyyxu,119,50,[],2150.0,0.0,1097
1119,dots,history,0,hal5jdl0,p6tbs7gv,120,51,[],420.0,0.0,1097
1121,dots,history,0,hal5jdl0,gnw0yu56,122,52,[],1000.0,1.0,1097
1123,dots,history,0,hal5jdl0,vfuryoz2,124,53,[],1100.0,1.0,1097
1124,dots,history,0,hal5jdl0,dg0i7t9c,125,54,[],750.0,0.0,1097
1127,dots,history,0,hal5jdl0,2w0685zy,128,55,[],500.0,0.0,1097
1129,dots,history,0,hal5jdl0,iofn46j1,130,56,[],3000.0,0.0,1097
1130,dots,history,0,hal5jdl0,pb3cjkqj,131,57,[],200.0,0.0,1097
1132,dots,history,0,hal5jdl0,ol4zcr0p,133,58,[],730.0,0.0,1097
1133,dots,history,0,hal5jdl0,7v0v1lnd,134,59,[],1000.0,1.0,1097
1029,dots,history,0,hal5jdl0,68x9s402,30,60,[],750.0,0.0,1097
1136,dots,history,0,hal5jdl0,hmtvwpeb,137,61,[],750.0,0.0,1097
1135,dots,history,0,hal5jdl0,uheaybvq,136,62,[],450.0,0.0,1097
1134,dots,history,0,hal5jdl0,sl5c2v6l,135,63,[],450.0,0.0,1097
