,dots,method,views,session,code,id,hist,guess,bonus
0,1097,history,0,hal5jdl0,g8xdee6n,4,[],220.0,0.0
1,1097,history,0,hal5jdl0,t74q8dac,3,[],500.0,0.0
2,1097,history,0,hal5jdl0,gx8q0wod,10,[],880.0,0.0
3,1097,history,0,hal5jdl0,68qrd5jf,12,[],400.0,0.0
4,1097,history,0,hal5jdl0,elhd20cy,9,[],499.0,0.0
5,1097,history,0,hal5jdl0,5cfrlbth,14,[],650.0,0.0
6,1097,history,0,hal5jdl0,3v1l7xid,17,[],2000.0,0.0
7,1097,history,0,hal5jdl0,96uge9j8,16,[],700.0,0.0
8,1097,history,0,hal5jdl0,i8qs81i4,18,[],150.0,0.0
9,1097,history,0,hal5jdl0,vy50f6b2,23,[],510.0,0.0
10,1097,history,0,hal5jdl0,vf1m4xdk,24,[],600.0,0.0
11,1097,history,0,hal5jdl0,d0esj3v9,28,[],176.0,0.0
12,1097,history,0,hal5jdl0,kq9irb5o,40,[],550.0,0.0
13,1097,history,0,hal5jdl0,kaja2iy8,44,[],637.0,0.0
14,1097,history,0,hal5jdl0,2sn3v9wc,49,[],846.0,0.0
15,1097,history,0,hal5jdl0,hyo55n38,51,[],775.0,0.0
16,1097,history,0,hal5jdl0,i0djkjyp,48,[],2492.0,0.0
17,1097,history,0,hal5jdl0,ac677vm3,42,[],650.0,0.0
18,1097,history,0,hal5jdl0,2sdn8908,35,[],680.0,0.0
19,1097,history,0,hal5jdl0,vbg9c6be,54,[],160.0,0.0
20,1097,history,0,hal5jdl0,6fi1mfg0,59,[],700.0,0.0
21,1097,history,0,hal5jdl0,hmo38trw,60,[],700.0,0.0
22,1097,history,0,hal5jdl0,cwyoaiwq,61,[],620.0,0.0
23,1097,history,0,hal5jdl0,c0tfzlsg,70,[],108.0,0.0
24,1097,history,0,hal5jdl0,98hklnl5,72,[],5000.0,0.0
25,1097,history,0,hal5jdl0,awnv8f6u,74,[],2000.0,0.0
26,1097,history,0,hal5jdl0,zkw2uucv,76,[],2800.0,0.0
27,1097,history,0,hal5jdl0,ln5qwd6u,80,[],499.0,0.0
28,1097,history,0,hal5jdl0,kf3k2yla,83,[],450.0,0.0
29,1097,history,0,hal5jdl0,ypd6ajy2,86,[],2500.0,0.0
30,1097,history,0,hal5jdl0,jop4932r,87,[],500.0,0.0
31,1097,history,0,hal5jdl0,fhuyu3ua,89,[],2800.0,0.0
32,1097,history,0,hal5jdl0,xjmgr4m6,90,[],500.0,0.0
33,1097,history,0,hal5jdl0,2pwn0394,94,[],600.0,0.0
34,1097,history,0,hal5jdl0,fp1a095l,96,[],4000.0,0.0
35,1097,history,0,hal5jdl0,0mt31t2y,95,[],150.0,0.0
36,1097,history,0,hal5jdl0,pmo0mpom,100,[],500.0,0.0
37,1097,history,0,hal5jdl0,n49p1bf1,102,[],700.0,0.0
38,1097,history,0,hal5jdl0,3x9pzmvu,101,[],900.0,0.0
39,1097,history,0,hal5jdl0,005kyxsy,104,[],900.0,0.0
40,1097,history,0,hal5jdl0,n80t56ld,108,[],900.0,0.0
41,1097,history,0,hal5jdl0,nvlmdp2m,22,[],150.0,0.0
42,1097,history,0,hal5jdl0,uigjv9tl,109,[],1000.0,1.0
43,1097,history,0,hal5jdl0,63yibra5,110,[],400.0,0.0
44,1097,history,0,hal5jdl0,jq1ymyw1,112,[],1500.0,0.0
45,1097,history,0,hal5jdl0,ce19fd4f,113,[],150.0,0.0
46,1097,history,0,hal5jdl0,lcmzsmu0,115,[],2500.0,0.0
47,1097,history,0,hal5jdl0,xjq3pva4,117,[],500.0,0.0
48,1097,history,0,hal5jdl0,rnczgarv,118,[],15498.0,0.0
49,1097,history,0,hal5jdl0,gvbnyyxu,119,[],2150.0,0.0
50,1097,history,0,hal5jdl0,p6tbs7gv,120,[],420.0,0.0
51,1097,history,0,hal5jdl0,gnw0yu56,122,[],1000.0,1.0
52,1097,history,0,hal5jdl0,vfuryoz2,124,[],1100.0,1.0
53,1097,history,0,hal5jdl0,dg0i7t9c,125,[],750.0,0.0
54,1097,history,0,hal5jdl0,2w0685zy,128,[],500.0,0.0
55,1097,history,0,hal5jdl0,iofn46j1,130,[],3000.0,0.0
56,1097,history,0,hal5jdl0,pb3cjkqj,131,[],200.0,0.0
57,1097,history,0,hal5jdl0,ol4zcr0p,133,[],730.0,0.0
58,1097,history,0,hal5jdl0,7v0v1lnd,134,[],1000.0,1.0
59,1097,history,0,hal5jdl0,68x9s402,30,[],750.0,0.0
60,1097,history,0,hal5jdl0,hmtvwpeb,137,[],750.0,0.0
61,1097,history,0,hal5jdl0,uheaybvq,136,[],450.0,0.0
62,1097,history,0,hal5jdl0,sl5c2v6l,135,[],450.0,0.0
63,1097,history,0,hal5jdl0,78anrt4e,138,[],900.0,0.0
64,1097,history,0,hal5jdl0,x945rwtd,139,[],200.0,0.0
65,1097,history,0,hal5jdl0,mr3bdryi,141,[],670.0,0.0
66,1097,history,0,hal5jdl0,xpfmycut,143,[],2800.0,0.0
67,1097,history,0,hal5jdl0,wfwshrd3,144,[],500.0,0.0
68,1097,history,0,hal5jdl0,nwxrnmuq,145,[],1600.0,0.0
69,1097,history,0,hal5jdl0,aqmem0kx,146,[],1000000.0,0.0
70,1097,history,0,hal5jdl0,qyi1fljs,147,[],550.0,0.0
71,1097,history,0,hal5jdl0,nv6jxiza,150,[],1000.0,1.0
72,1097,history,0,hal5jdl0,6dbvzx07,151,[],10000.0,0.0
73,1097,history,0,hal5jdl0,m0q35mrm,152,[],584.0,0.0
74,1097,history,0,hal5jdl0,531rje6n,154,[],500.0,0.0
75,1097,history,0,hal5jdl0,pgc2tpk5,155,[],900.0,0.0
76,1097,history,0,hal5jdl0,dqbdcyaz,156,[],300.0,0.0
77,1097,history,0,hal5jdl0,0xvw5wvy,158,[],25.0,0.0
78,1097,history,0,hal5jdl0,hzve6g5t,159,[],567.0,0.0
79,1097,history,0,hal5jdl0,rwjzxw85,161,[],550.0,0.0
80,1097,history,0,hal5jdl0,5127i214,165,[],600.0,0.0
81,1097,history,0,hal5jdl0,zhn1ptd5,166,[],180.0,0.0
82,1097,history,0,hal5jdl0,wtsbfoer,167,[],1250.0,0.0
83,1097,history,0,hal5jdl0,boovgpoi,169,[],700.0,0.0
84,1097,history,0,hal5jdl0,wv9yugos,170,[],275.0,0.0
85,1097,history,0,hal5jdl0,9vsk7qek,171,[],1200.0,1.0
86,1097,history,0,hal5jdl0,qqoapomg,172,[],500.0,0.0
87,1097,history,0,hal5jdl0,wgzei5qb,175,[],1000.0,1.0
88,1097,history,0,hal5jdl0,5ej7ymtl,176,[],1000.0,1.0
89,1097,history,0,hal5jdl0,6pmg1j0v,177,[],5000.0,0.0
90,1097,history,0,hal5jdl0,p0y9z425,179,[],2000.0,0.0
91,1097,history,0,hal5jdl0,018b6mde,180,[],750.0,0.0
92,1097,history,0,hal5jdl0,8rli3ol8,181,[],1100.0,1.0
93,1097,history,0,hal5jdl0,zh56lcgr,182,[],400.0,0.0
94,1097,history,0,hal5jdl0,omys7iea,183,[],786.0,0.0
95,1097,history,0,hal5jdl0,63dkcawj,184,[],263.0,0.0
96,1097,history,0,hal5jdl0,nberj72r,185,[],117.0,0.0
97,1097,history,0,hal5jdl0,wxjqr4qy,186,[],458.0,0.0
98,1097,history,0,hal5jdl0,c4rpenz7,187,[],4500.0,0.0
99,1097,history,0,hal5jdl0,gc3nbm7m,188,[],1350.0,0.0
100,1097,history,0,hal5jdl0,os0vtjw5,191,[],950.0,0.0
101,1097,history,0,hal5jdl0,gx3spsnd,193,[],550.0,0.0
102,1097,history,0,hal5jdl0,zbcesv4l,194,[],975.0,0.0
103,1097,history,0,hal5jdl0,uqtplod3,195,[],1459.0,0.0
104,1097,history,0,hal5jdl0,nherxs7f,196,[],150.0,0.0
105,1097,history,0,hal5jdl0,ww1pc4n4,197,[],1025.0,1.0
106,1097,history,0,hal5jdl0,4nf75fbc,200,[],480.0,0.0
107,1097,history,0,hal5jdl0,5lbb0b5z,202,[],300.0,0.0
108,1097,history,0,hal5jdl0,7mim4xoy,201,[],100000.0,0.0
109,1097,history,0,hal5jdl0,3cle24x2,205,[],392.0,0.0
110,1097,history,0,hal5jdl0,fp3h9zvn,203,[],1160.0,1.0
111,1097,history,0,hal5jdl0,zk8uwfhi,206,[],400.0,0.0
112,1097,history,0,hal5jdl0,tuul7q6b,207,[],1000.0,1.0
