,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
11000,dots,A258MR1IS96JEP,history,0,hqx0v7t5,swqmng48,1,1,[],1800.0,0.0,403
11001,dots,AQJWO4YPR3LUQ,history,0,hqx0v7t5,1fl9pvy4,2,2,[],175.0,0.0,403
11002,dots,A34FJX622ML4YV,history,0,hqx0v7t5,l30esk9k,3,3,[],155.0,0.0,403
11003,dots,A2SZRPGIEYRCG6,history,0,hqx0v7t5,oju0oqgn,4,4,[],369.0,1.0,403
11005,dots,A3SU31NEY9JN1P,history,0,hqx0v7t5,zodk13tg,6,5,[],600.0,0.0,403
11006,dots,A2EOOF9D135HQ1,history,0,hqx0v7t5,3p2dgodi,7,6,[],345.0,0.0,403
11007,dots,A2QJH6SM06D8OR,history,0,hqx0v7t5,ca1b2ztd,8,7,[],872272.0,0.0,403
11008,dots,A39Q9SV9UFKJO2,history,0,hqx0v7t5,l6u0lcdi,9,8,[],40404.0,0.0,403
11009,dots,AODEMLZW7K1A8,history,0,hqx0v7t5,ufo5747c,10,9,[],110.0,0.0,403
11010,dots,A2EMHN5ZXZBFTU,history,0,hqx0v7t5,rjgue134,11,10,[],210.0,0.0,403
11011,dots,A10BH9PYCYUKDJ,history,0,hqx0v7t5,5dk935fa,12,11,[],1100.0,0.0,403
11012,dots,A39ROW50DWRRKT,history,0,hqx0v7t5,qrhu2pmq,13,12,[],111.0,0.0,403
11013,dots,AW47H2ISJWAJC,history,0,hqx0v7t5,4dx37lx8,14,13,[],343.0,0.0,403
11015,dots,A1KXP74BHLL3X6,history,0,hqx0v7t5,p4ynzf22,16,14,[],360.0,0.0,403
11016,dots,A1ZP62D6ARGZUM,history,0,hqx0v7t5,eemorhef,17,15,[],250.0,0.0,403
11017,dots,A3PVZEQ84VQ23D,history,0,hqx0v7t5,a1hwb4wf,18,16,[],200.0,0.0,403
11019,dots,A1L2N1X8U8Z3W7,history,0,hqx0v7t5,xmr00bgb,20,17,[],226.0,0.0,403
11022,dots,AWW264UV51ABD,history,0,hqx0v7t5,syzj0aca,23,18,[],200.0,0.0,403
11023,dots,A2AVVSSELIC18P,history,0,hqx0v7t5,yhfchlrb,24,19,[],350.0,0.0,403
11025,dots,A33ZLD9ZLNKLT9,history,0,hqx0v7t5,68xe4337,26,20,[],132.0,0.0,403
11026,dots,A38OXCT7178T58,history,0,hqx0v7t5,y0gh72v1,27,21,[],650.0,0.0,403
11029,dots,A2ZIBZ79T9UB2,history,0,hqx0v7t5,o66pxkg7,30,22,[],475.0,0.0,403
11032,dots,A3BDRLPGZ3V7EV,history,0,hqx0v7t5,2chqcbmu,33,23,[],220.0,0.0,403
11033,dots,A3HIIRTGJUJZ1D,history,0,hqx0v7t5,cjut0s6h,34,24,[],1500.0,0.0,403
11034,dots,A15FA39ZPD0WVG,history,0,hqx0v7t5,6qq4vnnh,35,25,[],250.0,0.0,403
11036,dots,A3A9M9UYTEDVZ0,history,0,hqx0v7t5,1t4oiowm,37,26,[],250.0,0.0,403
11038,dots,A10AVMDRAU2NN5,history,0,hqx0v7t5,etodokf4,39,27,[],500.0,0.0,403
11039,dots,A19S4W3QLLQJ0T,history,0,hqx0v7t5,ptvyv1nt,40,28,[],328053.0,0.0,403
11040,dots,AJPKWEYPYLOD1,history,0,hqx0v7t5,9fvmmu59,41,29,[],580.0,0.0,403
11041,dots,A2PTLSWHIZCK1Y,history,0,hqx0v7t5,54uhzv4m,42,30,[],350.0,0.0,403
11042,dots,A32DUSFG7K0DRD,history,0,hqx0v7t5,mv7evpif,43,31,[],275.0,0.0,403
11043,dots,A3D9BBAD6THGTM,history,0,hqx0v7t5,habi6ksc,44,32,[],320.0,0.0,403
11044,dots,A2MLI1162WIS7N,history,0,hqx0v7t5,aifca5s2,45,33,[],207.0,0.0,403
11045,dots,A2AU2AM72MK5J6,history,0,hqx0v7t5,9x3zhysr,46,34,[],420.0,1.0,403
11046,dots,A2QLH3VGW3WFJH,history,0,hqx0v7t5,g6av7ydh,47,35,[],310.0,0.0,403
11047,dots,A387R1WXOERG33,history,0,hqx0v7t5,vwozoe9l,48,36,[],250.0,0.0,403
11048,dots,A38TZ2TQW9TVBU,history,0,hqx0v7t5,408wdsw8,49,37,[],150.0,0.0,403
11049,dots,A1PBRKFHSF1OF8,history,0,hqx0v7t5,wflx0l8p,50,38,[],487.0,0.0,403
11050,dots,AV0HWV0VGZROJ,history,0,hqx0v7t5,l6bc737g,51,39,[],625.0,0.0,403
11053,dots,ATZ6GERYJ2LSK,history,0,hqx0v7t5,35cy2jjs,54,40,[],127.0,0.0,403
11052,dots,A2VBZ4C3KXNHHI,history,0,hqx0v7t5,aie9vono,53,41,[],160.0,0.0,403
11054,dots,ADGH08WUP68ZF,history,0,hqx0v7t5,4clufbxh,55,42,[],94.0,0.0,403
11056,dots,A2D9E07Q323OGG,history,0,hqx0v7t5,frnx68ng,57,43,[],315.0,0.0,403
11057,dots,A2H1XPAIJZX0RP,history,0,hqx0v7t5,8u57wj2e,58,44,[],120.0,0.0,403
11058,dots,A15SUPIZ05ZFCD,history,0,hqx0v7t5,s4j0k1jk,59,45,[],250.0,0.0,403
11059,dots,A21M5WL69CLKSO,history,0,hqx0v7t5,ou1o7iz7,60,46,[],216.0,0.0,403
11060,dots,A17KX9Q5PE4VXR,history,0,hqx0v7t5,l0gke6hv,61,47,[],350.0,0.0,403
11061,dots,A2XQQUZWY1CJ8D,history,0,hqx0v7t5,36j7annk,62,48,[],522.0,0.0,403
11064,dots,AZEHUDYAFJPRG,history,0,hqx0v7t5,kkrjwekg,65,49,[],290.0,0.0,403
11065,dots,A6WXIKRYMXNIN,history,0,hqx0v7t5,p3rgjwda,66,50,[],50.0,0.0,403
11066,dots,A2VMYMINCJMR7T,history,0,hqx0v7t5,t3qziuhn,67,51,[],350.0,0.0,403
11067,dots,AUPKRIMWMTU58,history,0,hqx0v7t5,j8mup0ci,68,52,[],350.0,0.0,403
11068,dots,A31Y2UA2LPDSWZ,history,0,hqx0v7t5,apnesqp0,69,53,[],440.0,1.0,403
