,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,hqx0v7t5,history,2018-08-28 11:32:06.007182+00:00,A258MR1IS96JEP,403,0,1,1,[],1800.0,5.0,0.0,0.02
1,hqx0v7t5,history,2018-08-28 11:32:13.547194+00:00,AQJWO4YPR3LUQ,403,0,2,1,[],175.0,26.0,0.0,0.09
2,hqx0v7t5,history,2018-08-28 11:32:49.142658+00:00,A34FJX622ML4YV,403,0,3,1,[],155.0,5.0,0.0,0.02
3,hqx0v7t5,history,2018-08-28 11:33:15.619409+00:00,A2SZRPGIEYRCG6,403,0,4,1,[],369.0,20.0,1.0,1.07
4,hqx0v7t5,history,2018-08-28 11:35:05.533561+00:00,A3SU31NEY9JN1P,403,0,6,1,[],600.0,57.0,0.0,0.19
5,hqx0v7t5,history,2018-08-28 11:35:19.815583+00:00,A2EOOF9D135HQ1,403,0,7,1,[],345.0,74.0,0.0,0.25
6,hqx0v7t5,history,2018-08-28 11:41:05.270281+00:00,AODEMLZW7K1A8,403,0,10,1,[],110.0,5.0,0.0,0.02
7,hqx0v7t5,history,2018-08-28 11:41:30.385837+00:00,A2EMHN5ZXZBFTU,403,0,11,1,[],210.0,10.0,0.0,0.03
8,hqx0v7t5,history,2018-08-28 11:43:41.800248+00:00,A10BH9PYCYUKDJ,403,0,12,1,[],1100.0,5.0,0.0,0.02
9,hqx0v7t5,history,2018-08-28 11:56:04.930752+00:00,A39ROW50DWRRKT,403,0,13,1,[],111.0,4.0,0.0,0.02
10,hqx0v7t5,history,2018-08-28 12:00:08.594039+00:00,AW47H2ISJWAJC,403,0,14,0,[],343.0,6.0,0.0,0.0
11,hqx0v7t5,history,2018-08-28 12:06:34.594154+00:00,A1KXP74BHLL3X6,403,0,16,1,[],360.0,5.0,0.0,0.02
12,hqx0v7t5,history,2018-08-28 12:18:36.454400+00:00,A1ZP62D6ARGZUM,403,0,17,1,[],250.0,5.0,0.0,0.02
13,hqx0v7t5,history,2018-08-28 12:39:11.702969+00:00,A3PVZEQ84VQ23D,403,0,18,1,[],200.0,5.0,0.0,0.02
14,hqx0v7t5,history,2018-08-28 12:43:51.841373+00:00,A1L2N1X8U8Z3W7,403,0,20,1,[],226.0,4.0,0.0,0.02
15,hqx0v7t5,history,2018-08-28 13:22:44.159594+00:00,AWW264UV51ABD,403,0,23,1,[],200.0,8.0,0.0,0.03
16,hqx0v7t5,history,2018-08-28 13:24:23.147593+00:00,A2AVVSSELIC18P,403,0,24,1,[],350.0,4.0,0.0,0.02
17,hqx0v7t5,history,2018-08-28 13:35:50.173597+00:00,A33ZLD9ZLNKLT9,403,0,26,1,[],132.0,5.0,0.0,0.02
18,hqx0v7t5,history,2018-08-28 13:42:20.843784+00:00,A38OXCT7178T58,403,0,27,1,[],650.0,6.0,0.0,0.02
19,hqx0v7t5,history,2018-08-28 14:04:57.347657+00:00,A2ZIBZ79T9UB2,403,0,30,1,[],475.0,4.0,0.0,0.02
20,hqx0v7t5,history,2018-08-28 14:30:22.970659+00:00,A3BDRLPGZ3V7EV,403,0,33,1,[],220.0,6.0,0.0,0.02
21,hqx0v7t5,history,2018-08-28 14:30:54.984652+00:00,A3HIIRTGJUJZ1D,403,0,34,1,[],1500.0,22.0,0.0,0.08
22,hqx0v7t5,history,2018-08-28 14:32:18.419781+00:00,A15FA39ZPD0WVG,403,0,35,1,[],250.0,9.0,0.0,0.03
23,hqx0v7t5,history,2018-08-28 14:34:16.980584+00:00,A3A9M9UYTEDVZ0,403,0,37,1,[],250.0,5.0,0.0,0.02
24,hqx0v7t5,history,2018-08-28 14:43:26.728112+00:00,A10AVMDRAU2NN5,403,0,39,1,[],500.0,5.0,0.0,0.02
25,hqx0v7t5,history,2018-08-28 15:17:23.432045+00:00,AJPKWEYPYLOD1,403,0,41,1,[],580.0,6.0,0.0,0.02
26,hqx0v7t5,history,2018-08-28 15:28:22.862241+00:00,A2PTLSWHIZCK1Y,403,0,42,1,[],350.0,7.0,0.0,0.02
27,hqx0v7t5,history,2018-08-28 15:58:19.420384+00:00,A32DUSFG7K0DRD,403,0,43,1,[],275.0,6.0,0.0,0.02
28,hqx0v7t5,history,2018-08-28 16:05:30.442315+00:00,A3D9BBAD6THGTM,403,0,44,1,[],320.0,6.0,0.0,0.02
29,hqx0v7t5,history,2018-08-28 16:15:06.030758+00:00,A2MLI1162WIS7N,403,0,45,1,[],207.0,5.0,0.0,0.02
30,hqx0v7t5,history,2018-08-28 16:18:01.559451+00:00,A2AU2AM72MK5J6,403,0,46,1,[],420.0,5.0,1.0,1.02
31,hqx0v7t5,history,2018-08-28 16:41:00.589921+00:00,A2QLH3VGW3WFJH,403,0,47,1,[],310.0,4.0,0.0,0.02
32,hqx0v7t5,history,2018-08-28 16:46:59.921435+00:00,A387R1WXOERG33,403,0,48,1,[],250.0,4.0,0.0,0.02
33,hqx0v7t5,history,2018-08-28 16:48:39.285144+00:00,A38TZ2TQW9TVBU,403,0,49,1,[],150.0,5.0,0.0,0.02
34,hqx0v7t5,history,2018-08-28 16:48:49.141632+00:00,A1PBRKFHSF1OF8,403,0,50,1,[],487.0,7.0,0.0,0.03
35,hqx0v7t5,history,2018-08-28 17:05:16.099881+00:00,AV0HWV0VGZROJ,403,0,51,1,[],625.0,14.0,0.0,0.05
36,hqx0v7t5,history,2018-08-28 17:24:59.621315+00:00,ATZ6GERYJ2LSK,403,0,54,1,[],127.0,5.0,0.0,0.02
37,hqx0v7t5,history,2018-08-28 17:24:55.588453+00:00,A2VBZ4C3KXNHHI,403,0,53,1,[],160.0,29.0,0.0,0.1
38,hqx0v7t5,history,2018-08-28 17:36:50.628185+00:00,ADGH08WUP68ZF,403,0,55,1,[],94.0,4.0,0.0,0.01
39,hqx0v7t5,history,2018-08-28 18:00:01.326104+00:00,A2D9E07Q323OGG,403,0,57,1,[],315.0,4.0,0.0,0.02
40,hqx0v7t5,history,2018-08-28 18:32:27.230478+00:00,A2H1XPAIJZX0RP,403,0,58,1,[],120.0,5.0,0.0,0.02
41,hqx0v7t5,history,2018-08-28 18:46:45.289162+00:00,A15SUPIZ05ZFCD,403,0,59,1,[],250.0,5.0,0.0,0.02
42,hqx0v7t5,history,2018-08-28 18:51:02.317835+00:00,A21M5WL69CLKSO,403,0,60,1,[],216.0,5.0,0.0,0.02
43,hqx0v7t5,history,2018-08-28 19:47:33.064005+00:00,A17KX9Q5PE4VXR,403,0,61,1,[],350.0,6.0,0.0,0.02
44,hqx0v7t5,history,2018-08-28 20:22:20.641319+00:00,A2XQQUZWY1CJ8D,403,0,62,0,[],522.0,8.0,0.0,0.0
45,hqx0v7t5,history,2018-08-28 20:57:00.003628+00:00,AZEHUDYAFJPRG,403,0,65,1,[],290.0,4.0,0.0,0.02
46,hqx0v7t5,history,2018-08-28 21:28:16.053943+00:00,A6WXIKRYMXNIN,403,0,66,1,[],50.0,6.0,0.0,0.02
47,hqx0v7t5,history,2018-08-28 22:07:23.997466+00:00,A2VMYMINCJMR7T,403,0,67,1,[],350.0,9.0,0.0,0.03
48,hqx0v7t5,history,2018-08-28 22:30:33.999806+00:00,AUPKRIMWMTU58,403,0,68,1,[],350.0,5.0,0.0,0.02
49,hqx0v7t5,history,2018-08-28 22:39:31.623464+00:00,A31Y2UA2LPDSWZ,403,0,69,1,[],440.0,6.0,1.0,1.02
50,hqx0v7t5,history,2018-08-28 22:56:50.512782+00:00,A3QOYQRBHTWSR7,403,0,70,1,[],350.0,10.0,0.0,0.04
51,hqx0v7t5,history,2018-08-28 23:05:17.430008+00:00,A2G3G60TB7HCJE,403,0,71,1,[],130.0,5.0,0.0,0.02
52,hqx0v7t5,history,2018-08-28 23:39:57.204106+00:00,A2ELH7YDLFNJUZ,403,0,72,1,[],300.0,10.0,0.0,0.04
53,hqx0v7t5,history,2018-08-29 00:33:50.335326+00:00,A2KBY5BL7F0NBJ,403,0,73,1,[],450.0,5.0,0.0,0.02
54,hqx0v7t5,history,2018-08-29 01:58:14.240555+00:00,A2AUFOM6LMGGG9,403,0,75,1,[],250.0,6.0,0.0,0.02
55,hqx0v7t5,history,2018-08-29 01:59:36.342926+00:00,A3302168IZJTMX,403,0,76,1,[],200.0,10.0,0.0,0.03
56,hqx0v7t5,history,2018-08-29 02:07:32.765906+00:00,A1LVFOMRHF576H,403,0,77,1,[],1015.0,5.0,0.0,0.02
57,hqx0v7t5,history,2018-08-29 02:15:50.120531+00:00,AJE2GXXF7UMBN,403,0,78,1,[],265.0,5.0,0.0,0.02
58,hqx0v7t5,history,2018-08-29 02:17:28.598949+00:00,AV7D52XY4M23K,403,0,79,1,[],75.0,5.0,0.0,0.02
59,hqx0v7t5,history,2018-08-29 02:19:17.967383+00:00,A1FAUQOT1JCXQ0,403,0,80,1,[],150.0,5.0,0.0,0.02
60,hqx0v7t5,history,2018-08-29 02:38:32.524371+00:00,A11LF1JN8ZKLTZ,403,0,81,1,[],220.0,5.0,0.0,0.02
61,hqx0v7t5,history,2018-08-29 07:36:47.468082+00:00,A3VQ5NMIX4YLZI,403,0,84,1,[],550.0,5.0,0.0,0.02
62,hqx0v7t5,history,2018-08-29 08:16:33.099226+00:00,A3GRFK26H58W5O,403,0,86,1,[],850.0,5.0,0.0,0.02
63,hqx0v7t5,history,2018-08-29 10:13:44.872213+00:00,AWFPCTNGGUCL2,403,0,87,1,[],265.0,9.0,0.0,0.03
64,hqx0v7t5,history,2018-08-29 10:24:03.816991+00:00,ANFE3MX7DI3J6,403,0,88,1,[],265.0,4.0,0.0,0.02
65,hqx0v7t5,history,2018-08-29 11:46:21.647816+00:00,A2W5BVSBD1G08A,403,0,89,1,[],500.0,4.0,0.0,0.02
66,hqx0v7t5,history,2018-08-29 11:50:00.108162+00:00,A15RDD1EQIZSX3,403,0,90,1,[],375.0,10.0,1.0,1.03
67,hqx0v7t5,history,2018-08-29 12:23:02.624972+00:00,A28W2SBM6RT0SH,403,0,91,1,[],83.0,5.0,0.0,0.02
68,hqx0v7t5,history,2018-08-29 12:37:41.701468+00:00,AV8EJRIB8QWZX,403,0,92,1,[],1235.0,6.0,0.0,0.02
69,hqx0v7t5,history,2018-08-29 12:47:19.854146+00:00,A1FTGHYEU1T71Y,403,0,93,1,[],304.0,8.0,0.0,0.03
70,hqx0v7t5,history,2018-08-29 13:34:16.351762+00:00,ACTCV1J7817FG,403,0,94,1,[],200.0,5.0,0.0,0.02
71,hqx0v7t5,history,2018-08-29 13:48:28.304501+00:00,A1L0T8IFHPA77E,403,0,95,1,[],82.0,6.0,0.0,0.02
72,hqx0v7t5,history,2018-08-29 14:30:42.339273+00:00,AZ7GSYRVDR23N,403,0,96,1,[],150.0,8.0,0.0,0.03
73,hqx0v7t5,history,2018-08-29 14:44:24.534247+00:00,A38H6I9S9X8VXG,403,0,97,1,[],300.0,4.0,0.0,0.02
74,hqx0v7t5,history,2018-08-29 15:03:32.834729+00:00,A3AA1L892OJ81M,403,0,98,1,[],408.0,5.0,1.0,1.02
75,hqx0v7t5,history,2018-08-29 15:42:07.147536+00:00,A2AKL4DSCYLK3H,403,0,99,1,[],475.0,5.0,0.0,0.02
76,hqx0v7t5,history,2018-08-29 16:27:26.786829+00:00,A2287HLNN9EZ56,403,0,100,1,[],675.0,4.0,0.0,0.02
77,hqx0v7t5,history,2018-08-29 17:42:02.611587+00:00,A3RHOMS0PNU3NQ,403,0,102,1,[],95.0,5.0,0.0,0.02
78,hqx0v7t5,history,2018-08-29 20:40:55.630844+00:00,A2FHMXMO51P600,403,0,104,1,[],225.0,5.0,0.0,0.02
79,hqx0v7t5,history,2018-08-29 21:39:04.026913+00:00,A3U7DM5YKXU0AE,403,0,105,1,[],178.0,8.0,0.0,0.03
80,hqx0v7t5,history,2018-08-30 00:29:23.269166+00:00,AQGNAN3CKLKT5,403,0,106,1,[],500.0,5.0,0.0,0.02
81,hqx0v7t5,history,2018-08-30 02:22:50.752747+00:00,AU3EIPG4ZRRMZ,403,0,108,1,[],75.0,5.0,0.0,0.02
82,hqx0v7t5,history,2018-08-30 02:42:21.306828+00:00,ALWBY9MDZO4Y6,403,0,109,1,[],175.0,9.0,0.0,0.03
83,hqx0v7t5,history,2018-08-30 03:17:34.027468+00:00,AC3A5T3ILXJRQ,403,0,111,1,[],256.0,6.0,0.0,0.02
84,hqx0v7t5,history,2018-08-30 03:51:29.068934+00:00,AWZL0OS5WK2SI,403,0,112,1,[],195.0,4.0,0.0,0.02
85,hqx0v7t5,history,2018-08-30 08:03:26.013585+00:00,A2N7QKYP1EVF3K,403,0,113,1,[],150.0,5.0,0.0,0.02
