,task,method,views,session,code,id,order,hist,guess,bonus,dots
11000,dots,history,0,hqx0v7t5,swqmng48,1,1,[],1800.0,0.0,403
11001,dots,history,0,hqx0v7t5,1fl9pvy4,2,2,[],175.0,0.0,403
11002,dots,history,0,hqx0v7t5,l30esk9k,3,3,[],155.0,0.0,403
11003,dots,history,0,hqx0v7t5,oju0oqgn,4,4,[],369.0,1.0,403
11005,dots,history,0,hqx0v7t5,zodk13tg,6,5,[],600.0,0.0,403
11006,dots,history,0,hqx0v7t5,3p2dgodi,7,6,[],345.0,0.0,403
11009,dots,history,0,hqx0v7t5,ufo5747c,10,9,[],110.0,0.0,403
11010,dots,history,0,hqx0v7t5,rjgue134,11,10,[],210.0,0.0,403
11011,dots,history,0,hqx0v7t5,5dk935fa,12,11,[],1100.0,0.0,403
11012,dots,history,0,hqx0v7t5,qrhu2pmq,13,12,[],111.0,0.0,403
11013,dots,history,0,hqx0v7t5,4dx37lx8,14,13,[],343.0,0.0,403
11015,dots,history,0,hqx0v7t5,p4ynzf22,16,14,[],360.0,0.0,403
11016,dots,history,0,hqx0v7t5,eemorhef,17,15,[],250.0,0.0,403
11017,dots,history,0,hqx0v7t5,a1hwb4wf,18,16,[],200.0,0.0,403
11019,dots,history,0,hqx0v7t5,xmr00bgb,20,17,[],226.0,0.0,403
11022,dots,history,0,hqx0v7t5,syzj0aca,23,18,[],200.0,0.0,403
11023,dots,history,0,hqx0v7t5,yhfchlrb,24,19,[],350.0,0.0,403
11025,dots,history,0,hqx0v7t5,68xe4337,26,20,[],132.0,0.0,403
11026,dots,history,0,hqx0v7t5,y0gh72v1,27,21,[],650.0,0.0,403
11029,dots,history,0,hqx0v7t5,o66pxkg7,30,22,[],475.0,0.0,403
11032,dots,history,0,hqx0v7t5,2chqcbmu,33,23,[],220.0,0.0,403
11033,dots,history,0,hqx0v7t5,cjut0s6h,34,24,[],1500.0,0.0,403
11034,dots,history,0,hqx0v7t5,6qq4vnnh,35,25,[],250.0,0.0,403
11036,dots,history,0,hqx0v7t5,1t4oiowm,37,26,[],250.0,0.0,403
11038,dots,history,0,hqx0v7t5,etodokf4,39,27,[],500.0,0.0,403
11040,dots,history,0,hqx0v7t5,9fvmmu59,41,29,[],580.0,0.0,403
11041,dots,history,0,hqx0v7t5,54uhzv4m,42,30,[],350.0,0.0,403
11042,dots,history,0,hqx0v7t5,mv7evpif,43,31,[],275.0,0.0,403
11043,dots,history,0,hqx0v7t5,habi6ksc,44,32,[],320.0,0.0,403
11044,dots,history,0,hqx0v7t5,aifca5s2,45,33,[],207.0,0.0,403
11045,dots,history,0,hqx0v7t5,9x3zhysr,46,34,[],420.0,1.0,403
11046,dots,history,0,hqx0v7t5,g6av7ydh,47,35,[],310.0,0.0,403
11047,dots,history,0,hqx0v7t5,vwozoe9l,48,36,[],250.0,0.0,403
11048,dots,history,0,hqx0v7t5,408wdsw8,49,37,[],150.0,0.0,403
11049,dots,history,0,hqx0v7t5,wflx0l8p,50,38,[],487.0,0.0,403
11050,dots,history,0,hqx0v7t5,l6bc737g,51,39,[],625.0,0.0,403
11053,dots,history,0,hqx0v7t5,35cy2jjs,54,40,[],127.0,0.0,403
11052,dots,history,0,hqx0v7t5,aie9vono,53,41,[],160.0,0.0,403
11054,dots,history,0,hqx0v7t5,4clufbxh,55,42,[],94.0,0.0,403
11056,dots,history,0,hqx0v7t5,frnx68ng,57,43,[],315.0,0.0,403
11057,dots,history,0,hqx0v7t5,8u57wj2e,58,44,[],120.0,0.0,403
11058,dots,history,0,hqx0v7t5,s4j0k1jk,59,45,[],250.0,0.0,403
11059,dots,history,0,hqx0v7t5,ou1o7iz7,60,46,[],216.0,0.0,403
11060,dots,history,0,hqx0v7t5,l0gke6hv,61,47,[],350.0,0.0,403
11061,dots,history,0,hqx0v7t5,36j7annk,62,48,[],522.0,0.0,403
11064,dots,history,0,hqx0v7t5,kkrjwekg,65,49,[],290.0,0.0,403
11065,dots,history,0,hqx0v7t5,p3rgjwda,66,50,[],50.0,0.0,403
11066,dots,history,0,hqx0v7t5,t3qziuhn,67,51,[],350.0,0.0,403
