,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
14002,dots,AQD91RFHV1WNE,history,1,hs6bovtz,lx5i25t0,3,1,[],50.0,1.0,55
14003,dots,A3POGRWS6CTP4H,history,1,hs6bovtz,hvkjch6d,4,2,[3],56.0,1.0,55
14006,dots,A21HRAFQT4OILB,history,1,hs6bovtz,vv0zgd67,7,3,[4],110.0,0.0,55
14007,dots,A2QQKTX0ONIXPA,history,1,hs6bovtz,xz8jfzvs,8,4,[7],51.0,1.0,55
14009,dots,AVATI6877P5BN,history,1,hs6bovtz,7mdoyitu,10,5,[8],55.0,1.0,55
14013,dots,A329TVHHUOU4R4,history,1,hs6bovtz,014sija7,14,6,[10],55.0,1.0,55
14016,dots,A3UYK0Z6ZHS7I4,history,1,hs6bovtz,g8lg5npw,17,7,[14],66.0,0.0,55
14023,dots,A3WMFQGKN6L1E,history,1,hs6bovtz,82gbzqxb,24,8,[17],60.0,0.0,55
14025,dots,A28U1GCCY9R6O4,history,1,hs6bovtz,f0vdfs5e,26,9,[24],99.0,0.0,55
14026,dots,A3QDDIWTGHQSLI,history,1,hs6bovtz,asz8io8r,27,10,[26],50.0,1.0,55
14027,dots,A1472QNOG1L6J9,history,1,hs6bovtz,2h4nwrnh,28,11,[27],54.0,1.0,55
14029,dots,AJNEG09C4978Q,history,1,hs6bovtz,wodlfyya,30,12,[28],69.0,0.0,55
14031,dots,A2UIRQTM2V9F7V,history,1,hs6bovtz,hbbk8zhh,32,13,[30],57.0,1.0,55
14033,dots,A2YR7H1CC092WE,history,1,hs6bovtz,3txooavh,34,14,[32],51.0,1.0,55
14034,dots,A21EZISIJ3JPSW,history,1,hs6bovtz,4ueo70st,35,15,[34],55.0,1.0,55
14035,dots,AS6QMZB32HHYF,history,1,hs6bovtz,arzg9a3p,36,16,[35],65.0,0.0,55
14037,dots,AHY3VWVH9VFAR,history,1,hs6bovtz,qpn08k3z,38,17,[36],58.0,1.0,55
14005,dots,A14HW0XMI4R2ON,history,1,hs6bovtz,jmy07i7e,6,18,[38],62.0,0.0,55
14039,dots,AJW3PL5UDH4BP,history,1,hs6bovtz,l3yqhrbe,40,19,[6],80.0,0.0,55
14040,dots,A23BWCKFCNBXRX,history,1,hs6bovtz,p9h6xcxk,41,20,[40],56.0,1.0,55
14041,dots,A1J2S75B43EO71,history,1,hs6bovtz,5ztkb50y,42,21,[41],100.0,0.0,55
14043,dots,A2AQ3REZGV9IE3,history,1,hs6bovtz,w1sj8tij,44,22,[42],56.0,1.0,55
14045,dots,A180I0O75AM7TJ,history,1,hs6bovtz,a7xm5yys,46,23,[44],60.0,1.0,55
14046,dots,A9HQ3E0F2AGVO,history,1,hs6bovtz,pfwosrwj,47,24,[46],50.0,1.0,55
14047,dots,AXY0D2AMLKE2A,history,1,hs6bovtz,tvrmmkxe,48,25,[47],57.0,1.0,55
14049,dots,A32PNTIGJF38XQ,history,1,hs6bovtz,xvi00h7x,50,26,[48],59.0,1.0,55
14050,dots,A1DXFMUVK5015A,history,1,hs6bovtz,dimq93vs,51,27,[50],60.0,1.0,55
14051,dots,A3S5DWMCT53P8,history,1,hs6bovtz,dk57tthn,52,28,[51],85.0,0.0,55
14052,dots,A2HD5XMM48KKJW,history,1,hs6bovtz,8fdsbnh2,53,29,[52],55.0,1.0,55
14053,dots,A1RG0WRPSK5BAV,history,1,hs6bovtz,82sjssgs,54,30,[53],55.0,1.0,55
14055,dots,A3QTL6ZBBR3876,history,1,hs6bovtz,k3fioxkp,56,31,[54],70.0,0.0,55
14057,dots,AMYURTQIMAC8T,history,1,hs6bovtz,on3t23ye,58,32,[56],45.0,0.0,55
14056,dots,A2BKRXTTEE6F1K,history,1,hs6bovtz,yewar2w8,57,33,[58],52.0,1.0,55
14059,dots,A2M926W9I0CP93,history,1,hs6bovtz,475da8sw,60,34,[57],62.0,0.0,55
14060,dots,A2AAY4VT9L71SY,history,1,hs6bovtz,pfc5jio2,61,35,[60],55.0,1.0,55
14061,dots,A140YQGGW69QK0,history,1,hs6bovtz,c5kmw9ar,62,36,[61],62.0,0.0,55
14062,dots,AVIH7MSMSTZCW,history,1,hs6bovtz,esu09pm7,63,37,[62],61.0,0.0,55
14063,dots,ATCD6QH1YV8RL,history,1,hs6bovtz,pfzp8jzk,64,38,[63],54.0,1.0,55
14065,dots,A2RY24DUOWXUWU,history,1,hs6bovtz,7at10mm3,66,39,[64],50.0,1.0,55
14066,dots,A2JZDJPQ0JTJY9,history,1,hs6bovtz,1vif1udn,67,40,[66],50.0,1.0,55
14067,dots,A1QKIA8XRNEXIG,history,1,hs6bovtz,rn992rxt,68,41,[67],63.0,0.0,55
14068,dots,A1UZ1O59KKQY1,history,1,hs6bovtz,sk5hr49l,69,42,[68],55.0,1.0,55
14069,dots,A2UF5CBC3O57K2,history,1,hs6bovtz,s0kb236l,70,43,[69],66.0,0.0,55
14070,dots,A2S834OHCORO1W,history,1,hs6bovtz,gb41mtc9,71,44,[70],60.0,1.0,55
14071,dots,A3K13G3D7I0G61,history,1,hs6bovtz,01pugg3g,72,45,[71],55.0,1.0,55
14072,dots,A27KTIX29MYGVU,history,1,hs6bovtz,d8bbsw2q,73,46,[72],74.0,0.0,55
14074,dots,A1TESF6YI97KRA,history,1,hs6bovtz,itvklxlo,75,47,[73],55.0,1.0,55
14076,dots,A198QA1OQBUJV1,history,1,hs6bovtz,qesdz9fb,77,48,[75],55.0,1.0,55
14077,dots,A32PAIL0ZSDDVC,history,1,hs6bovtz,f0vjhbfm,78,49,[77],70.0,0.0,55
14078,dots,A2SA66G7HSLDME,history,1,hs6bovtz,rc2rvvyg,79,50,[78],61.0,0.0,55
14079,dots,A21DIDZLLFZALH,history,1,hs6bovtz,d226z32w,80,51,[79],55.0,1.0,55
14081,dots,A1Y0ABOUJUMCWW,history,1,hs6bovtz,g13iwq2v,82,52,[80],29.0,0.0,55
14082,dots,A37FVCKAUOBI15,history,1,hs6bovtz,52g0n60o,83,53,[82],51.0,0.0,55
14085,dots,A1TQ7UQSSQP7BD,history,1,hs6bovtz,x3jff5as,86,55,[85],100.0,0.0,55
14087,dots,A6VICLLIS49TW,history,1,hs6bovtz,qkfvn5na,88,56,[86],50.0,1.0,55
14089,dots,A2T2K4YHQNB5MG,history,1,hs6bovtz,xosg6cf5,90,57,[88],55.0,1.0,55
14088,dots,A1D2X824OQTL4W,history,1,hs6bovtz,b7qd1a71,89,58,[90],55.0,1.0,55
14092,dots,A2EMHN5ZXZBFTU,history,1,hs6bovtz,urdne2xs,93,59,[89],55.0,1.0,55
14094,dots,AHIP9MIJ8NJXC,history,1,hs6bovtz,prp16txe,95,60,[93],55.0,1.0,55
14095,dots,A2XFBUPU9EMQG2,history,1,hs6bovtz,93w98vb2,96,61,[95],45.0,0.0,55
14096,dots,AYMA9R47TWK1H,history,1,hs6bovtz,m881t8y8,97,62,[96],56.0,1.0,55
14097,dots,A2XI3DX3IJ1TAV,history,1,hs6bovtz,506zijfc,98,63,[97],55.0,1.0,55
14099,dots,A19MKPO47OABR9,history,1,hs6bovtz,ya0236sx,100,64,[98],60.0,1.0,55
14101,dots,A1M2GRFYUYO055,history,1,hs6bovtz,9bbo8am1,102,65,[100],65.0,0.0,55
14102,dots,A12E9FN57ZNIWH,history,1,hs6bovtz,nqogbov9,103,66,[102],50.0,1.0,55
14105,dots,A7ASRIUC9OYC9,history,1,hs6bovtz,cidl0vgv,106,67,[103],60.0,1.0,55
14107,dots,A1TBYS210PBV0N,history,1,hs6bovtz,upqwtq4q,108,68,[106],70.0,0.0,55
14106,dots,A1B9586FRGMUQ2,history,1,hs6bovtz,fzi8acgt,107,69,[108],83.0,0.0,55
14108,dots,A34O4VHAO8KGFK,history,1,hs6bovtz,azlrd7rj,109,70,[107],65.0,0.0,55
14109,dots,A1Z2R494U0IEJX,history,1,hs6bovtz,sagow69d,110,71,[109],59.0,1.0,55
14111,dots,A2S927TSP816YQ,history,1,hs6bovtz,ndqikx47,112,72,[110],55.0,1.0,55
14112,dots,A3PL7JEMIPFHI9,history,1,hs6bovtz,q8hvexn2,113,73,[112],100.0,0.0,55
14113,dots,A63XZD0XGIMAI,history,1,hs6bovtz,z1opms8k,114,74,[113],55.0,1.0,55
14114,dots,A3CJ6XNJHMX7KP,history,1,hs6bovtz,i4ktc58z,115,75,[114],65.0,0.0,55
14115,dots,A3ADP5EDYSB9HD,history,1,hs6bovtz,ut53bgzp,116,76,[115],40.0,0.0,55
14116,dots,A19DYGQUQX6FWQ,history,1,hs6bovtz,uirmkcpo,117,77,[116],48.0,0.0,55
14117,dots,AK3DF1BXS8DSM,history,1,hs6bovtz,fwqlz123,118,78,[117],55.0,1.0,55
14120,dots,A1VXDD6BFF97OF,history,1,hs6bovtz,29qol3ob,121,79,[118],65.0,0.0,55
14121,dots,AIC54RURI5Q4X,history,1,hs6bovtz,z8u8231d,122,80,[121],55.0,1.0,55
14123,dots,A3PIU3R3IE6VDW,history,1,hs6bovtz,644ricrs,124,81,[122],55.0,1.0,55
14124,dots,A6A21SRMUVFYP,history,1,hs6bovtz,4d81kw7p,125,82,[124],64.0,0.0,55
14125,dots,A2G8225G5ASLDS,history,1,hs6bovtz,svz33jma,126,83,[125],60.0,1.0,55
14127,dots,A3CSX2WMTP4IOL,history,1,hs6bovtz,3irasn3q,128,84,[126],53.0,1.0,55
14128,dots,A1WO02U2RCFZRF,history,1,hs6bovtz,bk36qm7f,129,85,[128],54.0,1.0,55
14129,dots,ADKBTSKPX195Q,history,1,hs6bovtz,ymlfji5w,130,86,[129],55.0,1.0,55
14130,dots,A2OP2ZANIM5ZV,history,1,hs6bovtz,0h4lvo9z,131,87,[130],55.0,1.0,55
14131,dots,A1WL6K3EUA2WOX,history,1,hs6bovtz,utznnl5c,132,88,[131],55.0,1.0,55
14132,dots,AAIRYP2HKB7IK,history,1,hs6bovtz,09fxms30,133,89,[132],70.0,0.0,55
14134,dots,A8EHN8GEF1VV5,history,1,hs6bovtz,7jm19xh0,135,90,[133],65.0,0.0,55
14136,dots,AT2QE8CKNGMSW,history,1,hs6bovtz,uql9pqnc,137,91,[135],78.0,0.0,55
14137,dots,A2D30R5ZNQS01W,history,1,hs6bovtz,dv1c1vqn,138,92,[137],54.0,1.0,55
14138,dots,A18O3DEA5Z4MJD,history,1,hs6bovtz,1dzo083s,139,93,[138],23.0,0.0,55
14139,dots,A1RAMQZCXN8MNV,history,1,hs6bovtz,upelniol,140,94,[139],50.0,1.0,55
14140,dots,A3IUP9C2OVBQ9F,history,1,hs6bovtz,rniug7wu,141,95,[140],54.0,1.0,55
14142,dots,A1M6RVTM59F5CZ,history,1,hs6bovtz,rn89vmfh,143,96,[141],53.0,1.0,55
14141,dots,A2958TQAW43MP6,history,1,hs6bovtz,eq7l2mkc,142,97,[143],55.0,1.0,55
14143,dots,A3UFERVCN9A8IH,history,1,hs6bovtz,5x7cak7z,144,98,[142],62.0,0.0,55
14145,dots,ABBJOZRIPLPW1,history,1,hs6bovtz,yfqq9bzf,146,99,[144],65.0,0.0,55
14146,dots,A983BF0Q2PU2J,history,1,hs6bovtz,d87u5jo6,147,100,[146],55.0,1.0,55
14147,dots,A36D1YU9L1AF0Y,history,1,hs6bovtz,5p81y6si,148,101,[147],58.0,0.0,55
14149,dots,A2LL81ERU0Y7E6,history,1,hs6bovtz,mswiw2l8,150,102,[148],100.0,0.0,55
14150,dots,A1PKCBFB4QY19G,history,1,hs6bovtz,v7us51bt,151,103,[150],36.0,0.0,55
14151,dots,A26X054UJOBN6K,history,1,hs6bovtz,omfgpbxd,152,104,[151],55.0,1.0,55
14153,dots,AIM6UIPPVF05M,history,1,hs6bovtz,nnkws0xt,154,105,[152],55.0,1.0,55
14154,dots,A9KVSDAQTJTMG,history,1,hs6bovtz,nsxx3c3q,155,106,[154],65.0,0.0,55
14155,dots,A19NJB3QC1XU2C,history,1,hs6bovtz,qi8evrg0,156,107,[155],60.0,1.0,55
14156,dots,A15HH69K0VGFQ,history,1,hs6bovtz,pwbri7dw,157,108,[156],45.0,0.0,55
14157,dots,AIZN36GWIY76,history,1,hs6bovtz,2yc4wiuu,158,109,[157],69.0,0.0,55
14158,dots,AF4UHN538MRG7,history,1,hs6bovtz,n9mfcgu6,159,110,[158],56.0,1.0,55
14159,dots,A1PZIN8H1VI6SY,history,1,hs6bovtz,gpfmzerx,160,111,[159],60.0,0.0,55
14161,dots,A366XT3FM92R6H,history,1,hs6bovtz,kmk4ul6g,162,112,[160],40.0,0.0,55
14162,dots,A35506802CMX5T,history,1,hs6bovtz,sue3c3ks,163,113,[162],45.0,0.0,55
14163,dots,A3V4PVROR2OBA9,history,1,hs6bovtz,zdizulyi,164,114,[163],76.0,0.0,55
