,task,method,views,session,code,id,order,hist,guess,bonus,dots
14002,dots,history,1,hs6bovtz,lx5i25t0,3,1,[],50.0,1.0,55
14003,dots,history,1,hs6bovtz,hvkjch6d,4,2,[3],56.0,1.0,55
14006,dots,history,1,hs6bovtz,vv0zgd67,7,3,[4],110.0,0.0,55
14007,dots,history,1,hs6bovtz,xz8jfzvs,8,4,[7],51.0,1.0,55
14009,dots,history,1,hs6bovtz,7mdoyitu,10,5,[8],55.0,1.0,55
14013,dots,history,1,hs6bovtz,014sija7,14,6,[10],55.0,1.0,55
14016,dots,history,1,hs6bovtz,g8lg5npw,17,7,[14],66.0,0.0,55
14023,dots,history,1,hs6bovtz,82gbzqxb,24,8,[17],60.0,0.0,55
14025,dots,history,1,hs6bovtz,f0vdfs5e,26,9,[24],99.0,0.0,55
14026,dots,history,1,hs6bovtz,asz8io8r,27,10,[26],50.0,1.0,55
14027,dots,history,1,hs6bovtz,2h4nwrnh,28,11,[27],54.0,1.0,55
14029,dots,history,1,hs6bovtz,wodlfyya,30,12,[28],69.0,0.0,55
14031,dots,history,1,hs6bovtz,hbbk8zhh,32,13,[30],57.0,1.0,55
14033,dots,history,1,hs6bovtz,3txooavh,34,14,[32],51.0,1.0,55
14034,dots,history,1,hs6bovtz,4ueo70st,35,15,[34],55.0,1.0,55
14035,dots,history,1,hs6bovtz,arzg9a3p,36,16,[35],65.0,0.0,55
14037,dots,history,1,hs6bovtz,qpn08k3z,38,17,[36],58.0,1.0,55
14005,dots,history,1,hs6bovtz,jmy07i7e,6,18,[38],62.0,0.0,55
14039,dots,history,1,hs6bovtz,l3yqhrbe,40,19,[6],80.0,0.0,55
14040,dots,history,1,hs6bovtz,p9h6xcxk,41,20,[40],56.0,1.0,55
14041,dots,history,1,hs6bovtz,5ztkb50y,42,21,[41],100.0,0.0,55
14043,dots,history,1,hs6bovtz,w1sj8tij,44,22,[42],56.0,1.0,55
14045,dots,history,1,hs6bovtz,a7xm5yys,46,23,[44],60.0,1.0,55
14046,dots,history,1,hs6bovtz,pfwosrwj,47,24,[46],50.0,1.0,55
14047,dots,history,1,hs6bovtz,tvrmmkxe,48,25,[47],57.0,1.0,55
14049,dots,history,1,hs6bovtz,xvi00h7x,50,26,[48],59.0,1.0,55
