,dots,method,views,session,code,id,hist,guess,bonus
0,1097,history,1,huyygtho,hft1jspx,2,[],3256.0,0.0
1,1097,history,1,huyygtho,dhhqftj6,4,[2],900.0,0.0
2,1097,history,1,huyygtho,ge5yb4hm,5,[4],742.0,0.0
3,1097,history,1,huyygtho,lgxamt0e,6,[5],400.0,0.0
4,1097,history,1,huyygtho,1idasfg1,7,[6],410.0,0.0
5,1097,history,1,huyygtho,6lzgy5q9,9,[7],1500.0,0.0
6,1097,history,1,huyygtho,8ohw7ozm,11,[9],1200.0,0.0
7,1097,history,1,huyygtho,trpxstg4,13,[11],850.0,0.0
8,1097,history,1,huyygtho,qfxioply,16,[13],1000.0,1.0
9,1097,history,1,huyygtho,s31m08hw,17,[16],1100.0,1.0
10,1097,history,1,huyygtho,6w8sigbx,18,[17],1300.0,0.0
11,1097,history,1,huyygtho,6kxnugru,19,[18],1195.0,1.0
12,1097,history,1,huyygtho,xng5vikr,20,[19],550.0,0.0
13,1097,history,1,huyygtho,lmdo4o36,24,[20],1100.0,1.0
14,1097,history,1,huyygtho,1h9fmy8z,26,[24],200.0,0.0
15,1097,history,1,huyygtho,4s1m02xk,27,[26],980.0,0.0
16,1097,history,1,huyygtho,428l6cb2,28,[27],980.0,0.0
17,1097,history,1,huyygtho,sj2ag7wr,29,[28],1100.0,1.0
18,1097,history,1,huyygtho,ycvy8cst,40,[29],1200.0,1.0
19,1097,history,1,huyygtho,ggpstjfk,39,[40],1500.0,0.0
20,1097,history,1,huyygtho,srmztzus,42,[39],2000.0,0.0
21,1097,history,1,huyygtho,1i8ylau3,44,[42],1500.0,0.0
22,1097,history,1,huyygtho,d081ljz9,45,[44],1300.0,0.0
23,1097,history,1,huyygtho,02phxtkq,46,[45],952.0,0.0
24,1097,history,1,huyygtho,ejpm2k2y,48,[46],971.0,0.0
25,1097,history,1,huyygtho,ijzu8fwy,49,[48],401.0,0.0
26,1097,history,1,huyygtho,y73fbmkb,50,[49],512.0,0.0
27,1097,history,1,huyygtho,wfmgbhs9,51,[50],572.0,0.0
28,1097,history,1,huyygtho,il36wt6r,52,[51],631.0,0.0
29,1097,history,1,huyygtho,87x2u8sf,53,[52],790.0,0.0
30,1097,history,1,huyygtho,hpb76a9v,54,[53],565.0,0.0
31,1097,history,1,huyygtho,qf666enf,55,[54],750.0,0.0
32,1097,history,1,huyygtho,5yxx3kum,56,[55],875.0,0.0
33,1097,history,1,huyygtho,6jfiwewq,57,[56],667.0,0.0
34,1097,history,1,huyygtho,4krfpr6t,59,[57],800.0,0.0
35,1097,history,1,huyygtho,u3ojmt58,60,[59],350.0,0.0
36,1097,history,1,huyygtho,tihwb10d,61,[60],500.0,0.0
37,1097,history,1,huyygtho,4n7buuhr,63,[61],3000.0,0.0
38,1097,history,1,huyygtho,wqd8t9gf,65,[63],502052.0,0.0
39,1097,history,1,huyygtho,wwv8wbun,66,[65],344.0,0.0
40,1097,history,1,huyygtho,w6sa0ls4,68,[66],1450.0,0.0
41,1097,history,1,huyygtho,mfunrii2,67,[68],2000.0,0.0
42,1097,history,1,huyygtho,ur9jovhv,69,[67],850.0,0.0
43,1097,history,1,huyygtho,4pf4v5kq,72,[69],700.0,0.0
44,1097,history,1,huyygtho,0vnvmc0k,73,[72],1000.0,1.0
45,1097,history,1,huyygtho,6weimkt9,74,[73],950.0,0.0
