,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,kygak6r7,history,A1EBQ9X6IN5OZC,j2rudxn8,1,2,[],544.310750636277,2.0,0.0,0.01
1,kygak6r7,history,A6SP1OP9TKFMR,uruavyhn,1,3,[2],680.388438295346,1.0,0.0,0.01
2,kygak6r7,history,A18RMWE4BKHG6R,786vkfq4,1,4,[3],654.987269932319,5.0,0.0,0.02
3,kygak6r7,history,A1FWHIFC4580A1,xer5pgiy,1,8,[4],997.903042833174,69.0,0.0,0.23
4,kygak6r7,history,A1IMO5XR05U7S5,pwcepxpf,1,9,[8],1600.0,79.0,0.0,0.27
5,kygak6r7,history,A2S7US3LRV8T6B,jxug1ten,1,11,[9],589.6699798559661,130.0,0.0,0.44
6,kygak6r7,history,A3VB6VI2TU4FID,yy44b1dt,1,10,[11],430.912677587052,178.0,0.0,0.6
7,kygak6r7,history,A1O0BGHFTMPQM0,ps0x67ds,1,14,[10],521.631136026432,118.0,0.0,0.39
8,kygak6r7,history,A1X3P33ODFD8OI,2mmrkchi,1,13,[14],620.0,135.0,0.0,0.45
9,kygak6r7,history,A2L5VXPZG8A36D,plj16r3p,1,19,[13],680.388438295346,7.0,0.0,0.03
10,kygak6r7,history,A10KOZ7OXNDU61,m6y7n6ad,1,18,[19],171.911478742624,34.0,0.0,0.12
11,kygak6r7,history,A1QMW62RKUAYG9,iriv1fcj,1,20,[18],450.0,70.0,0.0,0.23
12,kygak6r7,history,A1HNKUVDU0L4LG,s359qln4,1,22,[20],600.0,11.0,0.0,0.04
13,kygak6r7,history,AA5NIHL2T8IHB,okxe0f36,1,24,[22],1249.64676500245,7.0,1.0,1.02
14,kygak6r7,history,A3L7ISZTLKG5UG,1ng8d3h6,1,26,[24],1329.9326007213,3.0,1.0,1.01
15,kygak6r7,history,AYCEN3UEH5JKN,rwjulj72,1,29,[26],1000.0,2.0,0.0,0.01
16,kygak6r7,history,A2AS161TDYS4X,zxcx7jky,1,28,[29],999.9895673772791,4.0,0.0,0.01
17,kygak6r7,history,A3QTL6ZBBR3876,4znljnkv,1,32,[28],84.0,3.0,0.0,0.01
18,kygak6r7,history,A1KH1O9AZ7S642,d8bvpk33,1,34,[32],1.0,8.0,0.0,0.03
19,kygak6r7,history,A2YE6MQNAR8K99,xkalx0uu,1,35,[34],929.8641990036391,7.0,0.0,0.03
20,kygak6r7,history,A25MAA14V6FLE3,284lyi6n,1,36,[35],950.0,49.0,0.0,0.16
21,kygak6r7,history,A24FMCX6VCCHVV,dfei0yp7,1,37,[36],900.0,8.0,0.0,0.03
22,kygak6r7,history,A1Z1J4ZFZPTVJU,ahk2h8sc,1,38,[37],907.1845843937939,12.0,0.0,0.04
23,kygak6r7,history,AFC9Q2YBBESIP,9ysiws82,1,39,[38],725.7476675150349,39.0,0.0,0.13
24,kygak6r7,history,A2PQ9O4EGEKF4A,9u1u11zq,1,40,[39],453.59229219689695,31.0,0.0,0.1
25,kygak6r7,history,A3SKIIKEQV2SSQ,wm8zc3qj,1,41,[40],544.310750636277,10.0,0.0,0.04
26,kygak6r7,history,A3PWT4OSXS4IYD,svgmhuzp,1,42,[41],900.0,9.0,0.0,0.03
27,kygak6r7,history,A1FOD0REBGBGB4,jt9d5y0c,1,43,[42],1043.26227205286,7.0,0.0,0.03
28,kygak6r7,history,A291ANCQDMM2QE,jgpc1c3o,1,44,[43],980.0,8.0,0.0,0.03
29,kygak6r7,history,A2FS8ONSINTYXU,7olsh9mm,1,46,[44],544.310750636277,4.0,0.0,0.01
30,kygak6r7,history,ADSP7ZS3U74ZT,yp2jnjvv,1,47,[46],385.553448367363,9.0,0.0,0.03
31,kygak6r7,history,AASWAMYQ9PXMQ,3816eh2m,1,49,[47],340.194219147673,5.0,0.0,0.02
32,kygak6r7,history,A3E87M4OADYNII,oqnhpild,1,50,[49],1500.0,7.0,0.0,0.02
33,kygak6r7,history,A5EU1AQJNC7F2,cuu7cwkj,1,52,[50],548.846673558245,71.0,0.0,0.24
34,kygak6r7,history,A3P7UAEQM9EN2T,enlnu005,1,53,[52],448.14918469053396,85.0,0.0,0.28
35,kygak6r7,history,A1EG2OTSXUCY9X,c60xpj8f,1,55,[53],476.27190680674204,39.0,0.0,0.13
36,kygak6r7,history,A2W5Q0IVJUS7Y6,xc6mjc0g,1,57,[55],680.388438295346,9.0,0.0,0.03
37,kygak6r7,history,A2DOZJ00KFCTMK,mcj24qwm,1,58,[57],650.0,9.0,0.0,0.03
38,kygak6r7,history,A2H321P1NSEW35,128fl9kx,1,60,[58],720.0,27.0,0.0,0.09
39,kygak6r7,history,A1EGD98S2MCHV6,z56s3g2s,1,61,[60],900.3807000108411,1.0,0.0,0.01
40,kygak6r7,history,A3JBZW7GNJPKJH,k58m76ki,1,63,[61],1990.0,6.0,0.0,0.02
41,kygak6r7,history,A1VN5PAQZ2XSSB,5i7xj4ph,1,64,[63],362.873833757518,55.0,0.0,0.19
42,kygak6r7,history,A2WTUUYJ7IIUS8,5gif1swp,1,65,[64],453.59229219689695,44.0,0.0,0.15
43,kygak6r7,history,A2WUSOQWTSNU1S,z1qyhxv4,1,67,[65],680.388438295346,97.0,0.0,0.33
44,kygak6r7,history,A3JA70V13REP3N,smcyavgb,1,69,[67],816.466125954415,38.0,0.0,0.13
45,kygak6r7,history,A1R0M4LNVJTLR9,skz4ocu0,1,70,[69],816.466125954415,114.0,0.0,0.38
46,kygak6r7,history,A3RKYD8IUC5S0N,a1mh9db1,1,71,[70],1133.98073049224,114.0,1.0,1.38
47,kygak6r7,history,A3862RIFFUV141,9ivqr1gd,1,72,[71],1270.05841815131,124.0,1.0,1.41
48,kygak6r7,history,A2DA5SD0IQEPBI,slkyo37t,1,73,[72],362.873833757518,2.0,0.0,0.01
49,kygak6r7,history,A27HVVLSZZ13XK,eoizmsyq,1,75,[73],388.728594412741,10.0,0.0,0.03
50,kygak6r7,history,A378E14BT458LA,jrg8i5pi,1,76,[75],448.14918469053396,55.0,0.0,0.19
51,kygak6r7,history,A18J7H2QA7UQIR,n050m7yx,1,77,[76],448.1,64.0,0.0,0.22
52,kygak6r7,history,A13V13Y2DJGFT4,ej9ne0u7,1,82,[77],1218.0,8.0,1.0,1.03
53,kygak6r7,history,A3EQQMXZPFIVNS,c29kscef,1,84,[82],800.0,18.0,0.0,0.06
54,kygak6r7,history,A3RQ7NZ1YH2KV3,6cn2yc7w,1,86,[84],907.1845843937939,51.0,0.0,0.17
55,kygak6r7,history,A1061V5PKLRQA0,ll8lp8xt,1,85,[86],1133.98073049224,82.0,1.0,1.27
56,kygak6r7,history,AT7QJKGCPSO6J,aj49pq4j,1,88,[85],1043.26227205286,5.0,0.0,0.02
57,kygak6r7,history,A263D0NONXWQID,m08g095j,1,89,[88],1183.8758826339,1.0,1.0,1.01
58,kygak6r7,history,ABNE53IQ751FK,m3bww61m,1,90,[89],1043.26227205286,5.0,0.0,0.02
