,session,method,mturker,code,views,id,hist,guess,time,bonus,pay
0,qbp8ivmd,min,A26XF8O4XRL8JA,0z5htnyy,1,2,[],353.8019879,9.0,0.0,0.03
1,qbp8ivmd,min,A3DUPRZSMU9W5R,87mvo6pu,1,1,[2],816.466126,31.0,0.0,0.1
2,qbp8ivmd,min,A21B78D7E5N17N,pmo8rf9p,1,3,[2],550.0,68.0,0.0,0.23
3,qbp8ivmd,min,A1017OLEMTKNHG,x8qi1535,1,5,[2],680.3884383,90.0,0.0,0.3
4,qbp8ivmd,min,A38YYLJ92QRU22,sa8x8fm8,1,8,[2],907.1845844000001,168.0,0.0,0.56
5,qbp8ivmd,min,AGSU9C1LDDN91,i3i23qik,1,7,[2],589.6699798999999,219.0,0.0,0.73
6,qbp8ivmd,min,A247LQ2UQW4LH0,ixpeqtou,1,13,[2],317.5146045,266.0,0.0,0.89
7,qbp8ivmd,min,A20SMUCY0FQA7Z,j5k28sug,1,18,[13],315.0,227.0,0.0,0.76
8,qbp8ivmd,min,A19NWZW9G2K8FR,p2x0wqvv,1,16,[18],544.3107506,277.0,0.0,0.93
9,qbp8ivmd,min,A122E99M2DQY1G,g340x0rz,1,19,[18],6.0,281.0,0.0,0.94
10,qbp8ivmd,min,A1QKIA8XRNEXIG,nmtgtbtm,1,23,[18],441.7988926,210.0,0.0,0.7
11,qbp8ivmd,min,A2BXQ8SZLFQF4D,npjkdr0w,1,25,[18],362.8738338,6.0,0.0,0.02
12,qbp8ivmd,min,A1AMR0MZOHU8P1,vj2c2fx0,1,26,[18],997.9030428,19.0,0.0,0.06
13,qbp8ivmd,min,A2DWSKGD9RNKMJ,sr1wb132,1,28,[18],353.8019879,65.0,0.0,0.22
14,qbp8ivmd,min,A1DDBMHUUD900B,nhuykjr4,1,29,[18],612.8031867999999,8.0,0.0,0.03
15,qbp8ivmd,min,A9LX66EQWDRQ5,wp6euphe,1,30,[18],635.0292091,6.0,0.0,0.02
16,qbp8ivmd,min,A2G0GS8LJN1YMY,51oots8x,1,32,[18],498.9515214,7.0,0.0,0.02
17,qbp8ivmd,min,A1XJ1HM70IX4AQ,s6bnsg7b,1,33,[18],543.4035661,22.0,0.0,0.08
18,qbp8ivmd,min,A39EH9228GV09X,me0qppew,1,34,[18],158.7573023,6.0,0.0,0.02
19,qbp8ivmd,min,A2J988AKKQE93,xlr6l2ch,1,37,[34],750.0,3.0,0.0,0.01
20,qbp8ivmd,min,A1LQKMSG4GT8N,qytfj3qt,1,38,[34],294.8349899,5.0,0.0,0.02
21,qbp8ivmd,min,A196265AVT9LKH,gpo00q1u,1,39,[34],544.3107506,17.0,0.0,0.06
22,qbp8ivmd,min,A2M1CVZZJAN4T4,l190iwhz,1,40,[34],500.0,4.0,0.0,0.02
23,qbp8ivmd,min,A2A2PCKG5Q3U2G,nwbgk9gz,1,43,[34],317.5146045,2.0,0.0,0.01
24,qbp8ivmd,min,A34V7HUH38XVGT,4b4ca8xg,1,44,[34],145.1495335,4.0,0.0,0.02
25,qbp8ivmd,min,A2LSQLL0DOBPCI,fru8h1u7,1,45,[44],145.1,8.0,0.0,0.03
26,qbp8ivmd,min,A3Q9OAFXI02VFG,u1mcyj49,1,46,[45],340.1942191,14.0,0.0,0.05
27,qbp8ivmd,min,AIX33DZVKYC9Q,z9a01bol,1,47,[45],164.20040980000002,7.0,0.0,0.02
28,qbp8ivmd,min,A1XPX2ES3NROA1,kvyhn26y,1,48,[45],317.0610122,45.0,0.0,0.15
29,qbp8ivmd,min,A2OV8Q2TFGMGCB,pzseykj6,1,49,[45],226.79614610000002,10.0,0.0,0.03
30,qbp8ivmd,min,A3CBN6Y98YGAHZ,9j520eif,1,50,[45],147.78036880000002,7.0,0.0,0.03
31,qbp8ivmd,min,A3P8G2EZJ8NFJP,vkc38ki8,1,51,[45],181.4369169,5.0,0.0,0.02
32,qbp8ivmd,min,AILJ4322JAUJ1,5kwci9dn,1,52,[45],907.1845844000001,6.0,0.0,0.02
33,qbp8ivmd,min,A3URWXSQKOLCNU,j1cpl5wf,1,53,[45],350.0,9.0,0.0,0.03
34,qbp8ivmd,min,A32IUWK4S9CFIQ,qw0o0w3b,1,55,[45],1.0,5.0,0.0,0.02
35,qbp8ivmd,min,AAICZ4OJOL83Y,7k1ylkul,1,56,[45],150.0,3.0,0.0,0.01
36,qbp8ivmd,min,A2XTDTDT3QSCB,59txgqro,1,58,[45],160.0,2.0,0.0,0.01
