,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
0,dots,A2JP9IKRHNLRPI,max,3,ua2230ux,53c9u4nu,1,1,[],400.0,1.0,403
2,dots,A23AP978617EJS,max,3,ua2230ux,kcdt53qg,3,2,[1],400.0,1.0,403
4,dots,A18TCR555RWUZV,max,3,ua2230ux,nywl5qra,5,3,"[1, 3]",300.0,0.0,403
3,dots,A1IJ86B8ZRKXBI,max,3,ua2230ux,23hq8p03,4,4,"[1, 3, 5]",200.0,0.0,403
8,dots,A22NE60PJ6SIGY,max,3,ua2230ux,nyevlfxj,9,5,"[1, 3, 5]",200.0,0.0,403
14,dots,A6E9MF642WUOE,max,3,ua2230ux,84gixu55,15,6,"[1, 3, 5]",365.0,1.0,403
10,dots,A1OGJ58N1MZVS6,max,3,ua2230ux,hh6f4lzd,11,7,"[1, 3, 15]",325.0,0.0,403
17,dots,A2VSXCQQOAWC18,max,3,ua2230ux,nfoftj4c,18,8,"[1, 3, 15]",180.0,0.0,403
11,dots,A2IPO6UJZDIQ91,max,3,ua2230ux,9w8441b9,12,9,"[1, 3, 15]",400.0,1.0,403
29,dots,A13OOAT2ORKH6V,max,3,ua2230ux,fntl80i6,30,10,"[1, 3, 12]",350.0,0.0,403
16,dots,A1SNC8UL8YFRH5,max,3,ua2230ux,mxc1wo41,17,11,"[1, 3, 12]",2000.0,0.0,403
33,dots,A2JYT3A8Z3Q2M6,max,3,ua2230ux,19mmxjqj,34,12,"[3, 12, 17]",156.0,0.0,403
46,dots,A25FH7PXC446RG,max,3,ua2230ux,rt10eb5s,47,13,"[3, 12, 17]",452.0,0.0,403
64,dots,AMBSAFJKCNY92,max,3,ua2230ux,zj29i3jf,65,14,"[12, 17, 47]",900.0,0.0,403
68,dots,A37AJI03M37NPJ,max,3,ua2230ux,jdkg9ixo,69,15,"[17, 47, 65]",1259.0,0.0,403
81,dots,A3GAQNTZ1V1VO,max,3,ua2230ux,nd44z07j,82,16,"[17, 65, 69]",425.0,1.0,403
84,dots,A3OUYNUOHYNZH5,max,3,ua2230ux,jeen1oup,85,17,"[17, 65, 69]",400.0,1.0,403
88,dots,AZIAQJWXTSFUX,max,3,ua2230ux,by9p0d1e,89,18,"[17, 65, 69]",340.0,0.0,403
99,dots,A2FOUSWQDYHIE0,max,3,ua2230ux,s96tbopy,100,19,"[17, 65, 69]",105.0,0.0,403
104,dots,A1806024NQOTBC,max,3,ua2230ux,p3f42x8g,105,20,"[17, 65, 69]",900.0,0.0,403
107,dots,A217M5CHYXKABY,max,3,ua2230ux,keubj6pi,108,21,"[17, 69, 105]",1500.0,0.0,403
115,dots,A110SC5K5Y3IHS,max,3,ua2230ux,5fqi887y,116,22,"[17, 69, 108]",500.0,0.0,403
117,dots,A1LBWLYCEEWNHZ,max,3,ua2230ux,bt6maa1e,118,23,"[17, 69, 108]",1600.0,0.0,403
119,dots,A24ZAX5O63WVNI,max,3,ua2230ux,t72rennp,120,24,"[17, 108, 118]",350.0,0.0,403
