,session,method,start,mturker,dots,views,id,confirm,hist,guess,time,bonus,pay
0,ua2230ux,max,2018-08-12 11:34:42.948326+00:00,A2JP9IKRHNLRPI,403,3,1,1,[],400.0,5.0,1.0,1.02
1,ua2230ux,max,2018-08-12 11:34:45.209120+00:00,A23AP978617EJS,403,3,3,1,[1],400.0,29.0,1.0,1.1
2,ua2230ux,max,2018-08-12 11:34:45.968597+00:00,A18TCR555RWUZV,403,3,5,1,"[1, 3]",300.0,50.0,0.0,0.17
3,ua2230ux,max,2018-08-12 11:34:45.783518+00:00,A1IJ86B8ZRKXBI,403,3,4,1,"[1, 3, 5]",200.0,49.0,0.0,0.17
4,ua2230ux,max,2018-08-12 11:34:57.893686+00:00,A22NE60PJ6SIGY,403,3,9,1,"[1, 3, 5]",200.0,116.0,0.0,0.39
5,ua2230ux,max,2018-08-12 11:35:05.716848+00:00,A6E9MF642WUOE,403,3,15,1,"[1, 3, 5]",365.0,124.0,1.0,1.41
6,ua2230ux,max,2018-08-12 11:34:59.180421+00:00,A1OGJ58N1MZVS6,403,3,11,1,"[1, 3, 15]",325.0,173.0,0.0,0.58
7,ua2230ux,max,2018-08-12 11:35:17.646943+00:00,A2VSXCQQOAWC18,403,3,18,1,"[1, 3, 15]",180.0,194.0,0.0,0.65
8,ua2230ux,max,2018-08-12 11:34:59.760832+00:00,A2IPO6UJZDIQ91,403,3,12,1,"[1, 3, 15]",400.0,237.0,1.0,1.79
9,ua2230ux,max,2018-08-12 11:36:16.673958+00:00,A13OOAT2ORKH6V,403,3,30,1,"[1, 3, 12]",350.0,201.0,0.0,0.67
10,ua2230ux,max,2018-08-12 11:35:15.844502+00:00,A1SNC8UL8YFRH5,403,3,17,1,"[1, 3, 12]",2000.0,240.0,0.0,0.8
11,ua2230ux,max,2018-08-12 11:36:46.897267+00:00,A2JYT3A8Z3Q2M6,403,3,34,1,"[3, 12, 17]",156.0,292.0,0.0,0.98
12,ua2230ux,max,2018-08-12 11:38:55.032515+00:00,A25FH7PXC446RG,403,3,47,1,"[3, 12, 17]",452.0,244.0,0.0,0.81
13,ua2230ux,max,2018-08-12 11:41:21.298097+00:00,AMBSAFJKCNY92,403,3,65,1,"[12, 17, 47]",900.0,169.0,0.0,0.56
14,ua2230ux,max,2018-08-12 11:41:36.743874+00:00,A37AJI03M37NPJ,403,3,69,1,"[17, 47, 65]",1259.0,188.0,0.0,0.63
15,ua2230ux,max,2018-08-12 11:43:43.389536+00:00,A3GAQNTZ1V1VO,403,3,82,1,"[17, 65, 69]",425.0,232.0,1.0,1.77
16,ua2230ux,max,2018-08-12 11:44:02.092666+00:00,A3OUYNUOHYNZH5,403,3,85,1,"[17, 65, 69]",400.0,209.0,1.0,1.7
17,ua2230ux,max,2018-08-12 11:44:31.059483+00:00,AZIAQJWXTSFUX,403,3,89,1,"[17, 65, 69]",340.0,276.0,0.0,0.92
18,ua2230ux,max,2018-08-12 11:47:06.280644+00:00,A2FOUSWQDYHIE0,403,3,100,1,"[17, 65, 69]",105.0,260.0,0.0,0.87
19,ua2230ux,max,2018-08-12 11:47:42.904740+00:00,A1806024NQOTBC,403,3,105,1,"[17, 65, 69]",900.0,280.0,0.0,0.93
20,ua2230ux,max,2018-08-12 11:47:59.864218+00:00,A217M5CHYXKABY,403,3,108,1,"[17, 69, 105]",1500.0,294.0,0.0,0.98
21,ua2230ux,max,2018-08-12 11:50:51.464924+00:00,A110SC5K5Y3IHS,403,3,116,1,"[17, 69, 108]",500.0,209.0,0.0,0.7
22,ua2230ux,max,2018-08-12 11:51:01.702072+00:00,A1LBWLYCEEWNHZ,403,3,118,1,"[17, 69, 108]",1600.0,264.0,0.0,0.88
