,task,method,views,session,code,id,order,hist,guess,bonus,dots
0,dots,max,3,ua2230ux,53c9u4nu,1,1,[],400.0,1.0,403
2,dots,max,3,ua2230ux,kcdt53qg,3,2,[1],400.0,1.0,403
4,dots,max,3,ua2230ux,nywl5qra,5,3,"[1, 3]",300.0,0.0,403
3,dots,max,3,ua2230ux,23hq8p03,4,4,"[1, 3, 5]",200.0,0.0,403
8,dots,max,3,ua2230ux,nyevlfxj,9,5,"[1, 3, 5]",200.0,0.0,403
14,dots,max,3,ua2230ux,84gixu55,15,6,"[1, 3, 5]",365.0,1.0,403
10,dots,max,3,ua2230ux,hh6f4lzd,11,7,"[1, 3, 15]",325.0,0.0,403
17,dots,max,3,ua2230ux,nfoftj4c,18,8,"[1, 3, 15]",180.0,0.0,403
11,dots,max,3,ua2230ux,9w8441b9,12,9,"[1, 3, 15]",400.0,1.0,403
29,dots,max,3,ua2230ux,fntl80i6,30,10,"[1, 3, 12]",350.0,0.0,403
16,dots,max,3,ua2230ux,mxc1wo41,17,11,"[1, 3, 12]",2000.0,0.0,403
33,dots,max,3,ua2230ux,19mmxjqj,34,12,"[3, 12, 17]",156.0,0.0,403
46,dots,max,3,ua2230ux,rt10eb5s,47,13,"[3, 12, 17]",452.0,0.0,403
64,dots,max,3,ua2230ux,zj29i3jf,65,14,"[12, 17, 47]",900.0,0.0,403
68,dots,max,3,ua2230ux,jdkg9ixo,69,15,"[17, 47, 65]",1259.0,0.0,403
81,dots,max,3,ua2230ux,nd44z07j,82,16,"[17, 65, 69]",425.0,1.0,403
84,dots,max,3,ua2230ux,jeen1oup,85,17,"[17, 65, 69]",400.0,1.0,403
88,dots,max,3,ua2230ux,by9p0d1e,89,18,"[17, 65, 69]",340.0,0.0,403
99,dots,max,3,ua2230ux,s96tbopy,100,19,"[17, 65, 69]",105.0,0.0,403
104,dots,max,3,ua2230ux,p3f42x8g,105,20,"[17, 65, 69]",900.0,0.0,403
107,dots,max,3,ua2230ux,keubj6pi,108,21,"[17, 69, 105]",1500.0,0.0,403
115,dots,max,3,ua2230ux,5fqi887y,116,22,"[17, 69, 108]",500.0,0.0,403
117,dots,max,3,ua2230ux,bt6maa1e,118,23,"[17, 69, 108]",1600.0,0.0,403
119,dots,max,3,ua2230ux,t72rennp,120,24,"[17, 108, 118]",350.0,0.0,403
129,dots,max,3,ua2230ux,vs9oezae,130,25,"[17, 108, 118]",1800.0,0.0,403
118,dots,max,3,ua2230ux,3swsxdq1,119,26,"[17, 118, 130]",750.0,0.0,403
132,dots,max,3,ua2230ux,ee6aighw,133,27,"[17, 118, 130]",750.0,0.0,403
141,dots,max,3,ua2230ux,reb0nta9,142,28,"[17, 118, 130]",1700.0,0.0,403
146,dots,max,3,ua2230ux,45pr57c3,147,29,"[17, 130, 142]",200.0,0.0,403
144,dots,max,3,ua2230ux,p2m4yb1h,145,30,"[17, 130, 142]",1500.0,0.0,403
142,dots,max,3,ua2230ux,cnfp35ba,143,31,"[17, 130, 142]",1750.0,0.0,403
156,dots,max,3,ua2230ux,uly1it86,157,32,"[17, 130, 143]",210.0,0.0,403
155,dots,max,3,ua2230ux,onxhzu8h,156,33,"[17, 130, 143]",495.0,0.0,403
200,dots,max,3,ua2230ux,7su5hehs,201,34,"[17, 130, 143]",5000.0,0.0,403
207,dots,max,3,ua2230ux,jw0qrw1p,208,35,"[17, 130, 201]",500.0,0.0,403
220,dots,max,3,ua2230ux,j32ru87o,221,36,"[17, 130, 201]",800.0,0.0,403
223,dots,max,3,ua2230ux,yorxgc8c,224,37,"[17, 130, 201]",450.0,0.0,403
227,dots,max,3,ua2230ux,zha3am2z,228,38,"[17, 130, 201]",166.0,0.0,403
229,dots,max,3,ua2230ux,dd4hkd9j,230,39,"[17, 130, 201]",680.0,0.0,403
234,dots,max,3,ua2230ux,q69ebmet,235,40,"[17, 130, 201]",2300.0,0.0,403
236,dots,max,3,ua2230ux,qp6bu2dp,237,41,"[17, 201, 235]",1000.0,0.0,403
237,dots,max,3,ua2230ux,lfqdtts0,238,42,"[17, 201, 235]",600.0,0.0,403
241,dots,max,3,ua2230ux,jf3n9vpn,242,43,"[17, 201, 235]",1300.0,0.0,403
245,dots,max,3,ua2230ux,a9didgr8,246,44,"[17, 201, 235]",121.0,0.0,403
244,dots,max,3,ua2230ux,kegig4b4,245,45,"[17, 201, 235]",275.0,0.0,403
258,dots,max,3,ua2230ux,1wgsgxkp,259,46,"[17, 201, 235]",500.0,0.0,403
264,dots,max,3,ua2230ux,hs1zl9x2,265,47,"[17, 201, 235]",557.0,0.0,403
261,dots,max,3,ua2230ux,bmzjus86,262,48,"[17, 201, 235]",500.0,0.0,403
266,dots,max,3,ua2230ux,5vjbw7j7,267,49,"[17, 201, 235]",500.0,0.0,403
263,dots,max,3,ua2230ux,v3phe17f,264,50,"[17, 201, 235]",1800.0,0.0,403
270,dots,max,3,ua2230ux,7a7bqptl,271,51,"[17, 201, 235]",1800.0,0.0,403
269,dots,max,3,ua2230ux,usxxq476,270,52,"[17, 201, 235]",2600.0,0.0,403
274,dots,max,3,ua2230ux,x5g923lt,275,53,"[201, 235, 270]",300.0,0.0,403
275,dots,max,3,ua2230ux,e4iavs0b,276,54,"[201, 235, 270]",1000.0,0.0,403
276,dots,max,3,ua2230ux,crjy520j,277,55,"[201, 235, 270]",758.0,0.0,403
277,dots,max,3,ua2230ux,4barqupy,278,56,"[201, 235, 270]",200.0,0.0,403
279,dots,max,3,ua2230ux,xwzr2g3a,280,57,"[201, 235, 270]",100.0,0.0,403
284,dots,max,3,ua2230ux,ey2augzc,285,58,"[201, 235, 270]",675.0,0.0,403
285,dots,max,3,ua2230ux,u94g73di,286,59,"[201, 235, 270]",275.0,0.0,403
283,dots,max,3,ua2230ux,aou2mynv,284,60,"[201, 235, 270]",160.0,0.0,403
298,dots,max,3,ua2230ux,bxw6092u,299,61,"[201, 235, 270]",250.0,0.0,403
302,dots,max,3,ua2230ux,a9id9e7y,303,62,"[201, 235, 270]",1200.0,0.0,403
301,dots,max,3,ua2230ux,i8l86ib7,302,63,"[201, 235, 270]",1500.0,0.0,403
303,dots,max,3,ua2230ux,hymcwii9,304,64,"[201, 235, 270]",189.0,0.0,403
308,dots,max,3,ua2230ux,j7gfz5c7,309,65,"[201, 235, 270]",1800.0,0.0,403
313,dots,max,3,ua2230ux,q2vq8i5f,314,66,"[201, 235, 270]",2500.0,0.0,403
314,dots,max,3,ua2230ux,v54bh24m,315,67,"[201, 270, 314]",1000.0,0.0,403
315,dots,max,3,ua2230ux,i6wn3hl9,316,68,"[201, 270, 314]",350.0,0.0,403
318,dots,max,3,ua2230ux,sha2kv7l,319,69,"[201, 270, 314]",250.0,0.0,403
322,dots,max,3,ua2230ux,l86xzz5y,323,70,"[201, 270, 314]",900.0,0.0,403
327,dots,max,3,ua2230ux,2j6ctgwo,328,71,"[201, 270, 314]",1500.0,0.0,403
330,dots,max,3,ua2230ux,53wy16v4,331,72,"[201, 270, 314]",233.0,0.0,403
332,dots,max,3,ua2230ux,ogu2xvcr,333,73,"[201, 270, 314]",1400.0,0.0,403
329,dots,max,3,ua2230ux,wcb7yuj7,330,74,"[201, 270, 314]",300.0,0.0,403
337,dots,max,3,ua2230ux,foe1hbxl,338,75,"[201, 270, 314]",2800.0,0.0,403
339,dots,max,3,ua2230ux,5l2mi6ri,340,76,"[201, 270, 338]",510.0,0.0,403
343,dots,max,3,ua2230ux,ggdht3ip,344,77,"[201, 270, 338]",400.0,0.0,403
341,dots,max,3,ua2230ux,gduvhv3u,342,78,"[201, 270, 338]",260.0,0.0,403
347,dots,max,3,ua2230ux,yi8tg8p4,348,79,"[201, 270, 338]",453.0,0.0,403
349,dots,max,3,ua2230ux,htuph4y0,350,80,"[201, 270, 338]",2220.0,0.0,403
346,dots,max,3,ua2230ux,4knzjmuj,347,81,"[201, 270, 338]",100.0,0.0,403
350,dots,max,3,ua2230ux,8sdy6ma7,351,82,"[201, 270, 338]",350.0,0.0,403
351,dots,max,3,ua2230ux,c0k5hw1b,352,83,"[201, 270, 338]",400.0,1.0,403
359,dots,max,3,ua2230ux,bcwh3q50,360,84,"[201, 270, 338]",3350.0,0.0,403
358,dots,max,3,ua2230ux,gxbnfhy8,359,85,"[201, 338, 360]",1120.0,0.0,403
355,dots,max,3,ua2230ux,y9q5d4l8,356,86,"[201, 338, 360]",650.0,0.0,403
362,dots,max,3,ua2230ux,v4j4v2bq,363,87,"[201, 338, 360]",1750.0,0.0,403
367,dots,max,3,ua2230ux,91zmptwu,368,88,"[201, 338, 360]",2654.0,0.0,403
368,dots,max,3,ua2230ux,6rog500z,369,89,"[201, 338, 360]",325.0,0.0,403
371,dots,max,3,ua2230ux,ojduha9a,372,90,"[201, 338, 360]",275.0,0.0,403
379,dots,max,3,ua2230ux,9lzlfsbv,380,91,"[201, 338, 360]",3000.0,0.0,403
383,dots,max,3,ua2230ux,n1xo60k6,384,92,"[201, 360, 380]",3500.0,0.0,403
399,dots,max,3,ua2230ux,nka11bd4,400,93,"[201, 360, 384]",200.0,0.0,403
393,dots,max,3,ua2230ux,40kip0mc,394,94,"[201, 360, 384]",4500.0,0.0,403
409,dots,max,3,ua2230ux,3c5r4fuu,410,95,"[201, 384, 394]",3300.0,0.0,403
410,dots,max,3,ua2230ux,f15ditg5,411,96,"[201, 384, 394]",332.0,0.0,403
421,dots,max,3,ua2230ux,i9ece5on,422,97,"[201, 384, 394]",3500.0,0.0,403
420,dots,max,3,ua2230ux,d4svfrrl,421,98,"[201, 394, 422]",1500.0,0.0,403
422,dots,max,3,ua2230ux,01qlsvii,423,99,"[201, 394, 422]",4450.0,0.0,403
424,dots,max,3,ua2230ux,s5cryeu7,425,100,"[201, 394, 423]",5400.0,0.0,403
423,dots,max,3,ua2230ux,83yum7kk,424,101,"[201, 394, 425]",300.0,0.0,403
425,dots,max,3,ua2230ux,oomw6vtb,426,102,"[201, 394, 425]",239.0,0.0,403
428,dots,max,3,ua2230ux,rpqpn0vv,429,103,"[201, 394, 425]",1000.0,0.0,403
