,dots,method,views,session,code,id,hist,guess,bonus
0,1097,history,1,z0rvh02v,8pyew6s7,4,[],920.0,0.0
1,1097,history,1,z0rvh02v,y7nesd6a,5,[4],400.0,0.0
2,1097,history,1,z0rvh02v,qynflee4,7,[5],500.0,0.0
3,1097,history,1,z0rvh02v,sezygg3z,2,[7],642.0,0.0
4,1097,history,1,z0rvh02v,pma1tyva,9,[2],294.0,0.0
5,1097,history,1,z0rvh02v,jgc2q4sr,15,[9],555.0,0.0
6,1097,history,1,z0rvh02v,nd7ott41,18,[15],460.0,0.0
7,1097,history,1,z0rvh02v,k623rlc7,20,[18],520.0,0.0
8,1097,history,1,z0rvh02v,0hgby8iy,19,[20],500.0,0.0
9,1097,history,1,z0rvh02v,jill3cny,21,[19],340.0,0.0
10,1097,history,1,z0rvh02v,nqf9m3c1,23,[21],450.0,0.0
11,1097,history,1,z0rvh02v,b9rk2itx,31,[23],420.0,0.0
12,1097,history,1,z0rvh02v,mvujh3n8,32,[31],720.0,0.0
13,1097,history,1,z0rvh02v,mpm067n6,34,[32],800.0,0.0
14,1097,history,1,z0rvh02v,7ishjjw0,30,[34],350.0,0.0
15,1097,history,1,z0rvh02v,5jiuz9mm,26,[30],500.0,0.0
16,1097,history,1,z0rvh02v,2hdeaemg,35,[26],390.0,0.0
17,1097,history,1,z0rvh02v,n3q21mly,36,[35],480.0,0.0
18,1097,history,1,z0rvh02v,6t9f8e7b,39,[36],300.0,0.0
19,1097,history,1,z0rvh02v,buikmt8j,40,[39],600.0,0.0
20,1097,history,1,z0rvh02v,jv2c5s0e,42,[40],875.0,0.0
21,1097,history,1,z0rvh02v,1cqop0hp,43,[42],60000.0,0.0
22,1097,history,1,z0rvh02v,chz98frj,44,[43],250.0,0.0
23,1097,history,1,z0rvh02v,bnw0a55p,46,[44],1095.0,1.0
24,1097,history,1,z0rvh02v,07o5ai1m,47,[46],400.0,0.0
25,1097,history,1,z0rvh02v,w214kpox,48,[47],500.0,0.0
26,1097,history,1,z0rvh02v,270hdgev,50,[48],630.0,0.0
27,1097,history,1,z0rvh02v,c1sob4vi,51,[50],480.0,0.0
28,1097,history,1,z0rvh02v,k95o4d3z,53,[51],1200.0,1.0
29,1097,history,1,z0rvh02v,wxzt1axh,55,[53],256.0,0.0
30,1097,history,1,z0rvh02v,j9364ora,57,[55],340.0,0.0
31,1097,history,1,z0rvh02v,qjc74j6h,59,[57],10000.0,0.0
32,1097,history,1,z0rvh02v,8ejukegs,60,[59],5000.0,0.0
33,1097,history,1,z0rvh02v,b454nd0r,61,[60],4750.0,0.0
34,1097,history,1,z0rvh02v,w65vm2o6,62,[61],2245.0,0.0
35,1097,history,1,z0rvh02v,gbuuebhf,63,[62],300.0,0.0
36,1097,history,1,z0rvh02v,p58lqje8,64,[63],1000.0,1.0
37,1097,history,1,z0rvh02v,d57wcd27,66,[64],231.0,0.0
38,1097,history,1,z0rvh02v,4qijjtbe,65,[66],800.0,0.0
39,1097,history,1,z0rvh02v,r9sx5miq,67,[65],150.0,0.0
40,1097,history,1,z0rvh02v,hb7h7ixu,69,[67],10000.0,0.0
41,1097,history,1,z0rvh02v,c2ae35nr,68,[69],400.0,0.0
42,1097,history,1,z0rvh02v,688euypu,71,[68],689.0,0.0
43,1097,history,1,z0rvh02v,2g5o35sx,72,[71],520.0,0.0
44,1097,history,1,z0rvh02v,lc5fl89y,73,[72],682.0,0.0
45,1097,history,1,z0rvh02v,7ilqujrs,74,[73],400.0,0.0
46,1097,history,1,z0rvh02v,wti6uqjb,75,[74],475.0,0.0
47,1097,history,1,z0rvh02v,c5u8e5jk,77,[75],758.0,0.0
48,1097,history,1,z0rvh02v,0qgcme69,78,[77],600.0,0.0
49,1097,history,1,z0rvh02v,fo2r7c2d,79,[78],850.0,0.0
50,1097,history,1,z0rvh02v,53tgwl9s,80,[79],900.0,0.0
51,1097,history,1,z0rvh02v,q1q20xh6,82,[80],725.0,0.0
52,1097,history,1,z0rvh02v,vomqqk92,83,[82],575.0,0.0
53,1097,history,1,z0rvh02v,77nec134,84,[83],990.0,1.0
54,1097,history,1,z0rvh02v,7e8slc9c,86,[84],800.0,0.0
55,1097,history,1,z0rvh02v,3a2qt5hi,85,[86],1498.0,0.0
