,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
201,ox,A1Q1HSGBD1POWV,max,3,654w33sp,rwx9awlw,2,1,[],275.5,0.0,1233
205,ox,A2JIEQQQIGK6P7,max,3,654w33sp,21e7kddu,6,2,[2],272.155375318138,0.0,1233
200,ox,A2V3ECGQQYNO85,max,3,654w33sp,tqe4azld,1,3,[2],408.23306297720706,0.0,1233
207,ox,A12IHTKQFQIPD1,max,3,654w33sp,x6df8vzr,8,4,"[2, 6]",408.23306297720706,0.0,1233
206,ox,A2G1CPU70FHS68,max,3,654w33sp,kqz0tvwp,7,5,"[2, 6, 1]",275.5,0.0,1233
208,ox,A1A1A9UHNQCI9Y,max,3,654w33sp,wq3u1kph,9,6,"[2, 1, 8]",420.026462574327,0.0,1233
209,ox,A2C0IDLBIOPOMG,max,3,654w33sp,08bcabjt,10,7,"[1, 8, 9]",120.0,0.0,1233
211,ox,A1DZDHDL1ASHZU,max,3,654w33sp,we56b2hs,12,8,"[1, 8, 9]",423.655200911902,0.0,1233
212,ox,A258MR1IS96JEP,max,3,654w33sp,m6wuk06t,13,9,"[8, 9, 12]",420.026462574327,0.0,1233
213,ox,A35LA2SVNQS65E,max,3,654w33sp,jpj9z0gb,14,10,"[9, 12, 13]",930.0,0.0,1233
214,ox,AGZJG33624R94,max,3,654w33sp,kd5f3exg,15,11,"[12, 13, 14]",2050.3,0.0,1233
215,ox,A1QL2WQXXJNFB2,max,3,654w33sp,gl6hnyzu,16,12,"[12, 14, 15]",930.000276691298,0.0,1233
216,ox,AS2WTWYVRW9BV,max,3,654w33sp,j59k9syj,17,13,"[14, 15, 16]",1466.46388067257,0.0,1233
217,ox,ANWWLIPXD3WU,max,3,654w33sp,1bkohbjz,18,14,"[15, 16, 17]",1466.46388067257,0.0,1233
218,ox,A2F93SIUUV5HQH,max,3,654w33sp,a3ex51as,19,15,"[15, 17, 18]",1587.57302268914,0.0,1233
221,ox,A366XT3FM92R6H,max,3,654w33sp,wd51ztg1,22,16,"[15, 18, 19]",2050.28251995919,0.0,1233
222,ox,A33KTU8KJ5CP2T,max,3,654w33sp,8zd7zen3,23,17,"[15, 19, 22]",1587.0,0.0,1233
223,ox,A19758XA6CIJ3C,max,3,654w33sp,0qno6apo,24,18,"[15, 19, 22]",1587.57302268914,0.0,1233
226,ox,A1X3G033DSTPDY,max,3,654w33sp,h2prw6fj,27,19,"[15, 22, 24]",2050.3,0.0,1233
228,ox,A357C0NLWK75L0,max,3,654w33sp,to6jy7hk,29,20,"[15, 22, 27]",2050.28251995919,0.0,1233
229,ox,A2A9FPR7W6BU3E,max,3,654w33sp,4fp0iwgw,30,21,"[15, 27, 29]",2096.50357453406,0.0,1233
230,ox,A35P8YSNTQ7OTP,max,3,654w33sp,v5aedfmc,31,22,"[15, 27, 30]",2015.7641465230101,0.0,1233
232,ox,A1XC103XSP8MMD,max,3,654w33sp,tjyygrke,33,23,"[15, 27, 30]",2094.6892053652696,0.0,1233
