,task,method,views,session,code,id,order,hist,guess,bonus,dots
1,ox,history,3,656wmc92,9sxod2yj,2,1,[],1043.26227205286,0.0,1233
4,ox,history,3,656wmc92,k80pusqh,5,2,[2],978.398574268707,0.0,1233
13,ox,history,3,656wmc92,to3pwag1,14,3,"[2, 5]",104.0,0.0,1233
7,ox,history,3,656wmc92,3kq9mcz4,8,4,"[2, 5]",1200.0,1.0,1233
10,ox,history,3,656wmc92,za0qsqlk,11,6,"[2, 5, 14]",3500.0,0.0,1233
14,ox,history,3,656wmc92,woea2lav,15,7,"[14, 8, 16]",600.0,0.0,1233
9,ox,history,3,656wmc92,31w2q0vt,10,8,"[8, 16, 11]",1224.6991889316198,1.0,1233
19,ox,history,3,656wmc92,2ijh2r8m,20,9,"[11, 15, 10]",3500.0,0.0,1233
26,ox,history,3,656wmc92,zhsx9710,27,10,"[11, 15, 10]",700.0,0.0,1233
24,ox,history,3,656wmc92,nj523jh8,25,11,"[15, 10, 20]",544.310750636277,0.0,1233
25,ox,history,3,656wmc92,ayq6brk0,26,12,"[10, 20, 27]",1224.7,1.0,1233
30,ox,history,3,656wmc92,k8jqmsnp,31,13,"[27, 25, 26]",600.0,0.0,1233
31,ox,history,3,656wmc92,bpvgoqin,32,14,"[25, 26, 31]",1000.0,0.0,1233
32,ox,history,3,656wmc92,mfj0y2c9,33,15,"[26, 31, 32]",1000.0,0.0,1233
35,ox,history,3,656wmc92,h8le9vsv,36,16,"[31, 32, 33]",1000.0,0.0,1233
34,ox,history,3,656wmc92,w3ookgvk,35,17,"[32, 33, 36]",1000.0,0.0,1233
39,ox,history,3,656wmc92,6z1jbqcm,40,18,"[33, 36, 35]",1200.0,1.0,1233
38,ox,history,3,656wmc92,tixdc0jd,39,19,"[36, 35, 40]",500.0,0.0,1233
40,ox,history,3,656wmc92,lw57wsaj,41,20,"[35, 40, 39]",1000.0,0.0,1233
41,ox,history,3,656wmc92,5jbuyaef,42,21,"[40, 39, 41]",498.951521416587,0.0,1233
43,ox,history,3,656wmc92,miuf9733,44,22,"[39, 41, 42]",1230.0,1.0,1233
45,ox,history,3,656wmc92,n4tmo7pa,46,23,"[41, 42, 44]",999.9895673772791,0.0,1233
50,ox,history,3,656wmc92,fgrdw2ge,51,24,"[42, 44, 46]",1232.7277725035099,1.0,1233
55,ox,history,3,656wmc92,b2af4zjz,56,25,"[44, 46, 51]",1215.71806154612,1.0,1233
54,ox,history,3,656wmc92,fmswo1dc,55,26,"[46, 51, 56]",907.1845843937939,0.0,1233
57,ox,history,3,656wmc92,67hmgiz9,58,27,"[51, 56, 55]",1232.7,1.0,1233
58,ox,history,3,656wmc92,3idsjrag,59,28,"[56, 55, 58]",1050.0,0.0,1233
59,ox,history,3,656wmc92,ynnuffx6,60,29,"[55, 58, 59]",907.2,0.0,1233
61,ox,history,3,656wmc92,l1jprdnt,62,30,"[58, 59, 60]",1360.77687659069,0.0,1233
63,ox,history,3,656wmc92,ut7it6m5,64,31,"[59, 60, 62]",1400.0,0.0,1233
64,ox,history,3,656wmc92,gqjeurck,65,32,"[60, 62, 64]",1400.01260986572,0.0,1233
65,ox,history,3,656wmc92,kam7ax9n,66,33,"[62, 64, 65]",1400.0,0.0,1233
67,ox,history,3,656wmc92,n6yr7xtb,68,34,"[64, 65, 66]",1300.0,1.0,1233
68,ox,history,3,656wmc92,l0wih68v,69,35,"[65, 66, 68]",1399.7858137196201,0.0,1233
69,ox,history,3,656wmc92,fp5tzmzb,70,36,"[66, 68, 69]",1300.0,1.0,1233
70,ox,history,3,656wmc92,699lro1g,71,37,"[68, 69, 70]",1350.0,1.0,1233
71,ox,history,3,656wmc92,ilx590aa,72,38,"[69, 70, 71]",2866.0,0.0,1233
73,ox,history,3,656wmc92,x84neqm1,74,39,"[70, 71, 72]",2976.2,0.0,1233
75,ox,history,3,656wmc92,rbeqtfjw,76,40,"[71, 72, 74]",2988.0,0.0,1233
77,ox,history,3,656wmc92,aw5wol4q,78,41,"[72, 74, 76]",453.59229219689695,0.0,1233
78,ox,history,3,656wmc92,61mwtxt4,79,42,"[74, 76, 78]",1220.0,1.0,1233
79,ox,history,3,656wmc92,nkf079z5,80,43,"[76, 78, 79]",1220.0,1.0,1233
82,ox,history,3,656wmc92,h8z1fqx7,83,44,"[78, 79, 80]",544.310750636277,0.0,1233
83,ox,history,3,656wmc92,vgg8rffe,84,45,"[79, 80, 83]",1220.0,1.0,1233
84,ox,history,3,656wmc92,hjitkkq1,85,47,"[83, 84, 86]",1600.0,0.0,1233
89,ox,history,3,656wmc92,50v8nmc8,90,48,"[84, 86, 85]",819.0,0.0,1233
92,ox,history,3,656wmc92,sjk0qmm7,93,49,"[86, 85, 90]",952.5438136134841,0.0,1233
93,ox,history,3,656wmc92,on4sw6vf,94,50,"[85, 90, 93]",1644.27205921375,0.0,1233
94,ox,history,3,656wmc92,1j6qekl6,95,51,"[90, 93, 94]",544.310750636277,0.0,1233
95,ox,history,3,656wmc92,4ysv5aya,96,52,"[93, 94, 95]",1845.0,0.0,1233
96,ox,history,3,656wmc92,q45zxqzd,97,53,"[94, 95, 96]",1251.91472646344,1.0,1233
98,ox,history,3,656wmc92,c8itfpwt,99,54,"[95, 96, 97]",1358.50891512971,0.0,1233
100,ox,history,3,656wmc92,bxz1l75z,101,55,"[96, 97, 99]",1358.5,0.0,1233
101,ox,history,3,656wmc92,ux4lqy6i,102,56,"[97, 99, 101]",1356.2409536687198,1.0,1233
102,ox,history,3,656wmc92,xd5bbb5i,103,57,"[99, 101, 102]",1358.5,0.0,1233
103,ox,history,3,656wmc92,ui1liwm6,104,58,"[101, 102, 103]",1358.50891512971,0.0,1233
105,ox,history,3,656wmc92,zyfajk95,106,59,"[102, 103, 104]",1358.50891512971,0.0,1233
109,ox,history,3,656wmc92,2603uwfs,110,60,"[103, 104, 106]",1319.95357029297,1.0,1233
111,ox,history,3,656wmc92,5pg2icbg,112,61,"[104, 106, 110]",1224.6991889316198,1.0,1233
110,ox,history,3,656wmc92,gmw4ghlf,111,62,"[106, 110, 112]",1358.50891512971,0.0,1233
113,ox,history,3,656wmc92,fcgwq24y,114,63,"[110, 112, 111]",1215.62734308768,1.0,1233
116,ox,history,3,656wmc92,vqmfwui9,117,64,"[112, 111, 114]",1358.5,0.0,1233
118,ox,history,3,656wmc92,ljb3fwvz,119,65,"[111, 114, 117]",2700.0,0.0,1233
119,ox,history,3,656wmc92,81axov7f,120,66,"[114, 117, 119]",1360.77687659069,0.0,1233
120,ox,history,3,656wmc92,6xwon13w,121,67,"[117, 119, 120]",2700.0,0.0,1233
