,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
900,ox,A33Z8XPZ94UGT2,min,9,96v9vsvo,b1b4vg8n,1,1,[],816.466126,0.0,1233
901,ox,A2T2039IS9SHNT,min,9,96v9vsvo,dotxi12c,2,2,[1],226.79614610000002,0.0,1233
902,ox,A1JWEKRBLSPL8S,min,9,96v9vsvo,kg1wqe86,3,3,"[1, 2]",793.7865113,0.0,1233
903,ox,AKMZI2RUWXXFL,min,9,96v9vsvo,ouly1f4j,4,4,"[1, 2, 3]",816.5,0.0,1233
904,ox,A5MZPF0UJ2TXJ,min,9,96v9vsvo,5vcyrnhz,5,5,"[1, 2, 3, 4]",793.0,0.0,1233
907,ox,A2Z5CVQZF0FLCS,min,9,96v9vsvo,z3zewq07,8,6,"[1, 2, 3, 4, 5]",792.8793268,0.0,1233
908,ox,A3PW846VG68QHS,min,9,96v9vsvo,nvyid3ml,9,7,"[1, 2, 3, 4, 5, 8]",793.0154044,0.0,1233
909,ox,A23ZEO8JP3JUSL,min,9,96v9vsvo,i4duy5sh,10,8,"[1, 2, 3, 4, 5, 8, 9]",816.466126,0.0,1233
910,ox,AV8YCU0R4D94I,min,9,96v9vsvo,pye5yjh4,11,9,"[1, 2, 3, 4, 5, 8, 9, 10]",802.8583572000001,0.0,1233
915,ox,A3248FCCWCLPZN,min,9,96v9vsvo,hkwsy3fv,35,31,"[1, 2, 3, 4, 5, 8, 9, 10, 11]",544.3107506,0.0,1233
919,ox,AL0BD58TIJLMZ,min,9,96v9vsvo,wtnco47c,43,34,"[1, 2, 3, 5, 8, 9, 10, 11, 35]",544.3,0.0,1233
920,ox,ASRDI6RY1LGNL,min,9,96v9vsvo,5n7gm4w1,44,35,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",1241.935696,1.0,1233
921,ox,A3E2ES5KH0RKBZ,min,9,96v9vsvo,teq0pbg0,45,36,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",1680.0,0.0,1233
922,ox,AWJS64YIDUZ2L,min,9,96v9vsvo,902wqpup,52,44,"[2, 3, 5, 8, 9, 10, 11, 35, 43]",226.79614610000002,0.0,1233
927,ox,A89R5XGMHOTJE,min,9,96v9vsvo,l4caoeiy,60,47,"[2, 3, 5, 8, 9, 11, 35, 43, 52]",792.8793268,0.0,1233
