,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
501,ox,A1PUHCEBSOWETV,max,9,emdqn9k4,wjejt1cm,2,1,[],542.9499738,0.0,1233
503,ox,A2601NQ3X8AJR6,max,9,emdqn9k4,1erqdc35,4,2,[2],524.0,0.0,1233
506,ox,A3F9G4CEZQ3S4V,max,9,emdqn9k4,39azetnl,7,3,"[2, 4]",542.9499738,0.0,1233
505,ox,A12J4IRF5Z06BT,max,9,emdqn9k4,uq7hkcux,6,4,"[2, 4, 7]",566.9903652,0.0,1233
507,ox,A27A3Z6J7745DI,max,9,emdqn9k4,h43c1xyg,8,5,"[2, 4, 7, 6]",1050.0,0.0,1233
508,ox,ARYNGFS9GHR0Y,max,9,emdqn9k4,vu4tc0f1,9,6,"[2, 4, 7, 6, 8]",2314.0,0.0,1233
510,ox,A3Q2D55G2SE98J,max,9,emdqn9k4,xn3rmblk,11,7,"[2, 4, 7, 6, 8, 9]",816.466126,0.0,1233
511,ox,AGHY9RRMN9TD0,max,9,emdqn9k4,c537lefo,12,8,"[2, 4, 7, 6, 8, 9, 11]",566.9903652,0.0,1233
512,ox,APR6H3HAOE9OU,max,9,emdqn9k4,ga53x14e,13,9,"[2, 4, 7, 6, 8, 9, 11, 12]",748.4272821000001,0.0,1233
513,ox,ALV7EWQAAP4UM,max,9,emdqn9k4,ne3g0xl5,14,10,"[2, 4, 7, 6, 8, 9, 11, 12, 13]",567.0,0.0,1233
515,ox,AVZ5Y3LAPQVJW,max,9,emdqn9k4,qouakbs9,16,11,"[2, 7, 6, 8, 9, 11, 12, 13, 14]",566.9903652,0.0,1233
517,ox,ANKRUP6HERP5W,max,9,emdqn9k4,3n9ui0yh,18,12,"[7, 6, 8, 9, 11, 12, 13, 14, 16]",567.0,0.0,1233
520,ox,A9E9L9MWEZOPN,max,9,emdqn9k4,f39xpwqm,21,13,"[6, 8, 9, 11, 12, 13, 14, 16, 18]",1050.0,0.0,1233
522,ox,A1C6UU3S2IJV41,max,9,emdqn9k4,17ljwl9s,23,14,"[8, 9, 11, 12, 13, 14, 16, 18, 21]",1088.621501,0.0,1233
524,ox,A2GJABADCYUK4R,max,9,emdqn9k4,6ydlflaz,25,15,"[8, 9, 11, 13, 14, 16, 18, 21, 23]",1050.0,0.0,1233
526,ox,A1P0KZVJUL3GUH,max,9,emdqn9k4,iji9n9i4,27,16,"[8, 9, 11, 13, 14, 18, 21, 23, 25]",680.3884383,0.0,1233
