,task,method,views,session,code,id,order,hist,guess,bonus,dots
501,ox,max,9,emdqn9k4,wjejt1cm,2,1,[],542.9499738,0.0,1233
503,ox,max,9,emdqn9k4,1erqdc35,4,2,[2],524.0,0.0,1233
506,ox,max,9,emdqn9k4,39azetnl,7,3,"[2, 4]",542.9499738,0.0,1233
505,ox,max,9,emdqn9k4,uq7hkcux,6,4,"[2, 4, 7]",566.9903652,0.0,1233
507,ox,max,9,emdqn9k4,h43c1xyg,8,5,"[2, 4, 7, 6]",1050.0,0.0,1233
508,ox,max,9,emdqn9k4,vu4tc0f1,9,6,"[2, 4, 7, 6, 8]",2314.0,0.0,1233
510,ox,max,9,emdqn9k4,xn3rmblk,11,7,"[2, 4, 7, 6, 8, 9]",816.466126,0.0,1233
511,ox,max,9,emdqn9k4,c537lefo,12,8,"[2, 4, 7, 6, 8, 9, 11]",566.9903652,0.0,1233
512,ox,max,9,emdqn9k4,ga53x14e,13,9,"[2, 4, 7, 6, 8, 9, 11, 12]",748.4272821000001,0.0,1233
513,ox,max,9,emdqn9k4,ne3g0xl5,14,10,"[2, 4, 7, 6, 8, 9, 11, 12, 13]",567.0,0.0,1233
515,ox,max,9,emdqn9k4,qouakbs9,16,11,"[2, 7, 6, 8, 9, 11, 12, 13, 14]",566.9903652,0.0,1233
517,ox,max,9,emdqn9k4,3n9ui0yh,18,12,"[7, 6, 8, 9, 11, 12, 13, 14, 16]",567.0,0.0,1233
520,ox,max,9,emdqn9k4,f39xpwqm,21,13,"[6, 8, 9, 11, 12, 13, 14, 16, 18]",1050.0,0.0,1233
522,ox,max,9,emdqn9k4,17ljwl9s,23,14,"[8, 9, 11, 12, 13, 14, 16, 18, 21]",1088.621501,0.0,1233
524,ox,max,9,emdqn9k4,6ydlflaz,25,15,"[8, 9, 11, 13, 14, 16, 18, 21, 23]",1050.0,0.0,1233
526,ox,max,9,emdqn9k4,iji9n9i4,27,16,"[8, 9, 11, 13, 14, 18, 21, 23, 25]",680.3884383,0.0,1233
527,ox,max,9,emdqn9k4,5cpjngdk,28,17,"[8, 9, 11, 13, 18, 21, 23, 25, 27]",1200.0,1.0,1233
528,ox,max,9,emdqn9k4,6gpi3y6i,29,18,"[8, 9, 11, 13, 21, 23, 25, 27, 28]",669.048631,0.0,1233
529,ox,max,9,emdqn9k4,d7hhd5ii,30,19,"[8, 9, 11, 13, 21, 23, 25, 27, 28]",1225.0,1.0,1233
532,ox,max,9,emdqn9k4,i8nmux9e,33,20,"[8, 9, 11, 13, 21, 23, 25, 28, 30]",1050.0207970000001,0.0,1233
533,ox,max,9,emdqn9k4,38wh32ht,34,21,"[8, 9, 11, 21, 23, 25, 28, 30, 33]",1225.0,1.0,1233
535,ox,max,9,emdqn9k4,nu1x4dop,36,22,"[8, 9, 21, 23, 25, 28, 30, 33, 34]",555.6505579,0.0,1233
536,ox,max,9,emdqn9k4,nsyyoen1,37,23,"[8, 9, 21, 23, 25, 28, 30, 33, 34]",1225.016704,1.0,1233
534,ox,max,9,emdqn9k4,j0j9ypj6,35,24,"[9, 21, 23, 25, 28, 30, 33, 34, 37]",3100.0,0.0,1233
541,ox,max,9,emdqn9k4,yz03akvf,42,25,"[9, 23, 25, 28, 30, 33, 34, 37, 35]",1400.0,0.0,1233
544,ox,max,9,emdqn9k4,o1hx0h5x,45,26,"[9, 23, 28, 30, 33, 34, 37, 35, 42]",3100.0,0.0,1233
546,ox,max,9,emdqn9k4,4zccwqau,47,27,"[9, 23, 28, 30, 34, 37, 35, 42, 45]",1133.98073,1.0,1233
547,ox,max,9,emdqn9k4,ketfntml,48,28,"[9, 28, 30, 34, 37, 35, 42, 45, 47]",1133.98073,1.0,1233
549,ox,max,9,emdqn9k4,t8b71c6g,50,29,"[9, 28, 30, 34, 37, 35, 42, 45, 48]",1224.6991890000002,1.0,1233
550,ox,max,9,emdqn9k4,38z9uusi,51,30,"[9, 28, 30, 34, 37, 35, 42, 45, 50]",1315.417647,1.0,1233
552,ox,max,9,emdqn9k4,axevbewh,53,31,"[9, 30, 34, 37, 35, 42, 45, 50, 51]",6834.3,0.0,1233
553,ox,max,9,emdqn9k4,sn1hcpvm,54,32,"[9, 30, 34, 37, 35, 42, 45, 51, 53]",1400.0,0.0,1233
555,ox,max,9,emdqn9k4,jh5jbt4l,56,33,"[9, 34, 37, 35, 42, 45, 51, 53, 54]",1224.6991890000002,1.0,1233
557,ox,max,9,emdqn9k4,v43agp9i,58,34,"[9, 34, 37, 35, 42, 45, 51, 53, 54]",1360.776877,0.0,1233
558,ox,max,9,emdqn9k4,9jzpjd53,59,35,"[9, 37, 35, 42, 45, 51, 53, 54, 58]",1400.0,0.0,1233
562,ox,max,9,emdqn9k4,s1ug8smw,63,36,"[9, 35, 42, 45, 51, 53, 54, 58, 59]",2177.243003,0.0,1233
563,ox,max,9,emdqn9k4,jy5vohku,64,37,"[9, 35, 42, 45, 53, 54, 58, 59, 63]",260.81556800000004,0.0,1233
564,ox,max,9,emdqn9k4,8xn3gyyt,65,38,"[9, 35, 42, 45, 53, 54, 58, 59, 63]",1400.01261,0.0,1233
565,ox,max,9,emdqn9k4,h4ryckpx,66,39,"[9, 35, 42, 45, 53, 54, 59, 63, 65]",1179.33996,1.0,1233
568,ox,max,9,emdqn9k4,mnhq0rvq,69,40,"[9, 35, 42, 45, 53, 54, 59, 63, 65]",1400.01261,0.0,1233
570,ox,max,9,emdqn9k4,yw6wt1rp,71,41,"[9, 35, 45, 53, 54, 59, 63, 65, 69]",6834.3,0.0,1233
572,ox,max,9,emdqn9k4,i727ny2h,73,42,"[9, 35, 45, 53, 59, 63, 65, 69, 71]",1964.054625,0.0,1233
574,ox,max,9,emdqn9k4,tyvmv2hg,75,43,"[9, 35, 45, 53, 63, 65, 69, 71, 73]",2314.001079,0.0,1233
573,ox,max,9,emdqn9k4,0n3crwk5,74,44,"[9, 35, 45, 53, 63, 69, 71, 73, 75]",1400.01261,0.0,1233
576,ox,max,9,emdqn9k4,d90t0dwe,77,45,"[9, 35, 45, 53, 63, 71, 73, 75, 74]",2315.815448,0.0,1233
