,task,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,history,0,gaijydul,be10zxbq,1,1,[],226.796146098449,0.0,1233
1,ox,history,0,gaijydul,7fyz6473,2,2,[],544.310750636277,0.0,1233
2,ox,history,0,gaijydul,rgm5v8ii,3,3,[],1000.0,0.0,1233
4,ox,history,0,gaijydul,big8zz5y,5,4,[],445.427630937353,0.0,1233
6,ox,history,0,gaijydul,po814a7p,7,5,[],1043.26227205286,0.0,1233
8,ox,history,0,gaijydul,osi8iyt8,9,6,[],544.310750636277,0.0,1233
9,ox,history,0,gaijydul,lzfdqkkl,10,7,[],453.59229219689695,0.0,1233
10,ox,history,0,gaijydul,czg0jxop,11,8,[],453.59229219689695,0.0,1233
11,ox,history,0,gaijydul,hvxuiaqi,12,9,[],544.310750636277,0.0,1233
12,ox,history,0,gaijydul,l92os8mv,13,10,[],1224.6991889316198,1.0,1233
13,ox,history,0,gaijydul,d5v5vnnk,14,11,[],185.972839800728,0.0,1233
14,ox,history,0,gaijydul,nw0inf3r,15,12,[],1742.0,0.0,1233
16,ox,history,0,gaijydul,uj7j61xx,17,13,[],394.62529421130097,0.0,1233
17,ox,history,0,gaijydul,xrotlttx,18,14,[],453.59229219689695,0.0,1233
20,ox,history,0,gaijydul,9xbfcay8,21,15,[],544.310750636277,0.0,1233
21,ox,history,0,gaijydul,bjukhomf,22,16,[],453.59229219689695,0.0,1233
22,ox,history,0,gaijydul,61crb5qi,23,17,[],816.466125954415,0.0,1233
23,ox,history,0,gaijydul,2gp0boyv,24,18,[],420.0,0.0,1233
24,ox,history,0,gaijydul,xeafh1vg,25,19,[],524.352689779613,0.0,1233
25,ox,history,0,gaijydul,ltrmjow7,26,20,[],850.0,0.0,1233
27,ox,history,0,gaijydul,k1rbb9pm,28,21,[],1088.62150127255,0.0,1233
30,ox,history,0,gaijydul,vpgm5bsv,31,22,[],552.475411895821,0.0,1233
32,ox,history,0,gaijydul,ipy0kyo8,33,23,[],249.475760708293,0.0,1233
33,ox,history,0,gaijydul,3xxoft43,34,24,[],399.16121713326896,0.0,1233
34,ox,history,0,gaijydul,6imhzay7,35,25,[],908.091768978188,0.0,1233
37,ox,history,0,gaijydul,9c1cmfp5,38,26,[],680.388438295346,0.0,1233
38,ox,history,0,gaijydul,9wojazc7,39,27,[],453.59229219689695,0.0,1233
39,ox,history,0,gaijydul,369qs06u,40,28,[],362.873833757518,0.0,1233
40,ox,history,0,gaijydul,vcdk04lq,41,29,[],1542.2137934694501,0.0,1233
41,ox,history,0,gaijydul,3iebg55v,42,30,[],542.042789175292,0.0,1233
42,ox,history,0,gaijydul,n7qyzp99,43,31,[],748.4272821248799,0.0,1233
43,ox,history,0,gaijydul,4dj73aqp,44,32,[],79.0,0.0,1233
44,ox,history,0,gaijydul,bu7mdhxe,45,33,[],560.0,0.0,1233
45,ox,history,0,gaijydul,3xy1onyl,46,34,[],226.796146098449,0.0,1233
47,ox,history,0,gaijydul,t5bfm5sv,48,35,[],523.445505195219,0.0,1233
48,ox,history,0,gaijydul,nukabwys,49,36,[],1360.77687659069,0.0,1233
49,ox,history,0,gaijydul,m1jmqs8n,50,37,[],544.310750636277,0.0,1233
50,ox,history,0,gaijydul,48jjxf9h,51,38,[],362.873833757518,0.0,1233
51,ox,history,0,gaijydul,5596qzd1,52,39,[],650.0,0.0,1233
54,ox,history,0,gaijydul,3zn81tsj,55,40,[],600.0,0.0,1233
56,ox,history,0,gaijydul,uardohqp,57,41,[],215.456338793526,0.0,1233
58,ox,history,0,gaijydul,z8dcpoj0,59,42,[],408.23306297720706,0.0,1233
