,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,AVU225KQH0N7O,min,3,ggv74prf,29wcpiv7,1,1,[],725.7476675,0.0,1233
2,ox,A2YE7NBCK14VAQ,min,3,ggv74prf,sn8vu2c9,3,2,[1],952.5438136,0.0,1233
3,ox,A3G7LEK456748X,min,3,ggv74prf,21o13f7h,4,3,"[1, 3]",816.466126,0.0,1233
6,ox,A3150VRNMT7X8W,min,3,ggv74prf,mu2mc9da,7,4,"[1, 3, 4]",816.0,0.0,1233
7,ox,A2HGF30Q1AW1PK,min,3,ggv74prf,cyazaypo,8,5,"[1, 4, 7]",816.0125337000001,0.0,1233
11,ox,A3OJ11M92DQBSJ,min,3,ggv74prf,v1a11n21,12,6,"[1, 7, 8]",816.0,0.0,1233
13,ox,A37SZMJSY781LD,min,3,ggv74prf,houigby4,14,7,"[1, 7, 12]",453.59229220000003,0.0,1233
17,ox,A28IB5IP0SRLTJ,min,3,ggv74prf,3uh78j2q,18,8,"[1, 12, 14]",725.7476675,0.0,1233
20,ox,A1W7OUHZNCS5PU,min,3,ggv74prf,ntb3zygl,21,9,"[1, 14, 18]",725.7,0.0,1233
22,ox,A2PNC1TJ3KJ492,min,3,ggv74prf,kafwpt1k,23,10,"[14, 18, 21]",1700.0,0.0,1233
23,ox,A2WP04RFZ9STGJ,min,3,ggv74prf,n0m39h88,24,11,"[14, 18, 21]",1152.124422,1.0,1233
24,ox,A27CIX7IH6XSD7,min,3,ggv74prf,4gkfphvv,25,12,"[14, 18, 21]",759.7670893999999,0.0,1233
25,ox,A10JK3HAFBCXH5,min,3,ggv74prf,qbxpke9g,26,13,"[14, 18, 21]",762.0350509,0.0,1233
26,ox,A3PQ0OYO3BC0BS,min,3,ggv74prf,l9y5yz8s,27,14,"[14, 18, 21]",1600.0,0.0,1233
27,ox,AHA0PGTK8TPFF,min,3,ggv74prf,g6klccqx,28,15,"[14, 18, 21]",675.8525154,0.0,1233
29,ox,A1URFOW4XBORT1,min,3,ggv74prf,mdhhbsrp,30,16,"[14, 21, 28]",725.7,0.0,1233
30,ox,A1XSQ7O7YLOE8N,min,3,ggv74prf,sq9lu95v,31,17,"[14, 28, 30]",725.7023082999999,0.0,1233
31,ox,A1XUHSDKYFLUK6,min,3,ggv74prf,v9827v9q,32,18,"[14, 28, 30]",2800.0,0.0,1233
34,ox,A17HGM0WV0PLY9,min,3,ggv74prf,ava9yrod,35,19,"[14, 28, 30]",1480.0,0.0,1233
38,ox,A2A2CEBYMI2UNJ,min,3,ggv74prf,pef5rjo7,39,20,"[14, 28, 30]",635.0292091,0.0,1233
39,ox,A249LDVPG27XCE,min,3,ggv74prf,7v58g805,40,21,"[14, 28, 39]",2600.0,0.0,1233
40,ox,A2FK7U1OGP2XQT,min,3,ggv74prf,k5fepsy6,41,22,"[14, 28, 39]",544.3107506,0.0,1233
41,ox,A2ZDK0Y5466BXN,min,3,ggv74prf,ljb6qk2e,42,23,"[14, 39, 41]",544.3107506,0.0,1233
42,ox,A3C8US1D4KC894,min,3,ggv74prf,4l8g3hlq,43,24,"[14, 41, 42]",544.0,0.0,1233
43,ox,A15XFO0JDE51X8,min,3,ggv74prf,p64l4369,44,25,"[14, 42, 43]",483.0,0.0,1233
45,ox,A3HSQ2S9NIVOK2,min,3,ggv74prf,60wm6y9v,46,26,"[14, 43, 44]",1900.0,0.0,1233
47,ox,A1X89B41M73QTR,min,3,ggv74prf,ce9bfexr,48,27,"[14, 43, 44]",725.7476675,0.0,1233
48,ox,A2OD5QYUCEYHJD,min,3,ggv74prf,1qrsgl6y,49,28,"[14, 43, 44]",483.0,0.0,1233
49,ox,A2LTOS0AZ3B28A,min,3,ggv74prf,uonp0132,50,29,"[14, 44, 49]",430.91267760000005,0.0,1233
50,ox,AJC5QHO846DZR,min,3,ggv74prf,wgt7mu2p,51,30,"[14, 49, 50]",482.9850727,0.0,1233
51,ox,A3IQBVEWU7VRNE,min,3,ggv74prf,xvocp8tw,52,31,"[14, 50, 51]",442.25248489999996,0.0,1233
52,ox,A1OD4XDOWM8S6E,min,3,ggv74prf,thj9xm8j,53,32,"[14, 50, 52]",453.59229220000003,0.0,1233
53,ox,AKN6YZWA3XPWZ,min,3,ggv74prf,cl7614vr,54,33,"[50, 52, 53]",405.3,0.0,1233
54,ox,A8DWTH31EYL13,min,3,ggv74prf,klsxf5c2,55,34,"[50, 52, 54]",442.25248489999996,0.0,1233
55,ox,A1VIXPE6JHGLP4,min,3,ggv74prf,kujg6gvy,56,35,"[50, 54, 55]",442.25248489999996,0.0,1233
56,ox,A1E46RNRQ6P18L,min,3,ggv74prf,7r4s2zy1,57,36,"[50, 54, 56]",430.9,0.0,1233
57,ox,A19YI8PZGYKN6X,min,3,ggv74prf,n6ysdk9d,58,37,"[50, 54, 57]",444.52044639999997,0.0,1233
59,ox,AGNJKSH5LFKXZ,min,3,ggv74prf,12h7x0uo,60,38,"[50, 54, 57]",442.25248489999996,0.0,1233
61,ox,AVLWZW54SOGHC,min,3,ggv74prf,k8awbpyk,62,39,"[50, 54, 57]",430.91267760000005,0.0,1233
62,ox,A3RC4Q2X636KF5,min,3,ggv74prf,bkt7bjl0,63,40,"[54, 57, 62]",394.6252942,0.0,1233
63,ox,A2GJH4HQ4B8VNX,min,3,ggv74prf,tusqfydq,64,41,"[54, 57, 63]",417.3049088,0.0,1233
64,ox,A1FO5K73AYUEH,min,3,ggv74prf,jovx8kql,65,42,"[54, 63, 64]",468.10724550000003,0.0,1233
65,ox,A3MD960MUT5FKA,min,3,ggv74prf,293d5klq,66,43,"[54, 63, 64]",394.6252942,0.0,1233
67,ox,A1XATJA7ENOGWB,min,3,ggv74prf,s1xoi473,68,44,"[54, 63, 66]",405.28471310000003,0.0,1233
68,ox,A195R8LWDEDB6K,min,3,ggv74prf,j2dfve1r,69,45,"[63, 66, 68]",408.233063,0.0,1233
69,ox,A2RRM2TLRUN1WW,min,3,ggv74prf,e3m0lcr5,70,46,"[63, 66, 68]",430.91267760000005,0.0,1233
70,ox,A3BX06N0ZZTPJY,min,3,ggv74prf,lj5cwiu1,71,47,"[63, 66, 68]",405.28471310000003,0.0,1233
71,ox,A2PQEO14633TNL,min,3,ggv74prf,v01c9w22,72,48,"[63, 66, 71]",405.28471310000003,0.0,1233
72,ox,A3FWYOGYM4ESVH,min,3,ggv74prf,xg4ajv58,73,49,"[63, 66, 72]",396.8932557,0.0,1233
73,ox,AIVOCURI4951T,min,3,ggv74prf,oumf6q3l,74,50,"[63, 66, 73]",820.0,0.0,1233
74,ox,A1ZJ5V4C6QVEUH,min,3,ggv74prf,h5lp9hed,75,51,"[63, 66, 73]",394.6252942,0.0,1233
76,ox,ABCBQQ0R4OWNM,min,3,ggv74prf,v3r40qn8,77,52,"[63, 66, 75]",419.5728703,0.0,1233
77,ox,A20Z8PQIA19KLM,min,3,ggv74prf,xwn670te,78,53,"[63, 66, 75]",394.6,0.0,1233
78,ox,AIWAF34P16S1K,min,3,ggv74prf,3x2y9otk,79,54,"[66, 75, 78]",394.6252942,0.0,1233
79,ox,A3M0XW9309DTYU,min,3,ggv74prf,1rb6z4z1,80,55,"[75, 78, 79]",394.6252942,0.0,1233
80,ox,A5F4IEDS3YT4N,min,3,ggv74prf,elftq9qi,81,56,"[78, 79, 80]",394.6252942,0.0,1233
81,ox,A1ZWJJ58M8SHBQ,min,3,ggv74prf,8t6ojsg5,82,57,"[78, 80, 81]",362.8738338,0.0,1233
82,ox,AKPMET8C2GOGI,min,3,ggv74prf,rp54sn76,83,58,"[78, 81, 82]",2100.0,0.0,1233
83,ox,A2DOOLFCILK7SJ,min,3,ggv74prf,gifbk73d,84,59,"[78, 81, 82]",394.57993500000003,0.0,1233
84,ox,A3S9L86OI14E8B,min,3,ggv74prf,qlswn1da,85,60,"[78, 82, 84]",1000.0,0.0,1233
86,ox,A2UX1I209LML50,min,3,ggv74prf,juexny0h,87,61,"[78, 82, 84]",394.6252942,0.0,1233
87,ox,A15ES43JGZQ7VX,min,3,ggv74prf,k1rqp3e7,88,62,"[78, 82, 84]",408.233063,0.0,1233
