,task,method,views,session,code,id,order,hist,guess,bonus,dots
701,ox,max,1,gu97xc8e,cmevdm1q,2,1,[],362.873833757518,0.0,1233
702,ox,max,1,gu97xc8e,lylly9se,3,2,[2],362.873833757518,0.0,1233
705,ox,max,1,gu97xc8e,tqiarm7v,6,3,[3],589.6699798559661,0.0,1233
706,ox,max,1,gu97xc8e,m263xnk4,7,4,[6],181.436916878759,0.0,1233
707,ox,max,1,gu97xc8e,yph2dkd7,8,5,[6],589.6699798559661,0.0,1233
708,ox,max,1,gu97xc8e,c35tnh4f,9,6,[8],544.310750636277,0.0,1233
709,ox,max,1,gu97xc8e,ah45vsuw,10,7,[8],430.912677587052,0.0,1233
711,ox,max,1,gu97xc8e,gww84ya7,12,8,[8],680.388438295346,0.0,1233
712,ox,max,1,gu97xc8e,ul9cjie2,13,9,[12],453.59229219689695,0.0,1233
714,ox,max,1,gu97xc8e,5rs65h4x,15,10,[12],907.1845843937939,0.0,1233
716,ox,max,1,gu97xc8e,1s568l94,17,11,[15],1043.26227205286,0.0,1233
717,ox,max,1,gu97xc8e,l9iiw48y,18,12,[17],1111.3011158824002,1.0,1233
718,ox,max,1,gu97xc8e,gfdh6sd1,19,13,[18],1383.45649120054,0.0,1233
721,ox,max,1,gu97xc8e,dfqs5es0,22,14,[19],1587.57302268914,0.0,1233
722,ox,max,1,gu97xc8e,gs22zr02,23,15,[22],1814.3691687875896,0.0,1233
723,ox,max,1,gu97xc8e,0mluisoi,24,16,[23],453.59229219689695,0.0,1233
725,ox,max,1,gu97xc8e,9aield90,26,18,[23],907.1845843937939,0.0,1233
