,task,method,views,session,code,id,order,hist,guess,bonus,dots
0,ox,history,0,ha6r7s1x,w2qkp3e6,1,2,[],500.0,0.0,1233
3,ox,history,0,ha6r7s1x,dui3xc89,4,3,[],1197.0,1.0,1233
12,ox,history,0,ha6r7s1x,i3y093px,13,4,[],635.029209075656,0.0,1233
15,ox,history,0,ha6r7s1x,89wo9v0e,16,5,[],907.1845843937939,0.0,1233
17,ox,history,0,ha6r7s1x,k96qi44c,18,7,[],362.873833757518,0.0,1233
18,ox,history,0,ha6r7s1x,driphyof,19,8,[],659.976785146485,0.0,1233
20,ox,history,0,ha6r7s1x,iw1l9qf1,21,9,[],660.0,0.0,1233
19,ox,history,0,ha6r7s1x,e3i7eig6,20,10,[],250.0,0.0,1233
23,ox,history,0,ha6r7s1x,kyiaywjp,24,11,[],1230.0,1.0,1233
24,ox,history,0,ha6r7s1x,h2elfwnu,25,12,[],400.0,0.0,1233
25,ox,history,0,ha6r7s1x,e7noauuz,26,13,[],600.0,0.0,1233
26,ox,history,0,ha6r7s1x,h29tnrok,27,14,[],453.1386999047,0.0,1233
29,ox,history,0,ha6r7s1x,6q8pvw9j,30,16,[],2000.0,0.0,1233
30,ox,history,0,ha6r7s1x,peft3pfr,31,17,[],362.873833757518,0.0,1233
31,ox,history,0,ha6r7s1x,atddz5ev,32,18,[],249.475760708293,0.0,1233
35,ox,history,0,ha6r7s1x,bk2n54z5,36,19,[],725.7476675150349,0.0,1233
36,ox,history,0,ha6r7s1x,hdkoq8ch,37,20,[],394.62529421130097,0.0,1233
40,ox,history,0,ha6r7s1x,q3f0dime,41,22,[],700.0,0.0,1233
42,ox,history,0,ha6r7s1x,5l6bt5fh,43,24,[],544.310750636277,0.0,1233
43,ox,history,0,ha6r7s1x,cjo40yw6,44,25,[],400.0,0.0,1233
44,ox,history,0,ha6r7s1x,60mpn0bk,45,26,[],182.344101463153,0.0,1233
46,ox,history,0,ha6r7s1x,5ucng0sh,47,28,[],250.0,0.0,1233
47,ox,history,0,ha6r7s1x,7ggdxbf9,48,29,[],462.66413804083504,0.0,1233
50,ox,history,0,ha6r7s1x,t1yuc4a4,51,30,[],907.1845843937939,0.0,1233
51,ox,history,0,ha6r7s1x,ynhqzaft,52,31,[],294.83498992798303,0.0,1233
52,ox,history,0,ha6r7s1x,w8xywts6,53,32,[],544.310750636277,0.0,1233
54,ox,history,0,ha6r7s1x,5gt5bj0y,55,33,[],250.0,0.0,1233
55,ox,history,0,ha6r7s1x,lprhu8dj,56,34,[],635.029209075656,0.0,1233
56,ox,history,0,ha6r7s1x,uu2csbm4,57,35,[],1200.0,1.0,1233
57,ox,history,0,ha6r7s1x,s086diu8,58,36,[],544.310750636277,0.0,1233
60,ox,history,0,ha6r7s1x,mh0cv2yo,61,38,[],408.23306297720706,0.0,1233
62,ox,history,0,ha6r7s1x,vhzxo63b,63,39,[],350.0,0.0,1233
63,ox,history,0,ha6r7s1x,pkuar9el,64,40,[],544.310750636277,0.0,1233
64,ox,history,0,ha6r7s1x,kg0djog5,65,41,[],400.0,0.0,1233
65,ox,history,0,ha6r7s1x,hjbijo0g,66,42,[],150.0,0.0,1233
66,ox,history,0,ha6r7s1x,fl0v9fr3,67,43,[],362.873833757518,0.0,1233
67,ox,history,0,ha6r7s1x,dnliv2d1,68,44,[],1542.2137934694501,0.0,1233
68,ox,history,0,ha6r7s1x,zjotfob0,69,45,[],544.310750636277,0.0,1233
69,ox,history,0,ha6r7s1x,qcwn0ogq,70,46,[],1500.0,0.0,1233
70,ox,history,0,ha6r7s1x,e48zf3lt,71,47,[],390.089371289331,0.0,1233
71,ox,history,0,ha6r7s1x,rouzmi9q,72,48,[],557.918519402183,0.0,1233
